,close,5days,10days,20days
2017-12-29,192.7629,0.0,0.0,0.0
2018-01-02,198.5906,0.0,0.0,0.0
2018-01-03,211.6607,0.0,0.0,0.0
2018-01-04,212.7764,0.0,0.0,0.0
2018-01-05,214.5795,0.0,0.0,0.0
2018-01-08,221.1544,0.147,0.0,0.0
2018-01-09,221.0946,0.113,0.0,0.0
2018-01-10,222.828,0.053,0.0,0.0
2018-01-11,223.2264,0.049,0.0,0.0
2018-01-12,222.1306,0.035,0.0,0.0
2018-01-16,219.2716,-0.009,0.138,0.0
2018-01-17,223.864,0.013,0.127,0.0
2018-01-18,223.5851,0.003,0.056,0.0
2018-01-19,229.2335,0.027,0.077,0.0
2018-01-22,232.7998,0.048,0.085,0.0
2018-01-23,238.0,0.085,0.076,0.0
2018-01-24,234.9018,0.049,0.062,0.0
2018-01-25,235.4497,0.053,0.057,0.0
2018-01-26,242.4031,0.057,0.086,0.0
2018-01-29,245.9097,0.056,0.107,0.0
2018-01-30,241.7954,0.016,0.103,0.254
2018-01-31,244.8637,0.042,0.094,0.233
2018-02-01,239.5839,0.018,0.072,0.132
2018-02-02,232.6305,-0.04,0.015,0.093
2018-02-05,212.886,-0.134,-0.086,-0.008
2018-02-06,224.7207,-0.071,-0.056,0.016
2018-02-07,227.9285,-0.069,-0.03,0.031
2018-02-08,216.6914,-0.096,-0.08,-0.028
2018-02-09,231.196,-0.006,-0.046,0.036
2018-02-12,227.1614,0.067,-0.076,0.023
2018-02-13,231.7439,0.031,-0.042,0.057
2018-02-14,240.5004,0.055,-0.018,0.074
2018-02-15,245.56099999999998,0.133,0.025,0.098
2018-02-16,242.9112,0.051,0.044,0.06
2018-02-20,248.1312,0.092,0.166,0.066
2018-02-21,240.59,0.038,0.071,0.011
2018-02-22,241.377,0.004,0.059,0.028
2018-02-23,245.145,-0.002,0.131,0.041
2018-02-26,245.7929,0.012,0.063,0.014
2018-02-27,245.2746,-0.012,0.08,-0.003
2018-02-28,241.2275,0.003,0.041,-0.002
2018-03-01,231.4688,-0.041,-0.038,-0.055
2018-03-02,235.7849,-0.038,-0.04,-0.016
2018-03-05,234.8978,-0.044,-0.033,0.01
2018-03-06,241.387,-0.016,-0.027,0.134
2018-03-07,241.06799999999998,-0.001,0.002,0.073
2018-03-08,240.4101,0.039,-0.004,0.055
2018-03-09,244.5469,0.037,-0.002,0.129
2018-03-12,248.9627,0.06,0.013,0.077
2018-03-13,246.9193,0.023,0.007,0.087
2018-03-14,247.946,0.029,0.028,0.07
2018-03-15,248.5441,0.034,0.074,0.033
2018-03-16,249.6804,0.021,0.059,0.017
2018-03-19,240.2307,-0.035,0.023,-0.011
2018-03-20,248.7833,0.008,0.031,0.003
2018-03-21,247.7666,-0.001,0.028,0.03
2018-03-22,241.078,-0.03,0.003,-0.001
2018-03-23,232.2263,-0.07,-0.05,-0.053
2018-03-26,243.6996,0.014,-0.021,-0.009
2018-03-27,224.8001,-0.096,-0.09,-0.083
2018-03-28,220.6434,-0.109,-0.11,-0.085
2018-03-29,230.8507,-0.042,-0.071,-0.003
2018-04-02,220.3444,-0.051,-0.117,-0.065
2018-04-03,224.6307,-0.078,-0.065,-0.044
2018-04-04,225.5178,0.003,-0.094,-0.066
2018-04-05,220.6733,0.0,-0.109,-0.085
2018-04-06,213.5661,-0.075,-0.114,-0.112
2018-04-09,214.7224,-0.026,-0.075,-0.122
2018-04-10,227.1825,0.011,-0.068,-0.087
2018-04-11,225.5178,0.0,0.003,-0.087
2018-04-12,233.8511,0.06,0.06,-0.057
2018-04-13,230.761,0.081,-0.0,-0.072
2018-04-16,230.7511,0.075,0.047,-0.076
2018-04-17,236.7818,0.042,0.054,-0.014
2018-04-18,235.6155,0.045,0.045,-0.053
2018-04-19,228.3089,-0.024,0.035,-0.079
2018-04-20,227.9799,-0.012,0.067,-0.054
2018-04-23,223.1654,-0.033,0.039,-0.039
2018-04-24,220.4939,-0.069,-0.029,-0.095
2018-04-25,215.9684,-0.083,-0.042,-0.039
2018-04-26,224.5011,-0.017,-0.04,0.017
2018-04-27,225.6075,-0.01,-0.022,-0.023
2018-04-30,224.1821,0.005,-0.028,0.017
2018-05-01,226.415,0.027,-0.044,0.008
2018-05-02,225.5876,0.045,-0.043,0.0
2018-05-03,232.2463,0.034,0.017,0.052
2018-05-04,238.2969,0.056,0.045,0.116
2018-05-07,247.8862,0.106,0.111,0.154
2018-05-08,249.6007,0.102,0.132,0.099
2018-05-09,254.9635,0.13,0.181,0.131
2018-05-10,259.2996,0.116,0.155,0.109
2018-05-11,253.7175,0.065,0.125,0.099
2018-05-14,254.5449,0.027,0.135,0.103
2018-05-15,244.7762,-0.019,0.081,0.034
2018-05-16,245.2247,-0.038,0.087,0.041
2018-05-17,246.9193,-0.048,0.063,0.082
2018-05-18,245.1549,-0.034,0.029,0.075
2018-05-21,243.4604,-0.044,-0.018,0.091
2018-05-22,241.9253,-0.012,-0.031,0.097
2018-05-23,246.8994,0.007,-0.032,0.143
2018-05-24,247.049,0.001,-0.047,0.1
2018-05-25,248.6349,0.014,-0.02,0.102
2018-05-29,247.9466,0.018,-0.026,0.106
2018-05-30,252.3352,0.043,0.031,0.114
2018-05-31,251.5373,0.019,0.026,0.115
2018-06-01,256.9533,0.04,0.041,0.106
2018-06-04,264.1646,0.062,0.078,0.109
2018-06-05,264.384,0.066,0.086,0.067
2018-06-06,264.4638,0.048,0.093,0.06
2018-06-07,262.2196,0.042,0.062,0.028
2018-06-08,261.6012,0.018,0.059,0.009
2018-06-11,259.9455,-0.016,0.045,0.025
2018-06-12,261.9004,-0.009,0.056,0.029
2018-06-13,261.7209,-0.01,0.037,0.069
2018-06-14,266.2192,0.015,0.058,0.086
2018-06-15,264.5735,0.011,0.03,0.071
2018-06-18,264.4039,0.017,0.001,0.079
2018-06-19,259.4967,-0.009,-0.018,0.066
2018-06-20,261.6311,-0.0,-0.011,0.081
2018-06-21,256.4446,-0.037,-0.022,0.039
2018-06-22,250.3005,-0.054,-0.043,0.013
2018-06-25,238.5011,-0.098,-0.082,-0.041
2018-06-26,241.3637,-0.07,-0.078,-0.027
2018-06-27,235.1099,-0.101,-0.102,-0.068
2018-06-28,240.2366,-0.063,-0.098,-0.045
2018-06-29,236.2869,-0.056,-0.107,-0.08
2018-07-02,241.6131,0.013,-0.086,-0.085
2018-07-03,236.227,-0.021,-0.09,-0.107
2018-07-05,242.1018,0.03,-0.075,-0.085
2018-07-06,246.6899,0.027,-0.038,-0.059
2018-07-09,248.6049,0.052,-0.007,-0.05
2018-07-10,252.5946,0.045,0.059,-0.028
2018-07-11,246.8894,0.045,0.023,-0.057
2018-07-12,250.5798,0.035,0.066,-0.043
2018-07-13,248.6747,0.008,0.035,-0.066
2018-07-16,247.5576,-0.004,0.048,-0.064
2018-07-17,253.0334,0.002,0.047,-0.043
2018-07-18,251.0486,0.017,0.063,-0.033
2018-07-19,251.3777,0.003,0.038,-0.039
2018-07-20,250.2407,0.006,0.014,-0.024
2018-07-23,248.7645,0.005,0.001,-0.006
2018-07-24,248.0663,-0.02,-0.018,0.04
2018-07-25,251.2181,0.001,0.018,0.041
2018-07-26,254.1805,0.011,0.014,0.081
2018-07-27,251.3678,0.005,0.011,0.046
2018-07-30,243.4982,-0.021,-0.016,0.031
2018-07-31,244.2263,-0.015,-0.035,0.011
2018-08-01,245.8321,-0.021,-0.021,0.041
2018-08-02,249.9714,-0.017,-0.006,0.033
2018-08-03,251.4476,0.0,0.005,0.019
2018-08-06,253.3726,0.041,0.019,0.019
2018-08-07,256.285,0.049,0.033,0.015
2018-08-08,257.7512,0.048,0.026,0.044
2018-08-09,255.7963,0.023,0.006,0.021
2018-08-10,254.1306,0.011,0.011,0.022
2018-08-13,255.4571,0.008,0.049,0.032
2018-08-14,260.7534,0.017,0.068,0.031
2018-08-15,258.4095,0.003,0.051,0.029
2018-08-16,256.7737,0.004,0.027,0.021
2018-08-17,244.1864,-0.039,-0.029,-0.024
2018-08-20,247.1986,-0.032,-0.024,-0.006
2018-08-21,252.6644,-0.031,-0.014,0.019
2018-08-22,262.1398,0.014,0.017,0.043
