,close,5days,10days,20days
2017-12-29,25.61,0.0,0.0,0.0
2018-01-02,26.46,0.0,0.0,0.0
2018-01-03,26.49,0.0,0.0,0.0
2018-01-04,26.57,0.0,0.0,0.0
2018-01-05,26.54,0.0,0.0,0.0
2018-01-08,26.39,0.03,0.0,0.0
2018-01-09,26.42,-0.002,0.0,0.0
2018-01-10,26.51,0.001,0.0,0.0
2018-01-11,26.57,0.0,0.0,0.0
2018-01-12,27.0,0.017,0.0,0.0
2018-01-16,26.35,-0.002,0.029,0.0
2018-01-17,26.78,0.014,0.012,0.0
2018-01-18,27.0,0.018,0.019,0.0
2018-01-19,29.18,0.098,0.098,0.0
2018-01-22,29.8,0.104,0.123,0.0
2018-01-23,30.38,0.153,0.151,0.0
2018-01-24,30.79,0.15,0.165,0.0
2018-01-25,30.52,0.13,0.151,0.0
2018-01-26,30.98,0.062,0.166,0.0
2018-01-29,30.41,0.02,0.126,0.0
2018-01-30,29.8,-0.019,0.131,0.164
2018-01-31,29.45,-0.044,0.1,0.113
2018-02-01,29.86,-0.022,0.106,0.127
2018-02-02,29.3,-0.054,0.004,0.103
2018-02-05,28.53,-0.062,-0.043,0.075
2018-02-06,28.84,-0.032,-0.051,0.093
2018-02-07,29.4,-0.002,-0.045,0.113
2018-02-08,28.56,-0.044,-0.064,0.077
2018-02-09,28.87,-0.015,-0.068,0.087
2018-02-12,30.63,0.074,0.007,0.134
2018-02-13,31.57,0.095,0.059,0.198
2018-02-14,33.92,0.154,0.152,0.267
2018-02-15,33.36,0.168,0.117,0.236
2018-02-16,34.75,0.204,0.186,0.191
2018-02-20,35.84,0.17,0.256,0.203
2018-02-21,35.33,0.119,0.225,0.163
2018-02-22,35.82,0.056,0.218,0.163
2018-02-23,36.49,0.094,0.278,0.196
2018-02-26,37.7,0.085,0.306,0.217
2018-02-27,37.74,0.053,0.232,0.241
2018-02-28,38.59,0.092,0.222,0.295
2018-03-01,36.4,0.016,0.073,0.236
2018-03-02,37.48,0.027,0.124,0.255
2018-03-05,38.84,0.03,0.118,0.326
2018-03-06,38.22,0.013,0.066,0.34
2018-03-07,39.14,0.014,0.108,0.357
2018-03-08,42.6,0.17,0.189,0.449
2018-03-09,39.71,0.059,0.088,0.39
2018-03-12,39.69,0.022,0.053,0.375
2018-03-13,40.5,0.06,0.073,0.322
2018-03-14,39.7,0.014,0.029,0.258
2018-03-15,38.74,-0.091,0.064,0.142
2018-03-16,38.57,-0.029,0.029,0.156
2018-03-19,37.99,-0.043,-0.022,0.093
2018-03-20,38.99,-0.037,0.02,0.088
2018-03-21,39.51,-0.005,0.009,0.118
2018-03-22,39.21,0.012,-0.08,0.095
2018-03-23,38.38,-0.005,-0.033,0.052
2018-03-26,39.8,0.048,0.003,0.056
2018-03-27,38.46,-0.014,-0.05,0.019
2018-03-28,38.27,-0.031,-0.036,-0.008
2018-03-29,39.85,0.016,0.029,0.095
2018-04-02,39.02,0.017,0.012,0.041
2018-04-03,38.99,-0.02,0.026,0.004
2018-04-04,39.56,0.029,0.015,0.035
2018-04-05,38.98,0.019,-0.013,-0.004
2018-04-06,38.64,-0.03,-0.015,-0.093
2018-04-09,38.66,-0.009,0.007,-0.026
2018-04-10,39.22,0.006,-0.015,-0.012
2018-04-11,40.35,0.02,0.049,-0.004
2018-04-12,40.75,0.045,0.065,0.026
2018-04-13,40.59,0.05,0.019,0.048
2018-04-16,40.6,0.05,0.04,0.053
2018-04-17,41.56,0.06,0.066,0.094
2018-04-18,41.54,0.029,0.05,0.065
2018-04-19,41.08,0.008,0.054,0.04
2018-04-20,41.97,0.034,0.086,0.07
2018-04-23,43.32,0.067,0.121,0.129
2018-04-24,41.96,0.01,0.07,0.054
2018-04-25,42.0,0.011,0.041,0.092
2018-04-26,42.78,0.041,0.05,0.118
2018-04-27,41.74,-0.005,0.028,0.047
2018-04-30,42.81,-0.012,0.054,0.097
2018-05-01,43.44,0.035,0.045,0.114
2018-05-02,44.58,0.061,0.073,0.127
2018-05-03,45.54,0.065,0.109,0.168
2018-05-04,45.76,0.096,0.09,0.184
2018-05-07,47.05,0.099,0.086,0.217
2018-05-08,47.75,0.099,0.138,0.217
2018-05-09,49.28,0.105,0.173,0.221
2018-05-10,50.4,0.107,0.178,0.237
2018-05-11,50.5,0.104,0.21,0.244
2018-05-14,48.15,0.023,0.125,0.186
2018-05-15,48.52,0.016,0.117,0.167
2018-05-16,48.99,-0.006,0.099,0.179
2018-05-17,49.23,-0.023,0.081,0.198
2018-05-18,49.72,-0.015,0.087,0.185
2018-05-21,50.54,0.05,0.074,0.167
2018-05-22,48.51,-0.0,0.016,0.156
2018-05-23,49.52,0.011,0.005,0.179
2018-05-24,50.68,0.029,0.006,0.185
2018-05-25,51.88,0.043,0.027,0.243
2018-05-29,53.66,0.062,0.114,0.253
2018-05-30,55.36,0.141,0.141,0.274
2018-05-31,56.21,0.135,0.147,0.261
2018-06-01,57.35,0.132,0.165,0.259
2018-06-04,57.36,0.106,0.154,0.253
2018-06-05,54.58,0.017,0.08,0.16
2018-06-06,54.14,-0.022,0.116,0.134
2018-06-07,50.88,-0.095,0.027,0.032
2018-06-08,51.28,-0.106,0.012,0.017
2018-06-11,51.61,-0.1,-0.005,0.022
2018-06-12,52.94,-0.03,-0.013,0.099
2018-06-13,52.59,-0.029,-0.05,0.084
2018-06-14,52.81,0.038,-0.06,0.078
2018-06-15,54.48,0.062,-0.05,0.107
2018-06-18,55.0,0.066,-0.041,0.106
2018-06-19,52.93,-0.0,-0.03,0.047
2018-06-20,53.69,0.021,-0.008,0.107
2018-06-21,53.22,0.008,0.046,0.075
2018-06-22,51.89,-0.048,0.012,0.024
2018-06-25,49.02,-0.109,-0.05,-0.055
2018-06-26,49.57,-0.063,-0.064,-0.076
2018-06-27,48.31,-0.1,-0.081,-0.127
2018-06-28,50.38,-0.053,-0.046,-0.104
2018-06-29,50.37,-0.029,-0.075,-0.122
2018-07-02,51.42,0.049,-0.065,-0.104
2018-07-03,50.82,0.025,-0.04,-0.069
2018-07-05,51.59,0.068,-0.039,-0.047
2018-07-06,52.57,0.043,-0.012,0.033
2018-07-09,51.86,0.03,-0.001,0.011
2018-07-10,50.93,-0.01,0.039,-0.013
2018-07-11,51.16,0.007,0.032,-0.034
2018-07-12,54.66,0.06,0.131,0.039
2018-07-13,54.15,0.03,0.075,0.025
2018-07-16,54.07,0.043,0.073,-0.008
2018-07-17,55.83,0.096,0.086,0.015
2018-07-18,56.35,0.101,0.109,0.065
