date,open,high,low,close,adjusted close,volume
1998-01-02 00:00:00,4.688,4.813,4.625,4.75,4.7317,2800
1998-01-05 00:00:00,4.875,4.875,4.875,4.875,4.8562,4300
1998-01-06 00:00:00,4.875,5.0,4.813,5.0,4.9807,4500
1998-01-07 00:00:00,5.0,5.063,4.813,5.0,4.9807,6200
1998-01-08 00:00:00,4.938,5.375,4.938,5.375,5.3543,54900
1998-01-09 00:00:00,5.375,5.5,5.313,5.313,5.2925,32800
1998-01-12 00:00:00,5.125,5.25,5.125,5.125,5.1053,4800
1998-01-13 00:00:00,5.25,5.313,5.125,5.125,5.1053,6400
1998-01-14 00:00:00,5.375,5.375,5.125,5.125,5.1053,16300
1998-01-15 00:00:00,5.125,5.125,4.875,4.875,4.8562,24500
1998-01-16 00:00:00,5.094,5.094,5.0,5.0,4.9807,4400
1998-01-20 00:00:00,5.094,5.125,4.875,5.0,4.9807,6700
1998-01-21 00:00:00,5.125,5.125,5.0,5.0,4.9807,4400
1998-01-22 00:00:00,4.875,5.0,4.75,4.875,4.8562,9800
1998-01-23 00:00:00,4.875,5.0,4.75,4.938,4.919,12700
1998-01-26 00:00:00,4.938,4.938,4.813,4.813,4.7945,2500
1998-01-27 00:00:00,4.938,5.0,4.75,5.0,4.9807,16500
1998-01-28 00:00:00,5.0,5.0,4.875,4.875,4.8562,14000
1998-01-29 00:00:00,4.813,4.938,4.75,4.75,4.7317,21700
1998-01-30 00:00:00,4.875,5.0,4.875,5.0,4.9807,7000
1998-02-02 00:00:00,5.0,5.0,4.813,4.813,4.7945,12000
1998-02-03 00:00:00,4.75,4.813,4.688,4.75,4.7317,14800
1998-02-04 00:00:00,4.688,5.0,4.688,5.0,4.9807,16900
1998-02-05 00:00:00,5.0,5.063,4.75,4.75,4.7317,18600
1998-02-06 00:00:00,4.75,5.0,4.75,4.875,4.8562,24800
1998-02-09 00:00:00,4.938,5.125,4.938,5.125,5.1053,10800
1998-02-10 00:00:00,5.125,5.125,5.063,5.063,5.0435,7400
1998-02-11 00:00:00,5.0,5.063,4.938,4.938,4.919,10400
1998-02-12 00:00:00,5.0,5.0,5.0,5.0,4.9807,700
1998-02-13 00:00:00,5.125,5.188,4.938,5.188,5.168,21100
1998-02-17 00:00:00,5.188,5.188,5.063,5.063,5.0435,6100
1998-02-18 00:00:00,5.063,5.25,5.0,5.25,5.2298,4000
1998-02-19 00:00:00,5.25,5.25,5.063,5.063,5.0435,9400
1998-02-20 00:00:00,5.063,5.125,5.063,5.125,5.1053,7100
1998-02-23 00:00:00,5.25,5.25,5.063,5.063,5.0435,16700
1998-02-24 00:00:00,5.063,5.063,5.0,5.0,4.9807,5000
1998-02-25 00:00:00,5.0,5.0,4.875,4.875,4.8562,9600
1998-02-26 00:00:00,4.875,4.938,4.75,4.75,4.7317,19400
1998-02-27 00:00:00,4.875,4.938,4.75,4.75,4.7317,17500
1998-03-02 00:00:00,4.75,4.75,4.625,4.625,4.6072,10300
1998-03-03 00:00:00,4.531,4.625,4.531,4.625,4.6072,8600
1998-03-04 00:00:00,4.531,5.188,4.531,4.875,4.8562,48200
1998-03-05 00:00:00,4.938,5.0,4.75,5.0,4.9807,22100
1998-03-06 00:00:00,4.875,4.938,4.875,4.938,4.919,2600
1998-03-09 00:00:00,5.0,5.188,4.875,5.0,4.9807,35400
1998-03-10 00:00:00,5.188,5.313,5.188,5.313,5.2925,16100
1998-03-11 00:00:00,5.313,6.375,5.313,6.0,5.9769,68800
1998-03-12 00:00:00,6.25,6.375,6.125,6.375,6.3504,25700
1998-03-13 00:00:00,6.375,6.375,6.125,6.25,6.2259,38600
1998-03-16 00:00:00,6.25,6.25,6.0,6.0,5.9769,25800
1998-03-17 00:00:00,5.969,5.969,5.875,5.969,5.946,13500
1998-03-18 00:00:00,5.875,5.969,5.688,5.688,5.6661,25600
1998-03-19 00:00:00,5.719,6.0,5.625,5.938,5.9151,37800
1998-03-20 00:00:00,5.938,5.969,5.813,5.969,5.946,10300
1998-03-23 00:00:00,5.75,5.813,5.563,5.813,5.7906,26800
1998-03-24 00:00:00,5.813,5.813,5.625,5.813,5.7906,9500
1998-03-25 00:00:00,5.75,5.781,5.5,5.75,5.7278,16400
1998-03-26 00:00:00,5.625,5.938,5.625,5.938,5.9151,20400
1998-03-27 00:00:00,6.031,6.688,6.0,6.188,6.1642,53300
1998-03-30 00:00:00,6.375,6.375,6.125,6.125,6.1014,12600
1998-03-31 00:00:00,6.219,6.313,6.125,6.219,6.195,32500
1998-04-01 00:00:00,6.219,6.25,6.125,6.156,6.1323,38300
1998-04-02 00:00:00,6.25,6.453,6.188,6.375,6.3504,22000
1998-04-03 00:00:00,6.438,6.563,6.25,6.25,6.2259,31400
1998-04-06 00:00:00,6.5,6.5,6.188,6.313,6.2887,48400
1998-04-07 00:00:00,6.125,6.313,5.938,6.125,6.1014,26200
1998-04-08 00:00:00,6.125,6.25,6.0,6.219,6.195,27500
1998-04-09 00:00:00,6.219,6.344,6.125,6.25,6.2259,23000
1998-04-13 00:00:00,6.344,6.406,6.125,6.125,6.1014,21300
1998-04-14 00:00:00,6.125,6.125,6.063,6.063,6.0396,4800
1998-04-15 00:00:00,6.125,6.125,6.0,6.0,5.9769,9000
1998-04-16 00:00:00,6.0,6.25,5.938,6.25,6.2259,15200
1998-04-17 00:00:00,6.188,6.375,6.0,6.0,5.9769,13200
1998-04-20 00:00:00,6.063,6.063,5.875,5.875,5.8524,15300
1998-04-21 00:00:00,6.125,6.25,5.875,6.125,6.1014,4300
1998-04-22 00:00:00,5.969,5.969,5.875,5.969,5.946,2500
1998-04-23 00:00:00,5.875,5.969,5.875,5.875,5.8524,5900
1998-04-24 00:00:00,5.875,5.969,5.875,5.969,5.946,4200
1998-04-27 00:00:00,5.969,6.063,5.875,6.0,5.9769,24900
1998-04-28 00:00:00,6.094,6.188,6.063,6.125,6.1014,10200
1998-04-29 00:00:00,6.188,6.438,6.0,6.375,6.3504,23100
1998-04-30 00:00:00,6.25,6.5,6.25,6.25,6.2259,21000
1998-05-01 00:00:00,6.375,6.5,6.313,6.313,6.2887,19700
1998-05-04 00:00:00,6.281,6.469,6.266,6.375,6.3504,22600
1998-05-05 00:00:00,6.375,6.531,6.313,6.313,6.2887,22000
1998-05-06 00:00:00,6.469,6.469,6.313,6.313,6.2887,8500
