,close,5days,10days,20days
2017-12-29,172.1587,0.0,0.0,0.0
2018-01-02,173.2556,0.0,0.0,0.0
2018-01-03,179.8867,0.0,0.0,0.0
2018-01-04,175.9978,0.0,0.0,0.0
2018-01-05,178.7898,0.0,0.0,0.0
2018-01-08,194.2956,0.129,0.0,0.0
2018-01-09,194.2956,0.121,0.0,0.0
2018-01-10,192.05200000000002,0.068,0.0,0.0
2018-01-11,197.2372,0.121,0.0,0.0
2018-01-12,196.0406,0.096,0.0,0.0
2018-01-16,197.8355,0.018,0.149,0.0
2018-01-17,202.8711,0.044,0.171,0.0
2018-01-18,205.015,0.067,0.14,0.0
2018-01-19,203.0705,0.03,0.154,0.0
2018-01-22,198.4338,0.012,0.11,0.0
2018-01-23,188.8112,-0.046,-0.028,0.0
2018-01-24,177.9921,-0.123,-0.084,0.0
2018-01-25,167.7713,-0.182,-0.126,0.0
2018-01-26,169.965,-0.163,-0.138,0.0
2018-01-29,162.3368,-0.182,-0.172,0.0
2018-01-30,163.7328,-0.133,-0.172,-0.049
2018-01-31,158.9465,-0.107,-0.217,-0.083
2018-02-01,154.559,-0.079,-0.246,-0.141
2018-02-02,155.4066,-0.086,-0.235,-0.117
2018-02-05,146.2327,-0.099,-0.263,-0.182
2018-02-06,155.0077,-0.053,-0.179,-0.202
2018-02-07,149.6231,-0.059,-0.159,-0.23
2018-02-08,139.4022,-0.098,-0.169,-0.274
2018-02-09,142.9421,-0.08,-0.159,-0.275
2018-02-12,147.529,0.009,-0.091,-0.247
2018-02-13,145.6843,-0.06,-0.11,-0.264
2018-02-14,158.6972,0.061,-0.002,-0.218
2018-02-15,161.5391,0.159,0.045,-0.212
2018-02-16,154.5091,0.081,-0.006,-0.239
2018-02-20,160.6416,0.089,0.099,-0.19
2018-02-21,155.1573,0.065,0.001,-0.178
2018-02-22,154.4593,-0.027,0.032,-0.132
2018-02-23,130.029,-0.195,-0.067,-0.225
2018-02-26,131.2006,-0.151,-0.082,-0.228
2018-02-27,129.68,-0.193,-0.121,-0.201
2018-02-28,129.4307,-0.166,-0.112,-0.21
2018-03-01,125.1928,-0.189,-0.211,-0.212
2018-03-02,123.1985,-0.053,-0.237,-0.203
2018-03-05,120.1073,-0.085,-0.223,-0.227
2018-03-06,121.8024,-0.061,-0.242,-0.167
2018-03-07,124.2455,-0.04,-0.199,-0.198
2018-03-08,124.4948,-0.006,-0.194,-0.168
2018-03-09,131.6743,0.069,0.013,-0.055
2018-03-12,128.0347,0.066,-0.024,-0.104
