,close,5days,10days,20days
2018-10-12,24.3,0.0,0.0,0.0
2018-10-15,24.3,0.0,0.0,0.0
2018-10-16,23.02,0.0,0.0,0.0
2018-10-17,25.43,0.0,0.0,0.0
2018-10-18,24.5,0.0,0.0,0.0
2018-10-19,24.48,0.007,0.0,0.0
2018-10-22,24.51,0.009,0.0,0.0
2018-10-23,23.9,0.038,0.0,0.0
2018-10-24,22.55,-0.113,0.0,0.0
2018-10-25,23.87,-0.026,0.0,0.0
2018-10-26,24.61,0.005,0.013,0.0
2018-10-29,22.64,-0.076,-0.068,0.0
2018-10-30,22.61,-0.054,-0.018,0.0
2018-10-31,23.0,0.02,-0.096,0.0
2018-11-01,24.05,0.008,-0.018,0.0
2018-11-02,24.74,0.005,0.011,0.0
2018-11-05,23.92,0.057,-0.024,0.0
2018-11-06,23.7,0.048,-0.008,0.0
2018-11-07,26.61,0.157,0.18,0.0
2018-11-08,25.75,0.071,0.079,0.0
2018-11-09,24.22,-0.021,-0.016,-0.003
2018-11-12,22.72,-0.05,0.004,-0.065
2018-11-13,22.69,-0.043,0.004,-0.014
2018-11-14,22.93,-0.138,-0.003,-0.098
2018-11-15,23.04,-0.105,-0.042,-0.06
2018-11-16,24.13,-0.004,-0.025,-0.014
2018-11-19,22.97,0.011,-0.04,-0.063
2018-11-20,21.0,-0.074,-0.114,-0.121
2018-11-21,20.95,-0.086,-0.213,-0.071
2018-11-23,21.46,-0.069,-0.167,-0.101
2018-11-26,22.4,-0.072,-0.075,-0.09
2018-11-27,22.5,-0.02,-0.01,-0.006
2018-11-28,25.0,0.19,0.102,0.106
2018-11-29,26.14,0.248,0.14,0.137
2018-11-30,28.0,0.305,0.215,0.164
2018-12-03,27.96,0.248,0.159,0.13
2018-12-04,27.66,0.229,0.204,0.156
2018-12-06,28.83,0.153,0.373,0.216
2018-12-07,27.53,0.053,0.314,0.035
2018-12-10,27.3,-0.025,0.272,0.06
2018-12-11,25.5,-0.088,0.138,0.053
2018-12-12,25.67,-0.072,0.141,0.13
2018-12-13,26.75,-0.072,0.07,0.179
2018-12-14,27.9,0.013,0.067,0.217
2018-12-17,25.14,-0.079,-0.102,0.091
2018-12-18,25.77,0.011,-0.078,0.068
2018-12-19,24.88,-0.031,-0.101,0.083
2018-12-20,25.1,-0.062,-0.129,0.195
2018-12-21,24.63,-0.117,-0.105,0.176
2018-12-24,24.41,-0.029,-0.106,0.137
2018-12-26,26.23,0.018,0.029,0.171
2018-12-27,27.04,0.087,0.053,0.202
2018-12-28,27.17,0.082,0.016,0.087
2018-12-31,26.54,0.078,-0.049,0.015
2019-01-02,25.91,0.061,0.031,-0.075
2019-01-03,24.0,-0.085,-0.069,-0.142
2019-01-04,24.1,-0.109,-0.031,-0.129
2019-01-07,26.0,-0.043,0.036,-0.098
2019-01-08,27.2,0.025,0.104,-0.012
2019-01-09,27.8,0.073,0.139,0.018
2019-01-10,27.9,0.162,0.064,0.094
2019-01-11,28.55,0.185,0.056,0.112
2019-01-14,26.36,0.014,-0.03,-0.015
2019-01-15,28.92,0.063,0.09,0.037
2019-01-16,28.73,0.033,0.109,0.143
2019-01-17,28.7,0.029,0.196,0.114
2019-01-18,29.8,0.044,0.237,0.198
2019-01-22,29.15,0.106,0.121,0.161
2019-01-23,30.0,0.037,0.103,0.218
2019-01-24,29.98,0.044,0.078,0.228
2019-01-25,31.8,0.108,0.14,0.212
2019-01-28,30.75,0.032,0.077,0.137
2019-01-29,29.68,0.018,0.126,0.092
2019-01-30,30.2,0.007,0.044,0.138
2019-01-31,31.39,0.047,0.093,0.212
2019-02-01,30.99,-0.025,0.08,0.291
2019-02-04,30.97,0.007,0.039,0.285
2019-02-05,32.04,0.08,0.099,0.232
2019-02-06,31.5,0.043,0.05,0.158
2019-02-07,31.37,-0.001,0.046,0.128
2019-02-08,31.76,0.025,-0.001,0.138
