date,open,high,low,close,adjusted close,volume
2001-06-27 00:00:00,15.0,15.09,15.0,15.01,4.6528,260200
2001-06-28 00:00:00,15.0,15.3,15.0,15.0,4.6497,61000
2001-06-29 00:00:00,15.01,15.5,15.01,15.1,4.6807,40400
2001-07-02 00:00:00,15.13,15.13,15.0,15.01,4.6528,54900
2001-07-03 00:00:00,15.06,15.06,15.01,15.06,4.6683,26800
2001-07-05 00:00:00,15.01,15.05,15.0,15.05,4.6652,40000
2001-07-06 00:00:00,15.06,15.06,15.0,15.0,4.6497,28600
2001-07-09 00:00:00,15.0,15.05,15.0,15.05,4.6652,61200
2001-07-10 00:00:00,15.04,15.04,15.0,15.0,4.6497,47000
2001-07-11 00:00:00,15.04,15.2,15.01,15.04,4.6621,72100
2001-07-12 00:00:00,15.05,15.09,15.04,15.04,4.6621,14900
2001-07-13 00:00:00,15.07,15.1,15.03,15.04,4.6621,15200
2001-07-16 00:00:00,15.02,15.06,15.01,15.05,4.6652,32400
2001-07-17 00:00:00,15.06,15.06,15.02,15.05,4.6652,45500
2001-07-18 00:00:00,15.02,15.02,15.0,15.01,4.6528,30200
2001-07-19 00:00:00,15.0,15.01,15.0,15.01,4.6528,21000
2001-07-20 00:00:00,15.01,15.02,15.0,15.01,4.6528,18500
2001-07-23 00:00:00,15.02,15.02,15.0,15.02,4.6559,7300
2001-07-24 00:00:00,15.01,15.02,15.0,15.02,4.6559,38100
2001-07-25 00:00:00,15.0,15.04,15.0,15.04,4.6621,29100
2001-07-26 00:00:00,15.05,15.12,15.05,15.07,4.6714,75100
2001-07-27 00:00:00,15.05,15.08,15.03,15.05,4.6652,16500
2001-07-30 00:00:00,15.08,15.09,15.02,15.04,4.6621,13500
2001-07-31 00:00:00,15.07,15.07,15.02,15.07,4.6714,9800
2001-08-01 00:00:00,15.07,15.1,15.03,15.1,4.6807,21000
2001-08-02 00:00:00,15.11,15.15,15.08,15.14,4.6931,23900
2001-08-03 00:00:00,15.15,15.15,15.08,15.15,4.6962,17800
2001-08-06 00:00:00,15.11,15.11,15.08,15.08,4.6745,16100
2001-08-07 00:00:00,15.07,15.09,15.05,15.06,4.6683,40000
2001-08-08 00:00:00,15.05,15.1,15.05,15.1,4.6807,20400
2001-08-09 00:00:00,15.07,15.17,15.06,15.17,4.7024,31400
2001-08-10 00:00:00,15.15,15.2,15.1,15.16,4.6993,33300
2001-08-13 00:00:00,15.15,15.4,15.1,15.35,4.7582,164200
2001-08-14 00:00:00,15.35,15.4,15.3,15.3,4.7427,126200
2001-08-15 00:00:00,15.3,15.42,15.3,15.42,4.7799,34800
2001-08-16 00:00:00,15.42,16.05,15.35,15.95,4.9442,307600
2001-08-17 00:00:00,15.8,15.8,15.47,15.58,4.8295,91000
2001-08-20 00:00:00,15.58,15.58,15.58,15.58,4.8295,87200
2001-08-21 00:00:00,15.45,15.45,15.2,15.3,4.7427,36900
2001-08-22 00:00:00,15.25,15.37,15.21,15.27,4.7572,33200
