date,open,high,low,close,adjusted close,volume
2000-05-19 00:00:00,11.25,12.31,10.5,10.89,32.67,6687900
2000-05-22 00:00:00,11.06,13.25,10.38,12.19,36.57,1612200
2000-05-23 00:00:00,12.44,14.75,12.31,12.5,37.5,1589700
2000-05-24 00:00:00,13.25,13.5,11.56,12.25,36.75,886800
2000-05-25 00:00:00,12.63,12.88,11.88,12.13,36.39,510600
2000-05-26 00:00:00,12.0,12.03,10.88,11.06,33.18,471600
2000-05-30 00:00:00,11.38,12.19,11.25,11.88,35.64,392400
2000-05-31 00:00:00,12.13,12.5,11.63,12.0,36.0,488100
2000-06-01 00:00:00,12.06,13.94,12.06,13.13,39.39,528900
2000-06-02 00:00:00,14.0,16.5,13.5,16.25,48.75,1055100
2000-06-05 00:00:00,16.44,19.81,15.81,19.13,57.39,1374600
2000-06-06 00:00:00,19.5,21.5,17.13,20.0,60.0,1150200
2000-06-07 00:00:00,20.16,20.19,18.13,18.72,56.16,526800
2000-06-08 00:00:00,19.13,19.13,17.75,18.19,54.57,392100
2000-06-09 00:00:00,18.72,23.06,18.25,23.06,69.18,723000
2000-06-12 00:00:00,24.75,25.94,21.5,22.75,68.25,1083900
2000-06-13 00:00:00,22.78,23.31,20.0,22.44,67.32,601800
2000-06-14 00:00:00,23.25,23.31,20.75,21.44,64.32,582900
2000-06-15 00:00:00,21.84,22.25,20.25,21.5,64.5,270300
2000-06-16 00:00:00,21.81,22.0,20.25,20.5,61.5,158400
2000-06-19 00:00:00,20.13,20.13,17.88,19.38,58.14,414300
2000-06-20 00:00:00,19.28,19.5,18.13,18.88,56.64,262800
2000-06-21 00:00:00,19.0,19.38,18.25,18.75,56.25,178500
2000-06-22 00:00:00,19.38,21.5,18.81,19.75,59.25,464100
2000-06-23 00:00:00,19.81,20.88,19.63,20.38,61.14,278400
2000-06-26 00:00:00,20.13,20.88,19.88,20.56,61.68,274200
2000-06-27 00:00:00,20.63,20.63,19.63,20.0,60.0,153900
2000-06-28 00:00:00,19.91,20.5,19.69,20.0,60.0,141300
2000-06-29 00:00:00,19.63,21.0,19.56,20.5,61.5,190200
2000-06-30 00:00:00,20.69,24.44,20.69,22.75,68.25,555600
2000-07-03 00:00:00,22.0,24.94,22.0,24.13,72.39,120000
2000-07-05 00:00:00,24.31,24.75,21.63,23.25,69.75,343800
2000-07-06 00:00:00,24.06,24.75,22.38,22.56,67.68,309900
2000-07-07 00:00:00,23.44,27.63,22.63,27.0,81.0,430800
2000-07-10 00:00:00,27.5,31.0,25.25,30.75,92.25,525000
2000-07-11 00:00:00,31.31,34.0,30.0,31.69,95.07,711000
2000-07-12 00:00:00,32.38,34.69,32.31,34.0,102.0,332400
2000-07-13 00:00:00,34.31,34.31,31.25,32.63,97.89,224400
2000-07-14 00:00:00,32.25,32.5,29.25,31.94,95.82,200400
2000-07-17 00:00:00,32.63,32.94,30.13,32.5,97.5,139800
2000-07-18 00:00:00,33.0,33.25,30.75,31.94,95.82,144000
2000-07-19 00:00:00,33.31,33.5,31.0,31.5,94.5,138900
2000-07-20 00:00:00,31.44,31.5,29.5,30.5,91.5,140700
2000-07-21 00:00:00,30.0,37.88,29.75,36.5,109.5,598500
2000-07-24 00:00:00,37.94,42.31,36.94,40.13,120.39,671100
2000-07-25 00:00:00,39.38,45.38,36.75,43.5,130.5,465600
2000-07-26 00:00:00,44.44,44.81,42.0,43.63,130.89,331800
2000-07-27 00:00:00,42.88,43.0,39.0,40.63,121.89,397800
2000-07-28 00:00:00,39.5,40.63,35.88,40.56,121.68,1168200
2000-07-31 00:00:00,41.88,41.88,37.63,38.31,114.93,518700
2000-08-01 00:00:00,38.5,38.56,32.0,32.88,98.64,275700
2000-08-02 00:00:00,31.5,36.88,30.06,36.75,110.25,593100
2000-08-03 00:00:00,36.0,36.0,30.5,33.75,101.25,116400
2000-08-04 00:00:00,35.63,36.0,33.5,34.25,102.75,93600
2000-08-07 00:00:00,33.84,36.0,33.5,35.5,106.5,213600
2000-08-08 00:00:00,34.53,35.13,32.75,34.0,102.0,79800
2000-08-09 00:00:00,34.44,34.5,31.13,33.06,99.18,127500
2000-08-10 00:00:00,33.06,33.09,31.0,31.38,94.14,52500
2000-08-11 00:00:00,31.0,31.0,28.0,29.13,87.39,189000
2000-08-14 00:00:00,28.25,28.5,25.5,28.19,84.57,296100
2000-08-15 00:00:00,28.38,28.44,26.13,27.13,81.39,233700
2000-08-16 00:00:00,27.03,29.88,27.0,28.81,86.43,418500
2000-08-17 00:00:00,28.53,33.75,28.5,32.44,97.32,178200
2000-08-18 00:00:00,32.88,32.88,29.75,30.0,90.0,121500
2000-08-21 00:00:00,31.25,31.38,24.38,25.13,75.39,614700
2000-08-22 00:00:00,27.06,27.75,25.56,26.56,79.68,511500
2000-08-23 00:00:00,26.53,27.0,26.0,26.5,79.5,141900
2000-08-24 00:00:00,26.69,28.06,26.5,27.19,81.57,180300
2000-08-25 00:00:00,27.75,28.44,26.88,27.0,81.0,100200
2000-08-28 00:00:00,27.0,28.13,27.0,27.75,83.25,227400
2000-08-29 00:00:00,27.88,27.88,27.06,27.48,82.44,83700
2000-08-30 00:00:00,27.44,27.5,25.56,26.31,78.93,378900
2000-08-31 00:00:00,26.5,27.13,26.13,27.13,81.39,218100
2000-09-01 00:00:00,27.06,27.88,26.86,26.88,80.64,219300
2000-09-05 00:00:00,27.06,29.63,27.0,29.0,87.0,302400
2000-09-06 00:00:00,29.0,29.5,26.56,28.0,84.0,165000
2000-09-07 00:00:00,28.63,30.31,28.06,30.31,90.93,134400
2000-09-08 00:00:00,29.69,30.25,27.25,28.63,85.89,324000
2000-09-11 00:00:00,28.69,30.5,28.38,28.88,86.64,118500
2000-09-12 00:00:00,29.81,31.44,27.88,28.19,84.57,152700
2000-09-13 00:00:00,27.88,29.25,27.5,29.25,87.75,102600
2000-09-14 00:00:00,29.75,30.0,28.0,28.13,84.39,86100
2000-09-15 00:00:00,28.38,28.75,25.75,26.63,79.89,237300
2000-09-18 00:00:00,26.22,29.5,26.13,29.5,88.5,324900
2000-09-19 00:00:00,29.31,36.88,29.0,36.88,110.64,449700
2000-09-20 00:00:00,35.06,37.25,33.0,36.13,108.39,357600
2000-09-21 00:00:00,36.0,40.0,35.25,39.5,118.5,341100
2000-09-22 00:00:00,34.38,40.0,33.25,40.0,120.0,257400
2000-09-25 00:00:00,39.56,47.5,39.25,44.25,132.75,528600
2000-09-26 00:00:00,45.13,50.88,45.0,47.81,143.43,831000
2000-09-27 00:00:00,49.19,51.75,41.0,46.63,139.89,408000
2000-09-28 00:00:00,46.5,49.81,45.0,48.5,145.5,233400
2000-09-29 00:00:00,47.5,49.0,45.94,47.69,143.07,314100
2000-10-02 00:00:00,47.97,48.19,46.13,48.0,144.0,414300
2000-10-03 00:00:00,48.38,51.5,41.88,45.44,136.32,357000
2000-10-04 00:00:00,44.02,44.38,40.06,44.0,132.0,190800
2000-10-05 00:00:00,43.47,47.38,42.63,43.06,129.18,149100
2000-10-06 00:00:00,43.42,44.0,36.75,38.38,115.14,204900
2000-10-09 00:00:00,39.5,39.5,34.75,36.69,110.07,132600
2000-10-10 00:00:00,37.98,38.0,32.0,32.0,96.0,513900
2000-10-11 00:00:00,31.5,34.5,28.88,33.81,101.43,376500
2000-10-12 00:00:00,36.0,36.0,32.94,34.38,103.14,203700
2000-10-13 00:00:00,35.44,39.0,34.25,39.0,117.0,284700
2000-10-16 00:00:00,40.06,43.75,39.0,43.0,129.0,204300
2000-10-17 00:00:00,44.64,44.75,38.88,40.38,121.14,196500
2000-10-18 00:00:00,39.0,47.38,37.0,45.63,136.89,392700
2000-10-19 00:00:00,47.75,48.75,46.94,48.25,144.75,557400
2000-10-20 00:00:00,40.06,47.0,39.88,42.81,128.43,1214400
2000-10-23 00:00:00,42.06,42.38,39.25,39.88,119.64,375600
2000-10-24 00:00:00,39.94,39.94,36.75,38.31,114.93,253500
2000-10-25 00:00:00,37.95,38.25,33.38,33.44,100.32,422700
2000-10-26 00:00:00,34.0,36.38,28.75,36.0,108.0,460500
2000-10-27 00:00:00,36.5,37.19,32.25,34.0,102.0,268200
2000-10-30 00:00:00,34.03,34.69,30.25,33.5,100.5,275400
2000-10-31 00:00:00,33.63,35.75,33.25,33.31,99.93,295200
2000-11-01 00:00:00,33.25,34.06,32.0,33.75,101.25,206700
2000-11-02 00:00:00,33.53,34.0,32.88,32.94,98.82,204600
2000-11-03 00:00:00,32.94,34.0,30.31,32.63,97.89,278100
2000-11-06 00:00:00,32.0,34.75,31.5,33.88,101.64,258000
2000-11-07 00:00:00,33.98,34.5,33.0,34.13,102.39,280200
2000-11-08 00:00:00,34.45,34.5,30.25,32.13,96.39,378000
2000-11-09 00:00:00,32.11,32.38,30.5,31.48,94.44,350100
2000-11-10 00:00:00,30.69,31.25,28.5,29.25,87.75,338100
2000-11-13 00:00:00,27.88,29.25,25.69,28.25,84.75,966300
2000-11-14 00:00:00,29.22,34.0,29.02,32.63,97.89,519300
2000-11-15 00:00:00,31.56,39.0,30.88,38.13,114.39,688800
2000-11-16 00:00:00,37.02,39.94,36.56,38.88,116.64,426600
2000-11-17 00:00:00,38.0,38.13,34.06,35.0,105.0,345300
2000-11-20 00:00:00,34.25,35.13,32.27,33.69,101.07,544500
2000-11-21 00:00:00,33.63,33.63,28.56,30.63,91.89,691500
2000-11-22 00:00:00,29.94,32.19,28.88,29.0,87.0,570600
2000-11-24 00:00:00,29.52,31.25,29.52,30.0,90.0,492900
2000-11-27 00:00:00,31.0,31.56,27.5,27.88,83.64,509400
2000-11-28 00:00:00,28.05,28.06,24.44,24.44,73.32,520500
2000-11-29 00:00:00,24.19,26.13,22.25,26.0,78.0,256200
2000-11-30 00:00:00,25.42,25.44,21.5,24.06,72.18,270000
2000-12-01 00:00:00,24.81,27.5,24.75,26.63,79.89,529500
2000-12-04 00:00:00,26.2,27.25,24.63,27.0,81.0,171000
2000-12-05 00:00:00,27.23,30.5,26.25,30.5,91.5,336000
2000-12-06 00:00:00,30.25,30.98,29.63,30.13,90.39,249300
2000-12-07 00:00:00,30.33,30.34,28.31,29.0,87.0,313500
2000-12-08 00:00:00,29.13,30.19,28.31,29.31,87.93,247500
2000-12-11 00:00:00,29.02,33.63,28.0,33.63,100.89,488700
2000-12-12 00:00:00,32.06,34.31,32.06,33.0,99.0,212100
2000-12-13 00:00:00,33.19,33.19,28.25,28.31,84.93,248100
2000-12-14 00:00:00,28.48,30.38,26.31,26.5,79.5,1063500
