,close,5days,10days,20days
2017-12-29,73.62,0.0,0.0,0.0
2018-01-02,73.84,0.0,0.0,0.0
2018-01-03,76.75,0.0,0.0,0.0
2018-01-04,76.73,0.0,0.0,0.0
2018-01-05,78.7,0.0,0.0,0.0
2018-01-08,79.05,0.074,0.0,0.0
2018-01-09,79.19,0.072,0.0,0.0
2018-01-10,79.37,0.034,0.0,0.0
2018-01-11,79.75,0.039,0.0,0.0
2018-01-12,80.54,0.023,0.0,0.0
2018-01-16,80.42,0.017,0.092,0.0
2018-01-17,82.47,0.041,0.117,0.0
2018-01-18,82.94,0.045,0.081,0.0
2018-01-19,83.84,0.051,0.093,0.0
2018-01-22,83.98,0.043,0.067,0.0
2018-01-23,84.21,0.047,0.065,0.0
2018-01-24,83.71,0.015,0.057,0.0
2018-01-25,84.34,0.017,0.063,0.0
2018-01-26,85.45,0.019,0.071,0.0
2018-01-29,84.31,0.004,0.047,0.0
2018-01-30,83.78,-0.005,0.042,0.138
2018-01-31,85.32,0.019,0.035,0.155
2018-02-01,78.4,-0.07,-0.055,0.021
2018-02-02,76.57,-0.104,-0.087,-0.002
2018-02-05,74.705,-0.114,-0.11,-0.051
2018-02-06,75.68,-0.097,-0.101,-0.043
2018-02-07,75.59,-0.114,-0.097,-0.045
2018-02-08,72.32,-0.078,-0.143,-0.089
2018-02-09,74.75,-0.024,-0.125,-0.063
2018-02-12,75.28,0.008,-0.107,-0.065
2018-02-13,74.97,-0.009,-0.105,-0.068
2018-02-14,77.27,0.022,-0.094,-0.063
2018-02-15,78.295,0.083,-0.001,-0.056
2018-02-16,78.37,0.048,0.024,-0.065
2018-02-20,77.06,0.024,0.032,-0.082
2018-02-21,76.51,0.021,0.011,-0.091
2018-02-22,77.7,0.006,0.028,-0.072
2018-02-23,79.69,0.018,0.102,-0.055
2018-02-26,79.35,0.013,0.062,-0.071
2018-02-27,79.46,0.031,0.056,-0.058
2018-02-28,79.41,0.038,0.059,-0.052
2018-03-01,78.64,0.012,0.018,-0.078
2018-03-02,78.87,-0.01,0.007,0.006
2018-03-05,79.07,-0.004,0.009,0.033
2018-03-06,79.23,-0.003,0.028,0.061
2018-03-07,79.52,0.001,0.039,0.051
2018-03-08,79.87,0.016,0.028,0.057
2018-03-09,80.71,0.023,0.013,0.116
2018-03-12,80.6,0.019,0.016,0.078
2018-03-13,80.2,0.012,0.009,0.065
2018-03-14,83.31,0.048,0.049,0.111
2018-03-15,82.57,0.034,0.05,0.069
2018-03-16,82.16,0.018,0.042,0.049
2018-03-19,80.3,-0.004,0.016,0.025
2018-03-20,80.86,0.008,0.021,0.049
2018-03-21,81.04,-0.027,0.019,0.059
2018-03-22,78.56,-0.049,-0.016,0.011
2018-03-23,76.44,-0.07,-0.053,-0.041
2018-03-26,78.95,-0.017,-0.02,-0.005
2018-03-27,76.31,-0.056,-0.049,-0.04
2018-03-28,75.06,-0.074,-0.099,-0.055
2018-03-29,75.87,-0.034,-0.081,-0.035
2018-04-02,75.0,-0.019,-0.087,-0.049
2018-04-03,74.56,-0.056,-0.071,-0.057
2018-04-04,74.78,-0.02,-0.075,-0.056
2018-04-05,76.95,0.025,-0.05,-0.032
2018-04-06,73.86,-0.026,-0.06,-0.075
2018-04-09,75.19,0.003,-0.016,-0.068
2018-04-10,76.79,0.03,-0.027,-0.047
2018-04-11,76.5,0.023,0.002,-0.046
2018-04-12,77.46,0.007,0.032,-0.07
2018-04-13,77.27,0.046,0.018,-0.064
2018-04-16,77.8,0.035,0.037,-0.053
2018-04-17,80.03,0.042,0.073,-0.003
2018-04-18,80.34,0.05,0.074,-0.006
2018-04-19,79.68,0.029,0.035,-0.017
2018-04-20,78.73,0.019,0.066,0.002
2018-04-23,78.21,0.005,0.04,0.023
2018-04-24,75.28,-0.059,-0.02,-0.046
2018-04-25,74.0,-0.079,-0.033,-0.03
2018-04-26,76.03,-0.046,-0.018,0.013
2018-04-27,74.13,-0.058,-0.041,-0.023
2018-04-30,74.61,-0.046,-0.041,-0.005
2018-05-01,74.81,-0.006,-0.065,0.003
2018-05-02,71.73,-0.031,-0.107,-0.041
2018-05-03,73.45,-0.034,-0.078,-0.045
2018-05-04,73.99,-0.002,-0.06,0.002
2018-05-07,74.67,0.001,-0.045,-0.007
2018-05-08,75.72,0.012,0.006,-0.014
2018-05-09,77.01,0.074,0.041,0.007
2018-05-10,79.19,0.078,0.042,0.022
2018-05-11,79.2,0.07,0.068,0.025
2018-05-14,78.81,0.055,0.056,0.013
2018-05-15,77.79,0.027,0.04,-0.028
2018-05-16,77.82,0.011,0.085,-0.031
2018-05-17,79.19,0.0,0.078,-0.006
2018-05-18,80.79,0.02,0.092,0.026
2018-05-21,81.25,0.031,0.088,0.039
2018-05-22,80.62,0.036,0.065,0.071
2018-05-23,81.08,0.042,0.053,0.096
2018-05-24,81.55,0.03,0.03,0.073
2018-05-25,80.96,0.002,0.022,0.092
2018-05-29,80.73,-0.006,0.024,0.082
2018-05-30,81.6,0.012,0.049,0.091
2018-05-31,82.07,0.012,0.055,0.144
2018-06-01,83.25,0.021,0.051,0.133
2018-06-04,84.57,0.045,0.047,0.143
2018-06-05,85.05,0.054,0.047,0.139
2018-06-06,85.21,0.044,0.057,0.125
2018-06-07,83.27,0.015,0.027,0.081
2018-06-08,84.34,0.013,0.034,0.065
2018-06-11,83.89,-0.008,0.036,0.059
2018-06-12,85.02,-0.0,0.053,0.079
2018-06-13,85.27,0.001,0.045,0.096
2018-06-14,85.61,0.028,0.043,0.1
2018-06-15,85.31,0.012,0.025,0.077
2018-06-18,85.85,0.023,0.015,0.063
2018-06-19,84.52,-0.006,-0.006,0.04
2018-06-20,85.95,0.008,0.009,0.066
2018-06-21,85.97,0.004,0.032,0.06
2018-06-22,85.12,-0.002,0.009,0.044
2018-06-25,82.19,-0.043,-0.02,0.015
2018-06-26,82.32,-0.026,-0.032,0.02
2018-06-27,80.67,-0.061,-0.054,-0.011
2018-06-28,82.48,-0.041,-0.037,0.005
2018-06-29,83.27,-0.022,-0.024,0.0
2018-07-02,83.89,0.021,-0.023,-0.008
2018-07-03,83.27,0.012,-0.015,-0.021
2018-07-05,84.59,0.049,-0.016,-0.007
2018-07-06,85.94,0.042,-0.0,0.032
2018-07-09,86.23,0.036,0.013,0.022
2018-07-10,86.17,0.027,0.048,0.027
2018-07-11,86.25,0.036,0.048,0.014
2018-07-12,89.13,0.054,0.105,0.045
2018-07-13,87.99,0.024,0.067,0.028
2018-07-16,87.77,0.018,0.054,0.029
2018-07-17,88.58,0.028,0.056,0.032
2018-07-18,88.22,0.023,0.059,0.044
2018-07-19,87.38,-0.02,0.033,0.017
2018-07-20,87.47,-0.006,0.018,0.017
2018-07-23,89.24,0.017,0.035,0.048
2018-07-24,91.41,0.032,0.061,0.112
2018-07-25,91.37,0.036,0.059,0.11
2018-07-26,89.14,0.02,0.0,0.105
2018-07-27,85.46,-0.023,-0.029,0.036
2018-07-30,82.39,-0.077,-0.061,-0.011
2018-07-31,82.14,-0.101,-0.073,-0.021
2018-08-01,83.46,-0.087,-0.054,0.002
2018-08-02,85.53,-0.04,-0.021,0.011
2018-08-03,85.19,-0.003,-0.026,-0.009
2018-08-06,85.77,0.041,-0.039,-0.005
2018-08-07,86.3,0.051,-0.056,0.002
2018-08-08,86.74,0.039,-0.051,0.006
2018-08-09,87.17,0.019,-0.022,-0.022
2018-08-10,87.01,0.021,0.018,-0.011
2018-08-13,87.01,0.014,0.056,-0.009
2018-08-14,87.73,0.017,0.068,-0.01
2018-08-15,85.19,-0.018,0.021,-0.034
2018-08-16,85.32,-0.021,-0.002,-0.024
2018-08-17,85.45,-0.018,0.003,-0.023
2018-08-20,85.75,-0.014,-0.0,-0.039
2018-08-21,86.22,-0.017,-0.001,-0.057
2018-08-22,86.95,0.021,0.002,-0.048
2018-08-23,87.38,0.024,0.002,-0.02
2018-08-24,90.1,0.054,0.036,0.054
2018-08-27,89.97,0.049,0.034,0.092
2018-08-28,90.61,0.051,0.033,0.103
2018-08-29,92.62,0.065,0.087,0.11
2018-08-30,92.09,0.054,0.079,0.077
2018-08-31,92.33,0.025,0.081,0.084
2018-09-04,93.07,0.034,0.085,0.085
2018-09-05,89.05,-0.017,0.033,0.032
2018-09-06,89.0,-0.039,0.024,0.026
2018-09-07,88.82,-0.036,0.016,0.019
2018-09-10,89.8,-0.027,-0.003,0.032
2018-09-11,91.43,-0.018,0.016,0.051
2018-09-12,92.4,0.038,0.02,0.053
2018-09-13,92.19,0.036,-0.005,0.082
2018-09-14,90.78,0.022,-0.014,0.064
2018-09-17,88.68,-0.012,-0.04,0.038
2018-09-18,89.72,-0.019,-0.036,0.046
2018-09-19,89.31,-0.033,0.003,0.036
2018-09-20,90.6,-0.017,0.018,0.042
2018-09-21,90.62,-0.002,0.02,0.037
2018-09-24,89.62,0.011,-0.002,-0.005
2018-09-25,90.04,0.004,-0.015,0.001
2018-09-26,89.85,0.006,-0.028,-0.008
2018-09-27,88.99,-0.018,-0.035,-0.039
2018-09-28,87.84,-0.031,-0.032,-0.046
2018-10-01,87.55,-0.023,-0.013,-0.052
2018-10-02,86.68,-0.037,-0.034,-0.069
2018-10-03,87.15,-0.03,-0.024,-0.021
2018-10-04,84.34,-0.052,-0.069,-0.052
2018-10-05,83.18,-0.053,-0.082,-0.063
2018-10-08,80.55,-0.08,-0.101,-0.103
2018-10-09,80.03,-0.077,-0.111,-0.125
2018-10-10,75.45,-0.134,-0.16,-0.183
2018-10-11,75.9,-0.1,-0.147,-0.177
2018-10-12,79.03,-0.05,-0.1,-0.129
2018-10-15,77.23,-0.041,-0.118,-0.129
2018-10-16,80.61,0.007,-0.07,-0.102
2018-10-17,80.09,0.061,-0.081,-0.103
2018-10-18,77.48,0.021,-0.081,-0.145
2018-10-19,84.78,0.073,0.019,-0.064
2018-10-22,85.43,0.106,0.061,-0.047
2018-10-23,87.57,0.086,0.094,-0.027
