,close,5days,10days,20days
2017-12-29,60.8968,0.0,0.0,0.0
2018-01-02,62.0192,0.0,0.0,0.0
2018-01-03,62.7231,0.0,0.0,0.0
2018-01-04,62.8087,0.0,0.0,0.0
2018-01-05,63.2273,0.0,0.0,0.0
2018-01-08,63.037,0.035,0.0,0.0
2018-01-09,62.0858,0.001,0.0,0.0
2018-01-10,62.0763,-0.01,0.0,0.0
2018-01-11,62.238,-0.009,0.0,0.0
2018-01-12,62.1904,-0.016,0.0,0.0
2018-01-16,64.9204,0.03,0.066,0.0
2018-01-17,64.7016,0.042,0.043,0.0
2018-01-18,64.7302,0.043,0.032,0.0
2018-01-19,64.7207,0.04,0.03,0.0
2018-01-22,65.3199,0.05,0.033,0.0
2018-01-23,65.006,0.001,0.031,0.0
2018-01-24,64.6636,-0.001,0.042,0.0
2018-01-25,64.1309,-0.009,0.033,0.0
2018-01-26,65.1868,0.007,0.047,0.0
2018-01-29,64.0358,-0.02,0.03,0.0
2018-01-30,63.7219,-0.02,-0.018,0.046
2018-01-31,64.9204,0.004,0.003,0.047
2018-02-01,63.5412,-0.009,-0.018,0.013
2018-02-02,62.8468,-0.036,-0.029,0.001
2018-02-05,58.7185,-0.083,-0.101,-0.071
2018-02-06,61.2582,-0.039,-0.058,-0.028
2018-02-07,61.867,-0.047,-0.043,-0.004
2018-02-08,59.3748,-0.066,-0.074,-0.044
2018-02-09,60.8682,-0.031,-0.066,-0.022
2018-02-12,62.4568,0.064,-0.025,0.004
2018-02-13,62.4948,0.02,-0.019,-0.037
2018-02-14,63.3414,0.024,-0.024,-0.021
2018-02-15,62.0953,0.046,-0.023,-0.041
2018-02-16,61.6863,0.013,-0.018,-0.047
2018-02-20,60.8682,-0.025,0.037,-0.068
2018-02-21,60.306999999999995,-0.035,-0.016,-0.072
2018-02-22,59.1465,-0.066,-0.044,-0.085
2018-02-23,60.2309,-0.03,0.014,-0.061
2018-02-26,63.7124,0.033,0.047,-0.023
2018-02-27,63.6458,0.046,0.019,-0.006
2018-02-28,62.3602,0.034,-0.002,-0.021
2018-03-01,62.3218,0.054,-0.016,-0.04
2018-03-02,62.1108,0.031,0.0,-0.023
2018-03-05,61.4104,-0.036,-0.004,-0.023
2018-03-06,59.6164,-0.063,-0.021,0.015
2018-03-07,59.9521,-0.039,-0.006,-0.021
2018-03-08,59.3094,-0.048,0.003,-0.041
2018-03-09,60.4702,-0.026,0.004,0.018
2018-03-12,60.2591,-0.019,-0.054,-0.01
2018-03-13,57.2755,-0.039,-0.1,-0.083
2018-03-14,57.6784,-0.038,-0.075,-0.077
2018-03-15,57.4577,-0.031,-0.078,-0.093
2018-03-16,58.1581,-0.038,-0.064,-0.063
2018-03-19,55.9995,-0.071,-0.088,-0.092
2018-03-20,55.8939,-0.024,-0.062,-0.082
2018-03-21,54.5028,-0.055,-0.091,-0.096
2018-03-22,53.3228,-0.072,-0.101,-0.098
2018-03-23,51.4808,-0.115,-0.149,-0.145
2018-03-26,53.8504,-0.038,-0.106,-0.155
2018-03-27,52.6128,-0.059,-0.081,-0.173
2018-03-28,52.4785,-0.037,-0.09,-0.158
2018-03-29,53.1597,-0.003,-0.075,-0.147
2018-04-02,51.6247,0.003,-0.112,-0.169
2018-04-03,52.5553,-0.024,-0.062,-0.144
2018-04-04,52.7567,0.003,-0.056,-0.115
2018-04-05,52.8047,0.006,-0.031,-0.119
2018-04-06,50.9627,-0.041,-0.044,-0.141
2018-04-09,51.2601,-0.007,-0.004,-0.152
2018-04-10,52.5457,-0.0,-0.024,-0.128
2018-04-11,52.7759,0.0,0.003,-0.079
2018-04-12,52.9582,0.003,0.009,-0.082
2018-04-13,53.4667,0.049,0.006,-0.069
2018-04-16,52.5457,0.025,0.018,-0.097
2018-04-17,53.1021,0.011,0.01,-0.052
2018-04-18,52.986999999999995,0.004,0.004,-0.052
2018-04-19,50.435,-0.048,-0.045,-0.075
2018-04-20,49.3509,-0.077,-0.032,-0.074
2018-04-23,48.4779,-0.077,-0.054,-0.058
2018-04-24,47.9118,-0.098,-0.088,-0.11
2018-04-25,47.7295,-0.099,-0.096,-0.093
2018-04-26,48.4203,-0.04,-0.086,-0.077
2018-04-27,49.0343,-0.006,-0.083,-0.078
2018-04-30,48.9384,0.009,-0.069,-0.052
2018-05-01,48.7561,0.018,-0.082,-0.072
2018-05-02,48.2188,0.01,-0.09,-0.086
2018-05-03,48.2668,-0.003,-0.043,-0.086
2018-05-04,50.3583,0.027,0.02,-0.012
2018-05-07,50.8571,0.039,0.049,-0.008
2018-05-08,50.7132,0.04,0.058,-0.035
2018-05-09,51.0107,0.058,0.069,-0.033
2018-05-10,52.7375,0.093,0.089,-0.004
2018-05-11,52.986999999999995,0.052,0.081,-0.009
2018-05-14,54.4357,0.07,0.112,0.036
2018-05-15,53.3803,0.053,0.095,0.005
2018-05-16,54.3973,0.066,0.128,0.027
2018-05-17,54.6371,0.036,0.132,0.083
2018-05-18,55.1744,0.041,0.096,0.118
2018-05-21,55.3663,0.017,0.089,0.142
2018-05-22,55.0593,0.031,0.086,0.149
2018-05-23,56.4312,0.037,0.106,0.182
2018-05-24,56.6806,0.037,0.075,0.171
2018-05-25,57.5249,0.043,0.086,0.173
2018-05-29,56.46,0.02,0.037,0.154
2018-05-30,56.6151,0.028,0.061,0.161
2018-05-31,56.3533,-0.001,0.036,0.169
2018-06-01,56.8284,0.003,0.04,0.177
2018-06-04,56.9254,-0.01,0.032,0.13
2018-06-05,57.1872,0.013,0.033,0.124
2018-06-06,58.021,0.025,0.054,0.144
2018-06-07,58.7967,0.043,0.042,0.153
2018-06-08,58.4283,0.028,0.031,0.108
2018-06-11,58.1083,0.021,0.01,0.097
2018-06-12,57.9726,0.014,0.027,0.065
2018-06-13,57.4199,-0.01,0.014,0.076
2018-06-14,57.6526,-0.019,0.023,0.06
2018-06-15,58.0404,-0.007,0.021,0.062
2018-06-18,57.4005,-0.012,0.008,0.04
2018-06-19,56.9157,-0.018,-0.005,0.028
2018-06-20,57.003,-0.007,-0.018,0.035
2018-06-21,56.9642,-0.012,-0.031,0.009
2018-06-22,56.7218,-0.023,-0.029,0.001
2018-06-25,55.3158,-0.036,-0.048,-0.038
2018-06-26,54.7341,-0.038,-0.056,-0.031
2018-06-27,53.493,-0.062,-0.068,-0.055
2018-06-28,54.2008,-0.049,-0.06,-0.038
2018-06-29,54.4141,-0.041,-0.062,-0.042
2018-07-02,54.4723,-0.015,-0.051,-0.043
2018-07-03,53.6481,-0.02,-0.057,-0.062
2018-07-05,55.6358,0.04,-0.024,-0.041
2018-07-06,56.0818,0.035,-0.015,-0.046
2018-07-09,56.2757,0.034,-0.008,-0.037
2018-07-10,56.5957,0.039,0.023,-0.026
2018-07-11,55.5582,0.036,0.015,-0.042
2018-07-12,56.5472,0.016,0.057,-0.015
2018-07-13,56.6151,0.01,0.045,-0.018
2018-07-16,56.5763,0.005,0.04,-0.025
2018-07-17,57.1193,0.009,0.049,-0.005
2018-07-18,56.9739,0.025,0.062,0.001
2018-07-19,57.5071,0.017,0.034,0.009
2018-07-20,56.8284,0.004,0.013,-0.002
2018-07-23,57.2841,0.013,0.018,0.01
2018-07-24,57.0611,-0.001,0.008,0.032
2018-07-25,57.6138,0.011,0.037,0.053
2018-07-26,61.6473,0.072,0.09,0.152
2018-07-27,60.7844,0.07,0.074,0.121
2018-07-30,60.1542,0.05,0.063,0.105
2018-07-31,62.1418,0.089,0.088,0.141
2018-08-01,62.3939,0.083,0.095,0.163
2018-08-02,62.8012,0.019,0.092,0.129
2018-08-03,63.412,0.043,0.116,0.131
