,close,5days,10days,20days
2017-12-29,154.4396,0.0,0.0,0.0
2018-01-02,157.1464,0.0,0.0,0.0
2018-01-03,158.6734,0.0,0.0,0.0
2018-01-04,158.951,0.0,0.0,0.0
2018-01-05,160.5474,0.0,0.0,0.0
2018-01-08,161.172,0.044,0.0,0.0
2018-01-09,161.1819,0.026,0.0,0.0
2018-01-10,160.8051,0.013,0.0,0.0
2018-01-11,161.9057,0.019,0.0,0.0
2018-01-12,163.0956,0.016,0.0,0.0
2018-01-16,162.6296,0.009,0.053,0.0
2018-01-17,164.3845,0.02,0.046,0.0
2018-01-18,164.4143,0.022,0.036,0.0
2018-01-19,164.9299,0.019,0.038,0.0
2018-01-22,166.6948,0.022,0.038,0.0
2018-01-23,168.07299999999998,0.033,0.043,0.0
2018-01-24,166.9823,0.016,0.036,0.0
2018-01-25,166.9228,0.015,0.038,0.0
2018-01-26,169.481,0.028,0.047,0.0
2018-01-29,168.658,0.012,0.034,0.0
2018-01-30,167.2699,-0.005,0.029,0.083
2018-01-31,167.9639,0.006,0.022,0.069
2018-02-01,166.5362,-0.002,0.013,0.05
2018-02-02,163.2145,-0.037,-0.01,0.027
2018-02-05,156.7796,-0.07,-0.059,-0.023
2018-02-06,160.934,-0.038,-0.042,-0.001
2018-02-07,158.8518,-0.054,-0.049,-0.014
2018-02-08,152.1492,-0.086,-0.089,-0.054
2018-02-09,154.7767,-0.052,-0.087,-0.044
2018-02-12,157.5232,0.005,-0.066,-0.034
2018-02-13,158.3363,-0.016,-0.053,-0.026
2018-02-14,161.3009,0.015,-0.04,-0.019
2018-02-15,164.2953,0.08,-0.013,-0.001
2018-02-16,163.5616,0.057,0.002,-0.008
2018-02-20,163.8888,0.04,0.045,-0.017
2018-02-21,163.4228,0.032,0.015,-0.028
2018-02-22,163.4029,0.013,0.029,-0.021
2018-02-23,166.7444,0.015,0.096,-0.001
2018-02-26,168.9555,0.033,0.092,-0.003
2018-02-27,166.8634,0.018,0.059,-0.011
2018-02-28,165.7925,0.015,0.047,-0.009
2018-03-01,163.0857,-0.002,0.011,-0.029
2018-03-02,164.5829,-0.013,0.002,-0.012
2018-03-05,166.4073,-0.015,0.017,0.02
2018-03-06,167.1112,0.001,0.02,0.066
2018-03-07,167.4979,0.01,0.025,0.041
2018-03-08,168.42,0.033,0.031,0.06
2018-03-09,171.6921,0.043,0.03,0.128
2018-03-12,172.6043,0.037,0.022,0.115
2018-03-13,170.2544,0.019,0.02,0.081
2018-03-14,170.2246,0.016,0.027,0.075
2018-03-15,170.0759,0.01,0.043,0.054
