,close,5days,10days,20days
2017-12-29,66.6,0.0,0.0,0.0
2018-01-02,68.88,0.0,0.0,0.0
2018-01-03,68.39,0.0,0.0,0.0
2018-01-04,68.72,0.0,0.0,0.0
2018-01-05,68.03,0.0,0.0,0.0
2018-01-08,68.84,0.034,0.0,0.0
2018-01-09,69.0,0.002,0.0,0.0
2018-01-10,67.74,-0.01,0.0,0.0
2018-01-11,68.88,0.002,0.0,0.0
2018-01-12,71.04,0.044,0.0,0.0
2018-01-16,69.3,0.007,0.041,0.0
2018-01-17,70.85,0.027,0.029,0.0
2018-01-18,70.7,0.044,0.034,0.0
2018-01-19,68.4,-0.007,-0.005,0.0
2018-01-22,66.34,-0.066,-0.025,0.0
2018-01-23,67.32,-0.029,-0.022,0.0
2018-01-24,66.9,-0.056,-0.03,0.0
2018-01-25,66.06,-0.066,-0.025,0.0
2018-01-26,67.94,-0.007,-0.014,0.0
2018-01-29,68.19,0.028,-0.04,0.0
2018-01-30,70.67,0.05,0.02,0.061
2018-01-31,71.77,0.073,0.013,0.042
2018-02-01,83.34,0.262,0.179,0.219
2018-02-02,80.77,0.189,0.181,0.175
2018-02-05,75.58,0.108,0.139,0.111
2018-02-06,79.07,0.119,0.175,0.149
2018-02-07,78.09,0.088,0.167,0.132
2018-02-08,76.85,-0.078,0.163,0.134
2018-02-09,77.85,-0.036,0.146,0.13
2018-02-12,79.17,0.047,0.161,0.114
2018-02-13,79.35,0.004,0.123,0.145
2018-02-14,78.82,0.009,0.098,0.112
2018-02-15,78.56,0.022,-0.057,0.111
2018-02-16,77.31,-0.007,-0.043,0.13
2018-02-20,80.17,0.013,0.061,0.208
2018-02-21,79.95,0.008,0.011,0.188
2018-02-22,78.5,-0.004,0.005,0.173
2018-02-23,80.13,0.02,0.043,0.213
2018-02-26,81.48,0.054,0.047,0.199
2018-02-27,81.21,0.013,0.026,0.191
2018-02-28,80.71,0.01,0.017,0.142
2018-03-01,78.61,0.001,-0.003,0.095
2018-03-02,81.13,0.012,0.033,-0.027
2018-03-05,83.19,0.021,0.076,0.03
2018-03-06,83.68,0.03,0.044,0.107
2018-03-07,83.32,0.032,0.042,0.054
2018-03-08,84.23,0.071,0.073,0.079
2018-03-09,85.51,0.054,0.067,0.113
2018-03-12,86.39,0.038,0.06,0.11
2018-03-13,83.42,-0.003,0.027,0.054
2018-03-14,82.22,-0.013,0.019,0.036
2018-03-15,79.0,-0.062,0.005,0.002
2018-03-16,80.75,-0.056,-0.005,0.028
2018-03-19,78.42,-0.092,-0.057,0.014
2018-03-20,75.07,-0.1,-0.103,-0.064
2018-03-21,74.18,-0.098,-0.11,-0.072
2018-03-22,72.65,-0.08,-0.137,-0.075
2018-03-23,71.55,-0.114,-0.163,-0.107
2018-03-26,73.34,-0.065,-0.151,-0.1
2018-03-27,70.23,-0.064,-0.158,-0.135
2018-03-28,68.54,-0.076,-0.166,-0.151
2018-03-29,70.45,-0.03,-0.108,-0.104
2018-04-02,68.53,-0.042,-0.151,-0.155
2018-04-03,69.71,-0.049,-0.111,-0.162
2018-04-04,71.51,0.018,-0.047,-0.145
2018-04-05,71.41,0.042,-0.037,-0.143
2018-04-06,69.72,-0.01,-0.04,-0.172
2018-04-09,69.59,0.015,-0.027,-0.186
