date,open,high,low,close,adjusted close,volume
2017-07-28 00:00:00,19.56,22.11,19.29,21.7,21.7,9445864
2017-07-31 00:00:00,22.43,25.11,22.29,24.13,24.13,4377508
2017-08-01 00:00:00,26.25,28.7,25.3,26.48,26.48,3755382
2017-08-02 00:00:00,28.45,31.19,27.7,31.06,31.06,3620679
2017-08-03 00:00:00,33.39,33.49,26.51,27.2,27.2,5761471
2017-08-04 00:00:00,27.74,27.76,25.51,25.84,25.84,1670614
2017-08-07 00:00:00,25.72,28.22,24.7,25.27,25.27,2618219
2017-08-08 00:00:00,25.62,25.9,24.44,25.52,25.52,1311402
2017-08-09 00:00:00,25.0,26.58,24.72,26.33,26.33,982928
2017-08-10 00:00:00,26.0,26.4,25.11,25.44,25.44,595347
2017-08-11 00:00:00,25.03,25.924,24.21,24.85,24.85,636489
2017-08-14 00:00:00,25.11,25.31,24.5,24.96,24.96,554891
2017-08-15 00:00:00,24.84,28.85,24.55,28.59,28.59,1990388
2017-08-16 00:00:00,28.85,30.21,26.643,27.19,27.19,2239602
2017-08-17 00:00:00,26.91,28.469,26.0,26.58,26.58,1332220
2017-08-18 00:00:00,26.59,27.245,25.31,26.7,26.7,1142513
2017-08-21 00:00:00,26.62,28.54,26.45,27.56,27.56,1356402
2017-08-22 00:00:00,25.64,27.3,25.2,25.27,25.27,2017600
2017-08-23 00:00:00,25.05,26.18,25.0,25.75,25.75,917375
2017-08-24 00:00:00,25.74,26.073,25.101,25.79,25.79,1579584
2017-08-25 00:00:00,25.47,25.8,24.87,24.89,24.89,969795
2017-08-28 00:00:00,24.8,25.126,24.51,24.83,24.83,672460
2017-08-29 00:00:00,24.55,24.79,23.6,23.87,23.87,923460
2017-08-30 00:00:00,23.65,23.87,22.66,23.04,23.04,1453034
2017-08-31 00:00:00,22.09,23.37,22.07,22.29,22.29,950491
2017-09-01 00:00:00,22.15,23.68,22.15,23.6,23.6,997580
2017-09-05 00:00:00,23.59,25.19,23.255,24.99,24.99,1499783
2017-09-06 00:00:00,24.62,25.93,24.551,25.86,25.86,1371191
2017-09-07 00:00:00,26.05,26.05,25.21,25.36,25.36,1562540
2017-09-08 00:00:00,26.4,26.4,24.01,24.1,24.1,1664297
2017-09-11 00:00:00,24.3,26.04,24.16,25.82,25.82,1253448
2017-09-12 00:00:00,25.85,26.247,25.01,25.41,25.41,648448
2017-09-13 00:00:00,25.25,26.95,25.25,26.89,26.89,930987
2017-09-14 00:00:00,26.69,27.96,26.425,26.72,26.72,791090
2017-09-15 00:00:00,26.5,27.35,26.05,26.53,26.53,2052823
2017-09-18 00:00:00,26.69,27.125,25.6,26.92,26.92,702581
2017-09-19 00:00:00,26.92,27.3,26.36,26.58,26.58,464782
2017-09-20 00:00:00,26.58,27.29,26.38,27.28,27.28,564930
2017-09-21 00:00:00,27.04,27.35,26.13,26.25,26.25,380733
2017-09-22 00:00:00,26.39,28.0,26.2,27.97,27.97,989289
2017-09-25 00:00:00,27.87,28.695,25.64,26.02,26.02,1516193
2017-09-26 00:00:00,26.0,26.517,25.04,25.21,25.21,1061291
2017-09-27 00:00:00,25.32,25.78,25.03,25.24,25.24,754989
2017-09-28 00:00:00,25.35,25.73,24.89,25.42,25.42,414475
2017-09-29 00:00:00,25.21,25.54,24.65,25.09,25.09,825660
2017-10-02 00:00:00,24.97,25.47,24.81,25.05,25.05,417037
2017-10-03 00:00:00,24.9,25.19,24.808,24.92,24.92,543082
2017-10-04 00:00:00,24.83,25.27,24.81,24.92,24.92,417484
2017-10-05 00:00:00,24.81,25.32,24.55,25.0,25.0,840750
2017-10-06 00:00:00,24.9,25.01,24.05,25.0,25.0,771544
2017-10-09 00:00:00,25.0,26.59,25.0,26.33,26.33,1251799
2017-10-10 00:00:00,26.49,26.49,25.01,25.33,25.33,644497
2017-10-11 00:00:00,25.28,25.92,25.2,25.33,25.33,374983
2017-10-12 00:00:00,25.28,25.7,25.07,25.65,25.65,339120
2017-10-13 00:00:00,25.41,26.15,25.236,26.03,26.03,434998
2017-10-16 00:00:00,25.61,25.987,25.33,25.76,25.76,275988
2017-10-17 00:00:00,25.56,27.2,25.55,26.99,26.99,1249552
2017-10-18 00:00:00,26.76,27.67,25.825,26.08,26.08,842745
2017-10-19 00:00:00,26.15,26.31,25.03,25.68,25.68,684631
2017-10-20 00:00:00,25.76,26.0,25.18,25.25,25.25,572241
2017-10-23 00:00:00,25.25,25.708,24.25,24.34,24.34,644273
2017-10-24 00:00:00,24.25,24.717,23.85,24.09,24.09,636743
2017-10-25 00:00:00,23.97,24.486,23.12,23.4,23.4,617253
2017-10-26 00:00:00,23.38,23.5,22.8,23.11,23.11,430144
2017-10-27 00:00:00,23.06,23.26,22.7,23.01,23.01,716384
2017-10-30 00:00:00,22.86,23.65,22.72,23.28,23.28,725866
2017-10-31 00:00:00,23.2,23.81,23.12,23.54,23.54,375377
2017-11-01 00:00:00,23.74,23.74,23.1,23.28,23.28,257167
2017-11-02 00:00:00,23.1,24.25,23.05,23.74,23.74,373040
2017-11-03 00:00:00,23.51,23.6,22.72,22.9,22.9,509959
2017-11-06 00:00:00,22.8,23.007,22.23,22.54,22.54,471900
2017-11-07 00:00:00,22.36,23.205,22.25,22.95,22.95,515609
2017-11-08 00:00:00,22.93,22.95,21.51,21.7,21.7,660993
2017-11-09 00:00:00,21.76,23.3,21.76,23.2,23.2,1131102
2017-11-10 00:00:00,21.0,21.7,19.81,20.93,20.93,2237831
2017-11-13 00:00:00,20.81,21.64,20.73,21.29,21.29,684594
2017-11-14 00:00:00,21.3,21.33,20.76,21.15,21.15,536562
2017-11-15 00:00:00,21.19,21.8,20.852,21.76,21.76,478200
2017-11-16 00:00:00,21.74,21.74,21.03,21.05,21.05,406648
2017-11-17 00:00:00,21.0,21.35,20.99,21.12,21.12,337453
2017-11-20 00:00:00,20.94,21.33,20.81,20.85,20.85,633476
2017-11-21 00:00:00,21.0,21.19,20.76,20.78,20.78,420289
2017-11-22 00:00:00,20.68,20.723,19.5,19.94,19.94,936200
2017-11-24 00:00:00,20.11,20.43,19.9,20.08,20.08,200901
2017-11-27 00:00:00,20.25,21.53,20.06,21.43,21.43,918064
2017-11-28 00:00:00,21.6,23.48,21.51,22.86,22.86,1013251
2017-11-29 00:00:00,23.2,23.3664,22.77,22.81,22.81,844918
2017-11-30 00:00:00,23.15,23.15,22.4,22.78,22.78,255154
2017-12-01 00:00:00,22.3,23.76,22.02,23.44,23.44,810861
2017-12-04 00:00:00,23.88,24.776,23.67,24.69,24.69,783116
2017-12-05 00:00:00,24.6,25.85,24.0114,24.73,24.73,1217691
2017-12-06 00:00:00,24.84,25.45,24.5229,25.07,25.07,283112
2017-12-07 00:00:00,24.92,25.3,24.05,24.32,24.32,624172
2017-12-08 00:00:00,24.45,24.62,24.01,24.11,24.11,519453
2017-12-11 00:00:00,24.24,25.38,24.1,24.54,24.54,810927
2017-12-12 00:00:00,24.52,27.57,24.5,26.94,26.94,1293951
2017-12-13 00:00:00,26.85,26.85,23.75,24.29,24.29,910698
2017-12-14 00:00:00,24.5,25.88,24.3589,25.3,25.3,448701
2017-12-15 00:00:00,26.13,26.32,25.545,26.01,26.01,594039
2017-12-18 00:00:00,26.18,26.2622,25.78,25.9,25.9,335266
2017-12-19 00:00:00,25.6,26.7048,25.58,26.25,26.25,417961
2017-12-20 00:00:00,26.9,26.92,26.0601,26.48,26.48,331915
2017-12-21 00:00:00,26.79,28.48,25.82,27.25,27.25,763566
