,close,5days,10days,20days
2017-12-29,31.32,0.0,0.0,0.0
2018-01-02,31.07,0.0,0.0,0.0
2018-01-03,28.2,0.0,0.0,0.0
2018-01-04,27.34,0.0,0.0,0.0
2018-01-05,28.2,0.0,0.0,0.0
2018-01-08,27.68,-0.116,0.0,0.0
2018-01-09,26.93,-0.133,0.0,0.0
2018-01-10,27.32,-0.031,0.0,0.0
2018-01-11,26.93,-0.015,0.0,0.0
2018-01-12,26.59,-0.057,0.0,0.0
2018-01-16,26.1,-0.057,-0.167,0.0
2018-01-17,26.17,-0.028,-0.158,0.0
2018-01-18,26.95,-0.014,-0.044,0.0
2018-01-19,26.08,-0.032,-0.046,0.0
2018-01-22,23.96,-0.099,-0.15,0.0
2018-01-23,23.17,-0.112,-0.163,0.0
2018-01-24,22.12,-0.155,-0.179,0.0
2018-01-25,22.31,-0.172,-0.183,0.0
2018-01-26,23.01,-0.118,-0.146,0.0
2018-01-29,21.29,-0.111,-0.199,0.0
2018-01-30,20.43,-0.118,-0.217,-0.348
2018-01-31,20.3,-0.082,-0.224,-0.347
2018-02-01,19.7,-0.117,-0.269,-0.301
2018-02-02,19.76,-0.141,-0.242,-0.277
2018-02-05,19.66,-0.077,-0.179,-0.303
2018-02-06,22.03,0.078,-0.049,-0.204
2018-02-07,23.0,0.133,0.04,-0.146
2018-02-08,22.04,0.119,-0.012,-0.193
2018-02-09,22.08,0.117,-0.04,-0.18
2018-02-12,22.67,0.153,0.065,-0.147
2018-02-13,22.0,-0.001,0.077,-0.157
2018-02-14,22.59,-0.018,0.113,-0.137
2018-02-15,22.73,0.031,0.154,-0.157
2018-02-16,22.95,0.039,0.161,-0.12
2018-02-20,21.9,-0.034,0.114,-0.086
2018-02-21,21.3,-0.032,-0.033,-0.081
2018-02-22,21.57,-0.045,-0.062,-0.025
2018-02-23,20.96,-0.078,-0.049,-0.061
2018-02-26,20.62,-0.102,-0.066,-0.104
2018-02-27,20.6,-0.059,-0.091,-0.032
2018-02-28,20.59,-0.033,-0.064,0.008
2018-03-01,20.58,-0.046,-0.089,0.014
2018-03-02,21.43,0.022,-0.057,0.088
2018-03-05,21.9,0.062,-0.046,0.108
2018-03-06,23.0,0.117,0.05,0.17
2018-03-07,23.01,0.118,0.08,0.044
2018-03-08,23.66,0.15,0.097,0.029
2018-03-09,22.98,0.072,0.096,0.043
2018-03-12,22.74,0.038,0.103,0.03
2018-03-13,22.76,-0.01,0.105,0.004
2018-03-14,22.25,-0.033,0.081,0.011
2018-03-15,21.38,-0.096,0.039,-0.054
2018-03-16,21.35,-0.071,-0.004,-0.061
2018-03-19,21.58,-0.051,-0.015,-0.06
2018-03-20,21.08,-0.074,-0.083,-0.037
2018-03-21,21.28,-0.044,-0.075,-0.001
2018-03-22,21.4,0.001,-0.096,-0.008
2018-03-23,22.1,0.035,-0.038,0.054
2018-03-26,22.68,0.051,-0.003,0.1
2018-03-27,22.33,0.059,-0.019,0.084
2018-03-28,22.35,0.05,0.004,0.085
2018-03-29,22.83,0.067,0.068,0.109
2018-04-02,22.76,0.03,0.066,0.062
2018-04-03,23.0,0.014,0.066,0.05
2018-04-04,23.11,0.035,0.096,0.005
2018-04-05,22.13,-0.01,0.04,-0.038
2018-04-06,22.03,-0.035,0.029,-0.069
2018-04-09,22.4,-0.016,0.014,-0.025
2018-04-10,22.68,-0.014,0.0,-0.003
2018-04-11,22.81,-0.013,0.021,0.002
2018-04-12,22.72,0.027,0.017,0.021
2018-04-13,22.81,0.035,-0.001,0.067
2018-04-16,23.19,0.035,0.019,0.086
2018-04-17,23.3,0.027,0.013,0.08
2018-04-18,23.99,0.052,0.038,0.138
2018-04-19,23.88,0.051,0.079,0.122
2018-04-20,22.71,-0.004,0.031,0.061
2018-04-23,22.47,-0.031,0.003,0.017
2018-04-24,22.22,-0.046,-0.02,-0.02
2018-04-25,21.71,-0.095,-0.048,-0.028
2018-04-26,21.68,-0.092,-0.046,-0.03
2018-04-27,21.68,-0.045,-0.05,-0.05
2018-04-30,21.4,-0.048,-0.077,-0.06
2018-05-01,21.64,-0.026,-0.071,-0.059
2018-05-02,22.01,0.014,-0.083,-0.048
2018-05-03,21.84,0.007,-0.085,-0.013
2018-05-04,22.0,0.015,-0.031,-0.001
2018-05-07,22.56,0.054,0.004,0.007
2018-05-08,22.79,0.053,0.026,0.005
2018-05-09,23.08,0.049,0.063,0.012
2018-05-10,22.98,0.052,0.06,0.011
2018-05-11,22.94,0.043,0.058,0.006
2018-05-14,22.01,-0.024,0.029,-0.051
2018-05-15,21.46,-0.058,-0.008,-0.079
2018-05-16,21.94,-0.049,-0.003,-0.085
2018-05-17,22.02,-0.042,0.008,-0.078
2018-05-18,22.02,-0.04,0.001,-0.03
2018-05-21,22.0,-0.0,-0.025,-0.021
2018-05-22,22.15,0.032,-0.028,-0.003
2018-05-23,22.21,0.012,-0.038,0.023
2018-05-24,22.03,0.0,-0.041,0.016
