date,open,high,low,close,adjusted close,volume
2017-11-17 00:00:00,16.95,18.53,14.8,15.15,15.15,10327680
2017-11-20 00:00:00,15.55,15.65,14.48,14.85,14.85,2251724
2017-11-21 00:00:00,14.84,16.1,14.5,15.8,15.8,1978879
2017-11-22 00:00:00,16.49,17.75,15.8,17.35,17.35,2618007
2017-11-24 00:00:00,18.26,19.49,17.76,18.62,18.62,1829336
2017-11-27 00:00:00,19.25,23.91,19.0101,23.08,23.08,2900588
2017-11-28 00:00:00,24.83,24.89,19.97,23.05,23.05,3565568
2017-11-29 00:00:00,22.55,22.9,20.59,22.26,22.26,2028042
2017-11-30 00:00:00,22.05,22.25,20.01,20.04,20.04,2169499
2017-12-01 00:00:00,20.0,24.01,19.069,23.6,23.6,3512869
2017-12-04 00:00:00,22.75,24.7484,21.18,24.04,24.04,1865252
2017-12-05 00:00:00,23.9,23.98,22.7,22.97,22.97,839619
2017-12-06 00:00:00,22.89,24.05,22.07,24.04,24.04,677945
2017-12-07 00:00:00,23.78,25.3774,22.95,24.34,24.34,902138
2017-12-08 00:00:00,24.24,24.74,23.3,23.6,23.6,442380
2017-12-11 00:00:00,23.35,24.39,23.12,23.98,23.98,601310
2017-12-12 00:00:00,23.69,24.73,23.5,23.54,23.54,615217
2017-12-13 00:00:00,23.52,24.2286,23.52,23.92,23.92,426131
2017-12-14 00:00:00,23.88,24.189,23.53,23.93,23.93,335439
2017-12-15 00:00:00,23.98,24.0,23.0272,23.34,23.34,482766
2017-12-18 00:00:00,23.2,25.3,23.17,23.85,23.85,712012
2017-12-19 00:00:00,24.0,25.98,22.51,24.76,24.76,1726510
2017-12-20 00:00:00,21.5,23.25,20.5,22.34,22.34,3098589
2017-12-21 00:00:00,22.6,23.9,22.59,23.19,23.19,1185177
2017-12-22 00:00:00,23.4,24.7,23.21,24.62,24.62,1037951
2017-12-26 00:00:00,24.29,30.0,24.0478,29.14,29.14,2630783
2017-12-27 00:00:00,28.9,30.07,28.0518,28.7,28.7,1295823
2017-12-28 00:00:00,28.75,29.6999,26.24,26.93,26.93,1346659
2017-12-29 00:00:00,26.8,27.3499,25.26,25.83,25.83,563824
2018-01-02 00:00:00,25.85,25.95,23.75,24.77,24.77,1203801
2018-01-03 00:00:00,24.68,24.93,23.64,24.63,24.63,551696
2018-01-04 00:00:00,24.45,26.1536,24.0,25.36,25.36,730689
2018-01-05 00:00:00,25.48,25.949,24.8224,25.77,25.77,306113
2018-01-08 00:00:00,25.79,26.882,25.77,26.47,26.47,374371
2018-01-09 00:00:00,26.54,26.73,25.01,25.21,25.21,520698
2018-01-10 00:00:00,25.21,25.52,24.315,25.39,25.39,360617
2018-01-11 00:00:00,25.31,26.46,24.91,25.15,25.15,470117
2018-01-12 00:00:00,24.99,25.44,24.9836,25.14,25.14,203051
2018-01-16 00:00:00,25.37,25.37,22.52,22.8,22.8,834556
