,close,5days,10days,20days
2017-12-29,25.83,0.0,0.0,0.0
2018-01-02,24.77,0.0,0.0,0.0
2018-01-03,24.63,0.0,0.0,0.0
2018-01-04,25.36,0.0,0.0,0.0
2018-01-05,25.77,0.0,0.0,0.0
2018-01-08,26.47,0.025,0.0,0.0
2018-01-09,25.21,0.018,0.0,0.0
2018-01-10,25.39,0.031,0.0,0.0
2018-01-11,25.15,-0.008,0.0,0.0
2018-01-12,25.14,-0.024,0.0,0.0
2018-01-16,22.8,-0.139,-0.117,0.0
2018-01-17,21.5,-0.147,-0.132,0.0
2018-01-18,20.7,-0.185,-0.16,0.0
2018-01-19,20.7,-0.177,-0.184,0.0
2018-01-22,21.26,-0.154,-0.175,0.0
2018-01-23,21.15,-0.072,-0.201,0.0
2018-01-24,20.86,-0.03,-0.173,0.0
2018-01-25,21.0,0.014,-0.173,0.0
2018-01-26,21.7,0.048,-0.137,0.0
2018-01-29,21.01,-0.012,-0.164,0.0
2018-01-30,19.99,-0.055,-0.123,-0.226
2018-01-31,20.67,-0.009,-0.039,-0.166
2018-02-01,20.21,-0.038,-0.024,-0.179
2018-02-02,20.07,-0.075,-0.03,-0.209
2018-02-05,19.38,-0.078,-0.088,-0.248
2018-02-06,20.44,0.023,-0.034,-0.228
2018-02-07,20.94,0.013,0.004,-0.169
2018-02-08,20.05,-0.008,-0.045,-0.21
2018-02-09,19.56,-0.025,-0.099,-0.222
2018-02-12,20.13,0.039,-0.042,-0.199
2018-02-13,20.0,-0.022,0.001,-0.123
2018-02-14,21.05,0.005,0.018,-0.021
2018-02-15,20.82,0.038,0.03,0.006
2018-02-16,20.3,0.038,0.011,-0.019
2018-02-20,19.93,-0.01,0.028,-0.063
2018-02-21,19.18,-0.041,-0.062,-0.093
2018-02-22,19.24,-0.086,-0.081,-0.078
2018-02-23,19.49,-0.064,-0.028,-0.072
2018-02-26,19.65,-0.032,0.005,-0.094
2018-02-27,20.0,0.004,-0.006,-0.048
2018-02-28,20.7,0.079,0.035,0.036
2018-03-01,20.25,0.052,-0.038,-0.02
2018-03-02,21.76,0.116,0.045,0.077
2018-03-05,24.7,0.257,0.217,0.231
2018-03-06,25.56,0.278,0.282,0.319
2018-03-07,23.2,0.121,0.21,0.135
2018-03-08,23.03,0.137,0.197,0.1
2018-03-09,22.57,0.037,0.158,0.126
2018-03-12,24.12,-0.023,0.227,0.233
2018-03-13,23.25,-0.09,0.163,0.155
2018-03-14,21.75,-0.062,0.051,0.087
2018-03-15,20.89,-0.093,0.032,-0.008
2018-03-16,20.4,-0.096,-0.063,-0.02
2018-03-19,19.93,-0.174,-0.193,-0.018
2018-03-20,20.26,-0.129,-0.207,0.017
2018-03-21,20.36,-0.064,-0.122,0.062
2018-03-22,20.8,-0.004,-0.097,0.081
2018-03-23,22.22,0.089,-0.016,0.14
