,close,5days,10days,20days
2017-12-29,85.24,0.0,0.0,0.0
2018-01-02,86.03,0.0,0.0,0.0
2018-01-03,87.06,0.0,0.0,0.0
2018-01-04,87.89,0.0,0.0,0.0
2018-01-05,88.93,0.0,0.0,0.0
2018-01-08,89.76,0.053,0.0,0.0
2018-01-09,89.69,0.043,0.0,0.0
2018-01-10,89.34,0.026,0.0,0.0
2018-01-11,89.71,0.021,0.0,0.0
2018-01-12,90.37,0.016,0.0,0.0
2018-01-16,89.27,-0.005,0.047,0.0
2018-01-17,90.98,0.014,0.058,0.0
2018-01-18,91.47,0.024,0.051,0.0
2018-01-19,92.61,0.032,0.054,0.0
2018-01-22,92.96,0.029,0.045,0.0
2018-01-23,93.38,0.046,0.04,0.0
2018-01-24,92.84,0.02,0.035,0.0
2018-01-25,91.91,0.005,0.029,0.0
2018-01-26,92.96,0.004,0.036,0.0
2018-01-29,91.28,-0.018,0.01,0.0
2018-01-30,91.32,-0.022,0.023,0.071
2018-01-31,92.61,-0.002,0.018,0.076
2018-02-01,91.38,-0.006,-0.001,0.05
2018-02-02,90.16,-0.03,-0.026,0.026
2018-02-05,87.62,-0.04,-0.057,-0.015
2018-02-06,87.45,-0.042,-0.064,-0.026
2018-02-07,85.85,-0.073,-0.075,-0.043
2018-02-08,82.62,-0.096,-0.101,-0.075
2018-02-09,84.34,-0.065,-0.093,-0.06
2018-02-12,85.33,-0.026,-0.065,-0.056
2018-02-13,85.5,-0.022,-0.064,-0.042
2018-02-14,86.62,0.009,-0.065,-0.048
2018-02-15,88.93,0.076,-0.027,-0.028
2018-02-16,89.07,0.056,-0.012,-0.038
2018-02-20,89.76,0.052,0.024,-0.034
2018-02-21,88.46,0.035,0.012,-0.053
2018-02-22,84.38,-0.026,-0.017,-0.091
2018-02-23,85.24,-0.041,0.032,-0.073
2018-02-26,85.47,-0.04,0.013,-0.081
2018-02-27,84.94,-0.054,-0.005,-0.069
2018-02-28,84.67,-0.043,-0.01,-0.073
2018-03-01,84.53,0.002,-0.024,-0.087
2018-03-02,85.77,0.006,-0.036,-0.061
2018-03-05,86.06,0.007,-0.034,-0.045
2018-03-06,86.26,0.016,-0.039,-0.016
2018-03-07,86.74,0.024,-0.019,-0.008
2018-03-08,88.64,0.049,0.05,0.032
2018-03-09,89.73,0.046,0.053,0.086
2018-03-12,89.09,0.035,0.042,0.056
2018-03-13,88.48,0.026,0.042,0.037
2018-03-14,87.82,0.012,0.037,0.027
2018-03-15,87.83,-0.009,0.039,0.014
2018-03-16,88.13,-0.018,0.028,-0.009
2018-03-19,86.61,-0.028,0.006,-0.028
2018-03-20,86.71,-0.02,0.005,-0.034
2018-03-21,86.59,-0.014,-0.002,-0.021
