,close,5days,10days,20days
2017-12-29,261.8528,0.0,0.0,0.0
2018-01-02,263.72700000000003,0.0,0.0,0.0
2018-01-03,265.3951,0.0,0.0,0.0
2018-01-04,266.5137,0.0,0.0,0.0
2018-01-05,268.2897,0.0,0.0,0.0
2018-01-08,268.7803,0.026,0.0,0.0
2018-01-09,269.3887,0.021,0.0,0.0
2018-01-10,268.9766,0.013,0.0,0.0
2018-01-11,270.9391,0.017,0.0,0.0
2018-01-12,272.7053,0.016,0.0,0.0
2018-01-16,271.7731,0.011,0.038,0.0
2018-01-17,274.3636,0.018,0.04,0.0
2018-01-18,273.9024,0.018,0.032,0.0
2018-01-19,275.1486,0.016,0.032,0.0
2018-01-22,277.3858,0.017,0.034,0.0
2018-01-23,277.9745,0.023,0.034,0.0
2018-01-24,277.8666,0.013,0.031,0.0
2018-01-25,277.9843,0.015,0.033,0.0
2018-01-26,281.2028,0.022,0.038,0.0
2018-01-29,279.3384,0.007,0.024,0.0
2018-01-30,276.4732,-0.005,0.017,0.056
2018-01-31,276.6106,-0.005,0.008,0.049
2018-02-01,276.2966,-0.006,0.009,0.041
2018-02-02,270.2816,-0.039,-0.018,0.014
2018-02-05,258.9778,-0.073,-0.066,-0.035
2018-02-06,264.0802,-0.045,-0.05,-0.017
2018-02-07,262.6476,-0.05,-0.055,-0.025
2018-02-08,252.796,-0.085,-0.091,-0.06
2018-02-09,256.5934,-0.051,-0.088,-0.053
2018-02-12,260.3613,0.005,-0.068,-0.045
2018-02-13,261.0089,-0.012,-0.056,-0.04
2018-02-14,264.5316,0.007,-0.044,-0.036
2018-02-15,267.907,0.06,-0.03,-0.022
2018-02-16,267.9855,0.044,-0.008,-0.026
2018-02-20,266.3076,0.023,0.028,-0.04
2018-02-21,264.983,0.015,0.003,-0.047
2018-02-22,265.3264,0.003,0.01,-0.045
2018-02-23,269.5555,0.006,0.066,-0.03
2018-02-26,272.6857,0.018,0.063,-0.03
2018-02-27,269.2808,0.011,0.034,-0.036
2018-02-28,266.5529,0.006,0.021,-0.036
2018-03-01,262.677,-0.01,-0.007,-0.05
2018-03-02,264.0312,-0.02,-0.014,-0.044
2018-03-05,267.0828,-0.021,-0.003,-0.012
2018-03-06,267.7599,-0.006,0.005,0.034
2018-03-07,267.6617,0.004,0.01,0.014
2018-03-08,268.957,0.024,0.014,0.024
2018-03-09,273.6375,0.036,0.015,0.082
2018-03-12,273.29400000000004,0.023,0.002,0.065
2018-03-13,271.5278,0.014,0.008,0.043
2018-03-14,270.1344,0.009,0.013,0.035
2018-03-15,269.8401,0.003,0.027,0.02
2018-03-16,270.1313,-0.013,0.023,0.008
2018-03-19,266.4763,-0.025,-0.002,-0.006
2018-03-20,266.9295,-0.017,-0.003,0.002
2018-03-21,266.4172,-0.014,-0.005,0.005
2018-03-22,259.7575,-0.037,-0.034,-0.021
2018-03-23,254.2209,-0.059,-0.071,-0.057
2018-03-26,261.1762,-0.02,-0.044,-0.042
2018-03-27,256.7331,-0.038,-0.054,-0.047
2018-03-28,255.9745,-0.039,-0.052,-0.04
2018-03-29,259.2453,-0.002,-0.039,-0.013
2018-04-02,253.6495,-0.002,-0.061,-0.039
2018-04-03,256.9006,-0.016,-0.036,-0.038
2018-04-04,259.6492,0.011,-0.027,-0.03
2018-04-05,261.6983,0.022,-0.018,-0.022
2018-04-06,255.8661,-0.013,-0.015,-0.049
2018-04-09,257.1272,0.014,0.011,-0.06
2018-04-10,261.2156,0.017,0.0,-0.044
2018-04-11,259.8462,0.001,0.012,-0.043
2018-04-12,261.98400000000004,0.001,0.023,-0.03
2018-04-13,261.2156,0.021,0.008,-0.032
2018-04-16,263.3632,0.024,0.038,-0.025
2018-04-17,266.1808,0.019,0.036,-0.001
2018-04-18,266.3778,0.025,0.026,-0.002
2018-04-19,264.9001,0.011,0.012,-0.006
2018-04-20,262.6539,0.006,0.027,0.011
2018-04-23,262.6145,-0.003,0.021,0.033
2018-04-24,259.0778,-0.027,-0.008,-0.008
2018-04-25,259.7181,-0.025,-0.0,0.012
2018-04-26,262.3584,-0.01,0.001,0.025
2018-04-27,262.6047,-0.0,0.005,0.013
2018-04-30,260.5851,-0.008,-0.011,0.027
2018-05-01,261.0481,0.008,-0.019,0.016
2018-05-02,259.2945,-0.002,-0.027,-0.001
2018-05-03,258.7231,-0.014,-0.023,-0.011
2018-05-04,262.0727,-0.002,-0.002,0.024
2018-05-07,262.9593,0.009,0.001,0.023
2018-05-08,262.9593,0.007,0.015,0.007
