,close,5days,10days,20days
2017-12-29,34.67,0.0,0.0,0.0
2018-01-02,36.17,0.0,0.0,0.0
2018-01-03,37.31,0.0,0.0,0.0
2018-01-04,38.1,0.0,0.0,0.0
2018-01-05,41.14,0.0,0.0,0.0
2018-01-08,40.76,0.176,0.0,0.0
2018-01-09,40.88,0.13,0.0,0.0
2018-01-10,40.84,0.095,0.0,0.0
2018-01-11,42.3,0.11,0.0,0.0
2018-01-12,41.25,0.003,0.0,0.0
2018-01-16,39.32,-0.035,0.134,0.0
2018-01-17,40.06,-0.02,0.108,0.0
2018-01-18,40.27,-0.014,0.079,0.0
2018-01-19,42.56,0.006,0.117,0.0
2018-01-22,45.29,0.098,0.101,0.0
2018-01-23,45.01,0.145,0.104,0.0
2018-01-24,44.32,0.106,0.084,0.0
2018-01-25,45.12,0.12,0.105,0.0
2018-01-26,45.97,0.08,0.087,0.0
2018-01-29,45.43,0.003,0.101,0.0
2018-01-30,45.52,0.011,0.158,0.313
2018-01-31,46.91,0.058,0.171,0.297
2018-02-01,44.45,-0.015,0.104,0.191
2018-02-02,43.61,-0.051,0.025,0.145
2018-02-05,41.02,-0.097,-0.094,-0.003
2018-02-06,41.61,-0.086,-0.076,0.021
2018-02-07,41.67,-0.112,-0.06,0.019
2018-02-08,39.5,-0.111,-0.125,-0.033
2018-02-09,39.57,-0.093,-0.139,-0.065
2018-02-12,39.92,-0.027,-0.121,-0.032
2018-02-13,42.11,0.012,-0.075,0.071
2018-02-14,41.85,0.004,-0.108,0.045
2018-02-15,44.29,0.121,-0.004,0.1
2018-02-16,44.11,0.115,0.011,0.036
2018-02-20,44.93,0.126,0.095,-0.008
2018-02-21,44.1,0.047,0.06,-0.02
2018-02-22,44.9,0.073,0.078,0.013
2018-02-23,44.86,0.013,0.136,-0.006
2018-02-26,46.55,0.055,0.176,0.013
2018-02-27,45.91,0.022,0.15,0.011
2018-02-28,46.05,0.044,0.094,0.012
2018-03-01,46.01,0.025,0.099,-0.019
2018-03-02,46.02,0.026,0.039,0.035
2018-03-05,50.42,0.083,0.143,0.156
2018-03-06,49.6,0.08,0.104,0.209
2018-03-07,50.72,0.101,0.15,0.219
2018-03-08,52.25,0.136,0.164,0.254
2018-03-09,52.49,0.141,0.17,0.329
2018-03-12,53.19,0.055,0.143,0.344
2018-03-13,51.83,0.045,0.129,0.298
2018-03-14,54.61,0.077,0.186,0.297
2018-03-15,54.84,0.05,0.192,0.31
2018-03-16,54.89,0.046,0.193,0.239
2018-03-19,54.58,0.026,0.083,0.237
2018-03-20,57.69,0.113,0.163,0.284
2018-03-21,57.09,0.045,0.126,0.295
2018-03-22,55.16,0.006,0.056,0.229
2018-03-23,51.67,-0.059,-0.016,0.152
2018-03-26,53.55,-0.019,0.007,0.15
2018-03-27,51.06,-0.115,-0.015,0.112
2018-03-28,47.39,-0.17,-0.132,0.029
2018-03-29,49.2,-0.108,-0.103,0.069
2018-04-02,47.68,-0.077,-0.131,0.036
2018-04-03,47.58,-0.111,-0.128,-0.056
2018-04-04,47.67,-0.066,-0.174,-0.039
2018-04-05,48.02,0.013,-0.159,-0.053
2018-04-06,45.87,-0.068,-0.168,-0.122
2018-04-09,45.89,-0.038,-0.112,-0.126
2018-04-10,47.8,0.005,-0.107,-0.101
2018-04-11,47.76,0.002,-0.065,-0.079
2018-04-12,49.69,0.035,0.049,-0.09
2018-04-13,47.5,0.036,-0.035,-0.134
2018-04-16,47.03,0.025,-0.014,-0.143
2018-04-17,49.13,0.028,0.033,-0.1
2018-04-18,51.38,0.076,0.078,-0.109
2018-04-19,50.63,0.019,0.054,-0.113
2018-04-20,51.46,0.083,0.122,-0.067
2018-04-23,50.35,0.071,0.097,-0.026
2018-04-24,46.01,-0.064,-0.037,-0.141
2018-04-25,44.75,-0.129,-0.063,-0.124
2018-04-26,46.74,-0.077,-0.059,-0.014
2018-04-27,47.57,-0.076,0.001,-0.033
2018-04-30,47.34,-0.06,0.007,-0.007
2018-05-01,48.2,0.048,-0.019,0.013
2018-05-02,48.66,0.087,-0.053,0.021
2018-05-03,49.21,0.053,-0.028,0.025
2018-05-04,49.1,0.032,-0.046,0.07
2018-05-07,51.12,0.08,0.015,0.114
2018-05-08,53.32,0.106,0.159,0.115
2018-05-09,54.26,0.115,0.213,0.136
2018-05-10,54.65,0.111,0.169,0.1
2018-05-11,54.73,0.115,0.151,0.152
2018-05-14,54.28,0.062,0.147,0.154
2018-05-15,54.65,0.025,0.134,0.112
2018-05-16,56.59,0.043,0.163,0.101
2018-05-17,54.82,0.003,0.114,0.083
2018-05-18,55.04,0.006,0.121,0.07
2018-05-21,56.39,0.039,0.103,0.12
2018-05-22,54.63,-0.0,0.025,0.187
2018-05-23,55.09,-0.027,0.015,0.231
2018-05-24,55.55,0.013,0.016,0.188
2018-05-25,55.77,0.013,0.019,0.172
2018-05-29,56.92,0.009,0.049,0.202
2018-05-30,57.91,0.06,0.06,0.201
