,close,5days,10days,20days
2018-10-25,31.35,0.0,0.0,0.0
2018-10-26,31.09,0.0,0.0,0.0
2018-10-29,29.06,0.0,0.0,0.0
2018-10-30,28.68,0.0,0.0,0.0
2018-10-31,28.69,0.0,0.0,0.0
2018-11-01,29.42,-0.062,0.0,0.0
2018-11-02,30.13,-0.031,0.0,0.0
2018-11-05,30.75,0.058,0.0,0.0
2018-11-06,30.47,0.062,0.0,0.0
2018-11-07,29.4,0.025,0.0,0.0
2018-11-08,27.7,-0.058,-0.116,0.0
2018-11-09,27.37,-0.092,-0.12,0.0
2018-11-12,25.01,-0.187,-0.139,0.0
2018-11-13,24.8,-0.186,-0.135,0.0
2018-11-14,23.44,-0.203,-0.183,0.0
2018-11-15,24.64,-0.11,-0.162,0.0
2018-11-16,25.31,-0.075,-0.16,0.0
2018-11-19,22.0,-0.12,-0.285,0.0
2018-11-20,21.22,-0.144,-0.304,0.0
2018-11-21,22.34,-0.047,-0.24,0.0
2018-11-23,21.84,-0.114,-0.212,-0.303
2018-11-26,21.7,-0.143,-0.207,-0.302
2018-11-27,22.78,0.035,-0.089,-0.216
2018-11-28,24.03,0.132,-0.031,-0.162
2018-11-29,23.85,0.068,0.017,-0.169
2018-11-30,23.57,0.079,-0.043,-0.199
2018-12-03,22.53,0.038,-0.11,-0.252
2018-12-04,22.09,-0.03,0.004,-0.282
2018-12-06,21.67,-0.098,0.021,-0.289
2018-12-07,20.76,-0.13,-0.071,-0.294
2018-12-10,19.87,-0.157,-0.09,-0.283
2018-12-11,20.59,-0.086,-0.051,-0.248
2018-12-12,19.86,-0.101,-0.128,-0.206
2018-12-13,18.54,-0.144,-0.228,-0.252
2018-12-14,17.71,-0.147,-0.257,-0.244
2018-12-17,17.63,-0.113,-0.252,-0.284
2018-12-18,18.45,-0.104,-0.181,-0.271
2018-12-19,18.12,-0.088,-0.18,-0.176
2018-12-20,17.78,-0.041,-0.18,-0.162
2018-12-21,16.99,-0.041,-0.182,-0.239
2018-12-24,16.71,-0.052,-0.159,-0.235
2018-12-26,17.46,-0.054,-0.152,-0.195
2018-12-27,17.21,-0.05,-0.133,-0.245
2018-12-28,17.6,-0.01,-0.051,-0.268
2018-12-31,18.44,0.085,0.041,-0.227
2019-01-02,19.07,0.141,0.082,-0.191
2019-01-03,18.56,0.063,0.006,-0.176
2019-01-04,19.99,0.162,0.103,-0.095
2019-01-07,20.69,0.176,0.164,-0.045
2019-01-08,21.12,0.145,0.243,0.017
2019-01-09,21.03,0.103,0.259,0.058
2019-01-10,21.43,0.155,0.227,0.041
2019-01-11,21.1,0.056,0.226,0.062
2019-01-14,20.79,0.005,0.181,0.121
2019-01-15,20.71,-0.019,0.123,0.169
2019-01-16,20.69,-0.016,0.085,0.174
2019-01-17,20.66,-0.036,0.113,0.12
2019-01-18,22.19,0.052,0.11,0.225
2019-01-22,22.86,0.1,0.105,0.286
2019-01-23,22.12,0.068,0.047,0.302
2019-01-24,22.9,0.107,0.089,0.37
2019-01-25,23.09,0.118,0.077,0.322
2019-01-28,22.19,0.0,0.052,0.289
2019-01-29,21.89,-0.042,0.053,0.244
2019-01-30,21.46,-0.03,0.036,0.164
2019-01-31,22.12,-0.034,0.069,0.16
2019-02-01,22.81,-0.012,0.104,0.229
2019-02-04,23.46,0.057,0.057,0.174
2019-02-05,22.76,0.04,-0.004,0.1
