,close,5days,10days,20days
2017-12-29,93.0533,0.0,0.0,0.0
2018-01-02,96.4638,0.0,0.0,0.0
2018-01-03,97.9338,0.0,0.0,0.0
2018-01-04,98.7571,0.0,0.0,0.0
2018-01-05,99.2079,0.0,0.0,0.0
2018-01-08,99.2275,0.066,0.0,0.0
2018-01-09,98.6689,0.023,0.0,0.0
2018-01-10,96.6304,-0.013,0.0,0.0
2018-01-11,97.92399999999999,-0.008,0.0,0.0
2018-01-12,99.1883,-0.0,0.0,0.0
2018-01-16,97.8652,-0.014,0.052,0.0
2018-01-17,100.1487,0.015,0.038,0.0
2018-01-18,100.2467,0.037,0.024,0.0
2018-01-19,97.2184,-0.007,-0.016,0.0
2018-01-22,96.74799999999999,-0.025,-0.025,0.0
2018-01-23,97.385,-0.005,-0.019,0.0
2018-01-24,95.1898,-0.05,-0.035,0.0
2018-01-25,93.1513,-0.071,-0.036,0.0
2018-01-26,95.4054,-0.019,-0.026,0.0
2018-01-29,95.1604,-0.016,-0.041,0.0
2018-01-30,95.2682,-0.022,-0.027,0.024
2018-01-31,95.2682,0.001,-0.049,-0.012
2018-02-01,101.0895,0.085,0.008,0.032
2018-02-02,96.9832,0.017,-0.002,-0.018
2018-02-05,92.7887,-0.025,-0.041,-0.065
2018-02-06,102.4714,0.076,0.052,0.033
2018-02-07,99.3255,0.043,0.043,0.007
2018-02-08,97.0616,-0.04,0.042,0.004
2018-02-09,100.5897,0.037,0.054,0.027
2018-02-12,102.0205,0.099,0.072,0.029
2018-02-13,101.5109,-0.009,0.066,0.037
2018-02-14,102.5596,0.033,0.077,0.024
2018-02-15,102.2803,0.054,0.012,0.02
2018-02-16,102.0303,0.014,0.052,0.049
2018-02-20,104.2844,0.022,0.124,0.078
2018-02-21,104.1962,0.026,0.017,0.07
2018-02-22,105.4348,0.028,0.062,0.108
2018-02-23,106.3883,0.04,0.096,0.142
2018-02-26,108.5115,0.064,0.079,0.137
2018-02-27,108.42299999999999,0.04,0.063,0.139
2018-02-28,107.3909,0.031,0.058,0.127
2018-03-01,104.7762,-0.006,0.022,0.1
2018-03-02,107.2828,0.008,0.049,0.061
2018-03-05,109.5829,0.01,0.074,0.13
2018-03-06,109.9466,0.014,0.054,0.185
2018-03-07,109.6419,0.021,0.052,0.07
2018-03-08,109.5436,0.046,0.039,0.103
2018-03-09,111.6275,0.04,0.049,0.15
2018-03-12,113.2003,0.033,0.043,0.125
2018-03-13,110.0941,0.001,0.015,0.079
2018-03-14,110.0351,0.004,0.025,0.084
2018-03-15,109.3962,-0.001,0.044,0.067
2018-03-16,108.7474,-0.026,0.014,0.063
2018-03-19,107.4695,-0.051,-0.019,0.053
2018-03-20,107.214,-0.026,-0.025,0.028
2018-03-21,106.6242,-0.031,-0.028,0.023
2018-03-22,103.4491,-0.054,-0.056,-0.019
2018-03-23,99.6843,-0.083,-0.107,-0.063
2018-03-26,103.1444,-0.04,-0.089,-0.049
2018-03-27,99.7924,-0.069,-0.094,-0.08
2018-03-28,97.1875,-0.089,-0.117,-0.095
2018-03-29,98.5539,-0.047,-0.099,-0.059
2018-04-02,94.8873,-0.048,-0.127,-0.116
2018-04-03,95.9686,-0.07,-0.107,-0.124
2018-04-04,97.9346,-0.019,-0.087,-0.109
2018-04-05,97.1187,-0.001,-0.089,-0.114
2018-04-06,93.9339,-0.047,-0.092,-0.142
2018-04-09,94.38600000000001,-0.005,-0.053,-0.154
2018-04-10,96.3422,0.004,-0.066,-0.149
2018-04-11,96.696,-0.013,-0.031,-0.122
2018-04-12,98.2098,0.011,0.011,-0.107
2018-04-13,96.7943,0.03,-0.018,-0.115
2018-04-16,96.0669,0.018,0.012,-0.117
2018-04-17,97.7577,0.015,0.019,-0.09
2018-04-18,97.27600000000001,0.006,-0.007,-0.093
2018-04-19,92.2824,-0.06,-0.05,-0.135
2018-04-20,89.6284,-0.074,-0.046,-0.134
2018-04-23,87.1316,-0.093,-0.077,-0.126
2018-04-24,86.2764,-0.117,-0.104,-0.164
2018-04-25,86.3157,-0.113,-0.107,-0.135
2018-04-26,86.8957,-0.058,-0.115,-0.106
2018-04-27,85.5982,-0.045,-0.116,-0.131
2018-04-30,85.2836,-0.021,-0.112,-0.101
2018-05-01,89.3532,0.036,-0.086,-0.069
2018-05-02,89.8053,0.04,-0.077,-0.083
2018-05-03,90.6802,0.044,-0.017,-0.066
2018-05-04,94.56299999999999,0.105,0.055,0.007
2018-05-07,93.7176,0.099,0.076,-0.007
2018-05-08,94.9758,0.063,0.101,-0.014
2018-05-09,93.92399999999999,0.046,0.088,-0.029
2018-05-10,95.4182,0.052,0.098,-0.028
2018-05-11,95.3592,0.008,0.114,-0.015
2018-05-14,97.335,0.039,0.141,0.013
2018-05-15,96.2242,0.013,0.077,-0.016
2018-05-16,97.15799999999999,0.034,0.082,-0.001
2018-05-17,98.0132,0.027,0.081,0.062
2018-05-18,96.814,0.015,0.024,0.08
2018-05-21,97.4824,0.002,0.04,0.119
2018-05-22,98.656,0.025,0.039,0.143
2018-05-23,98.6757,0.016,0.051,0.143
2018-05-24,98.2023,0.002,0.029,0.13
2018-05-25,98.9814,0.022,0.038,0.156
2018-05-29,98.0643,0.006,0.007,0.15
2018-05-30,98.3996,-0.003,0.023,0.101
2018-05-31,97.2457,-0.014,0.001,0.083
2018-06-01,99.5731,0.014,0.016,0.098
2018-06-04,98.9617,-0.0,0.022,0.047
2018-06-05,98.1333,0.001,0.007,0.047
2018-06-06,98.9222,0.005,0.003,0.042
2018-06-07,101.0721,0.039,0.024,0.076
2018-06-08,98.4291,-0.011,0.002,0.032
2018-06-11,98.2812,-0.007,-0.007,0.031
2018-06-12,99.4843,0.014,0.014,0.022
2018-06-13,99.0504,0.001,0.007,0.029
2018-06-14,100.5593,-0.005,0.034,0.035
2018-06-15,101.2792,0.029,0.017,0.033
2018-06-18,99.7013,0.014,0.007,0.03
2018-06-19,98.0643,-0.014,-0.001,0.006
2018-06-20,98.6461,-0.004,-0.003,-0.0
2018-06-21,97.4923,-0.03,-0.035,-0.012
2018-06-22,97.1866,-0.04,-0.013,-0.01
2018-06-25,96.0328,-0.037,-0.023,-0.03
2018-06-26,96.447,-0.016,-0.031,-0.016
2018-06-27,94.6817,-0.04,-0.044,-0.038
