,close,5days,10days,20days
2017-12-29,63.51,0.0,0.0,0.0
2018-01-02,64.04,0.0,0.0,0.0
2018-01-03,63.61,0.0,0.0,0.0
2018-01-04,63.0,0.0,0.0,0.0
2018-01-05,64.6,0.0,0.0,0.0
2018-01-08,65.1,0.025,0.0,0.0
2018-01-09,65.6,0.024,0.0,0.0
2018-01-10,63.89,0.004,0.0,0.0
2018-01-11,63.84,0.013,0.0,0.0
2018-01-12,63.68,-0.014,0.0,0.0
2018-01-16,62.97,-0.033,-0.009,0.0
2018-01-17,63.76,-0.028,-0.004,0.0
2018-01-18,62.88,-0.016,-0.011,0.0
2018-01-19,63.71,-0.002,0.011,0.0
2018-01-22,63.94,0.004,-0.01,0.0
2018-01-23,64.53,0.025,-0.009,0.0
2018-01-24,65.0,0.019,-0.009,0.0
2018-01-25,64.39,0.024,0.008,0.0
2018-01-26,65.28,0.025,0.023,0.0
2018-01-29,64.6,0.01,0.014,0.0
2018-01-30,64.76,0.004,0.028,0.02
2018-01-31,65.1,0.002,0.021,0.017
2018-02-01,63.79,-0.009,0.014,0.003
2018-02-02,63.59,-0.026,-0.002,0.009
2018-02-05,61.54,-0.047,-0.038,-0.047
2018-02-06,60.85,-0.06,-0.057,-0.065
2018-02-07,62.06,-0.047,-0.045,-0.054
2018-02-08,58.88,-0.077,-0.086,-0.078
2018-02-09,59.2,-0.069,-0.093,-0.073
2018-02-12,58.12,-0.056,-0.1,-0.087
2018-02-13,57.69,-0.052,-0.109,-0.084
2018-02-14,58.62,-0.055,-0.1,-0.081
2018-02-15,60.44,0.026,-0.053,-0.039
2018-02-16,60.06,0.015,-0.056,-0.057
2018-02-20,60.51,0.041,-0.017,-0.054
2018-02-21,59.42,0.03,-0.024,-0.079
2018-02-22,58.73,0.002,-0.054,-0.096
2018-02-23,60.06,-0.006,0.02,-0.067
2018-02-26,61.11,0.017,0.032,-0.064
2018-02-27,59.94,-0.009,0.031,-0.072
2018-02-28,60.61,0.02,0.051,-0.064
2018-03-01,61.9,0.054,0.056,-0.049
2018-03-02,62.47,0.04,0.034,-0.021
2018-03-05,62.95,0.03,0.048,-0.01
2018-03-06,63.56,0.06,0.05,0.033
2018-03-07,64.56,0.065,0.087,0.061
2018-03-08,65.06,0.051,0.108,0.048
2018-03-09,65.25,0.045,0.086,0.108
2018-03-12,64.55,0.025,0.056,0.09
2018-03-13,64.98,0.022,0.084,0.118
2018-03-14,64.78,0.003,0.069,0.123
2018-03-15,64.71,-0.005,0.045,0.104
2018-03-16,64.76,-0.008,0.037,0.071
2018-03-19,63.22,-0.021,0.004,0.053
2018-03-20,62.78,-0.034,-0.012,0.038
2018-03-21,62.59,-0.034,-0.031,0.053
2018-03-22,61.25,-0.053,-0.059,0.043
2018-03-23,59.74,-0.078,-0.084,-0.005
2018-03-26,61.39,-0.029,-0.049,0.005
2018-03-27,60.34,-0.039,-0.071,0.007
2018-03-28,60.87,-0.027,-0.06,0.004
2018-03-29,61.04,-0.003,-0.057,-0.014
2018-04-02,59.62,-0.002,-0.079,-0.046
2018-04-03,59.59,-0.029,-0.057,-0.053
2018-04-04,59.75,-0.01,-0.048,-0.06
2018-04-05,59.81,-0.017,-0.044,-0.074
2018-04-06,59.65,-0.023,-0.026,-0.083
2018-04-09,59.74,0.002,0.0,-0.084
2018-04-10,63.13,0.059,0.028,-0.022
2018-04-11,62.92,0.053,0.043,-0.032
2018-04-12,63.02,0.054,0.035,-0.027
2018-04-13,61.95,0.039,0.015,-0.043
2018-04-16,62.75,0.05,0.052,-0.031
2018-04-17,63.02,-0.002,0.058,-0.003
2018-04-18,62.9,-0.0,0.053,0.002
2018-04-19,63.25,0.004,0.058,0.011
2018-04-20,63.09,0.018,0.058,0.03
2018-04-23,62.29,-0.007,0.043,0.043
2018-04-24,62.58,-0.007,-0.009,0.019
2018-04-25,63.93,0.016,0.016,0.059
2018-04-26,64.1,0.013,0.017,0.053
2018-04-27,64.52,0.023,0.041,0.057
2018-04-30,60.51,-0.029,-0.036,0.015
2018-05-01,59.43,-0.05,-0.057,-0.003
2018-05-02,56.97,-0.109,-0.094,-0.047
2018-05-03,55.92,-0.128,-0.116,-0.065
2018-05-04,57.26,-0.113,-0.092,-0.04
2018-05-07,56.54,-0.066,-0.092,-0.054
2018-05-08,55.58,-0.065,-0.112,-0.12
2018-05-09,56.32,-0.011,-0.119,-0.105
2018-05-10,56.85,0.017,-0.113,-0.098
2018-05-11,56.39,-0.015,-0.126,-0.09
2018-05-14,56.46,-0.001,-0.067,-0.1
2018-05-15,56.37,0.014,-0.051,-0.106
2018-05-16,56.53,0.004,-0.008,-0.101
2018-05-17,56.68,-0.003,0.014,-0.104
2018-05-18,56.93,0.01,-0.006,-0.098
2018-05-21,57.19,0.013,0.011,-0.082
2018-05-22,57.18,0.014,0.029,-0.086
2018-05-23,57.02,0.009,0.012,-0.108
2018-05-24,56.98,0.005,0.002,-0.111
2018-05-25,56.59,-0.006,0.004,-0.123
2018-05-29,56.62,-0.01,0.003,-0.064
2018-05-30,56.33,-0.015,-0.001,-0.052
2018-05-31,55.7,-0.023,-0.015,-0.022
2018-06-01,56.87,-0.002,0.003,0.017
2018-06-04,57.12,0.009,0.003,-0.002
2018-06-05,57.16,0.01,-0.001,0.011
2018-06-06,57.6,0.023,0.007,0.036
2018-06-07,57.82,0.038,0.014,0.027
2018-06-08,57.8,0.016,0.014,0.017
2018-06-11,57.99,0.015,0.025,0.028
2018-06-12,58.09,0.016,0.026,0.029
2018-06-13,58.68,0.019,0.042,0.041
2018-06-14,59.53,0.03,0.069,0.053
2018-06-15,60.01,0.038,0.055,0.059
2018-06-18,60.36,0.041,0.057,0.06
2018-06-19,60.54,0.042,0.059,0.059
2018-06-20,60.34,0.028,0.048,0.055
2018-06-21,60.0,0.008,0.038,0.052
2018-06-22,60.79,0.013,0.052,0.067
2018-06-25,59.73,-0.01,0.03,0.055
2018-06-26,59.7,-0.014,0.028,0.054
2018-06-27,59.34,-0.017,0.011,0.053
2018-06-28,59.86,-0.002,0.006,0.075
2018-06-29,59.75,-0.017,-0.004,0.051
2018-07-02,59.91,0.003,-0.007,0.049
2018-07-03,59.14,-0.009,-0.023,0.035
2018-07-05,60.06,0.012,-0.005,0.043
2018-07-06,61.14,0.021,0.019,0.057
2018-07-09,61.34,0.027,0.009,0.061
2018-07-10,61.18,0.021,0.024,0.055
2018-07-11,60.18,0.018,0.008,0.036
2018-07-12,61.58,0.025,0.038,0.049
2018-07-13,61.68,0.009,0.03,0.036
2018-07-16,61.63,0.005,0.031,0.027
2018-07-17,61.21,0.0,0.022,0.014
2018-07-18,60.52,0.006,0.023,-0.0
2018-07-19,59.41,-0.035,-0.011,-0.015
2018-07-20,59.25,-0.039,-0.031,-0.012
2018-07-23,58.36,-0.053,-0.049,-0.04
2018-07-24,58.78,-0.04,-0.039,-0.016
2018-07-25,58.83,-0.028,-0.022,-0.015
2018-07-26,59.37,-0.001,-0.036,0.001
2018-07-27,59.61,0.006,-0.034,-0.004
2018-07-30,59.82,0.025,-0.029,0.001
2018-07-31,60.0,0.021,-0.02,0.002
2018-08-01,59.36,0.009,-0.019,0.004
2018-08-02,62.18,0.047,0.047,0.035
2018-08-03,61.55,0.033,0.039,0.007
2018-08-06,66.3,0.108,0.136,0.081
2018-08-07,65.33,0.089,0.111,0.068
2018-08-08,65.5,0.103,0.113,0.088
2018-08-09,64.97,0.045,0.094,0.055
2018-08-10,64.98,0.056,0.09,0.054
2018-08-13,65.7,-0.009,0.098,0.066
2018-08-14,65.96,0.01,0.099,0.078
2018-08-15,65.41,-0.001,0.102,0.081
2018-08-16,65.98,0.016,0.061,0.111
2018-08-17,65.9,0.014,0.071,0.112
2018-08-20,65.84,0.002,-0.007,0.128
2018-08-21,66.51,0.008,0.018,0.132
2018-08-22,65.81,0.006,0.005,0.119
2018-08-23,65.21,-0.012,0.004,0.098
2018-08-24,65.41,-0.007,0.007,0.097
2018-08-27,65.8,-0.001,0.002,0.1
2018-08-28,65.59,-0.014,-0.006,0.093
2018-08-29,65.98,0.003,0.009,0.112
2018-08-30,66.01,0.012,0.0,0.062
2018-08-31,66.04,0.01,0.002,0.073
2018-09-04,65.77,-0.0,-0.001,-0.008
2018-09-05,65.71,0.002,-0.012,0.006
2018-09-06,65.52,-0.007,-0.004,0.0
2018-09-07,64.39,-0.025,-0.013,-0.009
2018-09-10,65.56,-0.007,0.002,0.009
2018-09-11,65.91,0.002,0.002,0.003
2018-09-12,67.92,0.034,0.036,0.03
2018-09-13,68.48,0.045,0.038,0.047
2018-09-14,68.25,0.06,0.034,0.034
2018-09-17,67.42,0.028,0.021,0.023
2018-09-18,68.49,0.039,0.041,0.04
2018-09-19,68.35,0.006,0.04,0.028
2018-09-20,69.13,0.009,0.055,0.05
2018-09-21,69.07,0.012,0.073,0.059
2018-09-24,68.92,0.022,0.051,0.054
2018-09-25,69.45,0.014,0.054,0.055
2018-09-26,68.79,0.006,0.013,0.049
2018-09-27,70.49,0.02,0.029,0.068
2018-09-28,70.18,0.016,0.028,0.063
2018-10-01,70.25,0.019,0.042,0.064
2018-10-02,69.72,0.004,0.018,0.06
2018-10-03,68.98,0.003,0.009,0.05
2018-10-04,68.95,-0.022,-0.003,0.052
2018-10-05,68.59,-0.023,-0.007,0.065
2018-10-08,68.82,-0.02,-0.001,0.05
2018-10-09,68.46,-0.018,-0.014,0.039
2018-10-10,66.63,-0.034,-0.031,-0.019
2018-10-11,66.21,-0.04,-0.061,-0.033
2018-10-12,68.38,-0.003,-0.026,0.002
2018-10-15,67.62,-0.017,-0.037,0.003
2018-10-16,68.94,0.007,-0.011,0.007
2018-10-17,69.08,0.037,0.001,0.011
2018-10-18,68.77,0.039,-0.003,-0.005
2018-10-19,69.75,0.02,0.017,0.01
2018-10-22,69.51,0.028,0.01,0.009
2018-10-23,69.28,0.005,0.012,-0.002
2018-10-24,65.71,-0.049,-0.014,-0.045
2018-10-25,66.32,-0.036,0.002,-0.059
2018-10-26,65.11,-0.067,-0.048,-0.072
2018-10-29,64.91,-0.066,-0.04,-0.076
2018-10-30,63.92,-0.077,-0.073,-0.083
2018-10-31,68.55,0.043,-0.008,-0.006
2018-11-01,68.88,0.039,0.002,-0.001
2018-11-02,68.51,0.052,-0.018,-0.001
2018-11-05,68.89,0.061,-0.009,0.001
