date,open,high,low,close,adjusted close,volume
2011-12-07 00:00:00,27.5,27.76,24.0,27.45,27.45,1413700
2011-12-08 00:00:00,26.06,27.78,25.759,26.55,26.55,719600
2011-12-09 00:00:00,27.93,28.0,26.7,27.91,27.91,716200
2011-12-12 00:00:00,28.28,28.28,27.0,27.45,27.45,393300
2011-12-13 00:00:00,28.53,28.53,27.01,27.5,27.5,452500
2011-12-14 00:00:00,28.19,28.19,26.85,27.12,27.12,444400
2011-12-15 00:00:00,27.87,29.1,27.6,28.33,28.33,1417600
2011-12-16 00:00:00,29.92,29.92,28.0,28.46,28.46,966700
2011-12-19 00:00:00,28.69,29.46,28.408,28.97,28.97,1048500
2011-12-20 00:00:00,29.5,30.62,29.47,30.25,30.25,2017200
2011-12-21 00:00:00,30.0,30.0,27.51,27.67,27.67,2871800
2011-12-22 00:00:00,27.12,27.6,23.99,24.53,24.53,6294100
2011-12-23 00:00:00,24.71,27.14,24.5,26.02,26.02,2744200
2011-12-27 00:00:00,25.36,26.1,24.63,25.94,25.94,2887400
2011-12-28 00:00:00,25.25,25.98,24.94,25.77,25.77,2098600
2011-12-29 00:00:00,25.54,25.66,24.79,24.82,24.82,2247300
2011-12-30 00:00:00,24.97,25.55,24.64,25.21,25.21,1798400
2012-01-03 00:00:00,26.15,27.35,26.105,26.63,26.63,3721800
2012-01-04 00:00:00,25.82,26.09,25.41,25.68,25.68,1681000
2012-01-05 00:00:00,24.57,25.82,24.57,25.52,25.52,1534700
2012-01-06 00:00:00,25.52,26.02,25.17,25.57,25.57,1484800
2012-01-09 00:00:00,25.74,26.77,25.65,26.26,26.26,1965300
2012-01-10 00:00:00,26.73,28.24,26.59,27.75,27.75,4177500
2012-01-11 00:00:00,26.69,28.22,26.56,27.79,27.79,1803300
2012-01-12 00:00:00,27.87,29.17,27.8,28.46,28.46,2005600
2012-01-13 00:00:00,28.22,29.77,27.93,29.51,29.51,1993400
2012-01-17 00:00:00,29.58,29.8,28.91,28.99,28.99,3210100
2012-01-18 00:00:00,28.69,29.43,28.52,29.03,29.03,1205200
2012-01-19 00:00:00,29.1,30.885,29.02,30.33,30.33,2712900
2012-01-20 00:00:00,30.42,30.49,29.82,30.4,30.4,1307600
2012-01-23 00:00:00,30.54,30.79,30.23,30.38,30.38,2565400
2012-01-24 00:00:00,30.14,30.75,29.97,30.69,30.69,1299100
2012-01-25 00:00:00,30.55,32.33,30.55,31.49,31.49,2349300
2012-01-26 00:00:00,31.48,31.94,30.46,31.05,31.05,1881500
2012-01-27 00:00:00,30.39,31.46,30.35,31.24,31.24,1227500
2012-01-30 00:00:00,30.96,31.84,30.64,31.64,31.64,904500
2012-01-31 00:00:00,30.84,33.04,30.84,32.91,32.91,1261100
2012-02-01 00:00:00,33.11,35.17,33.08,35.06,35.06,3610100
2012-02-02 00:00:00,35.28,35.6,33.83,34.88,34.88,2447800
