,close,5days,10days,20days
2017-12-29,34.46,0.0,0.0,0.0
2018-01-02,34.77,0.0,0.0,0.0
2018-01-03,34.97,0.0,0.0,0.0
2018-01-04,34.92,0.0,0.0,0.0
2018-01-05,34.73,0.0,0.0,0.0
2018-01-08,34.67,0.006,0.0,0.0
2018-01-09,34.59,-0.005,0.0,0.0
2018-01-10,34.49,-0.014,0.0,0.0
2018-01-11,35.28,0.01,0.0,0.0
2018-01-12,36.54,0.052,0.0,0.0
2018-01-16,35.89,0.035,0.041,0.0
2018-01-17,35.9,0.038,0.032,0.0
2018-01-18,35.62,0.033,0.019,0.0
2018-01-19,35.45,0.005,0.015,0.0
2018-01-22,37.2,0.018,0.071,0.0
2018-01-23,36.3,0.011,0.047,0.0
2018-01-24,36.31,0.011,0.05,0.0
2018-01-25,36.49,0.024,0.058,0.0
2018-01-26,36.78,0.038,0.043,0.0
2018-01-29,36.33,-0.023,-0.006,0.0
2018-01-30,34.9,-0.039,-0.028,0.013
2018-01-31,34.67,-0.045,-0.034,-0.003
2018-02-01,34.62,-0.051,-0.028,-0.01
2018-02-02,34.35,-0.066,-0.031,-0.016
2018-02-05,35.62,-0.02,-0.042,0.026
2018-02-06,40.84,0.17,0.125,0.178
2018-02-07,41.05,0.184,0.131,0.187
2018-02-08,40.05,0.157,0.098,0.161
2018-02-09,38.31,0.115,0.042,0.086
2018-02-12,37.71,0.059,0.038,0.032
2018-02-13,39.88,-0.024,0.143,0.111
2018-02-14,40.72,-0.008,0.175,0.134
2018-02-15,42.4,0.059,0.225,0.19
2018-02-16,43.32,0.131,0.261,0.222
2018-02-20,42.65,0.131,0.197,0.147
2018-02-21,42.37,0.062,0.037,0.167
2018-02-22,41.65,0.023,0.015,0.147
2018-02-23,42.3,-0.002,0.056,0.159
2018-02-26,41.45,-0.043,0.082,0.127
2018-02-27,39.73,-0.068,0.054,0.094
2018-02-28,40.08,-0.054,0.005,0.148
2018-03-01,39.76,-0.045,-0.024,0.147
2018-03-02,39.69,-0.062,-0.064,0.146
2018-03-05,41.97,0.013,-0.031,0.222
2018-03-06,42.38,0.067,-0.006,0.19
2018-03-07,42.58,0.062,0.005,0.043
2018-03-08,42.45,0.068,0.019,0.034
2018-03-09,43.03,0.084,0.017,0.074
2018-03-12,43.17,0.029,0.041,0.127
2018-03-13,42.28,-0.002,0.064,0.121
2018-03-14,44.05,0.035,0.099,0.105
2018-03-15,43.74,0.03,0.1,0.074
2018-03-16,43.77,0.017,0.103,0.032
2018-03-19,42.72,-0.01,0.018,-0.014
2018-03-20,41.78,-0.012,-0.014,-0.02
2018-03-21,41.59,-0.056,-0.023,-0.018
