,close,5days,10days,20days
2017-12-29,311.35,0.0,0.0,0.0
2018-01-02,320.53,0.0,0.0,0.0
2018-01-03,317.25,0.0,0.0,0.0
2018-01-04,314.62,0.0,0.0,0.0
2018-01-05,316.58,0.0,0.0,0.0
2018-01-08,336.41,0.08,0.0,0.0
2018-01-09,333.69,0.041,0.0,0.0
2018-01-10,334.8,0.055,0.0,0.0
2018-01-11,337.95,0.074,0.0,0.0
2018-01-12,336.22,0.062,0.0,0.0
2018-01-16,340.06,0.011,0.092,0.0
2018-01-17,347.16,0.04,0.083,0.0
2018-01-18,344.57,0.029,0.086,0.0
2018-01-19,350.02,0.036,0.113,0.0
2018-01-22,351.56,0.046,0.11,0.0
2018-01-23,352.79,0.037,0.049,0.0
2018-01-24,345.89,-0.004,0.037,0.0
2018-01-25,337.64,-0.02,0.008,0.0
2018-01-26,342.85,-0.02,0.014,0.0
2018-01-29,349.53,-0.006,0.04,0.0
2018-01-30,345.82,-0.02,0.017,0.111
2018-01-31,354.31,0.024,0.021,0.105
2018-02-01,349.25,0.034,0.014,0.101
2018-02-02,343.75,0.003,-0.018,0.093
2018-02-05,333.13,-0.047,-0.052,0.052
2018-02-06,333.97,-0.034,-0.053,-0.007
2018-02-07,345.0,-0.026,-0.003,0.034
2018-02-08,315.23,-0.097,-0.066,-0.058
2018-02-09,310.42,-0.097,-0.095,-0.081
2018-02-12,315.73,-0.052,-0.097,-0.061
2018-02-13,323.66,-0.031,-0.064,-0.048
2018-02-14,322.31,-0.066,-0.09,-0.072
2018-02-15,334.065,0.06,-0.043,-0.03
2018-02-16,335.49,0.081,-0.024,-0.042
2018-02-20,334.77,0.06,0.005,-0.048
2018-02-21,333.3,0.03,-0.002,-0.055
2018-02-22,346.17,0.074,0.003,0.001
2018-02-23,352.05,0.054,0.117,0.043
2018-02-26,357.42,0.065,0.151,0.042
2018-02-27,350.99,0.048,0.112,0.004
2018-02-28,343.06,0.029,0.06,-0.008
2018-03-01,330.93,-0.044,0.027,-0.066
2018-03-02,335.12,-0.048,0.003,-0.04
2018-03-05,333.35,-0.067,-0.006,-0.03
2018-03-06,328.2,-0.065,-0.02,-0.015
2018-03-07,332.3,-0.031,-0.003,-0.005
2018-03-08,329.1,-0.006,-0.049,-0.046
2018-03-09,327.17,-0.024,-0.071,0.038
2018-03-12,345.51,0.036,-0.033,0.113
2018-03-13,341.84,0.042,-0.026,0.083
2018-03-14,326.63,-0.017,-0.048,0.009
2018-03-15,325.6,-0.011,-0.016,0.01
2018-03-16,321.35,-0.018,-0.041,-0.038
2018-03-19,313.56,-0.092,-0.059,-0.065
2018-03-20,310.55,-0.092,-0.054,-0.072
2018-03-21,316.53,-0.031,-0.047,-0.05
2018-03-22,309.1,-0.051,-0.061,-0.107
2018-03-23,301.54,-0.062,-0.078,-0.143
2018-03-26,304.18,-0.03,-0.12,-0.149
2018-03-27,279.18,-0.101,-0.183,-0.205
2018-03-28,257.78,-0.186,-0.211,-0.249
2018-03-29,266.13,-0.139,-0.183,-0.196
2018-04-02,252.48,-0.163,-0.214,-0.247
2018-04-03,267.53,-0.12,-0.147,-0.197
2018-04-04,286.94,0.028,-0.076,-0.126
2018-04-05,305.72,0.186,-0.034,-0.08
2018-04-06,299.3,0.125,-0.032,-0.091
2018-04-09,289.66,0.147,-0.039,-0.115
2018-04-10,304.7,0.139,0.002,-0.118
2018-04-11,300.93,0.049,0.078,-0.12
2018-04-12,294.08,-0.038,0.141,-0.1
2018-04-13,300.34,0.003,0.129,-0.078
2018-04-16,291.21,0.005,0.153,-0.094
2018-04-17,287.69,-0.056,0.075,-0.083
2018-04-18,293.35,-0.025,0.022,-0.055
2018-04-19,300.08,0.02,-0.018,-0.052
2018-04-20,290.24,-0.034,-0.03,-0.061
2018-04-23,283.37,-0.027,-0.022,-0.06
2018-04-24,283.46,-0.015,-0.07,-0.068
2018-04-25,280.69,-0.043,-0.067,0.005
2018-04-26,285.48,-0.049,-0.029,0.107
2018-04-27,294.075,0.013,-0.021,0.105
2018-04-30,293.9,0.037,0.009,0.164
2018-05-01,299.92,0.058,0.043,0.121
