date,open,high,low,close,adjusted close,volume
2016-09-21 00:00:00,28.75,30.4,27.8,30.1,30.1,6343768
2016-09-22 00:00:00,31.0,31.6999,28.41,28.9,28.9,2272804
2016-09-23 00:00:00,28.85,28.9,26.84,27.66,27.66,1058708
2016-09-26 00:00:00,27.1,28.4202,27.0,27.77,27.77,306080
2016-09-27 00:00:00,28.33,30.8483,27.34,29.98,29.98,1015766
2016-09-28 00:00:00,30.73,33.4,30.02,33.39,33.39,2056476
2016-09-29 00:00:00,32.6,33.195,28.8,28.99,28.99,1703342
2016-09-30 00:00:00,29.35,30.95,29.19,29.21,29.21,949302
2016-10-03 00:00:00,29.12,29.3166,26.19,26.38,26.38,1080413
2016-10-04 00:00:00,26.39,27.25,23.63,23.83,23.83,1338126
2016-10-05 00:00:00,24.42,25.2,23.5,24.78,24.78,963448
2016-10-06 00:00:00,25.12,26.94,24.6132,26.08,26.08,855796
2016-10-07 00:00:00,25.28,26.49,25.02,26.26,26.26,448552
2016-10-10 00:00:00,25.77,26.3704,25.1011,25.28,25.28,364534
2016-10-11 00:00:00,25.06,25.9253,23.5,25.52,25.52,539425
2016-10-12 00:00:00,25.32,26.96,25.32,26.9,26.9,332247
2016-10-13 00:00:00,26.4,26.73,25.5,25.97,25.97,245656
2016-10-14 00:00:00,26.11,27.2399,26.05,26.36,26.36,222913
2016-10-17 00:00:00,27.02,27.25,26.14,26.27,26.27,337580
2016-10-18 00:00:00,26.27,26.5079,25.81,25.88,25.88,171606
2016-10-19 00:00:00,25.75,26.22,25.251,25.46,25.46,111748
2016-10-20 00:00:00,25.1,26.66,25.05,26.49,26.49,104106
2016-10-21 00:00:00,26.51,27.5,26.24,27.48,27.48,235937
2016-10-24 00:00:00,27.38,28.7,27.05,28.52,28.52,273145
2016-10-25 00:00:00,28.61,29.47,28.5682,28.8,28.8,280540
2016-10-26 00:00:00,28.95,29.09,27.89,28.18,28.18,182483
2016-10-27 00:00:00,28.16,28.5969,25.44,25.52,25.52,367647
2016-10-28 00:00:00,25.75,26.755,25.5,25.61,25.61,168531
2016-10-31 00:00:00,26.01,26.01,24.17,25.18,25.18,176465
2016-11-01 00:00:00,25.44,25.7,25.0,25.24,25.24,88910
2016-11-02 00:00:00,25.02,26.0,24.2,24.43,24.43,182532
2016-11-03 00:00:00,24.26,24.5122,22.01,22.9,22.9,402233
2016-11-04 00:00:00,22.93,24.1891,22.79,23.87,23.87,153741
2016-11-07 00:00:00,24.16,24.34,22.275,22.9,22.9,206824
2016-11-08 00:00:00,24.26,24.3,22.5501,22.8,22.8,577393
2016-11-09 00:00:00,22.15,23.5,22.0,22.95,22.95,557268
2016-11-10 00:00:00,23.9,24.34,23.185,23.43,23.43,562211
2016-11-11 00:00:00,25.01,26.49,24.02,25.45,25.45,1126418
2016-11-14 00:00:00,25.57,27.35,25.5,25.77,25.77,695161
2016-11-15 00:00:00,25.84,26.12,25.03,25.25,25.25,544098
2016-11-16 00:00:00,25.0,25.97,24.8001,25.36,25.36,468557
2016-11-17 00:00:00,25.57,26.4599,25.41,25.93,25.93,608123
2016-11-18 00:00:00,25.97,29.25,25.97,29.1,29.1,825895
2016-11-21 00:00:00,28.86,30.48,28.0,29.33,29.33,748259
2016-11-22 00:00:00,29.4,29.6,28.32,28.73,28.73,383255
2016-11-23 00:00:00,28.71,30.5,28.19,30.19,30.19,527469
2016-11-25 00:00:00,29.99,30.48,28.66,29.08,29.08,257555
2016-11-28 00:00:00,29.28,29.28,25.7101,26.7,26.7,905661
2016-11-29 00:00:00,26.65,27.78,25.5,27.12,27.12,460269
2016-11-30 00:00:00,26.94,27.838,25.8153,26.58,26.58,313733
2016-12-01 00:00:00,26.4,27.0,25.48,26.08,26.08,486177
2016-12-02 00:00:00,25.87,26.48,25.62,26.2,26.2,305498
2016-12-05 00:00:00,26.2,27.21,26.0911,26.62,26.62,279537
2016-12-06 00:00:00,26.61,28.41,26.08,28.1,28.1,503285
2016-12-07 00:00:00,28.12,28.525,27.46,27.58,27.58,208217
2016-12-08 00:00:00,27.53,28.6388,27.0,27.41,27.41,166374
2016-12-09 00:00:00,27.56,28.43,27.06,27.47,27.47,362483
2016-12-12 00:00:00,28.64,29.55,28.1,29.36,29.36,497813
2016-12-13 00:00:00,29.4,30.38,28.67,29.29,29.29,563199
2016-12-14 00:00:00,29.12,29.55,27.93,28.0,28.0,502970
2016-12-15 00:00:00,28.1,29.65,28.04,29.52,29.52,431446
2016-12-16 00:00:00,29.69,29.97,28.64,29.23,29.23,1176428
2016-12-19 00:00:00,29.36,29.9,28.76,29.22,29.22,326943
2016-12-20 00:00:00,29.39,31.43,28.93,31.1,31.1,531140
2016-12-21 00:00:00,31.22,31.22,29.84,30.36,30.36,347521
2016-12-22 00:00:00,30.2,30.915,29.5,30.32,30.32,271246
2016-12-23 00:00:00,30.46,30.74,29.55,30.15,30.15,106405
2016-12-27 00:00:00,30.46,30.63,29.6,29.94,29.94,170939
2016-12-28 00:00:00,29.85,30.225,28.44,28.49,28.49,233398
2016-12-29 00:00:00,28.6,29.12,28.12,28.38,28.38,206963
2016-12-30 00:00:00,28.35,28.73,26.93,27.67,27.67,285022
2017-01-03 00:00:00,28.05,28.76,26.45,26.93,26.93,442968
2017-01-04 00:00:00,27.01,28.65,26.4,27.1,27.1,426168
2017-01-05 00:00:00,26.9,27.71,26.52,27.45,27.45,161518
2017-01-06 00:00:00,27.51,27.9,26.9,27.7,27.7,236911
2017-01-09 00:00:00,27.56,28.94,27.33,28.44,28.44,249184
2017-01-10 00:00:00,28.42,29.0,27.75,28.86,28.86,309803
2017-01-11 00:00:00,28.79,30.1,28.29,29.75,29.75,255602
2017-01-12 00:00:00,29.63,29.74,28.5369,29.37,29.37,144252
2017-01-13 00:00:00,29.42,30.5,29.2,29.35,29.35,162761
2017-01-17 00:00:00,29.22,29.52,28.87,28.99,28.99,70239
2017-01-18 00:00:00,29.11,29.51,28.58,29.01,29.01,129753
2017-01-19 00:00:00,28.63,29.22,28.6,29.0,29.0,99161
2017-01-20 00:00:00,28.98,29.6,28.98,29.26,29.26,80991
2017-01-23 00:00:00,29.29,29.92,29.17,29.79,29.79,74900
2017-01-24 00:00:00,29.97,30.04,29.3,29.65,29.65,154705
2017-01-25 00:00:00,29.92,31.25,29.8,30.41,30.41,251269
2017-01-26 00:00:00,30.39,31.1,30.2201,30.78,30.78,153163
2017-01-27 00:00:00,30.69,31.0571,30.46,30.83,30.83,133750
2017-01-30 00:00:00,30.7,30.8953,29.3,29.75,29.75,309606
2017-01-31 00:00:00,29.64,30.1199,29.12,29.66,29.66,338680
2017-02-01 00:00:00,29.97,30.08,28.9,29.59,29.59,255799
2017-02-02 00:00:00,29.38,29.5,28.91,29.02,29.02,77729
2017-02-03 00:00:00,29.23,29.23,28.44,28.92,28.92,228881
2017-02-06 00:00:00,28.74,28.99,28.28,28.8,28.8,84821
2017-02-07 00:00:00,29.46,29.46,28.11,28.55,28.55,121702
2017-02-08 00:00:00,28.43,29.01,28.23,28.34,28.34,63246
2017-02-09 00:00:00,28.37,29.11,28.36,29.04,29.04,119398
2017-02-10 00:00:00,29.12,29.53,28.91,29.05,29.05,94722
2017-02-13 00:00:00,29.16,30.48,29.16,30.06,30.06,208659
2017-02-14 00:00:00,30.11,32.19,29.86,30.35,30.35,472271
