,close,5days,10days,20days
2017-12-29,23.6,0.0,0.0,0.0
2018-01-02,25.1,0.0,0.0,0.0
2018-01-03,25.69,0.0,0.0,0.0
2018-01-04,25.68,0.0,0.0,0.0
2018-01-05,25.76,0.0,0.0,0.0
2018-01-08,26.17,0.109,0.0,0.0
2018-01-09,25.75,0.026,0.0,0.0
2018-01-10,25.64,-0.002,0.0,0.0
2018-01-11,26.03,0.014,0.0,0.0
2018-01-12,26.16,0.016,0.0,0.0
2018-01-16,25.33,-0.032,0.073,0.0
2018-01-17,25.4,-0.014,0.012,0.0
2018-01-18,25.68,0.002,-0.0,0.0
2018-01-19,25.71,-0.012,0.001,0.0
2018-01-22,26.24,0.003,0.019,0.0
2018-01-23,26.63,0.051,0.018,0.0
2018-01-24,26.91,0.059,0.045,0.0
2018-01-25,26.52,0.033,0.034,0.0
2018-01-26,26.53,0.032,0.019,0.0
2018-01-29,26.39,0.006,0.009,0.0
2018-01-30,26.1,-0.02,0.03,0.106
2018-01-31,26.24,-0.025,0.033,0.045
2018-02-01,26.06,-0.017,0.015,0.014
2018-02-02,25.55,-0.037,-0.006,-0.005
2018-02-05,24.44,-0.074,-0.069,-0.051
2018-02-06,24.64,-0.056,-0.075,-0.058
2018-02-07,24.36,-0.072,-0.095,-0.054
2018-02-08,23.91,-0.083,-0.098,-0.067
2018-02-09,24.52,-0.04,-0.076,-0.058
2018-02-12,25.79,0.055,-0.023,-0.014
2018-02-13,26.44,0.073,0.013,0.044
2018-02-14,30.72,0.261,0.171,0.209
2018-02-15,32.13,0.344,0.233,0.251
2018-02-16,33.09,0.35,0.295,0.287
2018-02-20,33.01,0.28,0.351,0.258
2018-02-21,33.06,0.25,0.342,0.241
2018-02-22,32.44,0.056,0.332,0.205
2018-02-23,33.52,0.043,0.402,0.264
2018-02-26,33.88,0.024,0.382,0.277
2018-02-27,34.44,0.043,0.335,0.305
2018-02-28,34.16,0.033,0.292,0.309
2018-03-01,34.96,0.078,0.138,0.332
2018-03-02,37.33,0.114,0.162,0.432
2018-03-05,38.23,0.128,0.155,0.496
2018-03-06,38.32,0.113,0.161,0.568
2018-03-07,39.23,0.148,0.187,0.592
2018-03-08,38.85,0.111,0.198,0.595
2018-03-09,39.51,0.058,0.179,0.652
2018-03-12,41.01,0.073,0.21,0.673
2018-03-13,39.57,0.033,0.149,0.534
2018-03-14,40.79,0.04,0.194,0.543
2018-03-15,40.78,0.05,0.166,0.327
2018-03-16,41.02,0.038,0.099,0.277
2018-03-19,40.31,-0.017,0.054,0.218
2018-03-20,40.89,0.033,0.067,0.239
2018-03-21,41.3,0.013,0.053,0.249
2018-03-22,41.65,0.021,0.072,0.284
2018-03-23,39.93,-0.027,0.011,0.191
2018-03-26,42.06,0.043,0.026,0.241
2018-03-27,38.73,-0.053,-0.021,0.125
