,close,5days,10days,20days
2017-12-29,24.01,0.0,0.0,0.0
2018-01-02,24.51,0.0,0.0,0.0
2018-01-03,24.45,0.0,0.0,0.0
2018-01-04,23.99,0.0,0.0,0.0
2018-01-05,24.32,0.0,0.0,0.0
2018-01-08,24.59,0.024,0.0,0.0
2018-01-09,24.17,-0.014,0.0,0.0
2018-01-10,24.25,-0.008,0.0,0.0
2018-01-11,24.35,0.015,0.0,0.0
2018-01-12,25.41,0.045,0.0,0.0
2018-01-16,24.66,0.003,0.027,0.0
2018-01-17,24.56,0.016,0.002,0.0
2018-01-18,24.04,-0.009,-0.017,0.0
2018-01-19,23.66,-0.028,-0.014,0.0
2018-01-22,23.32,-0.082,-0.041,0.0
2018-01-23,22.75,-0.077,-0.075,0.0
2018-01-24,22.37,-0.089,-0.074,0.0
2018-01-25,22.16,-0.078,-0.086,0.0
2018-01-26,24.27,0.026,-0.003,0.0
2018-01-29,25.18,0.08,-0.009,0.0
2018-01-30,25.62,0.126,0.039,0.067
2018-01-31,25.81,0.154,0.051,0.053
2018-02-01,27.14,0.225,0.129,0.11
2018-02-02,25.92,0.068,0.096,0.08
2018-02-05,25.13,-0.002,0.078,0.033
2018-02-06,25.24,-0.015,0.109,0.026
2018-02-07,26.91,0.043,0.203,0.113
2018-02-08,30.18,0.112,0.362,0.245
2018-02-09,31.51,0.216,0.298,0.294
2018-02-12,30.95,0.232,0.229,0.218
2018-02-13,33.44,0.325,0.305,0.356
2018-02-14,33.75,0.254,0.308,0.374
2018-02-15,33.61,0.114,0.238,0.398
2018-02-16,33.06,0.049,0.275,0.397
2018-02-20,32.84,0.061,0.307,0.408
2018-02-21,33.38,-0.002,0.323,0.467
2018-02-22,32.11,-0.049,0.193,0.435
2018-02-23,32.66,-0.028,0.082,0.474
2018-02-26,32.16,-0.027,0.021,0.325
2018-02-27,31.32,-0.046,0.012,0.244
2018-02-28,31.86,-0.046,-0.047,0.244
2018-03-01,32.24,0.004,-0.045,0.249
2018-03-02,33.0,0.01,-0.018,0.216
2018-03-05,34.58,0.075,0.046,0.334
2018-03-06,34.43,0.099,0.048,0.37
2018-03-07,35.76,0.122,0.071,0.417
2018-03-08,34.85,0.081,0.085,0.295
2018-03-09,35.35,0.071,0.082,0.171
2018-03-12,35.5,0.027,0.104,0.127
2018-03-13,34.11,-0.009,0.089,0.102
2018-03-14,36.6,0.023,0.149,0.094
2018-03-15,35.8,0.027,0.11,0.061
2018-03-16,35.58,0.007,0.078,0.059
2018-03-19,34.98,-0.015,0.012,0.058
2018-03-20,31.35,-0.081,-0.089,-0.045
2018-03-21,32.73,-0.106,-0.085,-0.019
2018-03-22,31.2,-0.128,-0.105,-0.028
2018-03-23,31.03,-0.128,-0.122,-0.05
2018-03-26,31.91,-0.088,-0.101,-0.008
2018-03-27,28.07,-0.105,-0.177,-0.104
2018-03-28,28.45,-0.131,-0.223,-0.107
2018-03-29,29.01,-0.07,-0.19,-0.1
2018-04-02,28.04,-0.096,-0.212,-0.15
2018-04-03,27.54,-0.137,-0.213,-0.204
2018-04-04,28.25,0.006,-0.099,-0.179
2018-04-05,28.64,0.007,-0.125,-0.199
2018-04-06,28.1,-0.031,-0.099,-0.194
2018-04-09,28.01,-0.001,-0.097,-0.208
2018-04-10,29.53,0.072,-0.075,-0.168
2018-04-11,29.39,0.04,0.047,-0.138
2018-04-12,29.0,0.013,0.019,-0.208
2018-04-13,28.76,0.023,-0.009,-0.197
2018-04-16,28.58,0.02,0.019,-0.197
2018-04-17,31.84,0.078,0.156,-0.09
2018-04-18,31.54,0.073,0.116,0.006
2018-04-19,31.54,0.088,0.101,-0.036
2018-04-20,31.91,0.11,0.136,0.023
2018-04-23,31.22,0.092,0.115,0.006
2018-04-24,30.47,-0.043,0.032,-0.045
2018-04-25,29.75,-0.057,0.012,0.06
2018-04-26,30.27,-0.04,0.044,0.064
2018-04-27,29.0,-0.091,0.008,-0.0
2018-04-30,30.31,-0.029,0.061,0.081
2018-05-01,30.3,-0.006,-0.048,0.1
2018-05-02,30.55,0.027,-0.031,0.081
2018-05-03,30.67,0.013,-0.028,0.071
2018-05-04,31.04,0.07,-0.027,0.105
2018-05-07,31.33,0.034,0.004,0.119
2018-05-08,31.85,0.051,0.045,0.079
2018-05-09,32.46,0.063,0.091,0.104
2018-05-10,32.87,0.072,0.086,0.133
2018-05-11,32.75,0.055,0.129,0.139
2018-05-14,33.39,0.066,0.102,0.168
2018-05-15,32.75,0.028,0.081,0.029
2018-05-16,32.77,0.01,0.073,0.039
2018-05-17,32.58,-0.009,0.062,0.033
2018-05-18,32.63,-0.004,0.051,0.023
2018-05-21,33.63,0.007,0.073,0.077
2018-05-22,32.86,0.003,0.032,0.078
2018-05-23,33.42,0.02,0.03,0.123
2018-05-24,33.52,0.029,0.02,0.107
2018-05-25,33.63,0.031,0.027,0.16
2018-05-29,34.04,0.012,0.019,0.123
2018-05-30,34.36,0.046,0.049,0.134
2018-05-31,34.7,0.038,0.059,0.136
2018-06-01,36.65,0.093,0.125,0.195
2018-06-04,37.88,0.126,0.161,0.22
2018-06-05,39.8,0.169,0.183,0.27
2018-06-06,40.1,0.167,0.22,0.259
2018-06-07,39.7,0.144,0.188,0.223
2018-06-08,41.21,0.124,0.229,0.254
2018-06-11,41.42,0.093,0.232,0.265
2018-06-12,43.49,0.093,0.278,0.302
2018-06-13,44.07,0.099,0.283,0.346
2018-06-14,46.76,0.178,0.348,0.427
2018-06-15,45.8,0.111,0.25,0.406
2018-06-18,46.0,0.111,0.214,0.41
2018-06-19,44.95,0.034,0.129,0.337
2018-06-20,46.13,0.047,0.15,0.404
2018-06-21,45.24,-0.033,0.14,0.354
2018-06-22,45.88,0.002,0.113,0.369
2018-06-25,44.17,-0.04,0.066,0.313
