,close,5days,10days,20days
2017-12-29,216.7107,0.0,0.0,0.0
2018-01-02,217.3988,0.0,0.0,0.0
2018-01-03,219.6794,0.0,0.0,0.0
2018-01-04,220.6329,0.0,0.0,0.0
2018-01-05,224.8401,0.0,0.0,0.0
2018-01-08,220.9376,0.02,0.0,0.0
2018-01-09,222.0385,0.021,0.0,0.0
2018-01-10,220.3871,0.003,0.0,0.0
2018-01-11,221.5569,0.004,0.0,0.0
2018-01-12,224.7516,-0.0,0.0,0.0
2018-01-16,228.9392,0.036,0.056,0.0
2018-01-17,234.3751,0.056,0.078,0.0
2018-01-18,239.0247,0.085,0.088,0.0
2018-01-19,239.2114,0.08,0.084,0.0
2018-01-22,239.4179,0.065,0.065,0.0
2018-01-23,241.0398,0.053,0.091,0.0
2018-01-24,240.6859,0.027,0.084,0.0
2018-01-25,241.0103,0.008,0.094,0.0
2018-01-26,244.2444,0.021,0.102,0.0
2018-01-29,243.2024,0.016,0.082,0.0
2018-01-30,232.6254,-0.035,0.016,0.073
2018-01-31,232.7532,-0.033,-0.007,0.071
2018-02-01,231.2197,-0.041,-0.033,0.053
2018-02-02,227.9365,-0.067,-0.047,0.033
2018-02-05,216.2782,-0.111,-0.097,-0.038
2018-02-06,221.3504,-0.048,-0.082,0.002
2018-02-07,221.9796,-0.046,-0.078,-0.0
2018-02-08,212.7787,-0.08,-0.117,-0.035
2018-02-09,217.2022,-0.047,-0.111,-0.02
2018-02-12,221.8518,0.026,-0.088,-0.013
2018-02-13,222.7856,0.006,-0.042,-0.027
2018-02-14,224.8892,0.013,-0.034,-0.04
2018-02-15,222.1762,0.044,-0.039,-0.07
2018-02-16,225.4692,0.038,-0.011,-0.057
2018-02-20,222.8053,0.004,0.03,-0.069
2018-02-21,221.3013,-0.007,-0.0,-0.082
2018-02-22,223.22799999999998,-0.007,0.006,-0.073
2018-02-23,226.2458,0.018,0.063,-0.061
2018-02-26,230.0794,0.02,0.059,-0.058
2018-02-27,228.5656,0.026,0.03,-0.06
2018-02-28,222.3138,0.005,-0.002,-0.044
2018-03-01,220.6329,-0.012,-0.019,-0.052
2018-03-02,221.3603,-0.022,-0.004,-0.043
2018-03-05,224.49599999999998,-0.024,-0.004,-0.015
2018-03-06,222.3334,-0.027,-0.002,0.028
2018-03-07,223.4049,0.005,0.01,0.009
2018-03-08,221.6453,0.005,-0.007,-0.002
2018-03-09,222.3357,0.004,-0.017,0.045
2018-03-12,219.7122,-0.021,-0.045,0.012
2018-03-13,223.825,0.007,-0.021,0.009
2018-03-14,222.2864,-0.005,-0.0,-0.002
2018-03-15,226.3301,0.021,0.026,0.006
2018-03-16,224.7324,0.011,0.015,0.012
2018-03-19,221.96099999999998,0.01,-0.011,-0.016
2018-03-20,223.6672,-0.001,0.006,0.004
2018-03-21,219.7616,-0.011,-0.016,-0.007
2018-03-22,212.25599999999997,-0.062,-0.042,-0.049
2018-03-23,209.6325,-0.067,-0.057,-0.073
2018-03-26,216.063,-0.027,-0.017,-0.061
2018-03-27,214.9683,-0.039,-0.04,-0.059
2018-03-28,215.5009,-0.019,-0.031,-0.031
2018-03-29,211.0626,-0.006,-0.067,-0.043
2018-04-02,214.2187,0.022,-0.047,-0.032
2018-04-03,221.4974,0.025,-0.002,-0.013
2018-04-04,225.6496,0.05,0.009,0.015
2018-04-05,225.9258,0.048,0.028,0.011
2018-04-06,220.8859,0.047,0.041,-0.003
2018-04-09,219.6728,0.025,0.048,-0.012
2018-04-10,223.6771,0.01,0.035,0.018
2018-04-11,218.8542,-0.03,0.018,-0.022
2018-04-12,221.1621,-0.021,0.026,-0.005
2018-04-13,221.2015,0.001,0.048,-0.023
2018-04-16,227.1586,0.034,0.06,0.011
2018-04-17,235.2756,0.052,0.062,0.06
2018-04-18,233.1552,0.065,0.033,0.042
2018-04-19,232.5239,0.051,0.029,0.058
2018-04-20,231.8336,0.048,0.05,0.092
2018-04-23,231.1234,0.017,0.052,0.103
2018-04-24,231.0051,-0.018,0.033,0.069
2018-04-25,231.6757,-0.006,0.059,0.078
2018-04-26,233.7765,0.005,0.057,0.085
2018-04-27,236.8833,0.022,0.071,0.122
2018-04-30,233.1552,0.009,0.026,0.088
2018-05-01,233.59900000000002,0.011,-0.007,0.055
2018-05-02,230.2555,-0.006,-0.012,0.02
2018-05-03,230.93599999999998,-0.012,-0.007,0.022
2018-05-04,232.662,-0.018,0.004,0.053
2018-05-07,230.5711,-0.011,-0.002,0.05
2018-05-08,228.8451,-0.02,-0.009,0.023
2018-05-09,226.0639,-0.018,-0.024,0.033
2018-05-10,230.5021,-0.002,-0.014,0.042
2018-05-11,235.0094,0.01,-0.008,0.062
2018-05-14,239.5659,0.039,0.027,0.055
