date,open,high,low,close,adjusted close,volume
2018-10-03 00:00:00,23.0,23.49,20.33,21.18,21.18,8385063
2018-10-04 00:00:00,21.5,21.5069,20.58,20.96,20.96,1112878
2018-10-05 00:00:00,20.95,21.7796,20.85,20.99,20.99,914082
2018-10-08 00:00:00,20.95,20.95,19.84,20.04,20.04,797323
2018-10-09 00:00:00,20.0,20.3,19.7,19.94,19.94,1244423
2018-10-10 00:00:00,20.0,20.14,19.7,20.0,20.0,1077780
2018-10-11 00:00:00,19.83,20.3196,18.79,19.04,19.04,1228705
2018-10-12 00:00:00,19.3,19.9025,19.0,19.21,19.21,359056
2018-10-15 00:00:00,19.3,19.74,19.0,19.43,19.43,329349
2018-10-16 00:00:00,19.35,20.86,19.35,20.2,20.2,362732
2018-10-17 00:00:00,20.03,20.38,20.0,20.1,20.1,147549
2018-10-18 00:00:00,20.1,20.22,19.01,19.14,19.14,228710
2018-10-19 00:00:00,19.15,20.479,19.15,19.44,19.44,337894
2018-10-22 00:00:00,19.66,19.833,18.0,18.95,18.95,259606
2018-10-23 00:00:00,18.55,19.2599,18.0,18.8,18.8,280328
2018-10-24 00:00:00,18.93,19.11,17.24,17.24,17.24,365673
2018-10-25 00:00:00,17.26,20.33,16.7,19.5,19.5,1153315
2018-10-26 00:00:00,19.5,19.66,18.6,18.69,18.69,666924
2018-10-29 00:00:00,19.15,19.22,17.78,17.99,17.99,529391
2018-10-30 00:00:00,18.05,19.038,18.05,18.84,18.84,355949
2018-10-31 00:00:00,19.46,19.8188,19.11,19.2,19.2,337645
2018-11-01 00:00:00,19.38,20.64,19.22,20.23,20.23,311838
2018-11-02 00:00:00,20.65,20.74,19.56,20.26,20.26,251278
2018-11-05 00:00:00,20.59,20.5971,19.18,19.34,19.34,204445
2018-11-06 00:00:00,19.43,19.95,19.34,19.4,19.4,120163
2018-11-07 00:00:00,19.76,21.11,19.51,20.29,20.29,580158
2018-11-08 00:00:00,20.02,20.2,15.835,18.07,18.07,2383480
2018-11-09 00:00:00,18.49,18.575,17.52,17.68,17.68,737548
2018-11-12 00:00:00,17.98,18.2,17.5,17.7,17.7,264697
2018-11-13 00:00:00,17.8,18.4503,17.8,18.11,18.11,341806
2018-11-14 00:00:00,18.47,18.65,18.23,18.55,18.55,219571
2018-11-15 00:00:00,18.5,18.85,18.45,18.74,18.74,247233
2018-11-16 00:00:00,18.66,19.52,18.6401,19.2,19.2,362185
2018-11-19 00:00:00,19.2,19.2,16.24,16.46,16.46,624497
2018-11-20 00:00:00,15.98,16.88,15.675,16.1,16.1,482878
2018-11-21 00:00:00,16.27,16.9839,15.9101,16.65,16.65,315566
2018-11-23 00:00:00,17.18,17.18,16.625,16.89,16.89,134776
2018-11-26 00:00:00,17.1,17.31,16.71,17.0,17.0,387719
2018-11-27 00:00:00,16.95,17.07,16.65,16.71,16.71,107707
2018-11-28 00:00:00,16.76,17.83,16.58,17.63,17.63,311444
2018-11-29 00:00:00,17.74,18.2,17.64,18.05,18.05,242288
2018-11-30 00:00:00,18.21,19.0,18.05,18.63,18.63,352775
2018-12-03 00:00:00,19.32,19.42,18.65,18.89,18.89,251385
2018-12-04 00:00:00,19.28,19.28,18.19,18.39,18.39,369786
2018-12-06 00:00:00,17.97,18.28,17.5,18.04,18.04,189739
2018-12-07 00:00:00,17.86,18.29,17.05,17.09,17.09,300347
2018-12-10 00:00:00,17.22,17.22,16.31,16.59,16.59,214117
2018-12-11 00:00:00,17.0,17.14,15.82,16.01,16.01,908473
2018-12-12 00:00:00,16.1,16.66,16.01,16.49,16.49,389160
2018-12-13 00:00:00,16.47,17.079,16.14,16.87,16.87,354291
2018-12-14 00:00:00,16.58,17.44,16.3718,17.39,17.39,325304
2018-12-17 00:00:00,17.18,18.8,17.105,18.44,18.44,1031335
2018-12-18 00:00:00,18.43,19.69,18.1,19.44,19.44,725984
2018-12-19 00:00:00,19.59,21.69,19.51,20.04,20.04,1069771
2018-12-20 00:00:00,19.76,21.34,19.76,20.67,20.67,1024685
2018-12-21 00:00:00,21.11,21.1878,18.65,19.56,19.56,4138139
2018-12-24 00:00:00,19.23,19.4,17.76,18.1,18.1,207612
2018-12-26 00:00:00,18.29,18.42,16.83,17.62,17.62,482956
2018-12-27 00:00:00,17.44,18.055,16.9,17.9,17.9,244064
2018-12-28 00:00:00,17.95,17.9888,17.34,17.86,17.86,241380
2018-12-31 00:00:00,18.0,18.33,17.6,18.11,18.11,337153
2019-01-02 00:00:00,17.85,18.73,17.51,18.53,18.53,194606
2019-01-03 00:00:00,18.39,18.5,17.54,17.87,17.87,230986
2019-01-04 00:00:00,17.95,18.97,17.95,18.59,18.59,319935
2019-01-07 00:00:00,18.75,18.85,18.17,18.7,18.7,187315
2019-01-08 00:00:00,18.87,19.2,18.81,19.13,19.13,193518
2019-01-09 00:00:00,19.11,19.478,19.01,19.34,19.34,195339
2019-01-10 00:00:00,19.27,19.27,18.8561,19.0,19.0,225193
2019-01-11 00:00:00,18.85,19.2,18.85,18.99,18.99,152142
2019-01-14 00:00:00,18.7,19.11,18.55,18.8,18.8,156427
2019-01-15 00:00:00,18.74,19.1825,18.64,18.97,18.97,122193
2019-01-16 00:00:00,19.03,19.115,18.8001,19.0,19.0,156603
2019-01-17 00:00:00,18.95,19.06,18.8,19.06,19.06,77591
2019-01-18 00:00:00,19.06,19.18,18.66,18.94,18.94,288100
2019-01-22 00:00:00,18.86,19.05,18.0307,18.3,18.3,162990
2019-01-23 00:00:00,18.35,19.06,18.0,18.39,18.39,198721
2019-01-24 00:00:00,18.28,18.93,18.218,18.9,18.9,166874
2019-01-25 00:00:00,19.15,19.35,18.86,18.98,18.98,173229
2019-01-28 00:00:00,18.83,19.14,18.7273,18.94,18.94,228739
2019-01-29 00:00:00,18.85,19.1,18.69,18.88,18.88,136792
2019-01-30 00:00:00,18.97,19.14,18.74,18.8,18.8,225029
2019-01-31 00:00:00,18.84,19.46,18.84,19.31,19.31,368212
2019-02-01 00:00:00,19.17,19.3499,18.5176,18.58,18.58,134565
2019-02-04 00:00:00,18.54,19.1973,18.37,18.99,18.99,274575
2019-02-05 00:00:00,19.05,21.0,19.01,20.71,20.71,1180662
2019-02-06 00:00:00,20.63,22.85,20.5,22.17,22.17,793062
2019-02-07 00:00:00,22.24,22.24,20.92,21.12,21.12,397693
2019-02-08 00:00:00,21.01,21.06,20.23,20.57,20.57,267273
2019-02-11 00:00:00,20.87,22.24,20.61,21.97,21.97,379941
2019-02-12 00:00:00,22.1,22.5,21.5201,22.41,22.41,261980
2019-02-13 00:00:00,22.51,22.65,21.92,22.23,22.23,166315
2019-02-14 00:00:00,22.04,23.5,21.91,23.18,23.18,535967
2019-02-15 00:00:00,23.19,23.4386,22.01,22.06,22.06,494615
2019-02-19 00:00:00,22.4,23.47,22.25,22.9,22.9,468506
2019-02-20 00:00:00,22.92,23.1453,22.11,22.44,22.44,205291
2019-02-21 00:00:00,22.41,22.4944,20.96,22.01,22.01,261768
2019-02-22 00:00:00,21.97,23.0,21.97,22.72,22.72,447009
2019-02-25 00:00:00,22.91,23.06,22.39,22.5,22.5,232564
2019-02-26 00:00:00,22.36,23.17,21.97,22.75,22.75,549183
2019-02-27 00:00:00,22.74,24.44,22.49,23.91,23.91,1117098
2019-02-28 00:00:00,24.07,24.43,23.3921,23.69,23.69,447203
2019-03-01 00:00:00,24.24,25.0,21.21,22.45,22.45,993060
2019-03-04 00:00:00,22.8,23.8,22.1101,22.92,22.92,681215
2019-03-05 00:00:00,23.09,23.305,22.52,22.94,22.94,291801
2019-03-06 00:00:00,22.84,23.07,22.35,22.4,22.4,283887
2019-03-07 00:00:00,22.55,22.55,21.6,21.61,21.61,237828
2019-03-08 00:00:00,21.55,21.97,21.03,21.48,21.48,254897
2019-03-11 00:00:00,21.5,21.99,21.37,21.55,21.55,168288
2019-03-12 00:00:00,22.27,22.27,21.02,21.17,21.17,269485
2019-03-13 00:00:00,21.15,21.31,20.55,20.76,20.76,373230
2019-03-14 00:00:00,20.7,21.23,20.307,20.4,20.4,284348
2019-03-15 00:00:00,20.35,20.7124,20.03,20.31,20.31,760106
2019-03-18 00:00:00,20.36,20.66,19.82,20.3,20.3,459459
2019-03-19 00:00:00,20.34,20.77,20.2,20.39,20.39,320435
2019-03-20 00:00:00,20.38,20.86,19.92,20.57,20.57,173515
2019-03-21 00:00:00,20.43,20.89,20.0,20.34,20.34,325026
2019-03-22 00:00:00,20.15,20.462,19.89,19.9,19.9,336832
2019-03-25 00:00:00,19.87,20.12,19.5,19.86,19.86,448162
2019-03-26 00:00:00,19.91,20.245,19.595,20.05,20.05,159128
2019-03-27 00:00:00,19.94,20.1066,19.485,19.66,19.66,307259
2019-03-28 00:00:00,19.7,19.87,19.46,19.6,19.6,105328
2019-03-29 00:00:00,19.55,19.55,18.31,19.14,19.14,1189364
2019-04-01 00:00:00,18.97,19.01,17.72,18.6,18.6,6973918
2019-04-02 00:00:00,18.41,19.31,18.25,19.12,19.12,1433018
2019-04-03 00:00:00,19.26,20.25,18.95,19.95,19.95,1216289
2019-04-04 00:00:00,19.87,20.11,19.26,19.96,19.96,702744
2019-04-05 00:00:00,19.94,20.23,19.72,20.01,20.01,1932605
2019-04-08 00:00:00,20.0,20.2,19.5875,19.73,19.73,718542
2019-04-09 00:00:00,19.15,19.79,19.05,19.5,19.5,610945
2019-04-10 00:00:00,19.53,19.88,19.24,19.52,19.52,409998
2019-04-11 00:00:00,19.52,19.72,19.01,19.65,19.65,303512
2019-04-12 00:00:00,19.84,19.95,19.445,19.71,19.71,812701
2019-04-15 00:00:00,19.62,19.64,19.01,19.46,19.46,796981
2019-04-16 00:00:00,19.5,19.5,18.75,19.02,19.02,1639485
2019-04-17 00:00:00,19.13,19.13,18.37,18.43,18.43,838070
2019-04-18 00:00:00,18.41,18.79,17.95,18.76,18.76,785752
2019-04-22 00:00:00,18.64,19.1,18.52,18.97,18.97,594509
2019-04-23 00:00:00,18.91,19.355,18.85,19.26,19.26,511989
2019-04-24 00:00:00,19.19,19.305,18.95,19.05,19.05,338011
2019-04-25 00:00:00,18.99,19.09,18.82,18.9,18.9,397971
2019-04-26 00:00:00,18.88,19.07,18.71,19.02,19.02,458044
2019-04-29 00:00:00,19.0,20.06,18.95,19.81,19.81,1583246
2019-04-30 00:00:00,19.76,20.1,19.51,19.99,19.99,749277
2019-05-01 00:00:00,20.0,20.67,19.8,20.3,20.3,748186
