,close,5days,10days,20days
2017-12-29,112.9031,0.0,0.0,0.0
2018-01-02,113.3883,0.0,0.0,0.0
2018-01-03,114.5172,0.0,0.0,0.0
2018-01-04,114.9429,0.0,0.0,0.0
2018-01-05,117.6957,0.0,0.0,0.0
2018-01-08,118.171,0.047,0.0,0.0
2018-01-09,117.9433,0.04,0.0,0.0
2018-01-10,117.8145,0.029,0.0,0.0
2018-01-11,118.6661,0.032,0.0,0.0
2018-01-12,118.9137,0.01,0.0,0.0
2018-01-16,119.2107,0.009,0.056,0.0
2018-01-17,120.7851,0.024,0.065,0.0
2018-01-18,121.9041,0.035,0.065,0.0
2018-01-19,121.4981,0.024,0.057,0.0
2018-01-22,123.1121,0.035,0.046,0.0
2018-01-23,123.429,0.035,0.044,0.0
2018-01-24,123.33,0.021,0.046,0.0
2018-01-25,123.9934,0.017,0.052,0.0
2018-01-26,125.0826,0.03,0.054,0.0
2018-01-29,123.6171,0.004,0.04,0.0
2018-01-30,122.3398,-0.009,0.026,0.084
2018-01-31,123.0131,-0.003,0.018,0.085
2018-02-01,124.4885,0.004,0.021,0.087
2018-02-02,119.7256,-0.043,-0.015,0.042
2018-02-05,115.1311,-0.069,-0.065,-0.022
2018-02-06,118.7948,-0.029,-0.038,0.005
2018-02-07,118.478,-0.037,-0.039,0.005
2018-02-08,112.7447,-0.094,-0.091,-0.043
2018-02-09,115.1806,-0.038,-0.079,-0.029
2018-02-12,117.3095,0.019,-0.051,-0.013
2018-02-13,117.1907,-0.014,-0.042,-0.017
2018-02-14,119.6464,0.01,-0.027,-0.009
2018-02-15,121.2902,0.076,-0.026,-0.005
2018-02-16,120.8636,0.049,0.01,-0.005
2018-02-20,121.0223,0.032,0.051,-0.017
2018-02-21,119.4551,0.019,0.006,-0.032
2018-02-22,119.4055,-0.002,0.008,-0.032
2018-02-23,121.9349,0.005,0.082,-0.017
2018-02-26,123.5815,0.022,0.073,-0.012
2018-02-27,122.3713,0.011,0.043,-0.01
2018-02-28,121.9448,0.021,0.041,-0.003
2018-03-01,119.4254,0.0,-0.002,-0.029
2018-03-02,119.7924,-0.018,-0.012,-0.038
2018-03-05,120.8934,-0.022,0.0,0.01
2018-03-06,120.08,-0.019,-0.008,0.043
2018-03-07,120.8636,-0.009,0.012,0.017
2018-03-08,121.2306,0.015,0.015,0.023
2018-03-09,123.5021,0.031,0.013,0.095
2018-03-12,123.2343,0.019,-0.003,0.07
2018-03-13,122.2027,0.018,-0.001,0.042
2018-03-14,121.5877,0.006,-0.003,0.038
2018-03-15,122.411,0.01,0.025,0.023
2018-03-16,123.5219,0.0,0.031,0.018
2018-03-19,122.2126,-0.008,0.011,0.011
2018-03-20,123.8989,0.014,0.032,0.024
2018-03-21,122.2225,0.005,0.011,0.023
2018-03-22,119.0187,-0.028,-0.018,-0.003
2018-03-23,116.0529,-0.06,-0.06,-0.048
2018-03-26,119.6634,-0.021,-0.029,-0.032
2018-03-27,116.4497,-0.06,-0.047,-0.048
2018-03-28,116.04299999999999,-0.051,-0.046,-0.048
2018-03-29,118.6517,-0.003,-0.031,-0.006
2018-04-02,117.4316,0.012,-0.049,-0.02
2018-04-03,118.2351,-0.012,-0.033,-0.022
2018-04-04,118.8401,0.021,-0.041,-0.01
2018-04-05,120.209,0.036,-0.016,-0.005
2018-04-06,116.7472,-0.016,-0.019,-0.037
2018-04-09,117.8284,0.003,0.015,-0.046
2018-04-10,119.7428,0.013,0.001,-0.028
2018-04-11,118.8104,-0.0,0.02,-0.028
2018-04-12,120.0899,-0.001,0.035,-0.012
2018-04-13,119.7725,0.026,0.009,-0.022
2018-04-16,120.8934,0.026,0.029,-0.021
2018-04-17,122.7978,0.026,0.039,0.005
2018-04-18,123.4723,0.039,0.039,-0.003
2018-04-19,122.9566,0.024,0.023,0.006
2018-04-20,123.1946,0.029,0.055,0.035
2018-04-23,123.4525,0.021,0.048,0.064
2018-04-24,120.2883,-0.02,0.005,0.005
2018-04-25,120.2288,-0.026,0.012,0.032
2018-04-26,126.0513,0.025,0.05,0.086
2018-04-27,124.99,0.015,0.044,0.053
2018-04-30,125.8529,0.019,0.041,0.072
2018-05-01,126.4778,0.051,0.03,0.07
2018-05-02,125.35700000000001,0.043,0.015,0.055
2018-05-03,126.1505,0.001,0.026,0.049
2018-05-04,127.1226,0.017,0.032,0.089
2018-05-07,128.2136,0.019,0.039,0.088
2018-05-08,128.8485,0.019,0.071,0.076
2018-05-09,129.7809,0.035,0.079,0.092
2018-05-10,129.9396,0.03,0.031,0.082
2018-05-11,130.7529,0.029,0.046,0.092
2018-05-14,130.1479,0.015,0.034,0.077
2018-05-15,130.0388,0.009,0.028,0.059
2018-05-16,129.8305,0.0,0.036,0.051
2018-05-17,129.0865,-0.007,0.023,0.05
2018-05-18,129.0865,-0.013,0.015,0.048
2018-05-21,129.8118,-0.003,0.012,0.052
2018-05-22,129.8615,-0.001,0.008,0.08
2018-05-23,131.0239,0.009,0.01,0.09
2018-05-24,131.0338,0.015,0.008,0.04
2018-05-25,130.4278,0.01,-0.002,0.044
2018-05-29,128.8481,-0.007,-0.01,0.024
2018-05-30,129.7919,-0.001,-0.002,0.026
2018-05-31,129.8714,-0.009,0.0,0.036
2018-06-01,130.0006,-0.008,0.007,0.031
2018-06-04,132.2061,0.014,0.024,0.04
2018-06-05,132.69299999999998,0.03,0.022,0.035
2018-06-06,135.3953,0.043,0.043,0.051
2018-06-07,132.9711,0.024,0.015,0.025
2018-06-08,133.8653,0.03,0.022,0.03
2018-06-11,133.0407,0.006,0.02,0.017
2018-06-12,133.9845,0.01,0.04,0.029
2018-06-13,133.5275,-0.014,0.029,0.027
2018-06-14,134.1236,0.009,0.033,0.033
2018-06-15,134.22299999999998,0.003,0.032,0.04
2018-06-18,135.3158,0.017,0.024,0.048
2018-06-19,134.2329,0.002,0.012,0.034
2018-06-20,134.6204,0.008,-0.006,0.037
2018-06-21,133.6567,-0.003,0.005,0.02
2018-06-22,134.4515,0.002,0.004,0.026
2018-06-25,130.08,-0.039,-0.022,-0.003
2018-06-26,131.6895,-0.019,-0.017,0.022
2018-06-27,130.1694,-0.033,-0.025,0.003
2018-06-28,131.8783,-0.013,-0.017,0.015
2018-06-29,131.5902,-0.021,-0.02,0.012
2018-07-02,131.6398,0.012,-0.027,-0.004
2018-07-03,130.5967,-0.008,-0.027,-0.016
2018-07-05,132.4247,0.017,-0.016,-0.022
2018-07-06,133.2195,0.01,-0.003,0.002
