,close,5days,10days,20days
2017-12-29,101.74,0.0,0.0,0.0
2018-01-02,103.4,0.0,0.0,0.0
2018-01-03,105.17,0.0,0.0,0.0
2018-01-04,109.25,0.0,0.0,0.0
2018-01-05,109.32,0.0,0.0,0.0
2018-01-08,109.94,0.081,0.0,0.0
2018-01-09,109.7,0.061,0.0,0.0
2018-01-10,114.14,0.085,0.0,0.0
2018-01-11,114.24,0.046,0.0,0.0
2018-01-12,112.9,0.033,0.0,0.0
2018-01-16,110.09,0.001,0.082,0.0
2018-01-17,112.26,0.023,0.086,0.0
2018-01-18,113.28,-0.008,0.077,0.0
2018-01-19,114.11,-0.001,0.044,0.0
2018-01-22,115.3,0.021,0.055,0.0
2018-01-23,117.21,0.065,0.066,0.0
2018-01-24,115.87,0.032,0.056,0.0
2018-01-25,115.32,0.018,0.01,0.0
2018-01-26,118.81,0.041,0.04,0.0
2018-01-29,116.52,0.011,0.032,0.0
2018-01-30,120.26,0.026,0.092,0.182
2018-01-31,119.89,0.035,0.068,0.159
2018-02-01,119.03,0.032,0.051,0.132
2018-02-02,117.49,-0.011,0.03,0.075
2018-02-05,114.75,-0.015,-0.005,0.05
2018-02-06,116.07,-0.035,-0.01,0.056
2018-02-07,117.77,-0.018,0.016,0.074
2018-02-08,110.97,-0.068,-0.038,-0.028
2018-02-09,112.96,-0.039,-0.049,-0.011
2018-02-12,115.63,0.008,-0.008,0.024
2018-02-13,116.63,0.005,-0.03,0.059
2018-02-14,120.71,0.025,0.007,0.075
2018-02-15,124.31,0.12,0.044,0.097
2018-02-16,124.01,0.098,0.055,0.087
2018-02-20,126.02,0.09,0.098,0.093
2018-02-21,125.67,0.078,0.083,0.072
2018-02-22,124.36,0.03,0.056,0.073
2018-02-23,127.33,0.024,0.147,0.104
2018-02-26,127.8,0.031,0.131,0.076
2018-02-27,128.21,0.017,0.109,0.1
2018-02-28,126.67,0.008,0.086,0.053
2018-03-01,123.95,-0.003,0.027,0.034
2018-03-02,131.28,0.031,0.056,0.103
2018-03-05,132.92,0.04,0.072,0.131
2018-03-06,135.95,0.06,0.079,0.185
2018-03-07,137.58,0.086,0.095,0.185
2018-03-08,136.94,0.105,0.101,0.163
2018-03-09,137.62,0.048,0.081,0.24
2018-03-12,139.07,0.046,0.088,0.231
2018-03-13,137.34,0.01,0.071,0.188
2018-03-14,138.79,0.009,0.096,0.19
2018-03-15,136.42,-0.004,0.101,0.13
2018-03-16,135.33,-0.017,0.031,0.089
2018-03-19,131.6,-0.054,-0.01,0.061
2018-03-20,133.08,-0.031,-0.021,0.056
2018-03-21,133.43,-0.039,-0.03,0.062
2018-03-22,131.22,-0.038,-0.042,0.055
2018-03-23,127.64,-0.057,-0.073,0.002
2018-03-26,131.74,0.001,-0.053,0.031
2018-03-27,126.44,-0.05,-0.079,-0.014
