date,open,high,low,close,adjusted close,volume
1998-01-02 00:00:00,16.5,17.5,16.25,17.25,14.3957,3331600
1998-01-05 00:00:00,17.75,18.25,17.5,18.0,15.0216,4175600
1998-01-06 00:00:00,17.63,17.88,17.0,17.5,14.6043,2148700
1998-01-07 00:00:00,17.25,17.5,16.63,17.25,14.3957,1789200
1998-01-08 00:00:00,16.56,16.81,16.13,16.38,13.6697,1743600
1998-01-09 00:00:00,16.63,16.63,15.0,15.69,13.0938,1801200
1998-01-12 00:00:00,14.94,15.75,14.88,15.06,12.5681,1373700
1998-01-13 00:00:00,15.44,16.75,15.44,16.44,13.7197,2157300
1998-01-14 00:00:00,16.5,16.69,15.69,15.94,13.3025,1428100
1998-01-15 00:00:00,16.0,17.25,15.63,16.44,13.7197,3551600
1998-01-16 00:00:00,16.88,16.94,15.81,15.88,13.2524,1695900
1998-01-20 00:00:00,16.13,17.81,16.0,17.19,14.3456,2847000
1998-01-21 00:00:00,16.94,19.13,16.94,19.13,15.9646,4703900
1998-01-22 00:00:00,18.75,18.88,17.94,18.69,15.5974,2945300
1998-01-23 00:00:00,18.88,19.19,18.19,18.31,15.2803,1846700
1998-01-26 00:00:00,18.63,18.75,17.38,17.63,14.7128,1334200
1998-01-27 00:00:00,17.06,17.25,16.63,16.81,14.0285,1911500
1998-01-28 00:00:00,16.75,18.19,16.75,18.13,15.1301,2762000
1998-01-29 00:00:00,18.0,18.19,16.88,18.0,15.0216,3715400
1998-01-30 00:00:00,18.19,19.13,18.0,18.88,15.756,5976300
1998-02-02 00:00:00,19.25,19.63,17.81,18.5,15.4389,3554500
1998-02-03 00:00:00,18.19,19.19,18.19,18.25,15.2302,2399800
1998-02-04 00:00:00,18.25,18.88,18.25,18.69,15.5974,1886300
1998-02-05 00:00:00,19.0,19.19,18.13,18.25,15.2302,2943200
1998-02-06 00:00:00,18.38,18.63,18.0,18.5,15.4389,1375700
1998-02-09 00:00:00,18.19,18.38,17.88,18.0,15.0216,1502700
1998-02-10 00:00:00,18.19,19.06,17.81,18.81,15.6976,3189400
1998-02-11 00:00:00,18.44,19.38,18.19,19.0,15.8561,4706700
1998-02-12 00:00:00,19.25,19.56,18.5,19.19,16.0147,4778600
1998-02-13 00:00:00,19.38,20.0,19.0,19.75,16.482,4714600
1998-02-17 00:00:00,20.06,20.44,19.5,19.5,16.2734,4085700
1998-02-18 00:00:00,19.5,19.88,19.25,19.63,16.3819,1448300
1998-02-19 00:00:00,19.75,19.75,19.19,19.19,16.0147,1560600
