,close,5days,10days,20days
2017-12-29,76.0423,0.0,0.0,0.0
2018-01-02,77.8111,0.0,0.0,0.0
2018-01-03,79.0446,0.0,0.0,0.0
2018-01-04,78.5665,0.0,0.0,0.0
2018-01-05,79.0637,0.0,0.0,0.0
2018-01-08,77.8685,0.024,0.0,0.0
2018-01-09,77.0845,-0.009,0.0,0.0
2018-01-10,77.3617,-0.021,0.0,0.0
2018-01-11,78.643,0.001,0.0,0.0
2018-01-12,79.4748,0.005,0.0,0.0
2018-01-16,80.2015,0.03,0.055,0.0
2018-01-17,81.4254,0.056,0.046,0.0
2018-01-18,82.611,0.068,0.045,0.0
2018-01-19,81.8461,0.041,0.042,0.0
2018-01-22,82.458,0.038,0.043,0.0
2018-01-23,83.5098,0.041,0.072,0.0
2018-01-24,83.156,0.021,0.079,0.0
2018-01-25,84.1313,0.018,0.088,0.0
2018-01-26,85.6707,0.047,0.089,0.0
2018-01-29,83.6149,0.014,0.052,0.0
2018-01-30,83.2612,-0.003,0.038,0.095
2018-01-31,85.0778,0.023,0.045,0.093
2018-02-01,83.8062,-0.004,0.014,0.06
2018-02-02,81.5114,-0.049,-0.004,0.037
2018-02-05,77.8781,-0.069,-0.056,-0.015
2018-02-06,80.5553,-0.032,-0.035,0.035
2018-02-07,80.039,-0.059,-0.037,0.038
2018-02-08,76.5777,-0.086,-0.09,-0.01
2018-02-09,77.0558,-0.055,-0.101,-0.02
2018-02-12,78.729,0.011,-0.058,-0.009
2018-02-13,79.3314,-0.015,-0.047,-0.011
2018-02-14,79.6756,-0.005,-0.063,-0.021
2018-02-15,80.8326,0.056,-0.035,-0.022
2018-02-16,81.1863,0.054,-0.004,-0.008
2018-02-20,82.6684,0.05,0.062,0.003
2018-02-21,81.913,0.033,0.017,-0.019
2018-02-22,81.7791,0.026,0.022,-0.017
2018-02-23,85.2308,0.054,0.113,0.013
2018-02-26,85.3073,0.051,0.107,-0.004
2018-02-27,83.3663,0.008,0.059,-0.003
2018-02-28,83.2229,0.016,0.049,-0.0
2018-03-01,83.4428,0.02,0.047,-0.019
2018-03-02,84.3799,-0.01,0.044,0.007
2018-03-05,86.0053,0.008,0.059,0.055
2018-03-06,89.6865,0.076,0.085,0.152
2018-03-07,91.09200000000001,0.095,0.112,0.131
2018-03-08,92.9565,0.114,0.137,0.161
2018-03-09,95.1843,0.128,0.117,0.243
2018-03-12,98.3491,0.144,0.153,0.276
2018-03-13,98.3969,0.097,0.18,0.25
2018-03-14,98.6742,0.083,0.186,0.244
2018-03-15,97.7468,0.052,0.171,0.227
2018-03-16,101.7817,0.069,0.206,0.259
2018-03-19,98.63600000000001,0.003,0.147,0.215
2018-03-20,99.1236,0.007,0.105,0.199
2018-03-21,98.33,-0.003,0.079,0.2
2018-03-22,96.4082,-0.014,0.037,0.179
2018-03-23,88.2905,-0.133,-0.072,0.036
2018-03-26,90.1359,-0.086,-0.084,0.057
2018-03-27,88.1375,-0.111,-0.104,0.057
2018-03-28,87.2961,-0.112,-0.115,0.049
2018-03-29,88.7094,-0.08,-0.092,0.063
2018-04-02,86.5174,-0.02,-0.15,0.025
2018-04-03,87.6903,-0.027,-0.111,0.02
2018-04-04,88.9401,0.009,-0.103,-0.008
2018-04-05,87.0365,-0.003,-0.115,-0.045
2018-04-06,84.383,-0.049,-0.125,-0.092
2018-04-09,85.1425,-0.016,-0.036,-0.105
2018-04-10,87.2192,-0.005,-0.032,-0.113
2018-04-11,86.1712,-0.031,-0.022,-0.124
2018-04-12,87.0077,-0.0,-0.003,-0.118
2018-04-13,86.4597,0.025,-0.025,-0.115
2018-04-16,87.0269,0.022,0.006,-0.145
2018-04-17,87.8441,0.007,0.002,-0.109
2018-04-18,88.1614,0.023,-0.009,-0.111
2018-04-19,86.0559,-0.011,-0.011,-0.125
2018-04-20,86.1039,-0.004,0.02,-0.107
2018-04-23,83.6427,-0.039,-0.018,-0.053
2018-04-24,83.0947,-0.054,-0.047,-0.078
2018-04-25,82.6044,-0.063,-0.041,-0.063
2018-04-26,84.5176,-0.018,-0.029,-0.032
2018-04-27,77.7589,-0.097,-0.101,-0.123
2018-04-30,75.7496,-0.094,-0.13,-0.124
2018-05-01,76.711,-0.077,-0.127,-0.125
2018-05-02,73.8075,-0.106,-0.163,-0.17
2018-05-03,74.0094,-0.124,-0.14,-0.15
2018-05-04,74.2978,-0.045,-0.137,-0.12
2018-05-07,75.49,-0.003,-0.097,-0.113
2018-05-08,74.7305,-0.026,-0.101,-0.143
2018-05-09,75.4227,0.022,-0.087,-0.125
2018-05-10,75.9899,0.027,-0.101,-0.127
2018-05-11,75.7592,0.02,-0.026,-0.124
2018-05-14,77.9896,0.033,0.03,-0.104
2018-05-15,79.7779,0.068,0.04,-0.092
2018-05-16,83.662,0.109,0.134,-0.051
2018-05-17,83.1813,0.095,0.124,-0.033
2018-05-18,81.4796,0.076,0.097,-0.054
2018-05-21,83.1909,0.067,0.102,-0.005
2018-05-22,84.4792,0.059,0.13,0.017
2018-05-23,85.0849,0.017,0.128,0.03
2018-05-24,84.085,0.011,0.107,-0.005
2018-05-25,83.0178,0.019,0.096,0.068
2018-05-29,83.1524,-0.0,0.066,0.098
2018-05-30,83.1909,-0.015,0.043,0.084
2018-05-31,80.2874,-0.056,-0.04,0.088
2018-06-01,82.5563,-0.018,-0.008,0.115
2018-06-04,81.5757,-0.017,0.001,0.098
2018-06-05,82.5852,-0.007,-0.007,0.094
2018-06-06,81.4507,-0.021,-0.036,0.09
2018-06-07,79.4125,-0.011,-0.067,0.053
2018-06-08,79.4318,-0.038,-0.055,0.045
2018-06-11,79.7971,-0.022,-0.039,0.053
2018-06-12,78.9511,-0.044,-0.051,0.012
2018-06-13,79.6625,-0.022,-0.042,-0.001
2018-06-14,79.3645,-0.001,-0.011,-0.051
2018-06-15,77.4897,-0.024,-0.061,-0.068
2018-06-18,77.1724,-0.033,-0.054,-0.053
2018-06-19,77.4032,-0.02,-0.063,-0.07
2018-06-20,77.1244,-0.032,-0.053,-0.087
2018-06-21,77.7685,-0.02,-0.021,-0.086
2018-06-22,76.6052,-0.011,-0.036,-0.089
2018-06-25,75.115,-0.027,-0.059,-0.095
2018-06-26,75.4804,-0.025,-0.044,-0.092
2018-06-27,74.3171,-0.036,-0.067,-0.107
2018-06-28,74.442,-0.043,-0.062,-0.073
2018-06-29,74.9065,-0.022,-0.033,-0.093
2018-07-02,75.5161,0.005,-0.021,-0.074
2018-07-03,74.384,-0.015,-0.039,-0.099
2018-07-05,74.9549,0.009,-0.028,-0.08
2018-07-06,75.4097,0.013,-0.03,-0.05
2018-07-09,77.1031,0.029,0.006,-0.029
2018-07-10,77.4902,0.026,0.032,-0.029
2018-07-11,75.6661,0.017,0.002,-0.042
2018-07-12,76.2999,0.018,0.027,-0.042
2018-07-13,76.9483,0.02,0.034,-0.03
2018-07-16,75.8935,-0.016,0.013,-0.021
2018-07-17,76.4354,-0.014,0.012,-0.01
2018-07-18,76.2322,0.007,0.025,-0.015
2018-07-19,74.9549,-0.018,0.0,-0.028
2018-07-20,74.1614,-0.036,-0.017,-0.046
2018-07-23,73.9098,-0.026,-0.041,-0.035
2018-07-24,72.6809,-0.049,-0.062,-0.032
2018-07-25,73.1841,-0.04,-0.033,-0.03
2018-07-26,74.5969,-0.005,-0.022,0.004
2018-07-27,68.8296,-0.072,-0.106,-0.075
2018-07-30,67.7652,-0.083,-0.107,-0.095
2018-07-31,67.8813,-0.066,-0.112,-0.101
2018-08-01,66.9911,-0.085,-0.121,-0.099
2018-08-02,66.304,-0.111,-0.115,-0.115
2018-08-03,65.7621,-0.045,-0.113,-0.128
2018-08-06,66.0911,-0.025,-0.106,-0.143
2018-08-07,65.5589,-0.034,-0.098,-0.154
2018-08-08,64.8816,-0.031,-0.113,-0.143
2018-08-09,63.972,-0.035,-0.142,-0.162
2018-08-10,62.6947,-0.047,-0.089,-0.185
2018-08-13,62.1431,-0.06,-0.083,-0.181
2018-08-14,62.8882,-0.041,-0.074,-0.177
2018-08-15,61.8818,-0.046,-0.076,-0.188
2018-08-16,62.9559,-0.016,-0.05,-0.16
2018-08-17,62.5398,-0.002,-0.049,-0.157
2018-08-20,61.9496,-0.003,-0.063,-0.162
2018-08-21,62.7914,-0.002,-0.042,-0.136
2018-08-22,61.9496,0.001,-0.045,-0.154
2018-08-23,61.3012,-0.026,-0.042,-0.178
2018-08-24,61.7463,-0.013,-0.015,-0.103
2018-08-27,62.385,0.007,0.004,-0.079
2018-08-28,62.5785,-0.003,-0.005,-0.078
2018-08-29,61.3399,-0.01,-0.009,-0.084
2018-08-30,61.2335,-0.001,-0.027,-0.076
2018-08-31,61.1948,-0.009,-0.022,-0.069
2018-09-04,58.2918,-0.066,-0.059,-0.118
2018-09-05,58.0692,-0.072,-0.075,-0.114
2018-09-06,55.92100000000001,-0.088,-0.097,-0.138
2018-09-07,55.8243,-0.088,-0.089,-0.127
2018-09-10,55.205,-0.098,-0.106,-0.119
2018-09-11,53.2019,-0.087,-0.147,-0.144
2018-09-12,54.7405,-0.057,-0.125,-0.13
2018-09-13,55.2534,-0.012,-0.099,-0.107
2018-09-14,55.1179,-0.013,-0.1,-0.124
2018-09-17,55.3308,0.002,-0.096,-0.115
2018-09-18,56.221000000000004,0.057,-0.036,-0.092
2018-09-19,56.5016,0.032,-0.027,-0.1
2018-09-20,58.1079,0.052,0.039,-0.062
2018-09-21,58.7563,0.066,0.053,-0.042
2018-09-24,57.9822,0.048,0.05,-0.061
2018-09-25,57.7499,0.027,0.085,-0.074
2018-09-26,57.0338,0.009,0.042,-0.089
2018-09-27,56.879,-0.021,0.029,-0.073
2018-09-28,57.1328,-0.028,0.037,-0.067
2018-10-01,56.6253,-0.023,0.023,-0.075
2018-10-02,56.3325,-0.025,0.002,-0.034
2018-10-03,56.9571,-0.001,0.008,-0.019
2018-10-04,55.2492,-0.029,-0.049,-0.012
2018-10-05,54.8002,-0.041,-0.067,-0.018
2018-10-08,54.3122,-0.041,-0.063,-0.016
