,close,5days,10days,20days
2017-12-29,57.8497,0.0,0.0,0.0
2018-01-02,58.2501,0.0,0.0,0.0
2018-01-03,58.6983,0.0,0.0,0.0
2018-01-04,59.4325,0.0,0.0,0.0
2018-01-05,59.833,0.0,0.0,0.0
2018-01-08,59.156000000000006,0.023,0.0,0.0
2018-01-09,59.3658,0.019,0.0,0.0
2018-01-10,60.1858,0.025,0.0,0.0
2018-01-11,60.0809,0.011,0.0,0.0
2018-01-12,59.6423,-0.003,0.0,0.0
2018-01-16,59.5946,0.007,0.03,0.0
2018-01-17,60.9105,0.026,0.046,0.0
2018-01-18,60.9772,0.013,0.039,0.0
2018-01-19,61.2346,0.019,0.03,0.0
2018-01-22,61.7209,0.035,0.032,0.0
2018-01-23,61.4921,0.032,0.039,0.0
2018-01-24,62.4361,0.025,0.052,0.0
2018-01-25,62.5982,0.027,0.04,0.0
2018-01-26,62.8652,0.027,0.046,0.0
2018-01-29,62.7603,0.017,0.052,0.0
2018-01-30,62.2454,0.012,0.044,0.076
2018-01-31,62.7221,0.005,0.03,0.077
2018-02-01,62.8365,0.004,0.03,0.07
2018-02-02,61.4553,-0.022,0.004,0.034
2018-02-05,55.7865,-0.111,-0.096,-0.068
2018-02-06,54.9424,-0.117,-0.107,-0.071
2018-02-07,55.1918,-0.12,-0.116,-0.07
2018-02-08,53.1391,-0.154,-0.151,-0.117
2018-02-09,53.8393,-0.124,-0.144,-0.104
2018-02-12,54.1942,-0.029,-0.136,-0.091
2018-02-13,55.633,0.013,-0.106,-0.066
2018-02-14,57.1198,0.035,-0.089,-0.062
2018-02-15,57.5706,0.083,-0.084,-0.056
2018-02-16,57.5035,0.068,-0.064,-0.061
2018-02-20,57.5035,0.061,0.031,-0.068
2018-02-21,57.2924,0.03,0.043,-0.068
2018-02-22,56.41,-0.012,0.022,-0.097
2018-02-23,56.7553,-0.014,0.068,-0.093
2018-02-26,57.5226,0.0,0.068,-0.085
2018-02-27,56.7937,-0.012,0.048,-0.095
2018-02-28,56.0263,-0.022,0.007,-0.1
2018-03-01,54.9712,-0.026,-0.038,-0.124
2018-03-02,55.0671,-0.03,-0.043,-0.124
2018-03-05,55.2398,-0.04,-0.039,-0.101
2018-03-06,54.74100000000001,-0.036,-0.048,-0.019
2018-03-07,54.2902,-0.031,-0.052,-0.012
2018-03-08,54.4053,-0.01,-0.036,-0.014
2018-03-09,55.8536,0.014,-0.016,0.051
