,close,5days,10days,20days
2017-12-29,84.6856,0.0,0.0,0.0
2018-01-02,87.0205,0.0,0.0,0.0
2018-01-03,88.178,0.0,0.0,0.0
2018-01-04,87.1602,0.0,0.0,0.0
2018-01-05,86.8509,0.0,0.0,0.0
2018-01-08,85.1246,0.005,0.0,0.0
2018-01-09,87.2999,0.003,0.0,0.0
2018-01-10,88.3975,0.002,0.0,0.0
2018-01-11,88.9463,0.02,0.0,0.0
2018-01-12,89.4253,0.03,0.0,0.0
2018-01-16,86.6513,0.018,0.023,0.0
2018-01-17,87.8288,0.006,0.009,0.0
2018-01-18,87.699,-0.008,-0.005,0.0
2018-01-19,88.7268,-0.002,0.018,0.0
2018-01-22,93.686,0.048,0.079,0.0
2018-01-23,95.6118,0.103,0.123,0.0
2018-01-24,94.135,0.072,0.078,0.0
2018-01-25,95.2027,0.086,0.077,0.0
2018-01-26,95.98100000000001,0.082,0.079,0.0
2018-01-29,96.8192,0.033,0.083,0.0
2018-01-30,94.8235,-0.008,0.094,0.12
2018-01-31,93.1671,-0.01,0.061,0.071
2018-02-01,93.4066,-0.019,0.065,0.059
2018-02-02,91.6903,-0.045,0.033,0.052
2018-02-05,88.1481,-0.09,-0.059,0.015
2018-02-06,90.8522,-0.042,-0.05,0.067
2018-02-07,91.2214,-0.021,-0.031,0.045
2018-02-08,86.6314,-0.073,-0.09,-0.02
2018-02-09,86.8309,-0.053,-0.095,-0.024
2018-02-12,88.5971,0.005,-0.085,-0.009
2018-02-13,89.116,-0.019,-0.06,0.028
2018-02-14,91.4509,0.003,-0.018,0.041
2018-02-15,92.5285,0.068,-0.009,0.055
2018-02-16,92.2691,0.063,0.006,0.04
2018-02-20,90.6326,0.023,0.028,-0.033
2018-02-21,90.8522,0.019,0.0,-0.05
2018-02-22,90.9719,-0.005,-0.003,-0.034
2018-02-23,92.3389,-0.002,0.066,-0.03
2018-02-26,92.9875,0.008,0.071,-0.031
2018-02-27,91.8899,0.014,0.037,-0.051
2018-02-28,90.1637,-0.008,0.012,-0.049
2018-03-01,89.3255,-0.018,-0.023,-0.041
2018-03-02,91.7602,-0.006,-0.008,-0.018
2018-03-05,93.1771,0.002,0.01,0.016
2018-03-06,93.4465,0.017,0.031,0.06
2018-03-07,94.624,0.049,0.042,0.042
2018-03-08,94.7836,0.061,0.042,0.039
2018-03-09,96.2404,0.049,0.042,0.111
2018-03-12,96.7693,0.039,0.041,0.114
2018-03-13,95.7315,0.024,0.042,0.081
2018-03-14,95.3125,0.007,0.057,0.07
2018-03-15,93.8257,-0.01,0.05,0.026
2018-03-16,93.4256,-0.029,0.018,0.01
2018-03-19,91.7482,-0.052,-0.015,-0.006
2018-03-20,91.9679,-0.039,-0.016,0.015
2018-03-21,92.8965,-0.025,-0.018,0.023
2018-03-22,90.1208,-0.039,-0.049,-0.009
2018-03-23,88.4633,-0.053,-0.081,-0.042
2018-03-26,90.9095,-0.009,-0.061,-0.022
2018-03-27,87.0255,-0.054,-0.091,-0.053
2018-03-28,86.8758,-0.065,-0.089,-0.036
2018-03-29,87.5947,-0.028,-0.066,-0.019
2018-04-02,83.7206,-0.054,-0.104,-0.088
2018-04-03,84.2199,-0.074,-0.082,-0.096
2018-04-04,87.0854,0.001,-0.053,-0.068
2018-04-05,85.3381,-0.018,-0.081,-0.098
2018-04-06,82.7721,-0.055,-0.082,-0.127
2018-04-09,84.9787,0.015,-0.039,-0.117
2018-04-10,88.3335,0.049,-0.028,-0.087
2018-04-11,89.0125,0.022,0.023,-0.07
2018-04-12,90.3105,0.058,0.04,-0.052
2018-04-13,89.4418,0.081,0.021,-0.047
2018-04-16,88.7629,0.045,0.06,-0.05
2018-04-17,90.9794,0.03,0.08,-0.008
2018-04-18,90.6,0.018,0.04,-0.015
2018-04-19,89.0724,-0.014,0.044,-0.041
2018-04-20,88.7928,-0.007,0.073,-0.015
2018-04-23,87.9241,-0.009,0.035,-0.006
2018-04-24,86.3166,-0.051,-0.023,-0.051
2018-04-25,86.2168,-0.048,-0.031,-0.009
2018-04-26,87.7045,-0.015,-0.029,0.01
2018-04-27,88.2836,-0.006,-0.013,0.008
2018-04-30,86.8458,-0.012,-0.022,0.037
2018-05-01,87.7744,0.017,-0.035,0.042
2018-05-02,87.3151,0.013,-0.036,0.003
2018-05-03,85.7874,-0.022,-0.037,0.005
2018-05-04,87.2352,-0.012,-0.018,0.054
2018-05-07,88.3635,0.017,0.005,0.04
2018-05-08,87.9341,0.002,0.019,-0.005
2018-05-09,89.6615,0.027,0.04,0.007
2018-05-10,88.9026,0.036,0.014,-0.016
2018-05-11,91.5086,0.049,0.037,0.023
2018-05-14,92.6768,0.049,0.067,0.044
2018-05-15,92.1376,0.048,0.05,0.013
2018-05-16,93.3158,0.041,0.069,0.03
2018-05-17,93.6353,0.053,0.091,0.051
2018-05-18,93.4256,0.021,0.071,0.052
2018-05-21,91.6384,-0.011,0.037,0.042
2018-05-22,92.0677,-0.001,0.047,0.067
2018-05-23,92.2974,-0.011,0.029,0.071
2018-05-24,92.5869,-0.011,0.041,0.056
2018-05-25,92.8565,-0.006,0.015,0.052
2018-05-29,92.3273,0.008,-0.004,0.063
2018-05-30,94.0147,0.021,0.02,0.071
2018-05-31,94.524,0.024,0.013,0.083
2018-06-01,96.5009,0.042,0.031,0.125
2018-06-04,96.2912,0.037,0.031,0.104
2018-06-05,97.0201,0.051,0.059,0.098
2018-06-06,97.6192,0.038,0.06,0.11
2018-06-07,96.40100000000001,0.02,0.044,0.075
2018-06-08,96.1514,-0.004,0.038,0.082
2018-06-11,95.772,-0.005,0.031,0.047
2018-06-12,96.7805,-0.002,0.048,0.044
2018-06-13,97.0301,-0.006,0.032,0.053
2018-06-14,97.4394,0.011,0.031,0.044
2018-06-15,97.0885,0.01,0.006,0.037
2018-06-18,97.3582,0.017,0.011,0.042
2018-06-19,98.7569,0.02,0.018,0.078
2018-06-20,101.0547,0.041,0.035,0.098
2018-06-21,98.9667,0.016,0.027,0.072
2018-06-22,98.9867,0.02,0.029,0.069
2018-06-25,96.3092,-0.011,0.006,0.037
2018-06-26,96.6389,-0.021,-0.001,0.047
2018-06-27,93.5318,-0.074,-0.036,-0.005
2018-06-28,94.0813,-0.049,-0.034,-0.005
2018-06-29,95.1004,-0.039,-0.02,-0.015
2018-07-02,96.1993,-0.001,-0.012,-0.001
2018-07-03,96.9186,0.003,-0.019,-0.001
2018-07-05,97.3982,0.041,-0.036,-0.002
2018-07-06,100.1556,0.065,0.012,0.039
2018-07-09,99.9957,0.051,0.01,0.04
2018-07-10,99.5462,0.035,0.034,0.039
2018-07-11,99.6361,0.028,0.031,0.03
2018-07-12,100.745,0.034,0.077,0.038
2018-07-13,100.4653,0.003,0.068,0.031
2018-07-16,98.8268,-0.012,0.039,0.018
2018-07-17,100.2555,0.007,0.042,0.03
2018-07-18,100.0357,0.004,0.032,0.013
2018-07-19,100.3055,-0.004,0.03,-0.007
2018-07-20,100.0357,-0.004,-0.001,0.011
2018-07-23,99.71600000000001,0.009,-0.003,0.007
2018-07-24,97.65799999999999,-0.026,-0.019,0.014
2018-07-25,97.62799999999999,-0.024,-0.02,0.01
2018-07-26,97.5481,-0.027,-0.032,0.043
2018-07-27,94.8806,-0.052,-0.056,0.008
2018-07-30,93.33200000000001,-0.064,-0.056,-0.019
2018-07-31,95.2003,-0.025,-0.05,-0.01
2018-08-01,95.2802,-0.024,-0.048,-0.017
2018-08-02,95.8896,-0.017,-0.044,-0.015
2018-08-03,94.6208,-0.003,-0.054,-0.055
2018-08-06,94.8006,0.016,-0.049,-0.052
2018-08-07,95.8596,0.007,-0.018,-0.037
2018-08-08,95.3202,0.0,-0.024,-0.043
2018-08-09,95.1603,-0.008,-0.024,-0.055
2018-08-10,94.8606,0.003,-0.0,-0.056
2018-08-13,94.411,-0.004,0.012,-0.045
2018-08-14,94.8006,-0.011,-0.004,-0.054
2018-08-15,92.9923,-0.024,-0.024,-0.07
2018-08-16,93.8316,-0.014,-0.021,-0.065
2018-08-17,93.9015,-0.01,-0.008,-0.061
2018-08-20,93.2121,-0.013,-0.017,-0.065
2018-08-21,95.0404,0.003,-0.009,-0.027
2018-08-22,96.6089,0.039,0.014,-0.01
2018-08-23,95.9396,0.022,0.008,-0.016
2018-08-24,96.3092,0.026,0.015,0.015
2018-08-27,97.9077,0.05,0.037,0.049
2018-08-28,98.5671,0.037,0.04,0.035
2018-08-29,99.4563,0.029,0.07,0.044
2018-08-30,99.8359,0.041,0.064,0.041
2018-08-31,100.0457,0.039,0.065,0.057
2018-09-04,99.9158,0.021,0.072,0.054
2018-09-05,99.1465,0.006,0.043,0.034
2018-09-06,96.5989,-0.029,-0.0,0.013
2018-09-07,96.3192,-0.035,0.004,0.012
2018-09-10,96.4691,-0.036,0.002,0.017
2018-09-11,96.4491,-0.035,-0.015,0.022
2018-09-12,96.1394,-0.03,-0.025,0.014
2018-09-13,95.8097,-0.008,-0.037,0.03
2018-09-14,95.7398,-0.006,-0.041,0.02
2018-09-17,94.2112,-0.023,-0.058,0.003
2018-09-18,95.3601,-0.011,-0.046,0.023
2018-09-19,95.48,-0.007,-0.037,0.005
2018-09-20,97.0685,0.013,0.005,0.005
2018-09-21,95.5226,-0.002,-0.008,-0.004
2018-09-24,96.6024,0.025,0.001,0.003
2018-09-25,96.8823,0.016,0.004,-0.01
2018-09-26,96.1025,0.007,-0.0,-0.025
2018-09-27,95.9725,-0.011,0.002,-0.035
2018-09-28,95.8525,0.003,0.001,-0.04
2018-10-01,94.5727,-0.021,0.004,-0.055
2018-10-02,93.18299999999999,-0.038,-0.023,-0.067
2018-10-03,94.8827,-0.013,-0.006,-0.043
2018-10-04,91.8232,-0.043,-0.054,-0.049
2018-10-05,90.4335,-0.057,-0.053,-0.061
2018-10-08,89.4837,-0.054,-0.074,-0.072
2018-10-09,88.3939,-0.051,-0.088,-0.084
2018-10-10,85.4244,-0.1,-0.111,-0.111
2018-10-11,84.3946,-0.081,-0.121,-0.119
2018-10-12,86.0843,-0.048,-0.102,-0.101
2018-10-15,84.9245,-0.051,-0.102,-0.099
2018-10-16,89.4337,0.012,-0.04,-0.062
2018-10-17,89.2837,0.045,-0.059,-0.065
2018-10-18,87.524,0.037,-0.047,-0.098
2018-10-19,85.4044,-0.008,-0.056,-0.106
2018-10-22,83.4748,-0.017,-0.067,-0.136
2018-10-23,83.4048,-0.067,-0.056,-0.139
2018-10-24,77.2659,-0.135,-0.096,-0.196
2018-10-25,80.4253,-0.081,-0.047,-0.162
2018-10-26,80.4053,-0.059,-0.066,-0.161
2018-10-29,77.9058,-0.067,-0.083,-0.176
2018-10-30,78.3457,-0.061,-0.124,-0.159
2018-10-31,79.0956,0.024,-0.114,-0.166
2018-11-01,83.7247,0.041,-0.043,-0.088
2018-11-02,83.9447,0.044,-0.017,-0.072
2018-11-05,83.4948,0.072,0.0,-0.067
2018-11-06,83.2248,0.062,-0.002,-0.058
2018-11-07,85.3244,0.079,0.104,-0.001
2018-11-08,84.1946,0.006,0.047,-0.002
2018-11-09,80.7653,-0.038,0.004,-0.062
2018-11-12,77.6458,-0.07,-0.003,-0.086
2018-11-13,77.2659,-0.072,-0.014,-0.136
2018-11-14,74.9163,-0.122,-0.053,-0.161
2018-11-15,77.5358,-0.079,-0.074,-0.114
2018-11-16,79.5055,-0.016,-0.053,-0.069
2018-11-19,76.896,-0.01,-0.079,-0.079
2018-11-20,76.436,-0.011,-0.082,-0.084
2018-11-21,77.8558,0.039,-0.088,0.008
2018-11-23,78.0757,0.007,-0.073,-0.029
2018-11-26,79.8754,0.005,-0.011,-0.007
2018-11-27,77.9558,0.014,0.004,0.001
2018-11-28,80.9152,0.059,0.047,0.033
2018-11-29,80.4353,0.033,0.074,0.017
2018-11-30,81.6351,0.046,0.053,-0.025
2018-12-03,84.6146,0.059,0.064,0.008
2018-12-04,80.4453,0.032,0.046,-0.037
2018-12-06,80.6853,-0.003,0.056,-0.031
2018-12-07,78.1757,-0.028,0.004,-0.084
2018-12-10,79.1156,-0.031,0.013,-0.06
2018-12-11,78.8556,-0.068,-0.013,-0.024
2018-12-12,80.0654,-0.005,0.027,0.031
2018-12-13,77.8558,-0.035,-0.038,0.008
2018-12-14,76.77600000000001,-0.018,-0.045,0.025
2018-12-17,75.0363,-0.052,-0.081,-0.032
2018-12-18,73.6366,-0.066,-0.13,-0.074
2018-12-19,71.14699999999999,-0.111,-0.116,-0.075
2018-12-20,68.6475,-0.118,-0.149,-0.102
2018-12-21,65.74,-0.144,-0.159,-0.156
2018-12-24,65.42,-0.128,-0.173,-0.162
2018-12-26,70.26,-0.046,-0.109,-0.12
2018-12-27,69.58,-0.022,-0.131,-0.107
2018-12-28,70.09,0.021,-0.1,-0.134
2018-12-31,71.75,0.091,-0.065,-0.108
2019-01-02,72.86,0.114,-0.029,-0.107
2019-01-03,71.21,0.014,-0.033,-0.158
2019-01-04,75.02,0.078,0.054,-0.067
2019-01-07,79.5,0.134,0.158,-0.015
2019-01-08,80.48,0.122,0.224,0.029
2019-01-09,80.82,0.109,0.235,0.022
2019-01-10,82.16,0.154,0.169,0.042
2019-01-11,82.0,0.093,0.178,0.024
2019-01-14,80.12,0.008,0.143,0.029
2019-01-15,82.2,0.021,0.146,0.071
2019-01-16,81.91,0.013,0.124,0.092
2019-01-17,82.4,0.003,0.157,0.119
2019-01-18,83.38,0.017,0.111,0.172
2019-01-22,80.86,0.009,0.017,0.178
2019-01-23,79.78,-0.029,-0.009,0.214
2019-01-24,80.55,-0.017,-0.003,0.231
2019-01-25,82.37,-0.0,0.003,0.172
2019-01-28,80.03,-0.04,-0.024,0.15
2019-01-29,80.07,-0.01,-0.001,0.142
2019-01-30,82.29,0.031,0.001,0.147
2019-01-31,83.6,0.038,0.021,0.147
2019-02-01,83.99,0.02,0.019,0.179
2019-02-04,84.34,0.054,0.012,0.124
2019-02-05,83.8,0.047,0.036,0.054
2019-02-06,84.28,0.024,0.056,0.047
2019-02-07,81.99,-0.019,0.018,0.014
2019-02-08,82.68,-0.016,0.004,0.006
