,close,5days,10days,20days
2017-12-29,65.7135,0.0,0.0,0.0
2018-01-02,66.1618,0.0,0.0,0.0
2018-01-03,67.4874,0.0,0.0,0.0
2018-01-04,68.7058,0.0,0.0,0.0
2018-01-05,72.2731,0.0,0.0,0.0
2018-01-08,72.7507,0.107,0.0,0.0
2018-01-09,72.9456,0.103,0.0,0.0
2018-01-10,72.2244,0.07,0.0,0.0
2018-01-11,72.4583,0.055,0.0,0.0
2018-01-12,72.7702,0.007,0.0,0.0
2018-01-16,71.9027,-0.012,0.094,0.0
2018-01-17,73.9398,0.014,0.118,0.0
2018-01-18,74.3687,0.03,0.102,0.0
2018-01-19,73.7936,0.018,0.074,0.0
2018-01-22,73.5305,0.01,0.017,0.0
2018-01-23,73.6279,0.024,0.012,0.0
2018-01-24,71.6201,-0.031,-0.018,0.0
2018-01-25,67.9747,-0.086,-0.059,0.0
2018-01-26,70.119,-0.05,-0.032,0.0
2018-01-29,70.35300000000001,-0.043,-0.033,0.0
2018-01-30,70.3042,-0.045,-0.022,0.07
2018-01-31,71.1717,-0.006,-0.037,0.076
2018-02-01,70.6551,0.039,-0.05,0.047
2018-02-02,68.852,-0.018,-0.067,0.002
2018-02-05,65.2748,-0.072,-0.112,-0.097
2018-02-06,67.5849,-0.039,-0.082,-0.071
2018-02-07,65.60600000000001,-0.078,-0.084,-0.101
2018-02-08,61.5405,-0.129,-0.095,-0.148
2018-02-09,64.0484,-0.07,-0.087,-0.116
2018-02-12,63.7937,-0.023,-0.093,-0.123
2018-02-13,63.9602,-0.054,-0.09,-0.11
2018-02-14,65.4982,-0.002,-0.08,-0.114
2018-02-15,65.8509,0.07,-0.068,-0.115
2018-02-16,65.7236,0.026,-0.045,-0.109
2018-02-20,67.7808,0.062,0.038,-0.078
2018-02-21,67.0657,0.049,-0.008,-0.089
2018-02-22,67.5261,0.031,0.029,-0.057
2018-02-23,68.6233,0.042,0.115,0.01
2018-02-26,70.0339,0.066,0.093,-0.001
2018-02-27,69.985,0.033,0.097,-0.005
2018-02-28,69.7988,0.041,0.091,-0.007
2018-03-01,69.358,0.027,0.059,-0.025
2018-03-02,70.7589,0.031,0.075,0.001
2018-03-05,71.3173,0.018,0.085,0.036
2018-03-06,72.4732,0.036,0.069,0.11
2018-03-07,72.434,0.038,0.08,0.072
2018-03-08,74.1484,0.069,0.098,0.13
2018-03-09,74.648,0.055,0.088,0.213
2018-03-12,75.5003,0.059,0.078,0.179
2018-03-13,74.5892,0.029,0.066,0.169
2018-03-14,74.4619,0.028,0.067,0.164
2018-03-15,74.2855,0.002,0.071,0.134
2018-03-16,74.4815,-0.002,0.053,0.131
2018-03-19,73.4725,-0.027,0.03,0.118
2018-03-20,74.6382,0.001,0.03,0.101
2018-03-21,74.1288,-0.004,0.023,0.105
2018-03-22,72.434,-0.025,-0.023,0.073
2018-03-23,70.4062,-0.055,-0.057,0.026
2018-03-26,72.6887,-0.011,-0.037,0.038
2018-03-27,70.6119,-0.054,-0.053,0.009
2018-03-28,69.8968,-0.057,-0.061,0.001
2018-03-29,70.7687,-0.023,-0.047,0.02
2018-04-02,67.6338,-0.039,-0.092,-0.044
2018-04-03,68.2804,-0.061,-0.071,-0.043
2018-04-04,69.6911,-0.013,-0.066,-0.038
2018-04-05,69.26,-0.009,-0.066,-0.044
2018-04-06,64.9496,-0.082,-0.103,-0.124
2018-04-09,65.3709,-0.033,-0.072,-0.124
2018-04-10,66.6738,-0.024,-0.083,-0.117
2018-04-11,66.6248,-0.044,-0.056,-0.107
2018-04-12,68.1139,-0.017,-0.026,-0.085
2018-04-13,67.095,0.033,-0.052,-0.097
2018-04-16,66.7914,0.022,-0.012,-0.103
2018-04-17,68.4665,0.027,0.003,-0.068
2018-04-18,66.6248,0.0,-0.044,-0.107
2018-04-19,63.5782,-0.067,-0.082,-0.142
2018-04-20,62.8434,-0.063,-0.032,-0.132
2018-04-23,62.4124,-0.066,-0.045,-0.114
2018-04-24,62.7259,-0.084,-0.059,-0.137
2018-04-25,62.3438,-0.064,-0.064,-0.117
2018-04-26,63.4018,-0.003,-0.069,-0.093
2018-04-27,63.441,0.01,-0.054,-0.104
2018-04-30,62.9316,0.008,-0.058,-0.07
2018-05-01,63.2157,0.008,-0.077,-0.074
2018-05-02,63.7937,0.023,-0.042,-0.085
2018-05-03,64.4794,0.017,0.014,-0.069
2018-05-04,65.5864,0.034,0.044,0.01
2018-05-07,65.8607,0.047,0.055,0.007
2018-05-08,66.2722,0.048,0.057,-0.006
2018-05-09,67.0363,0.051,0.075,0.006
2018-05-10,68.3,0.059,0.077,0.003
2018-05-11,67.7906,0.034,0.069,0.01
2018-05-14,70.3376,0.068,0.118,0.053
2018-05-15,69.3334,0.046,0.097,0.013
2018-05-16,69.8946,0.043,0.096,0.049
2018-05-17,70.3672,0.03,0.091,0.107
2018-05-18,70.1309,0.035,0.069,0.116
2018-05-21,71.1548,0.012,0.08,0.14
2018-05-22,70.5641,0.018,0.065,0.125
2018-05-23,67.699,-0.031,0.01,0.086
2018-05-24,67.6793,-0.038,-0.009,0.067
2018-05-25,68.52600000000001,-0.023,0.011,0.08
2018-05-29,67.1772,-0.056,-0.045,0.067
2018-05-30,66.9704,-0.051,-0.034,0.059
2018-05-31,67.059,-0.009,-0.041,0.051
2018-06-01,69.2841,0.024,-0.015,0.075
2018-06-04,69.2448,0.01,-0.013,0.056
2018-06-05,69.3334,0.032,-0.026,0.053
2018-06-06,69.5697,0.039,-0.014,0.05
2018-06-07,69.5992,0.038,0.028,0.038
2018-06-08,68.4669,-0.012,0.012,0.002
2018-06-11,68.6442,-0.009,0.002,0.013
2018-06-12,68.9198,-0.006,0.026,-0.02
2018-06-13,68.7032,-0.012,0.026,-0.009
2018-06-14,69.3432,-0.004,0.034,-0.008
2018-06-15,69.1365,0.01,-0.002,-0.017
2018-06-18,68.6737,0.0,-0.008,-0.021
2018-06-19,67.443,-0.021,-0.027,-0.052
2018-06-20,67.5808,-0.016,-0.029,-0.042
2018-06-21,66.6356,-0.039,-0.043,-0.016
2018-06-22,65.7003,-0.05,-0.04,-0.029
2018-06-25,64.4696,-0.061,-0.061,-0.059
2018-06-26,64.9619,-0.037,-0.057,-0.033
2018-06-27,63.4949,-0.06,-0.076,-0.052
2018-06-28,64.125,-0.038,-0.075,-0.044
2018-06-29,64.253,-0.022,-0.071,-0.073
2018-07-02,64.6271,0.002,-0.059,-0.067
2018-07-03,63.6721,-0.02,-0.056,-0.082
2018-07-05,65.7988,0.036,-0.026,-0.054
2018-07-06,66.547,0.038,-0.001,-0.044
2018-07-09,66.9212,0.042,0.019,-0.023
2018-07-10,68.1223,0.054,0.057,-0.008
2018-07-11,66.291,0.041,0.02,-0.038
2018-07-12,67.1673,0.021,0.058,-0.022
2018-07-13,66.9409,0.006,0.044,-0.035
2018-07-16,66.675,-0.004,0.038,-0.036
