date,open,high,low,close,adjusted close,volume
2014-05-15 00:00:00,11.4,13.92,11.06,13.43,13.43,8421300
2014-05-16 00:00:00,13.6,15.75,13.44,15.25,15.25,1867700
2014-05-19 00:00:00,16.0,17.94,15.99,16.5,16.5,1529200
2014-05-20 00:00:00,16.75,18.17,15.67,16.95,16.95,877700
2014-05-21 00:00:00,17.2,17.33,16.3,17.19,17.19,386800
2014-05-22 00:00:00,17.3,17.3,15.95,16.15,16.15,1321100
2014-05-23 00:00:00,16.46,16.46,14.8,16.36,16.36,942200
2014-05-27 00:00:00,16.5,16.7,15.92,16.1,16.1,115700
2014-05-28 00:00:00,16.29,18.45,16.17,17.38,17.38,501200
2014-05-29 00:00:00,17.5,18.059,17.29,17.49,17.49,272100
2014-05-30 00:00:00,17.85,17.9,15.83,15.98,15.98,219200
2014-06-02 00:00:00,15.95,15.96,14.17,15.0,15.0,346100
2014-06-03 00:00:00,15.06,16.0,14.77,15.06,15.06,293800
2014-06-04 00:00:00,15.09,15.51,14.31,15.3,15.3,180100
2014-06-05 00:00:00,15.3,15.62,14.73,15.22,15.22,174400
2014-06-06 00:00:00,15.35,15.59,15.0,15.39,15.39,223100
2014-06-09 00:00:00,15.24,17.57,14.76,17.32,17.32,438400
2014-06-10 00:00:00,17.44,18.12,16.5,16.5,16.5,244300
2014-06-11 00:00:00,16.39,18.75,16.2301,18.49,18.49,419000
2014-06-12 00:00:00,18.44,18.44,17.34,17.89,17.89,231600
2014-06-13 00:00:00,18.05,18.09,16.0,16.75,16.75,426200
2014-06-16 00:00:00,16.69,18.25,16.19,17.24,17.24,271600
2014-06-17 00:00:00,17.37,18.0,17.24,17.7,17.7,88600
2014-06-18 00:00:00,17.74,18.11,17.31,17.61,17.61,142600
2014-06-19 00:00:00,17.53,18.01,17.52,18.0,18.0,221900
2014-06-20 00:00:00,18.1,18.29,16.97,17.56,17.56,324900
2014-06-23 00:00:00,17.49,18.4,17.21,17.99,17.99,135300
2014-06-24 00:00:00,17.81,18.025,17.53,17.81,17.81,106300
2014-06-25 00:00:00,17.93,18.02,17.5,17.94,17.94,99800
2014-06-26 00:00:00,17.9,18.0,17.57,17.68,17.68,77100
2014-06-27 00:00:00,17.67,18.4,17.16,17.16,17.16,1136800
2014-06-30 00:00:00,17.27,17.6,16.34,17.38,17.38,284000
2014-07-01 00:00:00,17.4,17.5,17.0,17.3,17.3,152800
