,close,5days,10days,20days
2017-12-29,33.84,0.0,0.0,0.0
2018-01-02,34.06,0.0,0.0,0.0
2018-01-03,34.62,0.0,0.0,0.0
2018-01-04,34.85,0.0,0.0,0.0
2018-01-05,34.97,0.0,0.0,0.0
2018-01-08,35.22,0.041,0.0,0.0
2018-01-09,35.47,0.041,0.0,0.0
2018-01-10,35.32,0.02,0.0,0.0
2018-01-11,36.03,0.034,0.0,0.0
2018-01-12,37.51,0.073,0.0,0.0
2018-01-16,36.44,0.035,0.077,0.0
2018-01-17,36.49,0.029,0.071,0.0
2018-01-18,36.38,0.03,0.051,0.0
2018-01-19,37.07,0.029,0.064,0.0
2018-01-22,37.24,-0.007,0.065,0.0
2018-01-23,38.29,0.051,0.087,0.0
2018-01-24,37.91,0.039,0.069,0.0
2018-01-25,37.45,0.029,0.06,0.0
2018-01-26,39.07,0.054,0.084,0.0
2018-01-29,38.56,0.035,0.028,0.0
2018-01-30,38.34,0.001,0.052,0.133
2018-01-31,38.52,0.016,0.056,0.131
2018-02-01,38.83,0.037,0.067,0.122
2018-02-02,37.94,-0.029,0.023,0.089
2018-02-05,37.02,-0.04,-0.006,0.059
2018-02-06,38.43,0.002,0.004,0.091
2018-02-07,40.47,0.051,0.068,0.141
2018-02-08,38.5,-0.008,0.028,0.09
2018-02-09,39.1,0.031,0.001,0.085
2018-02-12,40.28,0.088,0.045,0.074
2018-02-13,41.18,0.072,0.074,0.13
2018-02-14,42.6,0.053,0.106,0.167
2018-02-15,42.51,0.104,0.095,0.168
2018-02-16,42.38,0.084,0.117,0.143
2018-02-20,42.98,0.067,0.161,0.154
2018-02-21,42.92,0.042,0.117,0.121
2018-02-22,42.95,0.008,0.061,0.133
2018-02-23,42.55,0.001,0.105,0.136
2018-02-26,43.2,0.019,0.105,0.106
2018-02-27,43.51,0.012,0.08,0.128
2018-02-28,43.18,0.006,0.049,0.126
2018-03-01,42.68,-0.006,0.002,0.108
2018-03-02,44.61,0.048,0.049,0.149
2018-03-05,45.05,0.043,0.063,0.187
2018-03-06,44.42,0.021,0.034,0.2
