,close,5days,10days,20days
2018-03-16,33.0,0.0,0.0,0.0
2018-03-19,27.9,0.0,0.0,0.0
2018-03-20,30.38,0.0,0.0,0.0
2018-03-21,31.08,0.0,0.0,0.0
2018-03-22,29.83,0.0,0.0,0.0
2018-03-23,29.43,-0.108,0.0,0.0
2018-03-26,27.83,-0.003,0.0,0.0
2018-03-27,27.75,-0.087,0.0,0.0
2018-03-28,27.53,-0.114,0.0,0.0
2018-03-29,28.07,-0.059,0.0,0.0
2018-04-02,27.06,-0.081,-0.18,0.0
2018-04-03,26.8,-0.037,-0.039,0.0
2018-04-04,27.97,0.008,-0.079,0.0
2018-04-05,28.53,0.036,-0.082,0.0
2018-04-06,28.22,0.005,-0.054,0.0
2018-04-09,26.54,-0.019,-0.098,0.0
2018-04-10,28.07,0.047,0.009,0.0
2018-04-11,27.71,-0.009,-0.001,0.0
2018-04-12,27.96,-0.02,0.016,0.0
2018-04-13,27.48,-0.026,-0.021,0.0
2018-04-16,28.99,0.092,0.071,-0.122
2018-04-17,28.75,0.024,0.073,0.03
2018-04-18,28.65,0.034,0.024,-0.057
2018-04-19,28.03,0.003,-0.018,-0.098
2018-04-20,27.22,-0.009,-0.035,-0.087
2018-04-23,26.86,-0.073,0.012,-0.087
2018-04-24,27.14,-0.056,-0.033,-0.025
2018-04-25,28.11,-0.019,0.014,0.013
2018-04-26,28.65,0.022,0.025,0.041
2018-04-27,28.71,0.055,0.045,0.023
2018-04-30,29.89,0.113,0.031,0.105
2018-05-01,29.13,0.073,0.013,0.087
2018-05-02,29.95,0.065,0.045,0.071
2018-05-03,27.57,-0.038,-0.016,-0.034
2018-05-04,27.86,-0.03,0.024,-0.013
2018-05-07,27.65,-0.075,0.029,0.042
2018-05-08,27.53,-0.055,0.014,-0.019
2018-05-09,27.85,-0.07,-0.009,0.005
2018-05-10,28.18,0.022,-0.016,0.008
2018-05-11,29.32,0.052,0.021,0.067
2018-05-14,28.47,0.03,-0.048,-0.018
2018-05-15,27.41,-0.004,-0.059,-0.047
2018-05-16,27.09,-0.027,-0.095,-0.054
2018-05-17,27.39,-0.028,-0.007,-0.023
2018-05-18,27.28,-0.07,-0.021,0.002
2018-05-21,27.42,-0.037,-0.008,0.021
2018-05-22,27.09,-0.012,-0.016,-0.002
2018-05-23,26.56,-0.02,-0.046,-0.055
2018-05-24,26.55,-0.031,-0.058,-0.073
2018-05-25,24.95,-0.085,-0.149,-0.131
2018-05-29,25.63,-0.065,-0.1,-0.143
2018-05-30,25.5,-0.059,-0.07,-0.125
2018-05-31,26.26,-0.011,-0.031,-0.123
2018-06-01,28.18,0.061,0.029,0.022
2018-06-04,29.21,0.171,0.071,0.048
2018-06-05,30.13,0.176,0.099,0.09
2018-06-06,30.65,0.202,0.131,0.113
2018-06-07,37.79,0.439,0.423,0.357
2018-06-08,40.53,0.438,0.527,0.438
2018-06-11,41.25,0.412,0.653,0.407
