date,open,high,low,close,adjusted close,volume
2018-04-11 00:00:00,14.0,14.0,14.0,14.0,14.0,0
2018-04-12 00:00:00,20.0,21.85,19.12,20.0,20.0,13102419
2018-04-13 00:00:00,19.8,20.82,19.6,20.6,20.6,1864667
2018-04-16 00:00:00,20.88,20.88,19.9,20.6,20.6,907867
2018-04-17 00:00:00,20.55,20.66,19.0,19.55,19.55,1152504
2018-04-18 00:00:00,19.61,20.42,19.0742,19.56,19.56,886009
2018-04-19 00:00:00,19.57,19.72,19.211,19.65,19.65,463459
2018-04-20 00:00:00,19.55,19.73,19.45,19.72,19.72,300461
2018-04-23 00:00:00,19.83,20.1,19.6176,20.0,20.0,341860
2018-04-24 00:00:00,20.12,20.12,19.41,19.7,19.7,308490
2018-04-25 00:00:00,19.72,19.73,19.4,19.61,19.61,272858
2018-04-26 00:00:00,19.68,20.28,19.6021,20.28,20.28,218829
2018-04-27 00:00:00,19.87,20.22,19.55,19.61,19.61,573943
2018-04-30 00:00:00,19.55,19.88,19.2,19.26,19.26,211828
2018-05-01 00:00:00,19.37,19.891,19.28,19.67,19.67,149731
2018-05-02 00:00:00,19.92,20.19,19.5,19.59,19.59,219982
2018-05-03 00:00:00,19.59,20.02,19.2,19.66,19.66,283046
2018-05-04 00:00:00,19.87,19.98,19.3791,19.55,19.55,145622
2018-05-07 00:00:00,19.39,19.47,18.75,19.25,19.25,417130
2018-05-08 00:00:00,19.28,19.66,19.11,19.51,19.51,167944
2018-05-09 00:00:00,19.48,19.9,19.33,19.79,19.79,123406
2018-05-10 00:00:00,19.8,20.18,19.42,20.04,20.04,169461
2018-05-11 00:00:00,20.08,20.35,19.51,20.16,20.16,264366
2018-05-14 00:00:00,20.3,20.35,19.75,19.89,19.89,159986
2018-05-15 00:00:00,19.81,19.845,19.17,19.22,19.22,192980
2018-05-16 00:00:00,19.23,19.71,19.2,19.36,19.36,107992
2018-05-17 00:00:00,19.3,19.75,19.3,19.69,19.69,68539
2018-05-18 00:00:00,19.66,20.02,19.65,19.67,19.67,99083
2018-05-21 00:00:00,19.64,19.739,19.3292,19.63,19.63,153806
2018-05-22 00:00:00,19.66,19.77,19.66,19.73,19.73,131158
2018-05-23 00:00:00,19.6,20.299,19.58,20.01,20.01,301668
2018-05-24 00:00:00,20.0,21.24,19.65,21.01,21.01,309013
2018-05-25 00:00:00,20.97,22.189,20.97,21.4,21.4,410098
2018-05-29 00:00:00,21.4,21.51,20.0,20.67,20.67,329555
2018-05-30 00:00:00,20.9,22.01,20.67,21.94,21.94,316402
2018-05-31 00:00:00,21.84,22.96,21.67,22.18,22.18,429767
2018-06-01 00:00:00,23.12,27.5,22.22,26.4,26.4,2136948
2018-06-04 00:00:00,29.16,29.88,27.3001,28.02,28.02,1969197
2018-06-05 00:00:00,28.71,29.93,28.17,28.54,28.54,1187847
2018-06-06 00:00:00,28.9,31.0,28.68,30.2,30.2,1076080
2018-06-07 00:00:00,30.74,30.7765,27.15,27.8,27.8,1050509
2018-06-08 00:00:00,28.04,29.57,28.01,29.23,29.23,535300
2018-06-11 00:00:00,29.47,32.55,29.28,31.53,31.53,1168374
2018-06-12 00:00:00,32.29,33.08,28.97,29.0,29.0,1369111
2018-06-13 00:00:00,29.75,30.15,29.1,29.74,29.74,1000642
2018-06-14 00:00:00,30.75,32.97,30.58,31.34,31.34,1525361
2018-06-15 00:00:00,31.55,36.0,31.25,34.63,34.63,4141923
