date,open,high,low,close,adjusted close,volume
2018-08-15 00:00:00,146.08,147.88,143.6,145.04,145.04,4476924
2018-08-16 00:00:00,146.51,146.91,145.22,145.73,145.73,3703974
2018-08-17 00:00:00,145.5,146.01,143.95,145.02,145.02,2865587
2018-08-20 00:00:00,145.21,146.06,144.32,145.71,145.71,2882181
2018-08-21 00:00:00,146.41,148.79,145.36,145.53,145.53,4063688
2018-08-22 00:00:00,145.59,147.199,145.05,146.46,146.46,4245303
2018-08-23 00:00:00,146.83,148.34,146.07,147.83,147.83,6196336
2018-08-24 00:00:00,148.5,152.38,148.5,152.3,152.3,4881956
2018-08-27 00:00:00,154.71,154.88,150.2,151.68,151.68,5814765
2018-08-28 00:00:00,152.03,153.4,151.56,152.99,152.99,5266932
2018-08-29 00:00:00,153.33,154.97,153.05,154.8,154.8,9018599
2018-08-30 00:00:00,151.12,153.735,149.5,152.14,152.14,14440957
2018-08-31 00:00:00,152.14,153.87,151.9,152.68,152.68,6210529
2018-09-04 00:00:00,152.11,153.34,151.51,153.21,153.21,5310894
2018-09-05 00:00:00,152.39,152.78,147.08,148.65,148.65,7287417
2018-09-06 00:00:00,148.75,149.16,147.08,148.83,148.83,4190347
2018-09-07 00:00:00,147.84,151.41,147.5,150.43,150.43,3866773
2018-09-10 00:00:00,150.0,151.579,148.0,151.32,151.32,3871965
2018-09-11 00:00:00,151.08,153.75,150.615,152.84,152.84,4151022
2018-09-12 00:00:00,152.84,155.77,151.808,155.37,155.37,5180848
2018-09-13 00:00:00,155.87,158.78,155.82,158.18,158.18,6213541
2018-09-14 00:00:00,157.95,158.79,156.32,157.49,157.49,4615261
2018-09-17 00:00:00,157.0,158.43,154.62,154.92,154.92,3899581
2018-09-18 00:00:00,154.76,158.03,154.75,156.0,156.0,3749879
2018-09-19 00:00:00,156.37,157.33,152.3914,152.9,152.9,5546201
2018-09-20 00:00:00,153.29,156.065,151.65,155.5,155.5,4655730
2018-09-21 00:00:00,157.07,157.955,154.96,155.52,155.52,17991594
2018-09-24 00:00:00,155.38,158.91,153.33,158.78,158.78,5082094
2018-09-25 00:00:00,159.0,159.14,157.17,158.87,158.87,5699599
2018-09-26 00:00:00,159.06,159.93,157.35,158.33,158.33,4079727
2018-09-27 00:00:00,159.05,161.08,158.93,160.43,160.43,3930274
2018-09-28 00:00:00,160.0,160.86,158.936,159.03,159.03,4607671
2018-10-01 00:00:00,160.11,161.19,159.02,159.86,159.86,4297554
2018-10-02 00:00:00,159.27,159.58,156.7,157.26,157.26,4137003
2018-10-03 00:00:00,158.56,159.76,157.02,159.1,159.1,3561623
2018-10-04 00:00:00,158.2,158.84,153.78,154.9,154.9,6206372
2018-10-05 00:00:00,154.86,156.6,152.47,155.07,155.07,4963564
2018-10-08 00:00:00,154.24,154.62,145.6,148.65,148.65,10238725
2018-10-09 00:00:00,148.32,150.87,147.21,148.5,148.5,5593337
2018-10-10 00:00:00,147.52,147.585,137.54,137.81,137.81,13660587
2018-10-11 00:00:00,137.44,142.16,136.45,139.24,139.24,10499303
2018-10-12 00:00:00,145.77,148.75,143.22,146.74,146.74,9371711
2018-10-15 00:00:00,146.7,146.7,141.32,141.95,141.95,6040808
2018-10-16 00:00:00,145.47,147.91,144.01,147.44,147.44,5383148
2018-10-17 00:00:00,148.35,148.35,145.42,147.01,147.01,3377854
2018-10-18 00:00:00,146.09,147.5935,141.43,142.84,142.84,5338244
2018-10-19 00:00:00,143.61,145.37,140.38,140.49,140.49,5141616
2018-10-22 00:00:00,141.7,143.8,139.2,142.95,142.95,4234925
2018-10-23 00:00:00,139.32,141.97,137.78,140.66,140.66,6461980
