,CRM,NOW,WDAY,AYX,HUBS,TWLO,DOCU,ADBE,OKTA,NEWR,INTU,DBX,ZS,ZEN
2018-08-15,145.04,182.73,139.2,53.17,125.85,74.63,56.15,250.52,54.45,102.01,209.0248,28.97,36.35,61.97
2018-08-16,145.73,182.03,140.05,54.44,125.0,75.7,57.69,248.89,54.86,101.64,209.2443,28.23,39.1,62.2
2018-08-17,145.02,180.83,142.65,54.64,125.7,77.49,58.68,245.7,55.23,100.49,207.4481,27.51,40.29,61.71
2018-08-20,145.71,181.36,143.29,54.82,126.5,78.05,61.22,249.76,56.03,99.25,206.9592,27.62,39.82,61.7
2018-08-21,145.53,182.1,145.01,54.53,131.85,75.79,62.5,251.5,56.08,99.83,208.5658,28.27,39.43,61.83
2018-08-22,146.46,182.41,146.14,54.26,134.65,76.44,61.84,255.54,57.26,101.02,209.2443,28.08,41.72,63.4
2018-08-23,147.83,184.85,145.68,54.93,137.1,80.55,63.9,257.0,58.51,101.39,211.9984,28.34,42.55,64.59
2018-08-24,152.3,193.56,151.0,56.42,140.35,81.16,65.54,261.51,59.95,105.47,216.1696,27.03,44.43,66.76
2018-08-27,151.68,193.25,151.68,56.03,142.75,80.31,65.53,262.4,59.51,104.62,211.5195,27.38,47.26,67.01
2018-08-28,152.99,194.26,152.26,56.26,142.95,80.22,66.3,263.04,60.47,104.49,215.4711,27.16,47.0,67.31
2018-08-29,154.8,200.23,153.78,56.64,142.9,80.99,67.87,268.36,61.94,103.78,217.4369,27.01,47.16,69.23
2018-08-30,152.14,198.45,153.81,56.65,142.8,79.99,65.0,266.43,61.69,103.15,218.1653,26.7,43.9,69.4
2018-08-31,152.68,196.36,154.54,58.05,143.7,80.66,62.44,263.51,61.83,102.76,219.0035,26.85,42.79,68.89
2018-09-04,153.21,200.26,156.69,59.57,145.6,87.11,64.85,266.68,63.12,105.5,220.2708,26.96,44.26,69.68
2018-09-05,148.65,190.76,142.21,57.58,139.4,81.71,63.1,256.14,59.88,97.76,218.2252,26.6,44.07,67.98
2018-09-06,148.83,193.18,144.52,59.22,147.25,80.5,57.85,259.75,60.2,99.71,219.3927,25.74,41.87,67.94
2018-09-07,150.43,196.98,144.93,60.0,151.9,82.32,56.94,260.87,71.92,102.2,219.8517,26.76,46.05,69.06
2018-09-10,151.32,199.01,143.66,61.33,154.45,84.31,53.93,265.37,72.08,105.62,224.2424,26.88,45.76,69.95
2018-09-11,152.84,199.5,146.15,61.97,159.15,85.29,53.96,267.0,72.9,109.37,225.5396,26.97,42.95,70.66
2018-09-12,155.37,202.77,148.21,61.74,159.15,85.01,57.18,267.79,74.17,109.64,225.2003,26.14,42.68,70.67
2018-09-13,158.18,204.58,150.54,60.65,159.6,85.31,55.37,268.52,72.49,107.65,227.2959,25.73,42.44,70.55
2018-09-14,157.49,202.97,151.07,60.55,160.35,87.28,53.79,274.69,72.13,106.93,227.0564,26.08,42.64,71.94
2018-09-17,154.92,192.82,144.73,56.8,153.2,84.41,52.18,268.25,69.51,100.46,224.9908,26.2,40.26,67.69
2018-09-18,156.0,191.88,143.68,58.75,152.6,85.38,53.03,270.79,69.87,100.32,227.695,26.36,39.75,68.51
2018-09-19,152.9,186.0,140.66,57.43,148.55,82.87,51.73,264.88,69.84,98.79,220.4105,25.66,37.83,67.23
2018-09-20,155.5,187.35,141.66,58.21,148.65,84.83,52.23,266.34,71.0,98.06,220.9793,26.5,38.82,67.97
2018-09-21,155.52,189.69,138.63,58.98,145.35,83.73,52.54,260.88,68.5,95.72,219.9715,26.36,40.13,67.31
2018-09-24,158.78,193.12,141.5,60.52,149.1,83.36,51.83,264.09,68.52,95.87,218.4347,26.33,41.43,68.55
2018-09-25,158.87,197.61,143.79,61.76,152.1,87.7,53.4,267.84,69.42,98.34,221.4882,27.14,42.64,71.37
2018-09-26,158.33,195.71,144.51,60.65,151.2,84.79,52.54,268.47,69.59,96.55,221.7078,27.11,41.97,71.16
2018-09-27,160.43,195.08,145.97,59.31,149.95,85.72,52.82,269.91,70.41,95.83,222.3464,27.05,41.61,70.81
2018-09-28,159.03,195.63,145.98,57.21,150.95,86.28,52.57,269.95,70.36,94.23,226.9167,26.83,40.78,71.0
2018-10-01,159.86,194.61,145.87,56.77,149.27,83.75,48.85,275.49,71.82,90.79,227.236,26.22,39.93,69.2
2018-10-02,157.26,192.9,142.9,54.94,145.88,79.57,46.4,272.0,68.1,87.62,227.1362,26.32,37.03,67.64
2018-10-03,159.1,196.2,145.66,55.62,150.05,80.9,47.11,270.51,68.27,89.26,230.8283,26.25,38.21,67.88
2018-10-04,154.9,187.44,139.76,55.0,145.75,78.09,45.8,263.71,65.08,89.09,224.1925,24.54,37.81,66.67
2018-10-05,155.07,186.6,139.97,53.4,145.83,76.62,45.27,263.22,65.11,89.21,221.8375,24.07,37.04,65.8
2018-10-08,148.65,180.26,132.42,52.08,139.28,74.09,43.23,254.69,61.31,86.0,216.8781,22.85,36.35,63.67
2018-10-09,148.5,181.41,131.67,51.86,135.69,74.33,41.51,254.16,59.69,85.25,220.66,22.75,35.73,63.29
2018-10-10,137.81,172.14,124.3,49.05,126.61,68.02,40.6,237.91,55.42,81.27,204.44,22.78,33.54,60.07
2018-10-11,139.24,174.97,124.75,45.34,124.25,69.29,40.25,238.59,54.64,81.13,200.69,22.87,34.55,59.17
2018-10-12,146.74,184.45,128.31,46.93,129.73,75.0,44.64,248.87,57.59,85.83,211.82,23.92,36.3,61.61
2018-10-15,141.95,180.91,127.0,46.55,129.52,76.13,43.83,238.01,58.22,84.3,208.78,23.97,36.86,60.64
2018-10-16,147.44,192.72,134.19,50.22,134.98,75.92,47.72,260.67,61.91,89.63,214.92,24.9,38.96,63.22
2018-10-17,147.01,190.26,137.25,49.93,137.11,74.01,47.52,258.91,62.26,88.52,218.83,24.86,37.91,62.96
2018-10-18,142.84,185.18,130.43,47.35,134.8,71.73,46.24,250.35,59.39,86.88,212.68,24.19,36.78,61.7
2018-10-19,140.49,177.15,127.7,43.17,129.94,66.41,42.005,245.03,55.76,84.1,211.1,23.38,35.68,57.82
2018-10-22,142.95,178.84,129.72,44.36,131.75,69.23,42.46,251.06,57.42,86.68,213.27,23.42,36.3,58.74
2018-10-23,140.66,181.78,128.78,44.79,133.13,69.68,41.33,251.76,57.27,87.14,208.87,23.36,35.53,59.31
2018-10-24,133.26,170.21,122.11,42.81,126.13,63.98,39.17,238.44,52.78,82.12,201.43,21.99,34.02,55.7
2018-10-25,140.8,172.63,125.84,46.51,131.0,67.35,40.32,252.92,54.94,85.03,207.66,22.35,35.75,56.91
2018-10-26,135.52,166.76,120.65,44.88,126.44,65.85,41.18,245.8,51.94,83.82,202.02,21.71,33.75,55.68
2018-10-29,130.99,164.23,122.75,44.23,124.58,65.98,40.35,239.75,52.48,84.33,200.67,22.01,34.17,54.19
2018-10-30,132.17,168.5,128.02,48.48,128.76,69.84,41.74,238.41,53.53,84.62,202.8,22.8,35.49,53.76
2018-10-31,137.24,181.04,133.02,52.99,135.65,75.22,41.94,245.76,58.36,89.25,211.0,23.47,36.29,54.97
2018-11-01,139.59,183.73,137.89,54.31,140.95,76.63,41.85,245.28,59.93,90.94,212.36,23.72,38.96,55.15
2018-11-02,136.79,178.78,132.84,52.61,137.87,74.32,42.82,239.64,57.77,87.13,212.98,24.03,39.42,55.17
2018-11-05,135.44,180.41,130.32,52.97,134.31,71.77,42.41,239.89,56.53,86.07,214.44,24.06,39.77,53.33
2018-11-06,133.95,177.37,134.98,53.16,134.98,71.02,42.55,240.56,56.1,86.07,213.7,24.05,40.97,53.01
2018-11-07,141.79,190.83,144.24,58.64,144.12,96.19,43.88,253.43,62.6,96.11,221.88,25.01,41.0,57.64
2018-11-08,141.87,186.16,145.99,58.29,138.0,91.95,44.82,249.96,61.49,92.14,223.24,24.74,41.74,55.55
2018-11-09,136.92,177.59,139.93,57.88,135.34,92.23,44.43,244.84,59.28,88.77,222.17,25.55,40.71,54.4
2018-11-12,130.5,172.37,133.1,55.59,129.16,83.34,41.34,236.67,54.62,83.38,212.87,24.34,39.34,53.19
2018-11-13,132.16,168.67,135.06,56.07,127.6,85.1,42.59,238.74,55.0,82.45,212.84,23.67,40.32,52.55
2018-11-14,129.35,167.38,132.39,57.76,126.66,83.96,39.86,235.22,54.86,81.72,209.38,23.56,40.09,53.1
2018-11-15,132.49,172.97,136.18,60.61,133.89,89.78,40.37,239.95,58.02,85.56,214.54,24.6,40.99,55.97
2018-11-16,132.55,171.09,134.23,60.34,133.84,89.17,39.0,238.89,57.71,84.75,211.44,23.27,37.65,54.92
2018-11-19,121.01,156.8,124.07,52.43,114.54,76.9,37.41,219.69,48.67,76.63,199.24,21.55,33.1,48.37
2018-11-20,120.67,157.24,126.81,50.69,114.77,75.89,38.33,219.73,47.82,74.79,195.18,21.45,32.25,49.37
