,close,5days,10days,20days
2017-12-29,166.7289,0.0,0.0,0.0
2018-01-02,169.7141,0.0,0.0,0.0
2018-01-03,169.6845,0.0,0.0,0.0
2018-01-04,170.4727,0.0,0.0,0.0
2018-01-05,172.4136,0.0,0.0,0.0
2018-01-08,171.7732,0.03,0.0,0.0
2018-01-09,171.7535,0.012,0.0,0.0
2018-01-10,171.7141,0.012,0.0,0.0
2018-01-11,172.6895,0.013,0.0,0.0
2018-01-12,174.4727,0.012,0.0,0.0
2018-01-16,173.58599999999998,0.011,0.041,0.0
2018-01-17,176.453,0.027,0.04,0.0
2018-01-18,176.6106,0.029,0.041,0.0
2018-01-19,175.8225,0.018,0.031,0.0
2018-01-22,174.38400000000001,-0.001,0.011,0.0
2018-01-23,174.4234,0.005,0.015,0.0
2018-01-24,171.6451,-0.027,-0.001,0.0
2018-01-25,168.5811,-0.045,-0.018,0.0
2018-01-26,168.9752,-0.039,-0.022,0.0
2018-01-29,165.4776,-0.051,-0.052,0.0
2018-01-30,164.5023,-0.057,-0.052,-0.013
2018-01-31,164.9555,-0.039,-0.065,-0.028
2018-02-01,165.3003,-0.019,-0.064,-0.026
2018-02-02,158.1279,-0.064,-0.101,-0.072
2018-02-05,154.1772,-0.068,-0.116,-0.106
2018-02-06,160.6205,-0.024,-0.079,-0.065
2018-02-07,157.1821,-0.047,-0.084,-0.085
2018-02-08,152.857,-0.075,-0.093,-0.11
2018-02-09,154.719,-0.022,-0.084,-0.104
2018-02-12,160.9509,0.044,-0.027,-0.078
2018-02-13,162.5633,0.012,-0.012,-0.063
2018-02-14,165.5605,0.053,0.004,-0.062
2018-02-15,171.1198,0.119,0.035,-0.031
2018-02-16,170.5658,0.102,0.079,-0.03
2018-02-20,169.9921,0.056,0.103,-0.025
2018-02-21,169.2205,0.041,0.054,-0.03
2018-02-22,170.6351,0.031,0.086,-0.006
2018-02-23,173.6026,0.015,0.136,0.03
2018-02-26,177.0351,0.038,0.144,0.048
2018-02-27,176.4614,0.038,0.096,0.066
2018-02-28,176.1943,0.041,0.084,0.071
2018-03-01,173.1081,0.014,0.046,0.049
2018-03-02,174.305,0.004,0.019,0.054
2018-03-05,174.9084,-0.012,0.025,0.106
