,close,5days,10days,20days
2017-12-29,1169.47,0.0,0.0,0.0
2018-01-02,1189.01,0.0,0.0,0.0
2018-01-03,1204.2,0.0,0.0,0.0
2018-01-04,1209.59,0.0,0.0,0.0
2018-01-05,1229.14,0.0,0.0,0.0
2018-01-08,1246.87,0.066,0.0,0.0
2018-01-09,1252.7,0.054,0.0,0.0
2018-01-10,1254.33,0.042,0.0,0.0
2018-01-11,1276.68,0.055,0.0,0.0
2018-01-12,1305.2,0.062,0.0,0.0
2018-01-16,1304.86,0.047,0.116,0.0
2018-01-17,1295.0,0.034,0.089,0.0
2018-01-18,1293.32,0.031,0.074,0.0
2018-01-19,1294.58,0.014,0.07,0.0
2018-01-22,1327.31,0.017,0.08,0.0
2018-01-23,1362.54,0.044,0.093,0.0
2018-01-24,1357.51,0.048,0.084,0.0
2018-01-25,1377.95,0.065,0.099,0.0
2018-01-26,1402.05,0.083,0.098,0.0
2018-01-29,1417.68,0.068,0.086,0.0
2018-01-30,1437.82,0.055,0.102,0.229
2018-01-31,1450.89,0.069,0.12,0.22
2018-02-01,1390.0,0.009,0.075,0.154
2018-02-02,1429.95,0.02,0.105,0.182
2018-02-05,1390.0,-0.02,0.047,0.131
2018-02-06,1442.84,0.003,0.059,0.157
2018-02-07,1416.78,-0.024,0.044,0.131
2018-02-08,1350.5,-0.028,-0.02,0.077
2018-02-09,1339.6,-0.063,-0.045,0.049
2018-02-12,1386.23,-0.003,-0.022,0.062
2018-02-13,1414.51,-0.02,-0.016,0.084
2018-02-14,1451.05,0.024,0.0,0.121
2018-02-15,1461.76,0.082,0.052,0.13
2018-02-16,1448.69,0.081,0.013,0.119
2018-02-20,1468.35,0.059,0.056,0.106
2018-02-21,1482.92,0.048,0.028,0.088
2018-02-22,1485.34,0.024,0.048,0.094
2018-02-23,1500.0,0.026,0.111,0.089
2018-02-26,1521.95,0.051,0.136,0.086
2018-02-27,1511.98,0.03,0.091,0.067
2018-02-28,1512.45,0.02,0.069,0.052
2018-03-01,1493.45,0.005,0.029,0.029
2018-03-02,1500.25,0.0,0.026,0.079
2018-03-05,1523.61,0.001,0.052,0.065
2018-03-06,1537.64,0.017,0.047,0.106
2018-03-07,1545.0,0.022,0.042,0.071
2018-03-08,1551.86,0.039,0.045,0.095
2018-03-09,1578.89,0.052,0.053,0.169
2018-03-12,1598.39,0.049,0.05,0.193
2018-03-13,1588.18,0.033,0.05,0.146
2018-03-14,1591.0,0.03,0.052,0.125
2018-03-15,1582.32,0.02,0.06,0.09
2018-03-16,1571.68,-0.005,0.048,0.075
2018-03-19,1544.93,-0.033,0.014,0.066
2018-03-20,1586.51,-0.001,0.032,0.08
2018-03-21,1581.86,-0.006,0.024,0.067
2018-03-22,1544.92,-0.024,-0.004,0.04
2018-03-23,1495.56,-0.048,-0.053,-0.003
2018-03-26,1555.86,0.007,-0.027,0.022
2018-03-27,1497.05,-0.056,-0.057,-0.01
2018-03-28,1431.42,-0.095,-0.1,-0.054
2018-03-29,1447.34,-0.063,-0.085,-0.031
2018-04-02,1371.99,-0.083,-0.127,-0.085
2018-04-03,1392.05,-0.105,-0.099,-0.086
2018-04-04,1410.57,-0.058,-0.111,-0.083
2018-04-05,1451.75,0.014,-0.082,-0.06
2018-04-06,1405.23,-0.029,-0.09,-0.094
2018-04-09,1406.08,0.025,-0.06,-0.109
2018-04-10,1436.22,0.032,-0.077,-0.101
2018-04-11,1427.05,0.012,-0.047,-0.101
2018-04-12,1448.5,-0.002,0.012,-0.09
2018-04-13,1430.79,0.018,-0.011,-0.096
2018-04-16,1441.5,0.025,0.051,-0.083
2018-04-17,1503.83,0.047,0.08,-0.027
2018-04-18,1527.84,0.071,0.083,-0.037
2018-04-19,1556.91,0.075,0.072,-0.016
2018-04-20,1527.49,0.068,0.087,-0.011
2018-04-23,1517.86,0.053,0.079,0.015
2018-04-24,1460.09,-0.029,0.017,-0.062
2018-04-25,1460.17,-0.044,0.023,-0.025
2018-04-26,1517.96,-0.025,0.048,0.06
2018-04-27,1572.62,0.03,0.099,0.087
2018-04-30,1566.13,0.032,0.086,0.142
2018-05-01,1582.26,0.084,0.052,0.137
2018-05-02,1569.68,0.075,0.027,0.113
2018-05-03,1572.08,0.036,0.01,0.083
2018-05-04,1580.95,0.005,0.035,0.125
2018-05-07,1600.14,0.022,0.054,0.138
2018-05-08,1592.39,0.006,0.091,0.109
2018-05-09,1608.0,0.024,0.101,0.127
2018-05-10,1609.08,0.024,0.06,0.111
2018-05-11,1602.91,0.014,0.019,0.12
2018-05-14,1601.54,0.001,0.023,0.111
2018-05-15,1576.12,-0.01,-0.004,0.048
2018-05-16,1587.28,-0.013,0.011,0.039
2018-05-17,1581.76,-0.017,0.006,0.016
2018-05-18,1574.37,-0.018,-0.004,0.031
2018-05-21,1585.46,-0.01,-0.009,0.045
2018-05-22,1581.4,0.003,-0.007,0.083
2018-05-23,1601.86,0.009,-0.004,0.097
2018-05-24,1603.07,0.013,-0.004,0.056
2018-05-25,1610.15,0.023,0.005,0.024
2018-05-29,1612.87,0.017,0.007,0.03
2018-05-30,1624.89,0.028,0.031,0.027
2018-05-31,1629.62,0.017,0.027,0.038
2018-06-01,1641.54,0.024,0.038,0.044
2018-06-04,1665.27,0.034,0.058,0.053
2018-06-05,1696.35,0.052,0.07,0.06
2018-06-06,1695.75,0.044,0.072,0.065
2018-06-07,1689.3,0.037,0.055,0.051
2018-06-08,1683.99,0.026,0.05,0.047
2018-06-11,1689.12,0.014,0.049,0.054
2018-06-12,1698.75,0.001,0.053,0.061
2018-06-13,1704.86,0.005,0.049,0.082
2018-06-14,1723.86,0.02,0.058,0.086
2018-06-15,1715.97,0.019,0.045,0.085
2018-06-18,1723.79,0.021,0.035,0.095
2018-06-19,1734.78,0.021,0.023,0.094
2018-06-20,1750.08,0.027,0.032,0.107
2018-06-21,1730.22,0.004,0.024,0.08
2018-06-22,1715.67,-0.0,0.019,0.07
2018-06-25,1663.15,-0.035,-0.015,0.033
2018-06-26,1691.09,-0.025,-0.005,0.048
2018-06-27,1660.51,-0.051,-0.026,0.022
2018-06-28,1701.45,-0.017,-0.013,0.044
2018-06-29,1699.8,-0.009,-0.009,0.035
2018-07-02,1713.78,0.03,-0.006,0.029
2018-07-03,1693.96,0.002,-0.024,-0.001
2018-07-05,1699.73,0.024,-0.029,0.002
2018-07-06,1710.63,0.005,-0.011,0.013
2018-07-09,1739.02,0.023,0.014,0.033
2018-07-10,1743.07,0.017,0.048,0.032
2018-07-11,1755.0,0.036,0.038,0.033
2018-07-12,1796.62,0.057,0.082,0.054
2018-07-13,1813.03,0.06,0.066,0.052
2018-07-16,1822.49,0.048,0.072,0.062
2018-07-17,1843.93,0.058,0.076,0.07
2018-07-18,1842.92,0.05,0.088,0.062
2018-07-19,1812.97,0.009,0.067,0.036
2018-07-20,1813.7,0.0,0.06,0.048
2018-07-23,1802.0,-0.011,0.036,0.05
2018-07-24,1829.24,-0.008,0.049,0.1
2018-07-25,1863.61,0.011,0.062,0.102
2018-07-26,1808.0,-0.003,0.006,0.089
2018-07-27,1817.27,0.002,0.002,0.068
2018-07-30,1779.22,-0.013,-0.024,0.047
2018-07-31,1777.44,-0.028,-0.036,0.037
2018-08-01,1797.17,-0.036,-0.025,0.061
2018-08-02,1834.33,0.015,0.012,0.079
2018-08-03,1823.29,0.003,0.005,0.066
2018-08-06,1847.75,0.039,0.025,0.063
2018-08-07,1862.48,0.048,0.018,0.069
2018-08-08,1886.52,0.05,0.012,0.075
2018-08-09,1898.52,0.035,0.05,0.057
2018-08-10,1886.3,0.035,0.038,0.04
2018-08-13,1896.2,0.026,0.066,0.04
2018-08-14,1919.65,0.031,0.08,0.041
2018-08-15,1882.62,-0.002,0.048,0.022
2018-08-16,1886.52,-0.006,0.028,0.041
2018-08-17,1882.22,-0.002,0.032,0.038
2018-08-20,1876.71,-0.01,0.016,0.041
2018-08-21,1883.42,-0.019,0.011,0.03
2018-08-22,1904.9,0.012,0.01,0.022
2018-08-23,1902.9,0.009,0.002,0.052
2018-08-24,1905.39,0.012,0.01,0.048
2018-08-27,1927.68,0.027,0.017,0.083
2018-08-28,1932.82,0.026,0.007,0.087
2018-08-29,1998.1,0.049,0.061,0.112
2018-08-30,2002.38,0.052,0.061,0.092
2018-08-31,2012.71,0.056,0.069,0.104
2018-09-04,2039.51,0.058,0.087,0.104
2018-09-05,1994.82,0.032,0.059,0.071
2018-09-06,1958.31,-0.02,0.028,0.038
2018-09-07,1952.07,-0.025,0.026,0.028
2018-09-10,1939.01,-0.037,0.018,0.028
2018-09-11,1987.15,-0.026,0.031,0.048
2018-09-12,1990.0,-0.002,0.03,0.037
2018-09-13,1989.87,0.016,-0.004,0.057
2018-09-14,1970.19,0.009,-0.016,0.044
2018-09-17,1908.03,-0.016,-0.052,0.014
2018-09-18,1941.05,-0.023,-0.048,0.034
2018-09-19,1926.42,-0.032,-0.034,0.023
2018-09-20,1944.3,-0.023,-0.007,0.021
2018-09-21,1915.01,-0.028,-0.019,0.006
2018-09-24,1934.36,0.014,-0.002,0.015
2018-09-25,1974.55,0.017,-0.006,0.024
2018-09-26,1974.85,0.025,-0.008,0.022
2018-09-27,2012.98,0.035,0.012,0.007
2018-09-28,2003.0,0.046,0.017,0.0
2018-10-01,2004.36,0.036,0.05,-0.004
2018-10-02,1971.31,-0.002,0.016,-0.033
2018-10-03,1952.76,-0.011,0.014,-0.021
2018-10-04,1909.42,-0.051,-0.018,-0.025
2018-10-05,1889.65,-0.057,-0.013,-0.032
2018-10-08,1864.42,-0.07,-0.036,-0.038
2018-10-09,1870.32,-0.051,-0.053,-0.059
2018-10-10,1755.25,-0.101,-0.111,-0.118
2018-10-11,1719.36,-0.1,-0.146,-0.136
2018-10-12,1788.61,-0.053,-0.107,-0.092
2018-10-15,1760.95,-0.055,-0.121,-0.077
2018-10-16,1819.96,-0.027,-0.077,-0.062
