date,open,high,low,close,adjusted close,volume
2018-08-24 00:00:00,55.5,56.91,55.11,56.42,56.42,1265512
2018-08-27 00:00:00,56.96,57.399,54.77,56.03,56.03,666904
2018-08-28 00:00:00,56.1,56.68,54.53,56.26,56.26,507328
2018-08-29 00:00:00,56.91,57.33,55.51,56.64,56.64,489611
2018-08-30 00:00:00,56.1,58.6,55.62,56.65,56.65,1106660
2018-08-31 00:00:00,56.34,58.1,56.2554,58.05,58.05,574647
2018-09-04 00:00:00,58.0,59.92,58.0,59.57,59.57,600558
2018-09-05 00:00:00,59.29,59.5,55.74,57.58,57.58,1200534
2018-09-06 00:00:00,57.78,59.8,57.05,59.22,59.22,673662
2018-09-07 00:00:00,57.93,61.1968,57.02,60.0,60.0,1053935
2018-09-10 00:00:00,60.74,61.71,59.9,61.33,61.33,1102628
2018-09-11 00:00:00,60.75,62.1,60.29,61.97,61.97,1188505
2018-09-12 00:00:00,62.0,62.94,60.41,61.74,61.74,933595
2018-09-13 00:00:00,62.48,63.18,60.13,60.65,60.65,477658
2018-09-14 00:00:00,60.7,61.58,59.74,60.55,60.55,768251
2018-09-17 00:00:00,60.31,60.35,56.66,56.8,56.8,1310729
2018-09-18 00:00:00,57.59,59.49,57.07,58.75,58.75,1108184
2018-09-19 00:00:00,58.75,58.9319,56.12,57.43,57.43,723322
2018-09-20 00:00:00,57.74,58.52,55.89,58.21,58.21,862280
2018-09-21 00:00:00,58.9,59.99,58.52,58.98,58.98,1071094
2018-09-24 00:00:00,58.98,61.53,57.82,60.52,60.52,1008458
2018-09-25 00:00:00,60.72,61.8,60.12,61.76,61.76,856453
2018-09-26 00:00:00,61.83,62.7,60.555,60.65,60.65,1163131
2018-09-27 00:00:00,60.74,61.25,58.05,59.31,59.31,720506
2018-09-28 00:00:00,59.11,59.19,56.3,57.21,57.21,1265081
2018-10-01 00:00:00,57.21,57.9,56.23,56.77,56.77,668989
2018-10-02 00:00:00,56.58,56.58,53.62,54.94,54.94,991278
2018-10-03 00:00:00,55.12,55.83,54.51,55.62,55.62,551574
2018-10-04 00:00:00,55.34,55.58,53.16,55.0,55.0,1205981
2018-10-05 00:00:00,54.51,55.58,52.395,53.4,53.4,2029648
2018-10-08 00:00:00,52.53,53.6095,50.73,52.08,52.08,1229222
2018-10-09 00:00:00,50.46,52.85,50.31,51.86,51.86,816461
2018-10-10 00:00:00,52.0,52.0,48.71,49.05,49.05,2959384
2018-10-11 00:00:00,48.24,49.26,45.21,45.34,45.34,2254077
2018-10-12 00:00:00,48.33,48.99,46.01,46.93,46.93,1124660
2018-10-15 00:00:00,46.6,47.91,44.84,46.55,46.55,694500
2018-10-16 00:00:00,47.34,50.27,46.75,50.22,50.22,944986
2018-10-17 00:00:00,50.71,51.24,49.27,49.93,49.93,695037
2018-10-18 00:00:00,49.56,50.0,46.505,47.35,47.35,597676
2018-10-19 00:00:00,47.8,48.1452,43.06,43.17,43.17,1347423
2018-10-22 00:00:00,43.64,44.852,42.41,44.36,44.36,824183
2018-10-23 00:00:00,42.43,45.05,42.23,44.79,44.79,965196
2018-10-24 00:00:00,44.91,45.67,42.75,42.81,42.81,994125
2018-10-25 00:00:00,43.54,47.0,43.49,46.51,46.51,1165150
2018-10-26 00:00:00,45.53,46.56,43.0681,44.88,44.88,1030464
2018-10-29 00:00:00,46.01,46.5267,43.25,44.23,44.23,836149
2018-10-30 00:00:00,44.1,48.57,43.69,48.48,48.48,1427894
2018-10-31 00:00:00,50.07,53.17,49.26,52.99,52.99,1700141
2018-11-01 00:00:00,53.02,54.55,51.25,54.31,54.31,1239039
2018-11-02 00:00:00,54.49,55.74,51.95,52.61,52.61,1053685
2018-11-05 00:00:00,52.65,53.19,50.55,52.97,52.97,943126
2018-11-06 00:00:00,53.59,54.39,51.71,53.16,53.16,890539
2018-11-07 00:00:00,54.5,59.24,54.34,58.64,58.64,2221837
2018-11-08 00:00:00,67.2,67.4,56.855,58.29,58.29,2845081
2018-11-09 00:00:00,57.95,59.92,56.5,57.88,57.88,936512
2018-11-12 00:00:00,56.9,57.0,52.75,55.59,55.59,1167233
2018-11-13 00:00:00,55.72,56.6878,53.23,56.07,56.07,816816
2018-11-14 00:00:00,57.25,58.77,56.07,57.76,57.76,998707
2018-11-15 00:00:00,57.59,60.75,57.53,60.61,60.61,1041206
2018-11-16 00:00:00,59.62,61.8,59.04,60.34,60.34,768537
2018-11-19 00:00:00,59.71,60.37,52.38,52.43,52.43,1234818
2018-11-20 00:00:00,50.0,51.88,47.07,50.69,50.69,1804371
2018-11-21 00:00:00,51.92,53.36,50.54,52.41,52.41,683112
2018-11-23 00:00:00,51.44,54.44,51.44,53.85,53.85,198115
2018-11-26 00:00:00,54.88,57.27,53.35,56.5,56.5,687760
2018-11-27 00:00:00,56.0,57.395,54.01,54.2,54.2,1160071
2018-11-28 00:00:00,55.28,56.81,53.44,56.65,56.65,1034454
2018-11-29 00:00:00,56.25,59.52,56.25,58.36,58.36,629353
