,close,5days,10days,20days
2017-12-29,176.46,0.0,0.0,0.0
2018-01-02,181.42,0.0,0.0,0.0
2018-01-03,184.67,0.0,0.0,0.0
2018-01-04,184.33,0.0,0.0,0.0
2018-01-05,186.85,0.0,0.0,0.0
2018-01-08,188.28,0.067,0.0,0.0
2018-01-09,187.87,0.036,0.0,0.0
2018-01-10,187.84,0.017,0.0,0.0
2018-01-11,187.77,0.019,0.0,0.0
2018-01-12,179.37,-0.04,0.0,0.0
2018-01-16,178.39,-0.053,0.011,0.0
2018-01-17,177.6,-0.055,-0.021,0.0
2018-01-18,179.8,-0.043,-0.026,0.0
2018-01-19,181.29,-0.035,-0.016,0.0
2018-01-22,185.37,0.033,-0.008,0.0
2018-01-23,189.35,0.061,0.006,0.0
2018-01-24,186.55,0.05,-0.007,0.0
2018-01-25,187.48,0.043,-0.002,0.0
2018-01-26,190.0,0.048,0.012,0.0
2018-01-29,185.98,0.003,0.037,0.0
2018-01-30,187.12,-0.012,0.049,0.06
2018-01-31,186.89,0.002,0.052,0.03
2018-02-01,193.09,0.03,0.074,0.046
2018-02-02,190.28,0.001,0.05,0.032
2018-02-05,181.26,-0.025,-0.022,-0.03
2018-02-06,185.31,-0.01,-0.021,-0.016
2018-02-07,180.18,-0.036,-0.034,-0.041
2018-02-08,171.58,-0.111,-0.085,-0.087
2018-02-09,176.11,-0.074,-0.073,-0.062
2018-02-12,176.41,-0.027,-0.051,-0.017
2018-02-13,173.15,-0.066,-0.075,-0.029
2018-02-14,179.52,-0.004,-0.039,0.011
2018-02-15,179.96,0.049,-0.068,0.001
2018-02-16,177.36,0.007,-0.068,-0.022
2018-02-20,176.01,-0.002,-0.029,-0.05
2018-02-21,177.91,0.027,-0.04,-0.06
2018-02-22,178.99,-0.003,-0.007,-0.041
2018-02-23,183.29,0.019,0.068,-0.022
2018-02-26,184.93,0.043,0.05,-0.027
2018-02-27,181.46,0.031,0.029,-0.024
2018-02-28,178.32,0.002,0.03,-0.047
2018-03-01,175.94,-0.017,-0.02,-0.059
2018-03-02,176.62,-0.036,-0.019,-0.085
2018-03-05,180.4,-0.024,0.017,-0.052
2018-03-06,179.78,-0.009,0.021,-0.008
2018-03-07,183.71,0.03,0.033,-0.009
2018-03-08,182.34,0.036,0.019,0.012
2018-03-09,185.23,0.049,0.011,0.08
2018-03-12,184.76,0.024,-0.001,0.049
2018-03-13,181.88,0.012,0.002,0.031
2018-03-14,184.19,0.003,0.033,0.064
2018-03-15,183.86,0.008,0.045,0.024
2018-03-16,185.09,-0.001,0.048,0.029
2018-03-19,172.56,-0.066,-0.043,-0.027
2018-03-20,168.15,-0.075,-0.065,-0.045
2018-03-21,169.39,-0.08,-0.078,-0.048
2018-03-22,164.89,-0.103,-0.096,-0.079
2018-03-23,159.39,-0.139,-0.14,-0.13
2018-03-26,160.06,-0.072,-0.134,-0.134
2018-03-27,152.22,-0.095,-0.163,-0.161
2018-03-28,153.03,-0.097,-0.169,-0.142
2018-03-29,159.79,-0.031,-0.131,-0.092
2018-04-02,155.39,-0.025,-0.16,-0.12
2018-04-03,156.11,-0.025,-0.095,-0.135
2018-04-04,155.1,0.019,-0.078,-0.137
2018-04-05,159.34,0.041,-0.059,-0.133
2018-04-06,157.2,-0.016,-0.047,-0.138
2018-04-09,157.93,0.016,-0.009,-0.147
2018-04-10,165.04,0.057,0.031,-0.107
2018-04-11,166.32,0.072,0.093,-0.086
2018-04-12,163.87,0.028,0.071,-0.11
2018-04-13,164.52,0.047,0.03,-0.105
2018-04-16,164.83,0.044,0.061,-0.109
2018-04-17,168.66,0.022,0.08,-0.023
2018-04-18,166.36,0.0,0.073,-0.011
2018-04-19,168.1,0.026,0.055,-0.008
2018-04-20,166.28,0.011,0.058,0.008
2018-04-23,165.84,0.006,0.05,0.04
2018-04-24,159.69,-0.053,-0.032,-0.002
2018-04-25,159.69,-0.04,-0.04,0.049
2018-04-26,174.16,0.036,0.063,0.138
2018-04-27,173.59,0.044,0.055,0.086
2018-04-30,172.0,0.037,0.043,0.107
2018-05-01,173.86,0.089,0.031,0.114
2018-05-02,176.07,0.103,0.058,0.135
2018-05-03,174.02,-0.001,0.035,0.092
2018-05-04,176.61,0.017,0.062,0.123
2018-05-07,177.97,0.035,0.073,0.127
2018-05-08,178.92,0.029,0.12,0.084
2018-05-09,182.66,0.037,0.144,0.098
2018-05-10,185.53,0.066,0.065,0.132
2018-05-11,186.99,0.059,0.077,0.137
2018-05-14,186.64,0.049,0.085,0.132
2018-05-15,184.32,0.03,0.06,0.093
2018-05-16,183.2,0.003,0.04,0.101
2018-05-17,183.76,-0.01,0.056,0.093
2018-05-18,182.68,-0.023,0.034,0.099
2018-05-21,184.49,-0.012,0.037,0.112
2018-05-22,183.8,-0.003,0.027,0.151
2018-05-23,186.9,0.02,0.023,0.17
2018-05-24,185.93,0.012,0.002,0.068
2018-05-25,184.92,0.012,-0.011,0.065
2018-05-29,185.74,0.007,-0.005,0.08
2018-05-30,187.67,0.021,0.018,0.079
2018-05-31,191.78,0.026,0.047,0.089
2018-06-01,193.99,0.043,0.056,0.115
2018-06-04,193.28,0.045,0.058,0.094
2018-06-05,192.94,0.039,0.046,0.084
2018-06-06,191.34,0.02,0.041,0.069
2018-06-07,188.18,-0.019,0.007,0.03
2018-06-08,189.1,-0.025,0.017,0.019
2018-06-11,191.54,-0.009,0.036,0.024
2018-06-12,192.4,-0.003,0.036,0.031
2018-06-13,192.41,0.006,0.025,0.044
2018-06-14,196.81,0.046,0.026,0.074
2018-06-15,195.85,0.036,0.01,0.066
2018-06-18,198.31,0.035,0.026,0.086
2018-06-19,197.49,0.026,0.024,0.07
2018-06-20,202.0,0.05,0.056,0.099
2018-06-21,201.5,0.024,0.071,0.078
2018-06-22,201.74,0.03,0.067,0.085
2018-06-25,196.35,-0.01,0.025,0.062
2018-06-26,199.0,0.008,0.034,0.071
2018-06-27,195.84,-0.03,0.018,0.044
2018-06-28,196.23,-0.026,-0.003,0.023
2018-06-29,194.32,-0.037,-0.008,0.002
2018-07-02,197.36,0.005,-0.005,0.021
2018-07-03,192.73,-0.032,-0.024,-0.001
2018-07-05,198.45,0.013,-0.018,0.037
2018-07-06,203.23,0.036,0.009,0.08
2018-07-09,204.74,0.054,0.015,0.083
2018-07-10,203.54,0.031,0.037,0.063
2018-07-11,202.54,0.051,0.018,0.053
2018-07-12,206.92,0.043,0.057,0.075
2018-07-13,207.32,0.02,0.057,0.053
2018-07-16,207.23,0.012,0.066,0.058
2018-07-17,209.99,0.032,0.064,0.059
2018-07-18,209.36,0.034,0.086,0.06
2018-07-19,208.09,0.006,0.049,0.03
2018-07-20,209.94,0.013,0.033,0.042
2018-07-23,210.91,0.018,0.03,0.045
2018-07-24,214.67,0.022,0.055,0.093
2018-07-25,217.5,0.039,0.074,0.093
2018-07-26,176.26,-0.153,-0.148,-0.1
2018-07-27,174.89,-0.167,-0.156,-0.109
