date,open,high,low,close,adjusted close,volume
2018-08-24 00:00:00,138.1,141.75,138.0,140.35,140.35,316490
2018-08-27 00:00:00,141.65,143.0,139.55,142.75,142.75,392485
2018-08-28 00:00:00,143.1,144.0,141.8,142.95,142.95,335550
2018-08-29 00:00:00,143.15,144.55,142.3,142.9,142.9,318830
2018-08-30 00:00:00,142.0,143.45,140.35,142.8,142.8,394996
2018-08-31 00:00:00,142.15,144.245,141.45,143.7,143.7,300937
2018-09-04 00:00:00,142.95,146.1,141.85,145.6,145.6,314031
2018-09-05 00:00:00,144.75,144.75,137.755,139.4,139.4,497760
2018-09-06 00:00:00,140.55,147.6,140.05,147.25,147.25,666779
2018-09-07 00:00:00,147.35,154.55,146.05,151.9,151.9,476929
2018-09-10 00:00:00,152.2,155.45,151.2,154.45,154.45,448128
2018-09-11 00:00:00,154.0,160.85,153.65,159.15,159.15,541263
2018-09-12 00:00:00,159.8,160.55,153.7,159.15,159.15,467085
2018-09-13 00:00:00,159.75,162.2,158.4,159.6,159.6,459109
2018-09-14 00:00:00,160.0,161.7,158.5,160.35,160.35,385510
2018-09-17 00:00:00,160.0,160.0,153.15,153.2,153.2,466073
2018-09-18 00:00:00,153.35,157.35,152.55,152.6,152.6,410223
2018-09-19 00:00:00,152.4,152.75,145.6,148.55,148.55,528239
2018-09-20 00:00:00,148.85,150.05,146.0,148.65,148.65,362431
2018-09-21 00:00:00,149.05,149.55,144.6,145.35,145.35,665416
2018-09-24 00:00:00,144.8,149.3,142.3,149.1,149.1,517855
2018-09-25 00:00:00,149.8,153.2,147.3,152.1,152.1,387856
2018-09-26 00:00:00,152.7,153.95,150.7,151.2,151.2,358431
2018-09-27 00:00:00,151.7,154.2,149.9,149.95,149.95,262381
2018-09-28 00:00:00,149.7,152.65,149.6,150.95,150.95,259943
2018-10-01 00:00:00,151.92,153.54,148.69,149.27,149.27,340047
2018-10-02 00:00:00,149.04,150.33,144.62,145.88,145.88,526432
2018-10-03 00:00:00,145.76,150.94,144.9,150.05,150.05,502407
2018-10-04 00:00:00,149.8,150.89,143.38,145.75,145.75,395491
2018-10-05 00:00:00,145.51,148.02,141.2,145.83,145.83,463224
2018-10-08 00:00:00,144.58,144.73,136.37,139.28,139.28,436427
2018-10-09 00:00:00,137.63,141.35,135.19,135.69,135.69,615551
2018-10-10 00:00:00,135.0,136.79,125.66,126.61,126.61,957684
2018-10-11 00:00:00,125.38,128.88,123.7389,124.25,124.25,806470
2018-10-12 00:00:00,131.88,131.88,125.95,129.73,129.73,673077
2018-10-15 00:00:00,128.94,130.98,126.21,129.52,129.52,411871
2018-10-16 00:00:00,132.32,135.07,130.8201,134.98,134.98,502478
2018-10-17 00:00:00,135.71,138.77,132.44,137.11,137.11,652139
2018-10-18 00:00:00,136.62,138.66,132.93,134.8,134.8,473556
2018-10-19 00:00:00,135.27,137.01,129.2203,129.94,129.94,440179
2018-10-22 00:00:00,130.64,133.17,129.0,131.75,131.75,358314
2018-10-23 00:00:00,127.99,133.78,127.17,133.13,133.13,368063
2018-10-24 00:00:00,133.09,135.365,126.04,126.13,126.13,646883
2018-10-25 00:00:00,127.2,131.54,126.17,131.0,131.0,444105
2018-10-26 00:00:00,126.19,129.5,123.09,126.44,126.44,476354
2018-10-29 00:00:00,131.12,131.38,121.13,124.58,124.58,562663
2018-10-30 00:00:00,124.0,129.53,123.33,128.76,128.76,530716
2018-10-31 00:00:00,131.8,137.51,131.39,135.65,135.65,520165
2018-11-01 00:00:00,137.19,142.35,135.15,140.95,140.95,493439
2018-11-02 00:00:00,140.95,143.62,136.69,137.87,137.87,473216
2018-11-05 00:00:00,137.87,137.96,131.8123,134.31,134.31,366481
2018-11-06 00:00:00,133.63,136.94,132.4886,134.98,134.98,419170
2018-11-07 00:00:00,138.51,145.6,137.56,144.12,144.12,723865
2018-11-08 00:00:00,146.78,149.08,134.02,138.0,138.0,913644
2018-11-09 00:00:00,136.27,136.9,131.75,135.34,135.34,404161
2018-11-12 00:00:00,133.74,134.68,125.65,129.16,129.16,668213
2018-11-13 00:00:00,130.33,131.5,125.92,127.6,127.6,357541
2018-11-14 00:00:00,128.95,131.35,126.185,126.66,126.66,267563
2018-11-15 00:00:00,126.0,134.39,124.005,133.89,133.89,773368
2018-11-16 00:00:00,131.84,135.22,130.81,133.84,133.84,522077
2018-11-19 00:00:00,132.46,132.83,113.32,114.54,114.54,1166506
2018-11-20 00:00:00,109.69,118.835,108.39,114.77,114.77,633197
2018-11-21 00:00:00,117.08,119.89,114.93,116.92,116.92,406694
2018-11-23 00:00:00,115.74,119.36,115.23,117.85,117.85,107332
2018-11-26 00:00:00,119.97,123.94,118.45,123.79,123.79,281410
2018-11-27 00:00:00,122.55,123.595,120.06,120.99,120.99,459051
2018-11-28 00:00:00,123.0,131.15,121.55,130.65,130.65,829398
2018-11-29 00:00:00,129.27,136.595,128.8001,134.15,134.15,475327
2018-11-30 00:00:00,133.85,139.33,133.41,139.03,139.03,474533
2018-12-03 00:00:00,142.99,143.0,137.27,139.94,139.94,584488
