date,open,high,low,close,adjusted close,volume
2018-08-24 00:00:00,102.19,105.76,101.985,105.47,105.47,578928
2018-08-27 00:00:00,106.54,106.97,104.24,104.62,104.62,763059
2018-08-28 00:00:00,104.99,105.48,103.73,104.49,104.49,401067
2018-08-29 00:00:00,104.65,105.51,103.48,103.78,103.78,873141
2018-08-30 00:00:00,103.57,103.99,101.63,103.15,103.15,812301
2018-08-31 00:00:00,102.55,103.4,101.8,102.76,102.76,395439
2018-09-04 00:00:00,102.13,105.6,101.6669,105.5,105.5,1051226
2018-09-05 00:00:00,105.56,105.99,96.5,97.76,97.76,1381600
2018-09-06 00:00:00,98.2,99.96,97.18,99.71,99.71,813181
2018-09-07 00:00:00,98.85,103.74,98.85,102.2,102.2,568357
2018-09-10 00:00:00,102.16,105.8,101.66,105.62,105.62,852575
2018-09-11 00:00:00,105.34,109.99,104.491,109.37,109.37,981525
2018-09-12 00:00:00,109.38,110.76,106.57,109.64,109.64,748195
2018-09-13 00:00:00,110.5,113.3391,107.32,107.65,107.65,1005695
2018-09-14 00:00:00,108.22,109.51,106.28,106.93,106.93,558414
2018-09-17 00:00:00,106.2,106.9,99.88,100.46,100.46,817061
2018-09-18 00:00:00,100.67,102.95,100.14,100.32,100.32,1022470
2018-09-19 00:00:00,100.69,101.84,96.6,98.79,98.79,1080715
2018-09-20 00:00:00,98.63,100.79,97.5,98.06,98.06,602305
2018-09-21 00:00:00,98.43,99.95,95.58,95.72,95.72,1335402
2018-09-24 00:00:00,95.1,96.77,93.03,95.87,95.87,814249
2018-09-25 00:00:00,96.35,99.22,95.87,98.34,98.34,1058080
2018-09-26 00:00:00,98.6,99.64,96.3,96.55,96.55,1162660
2018-09-27 00:00:00,98.08,98.74,94.085,95.83,95.83,1366651
2018-09-28 00:00:00,95.73,97.0,94.1,94.23,94.23,846751
2018-10-01 00:00:00,94.66,95.8878,90.21,90.79,90.79,1435062
2018-10-02 00:00:00,90.09,90.695,86.63,87.62,87.62,1636105
2018-10-03 00:00:00,88.4,91.48,87.57,89.26,89.26,939038
2018-10-04 00:00:00,89.18,90.35,87.85,89.09,89.09,875502
