date,open,high,low,close,adjusted close,volume
2018-08-24 00:00:00,186.11,194.75,185.28,193.56,193.56,2765012
2018-08-27 00:00:00,194.0,196.63,192.22,193.25,193.25,1711590
2018-08-28 00:00:00,193.78,194.77,191.52,194.26,194.26,1187034
2018-08-29 00:00:00,194.27,201.0,194.27,200.23,200.23,2994780
2018-08-30 00:00:00,199.5,200.0395,196.46,198.45,198.45,1805219
2018-08-31 00:00:00,198.0,199.44,195.37,196.36,196.36,1225288
2018-09-04 00:00:00,195.95,200.66,195.3,200.26,200.26,1692779
2018-09-05 00:00:00,200.0,200.0,188.3,190.76,190.76,2704839
2018-09-06 00:00:00,191.92,194.33,189.24,193.18,193.18,1841253
2018-09-07 00:00:00,192.94,198.5,191.33,196.98,196.98,1631700
2018-09-10 00:00:00,199.88,199.88,195.5,199.01,199.01,2147656
2018-09-11 00:00:00,198.0,202.72,197.245,199.5,199.5,1765007
2018-09-12 00:00:00,199.84,203.34,195.29,202.77,202.77,1605323
2018-09-13 00:00:00,204.0,206.295,203.06,204.58,204.58,1472569
2018-09-14 00:00:00,204.12,205.34,202.15,202.97,202.97,1225542
2018-09-17 00:00:00,201.88,201.95,192.65,192.82,192.82,2313416
2018-09-18 00:00:00,193.02,195.78,191.55,191.88,191.88,2295516
2018-09-19 00:00:00,191.5,192.61,182.73,186.0,186.0,3930021
2018-09-20 00:00:00,187.0,188.94,184.25,187.35,187.35,2883788
2018-09-21 00:00:00,188.37,190.57,187.8,189.69,189.69,2880737
2018-09-24 00:00:00,187.63,194.07,185.67,193.12,193.12,2064799
2018-09-25 00:00:00,194.28,198.47,193.94,197.61,197.61,2105989
2018-09-26 00:00:00,197.61,198.885,194.69,195.71,195.71,1332257
2018-09-27 00:00:00,196.05,197.5,193.81,195.08,195.08,1119744
2018-09-28 00:00:00,194.58,197.8,194.55,195.63,195.63,1205036
2018-10-01 00:00:00,197.25,199.23,193.63,194.61,194.61,1338548
2018-10-02 00:00:00,195.72,195.97,192.33,192.9,192.9,1317009
2018-10-03 00:00:00,194.28,198.31,192.26,196.2,196.2,1582398
2018-10-04 00:00:00,195.49,195.5,184.62,187.44,187.44,3489058
2018-10-05 00:00:00,187.11,190.12,181.65,186.6,186.6,2244986
2018-10-08 00:00:00,184.39,185.81,177.27,180.26,180.26,2625632
2018-10-09 00:00:00,179.9,187.29,179.11,181.41,181.41,2397938
2018-10-10 00:00:00,180.45,180.83,171.81,172.14,172.14,3543719
2018-10-11 00:00:00,172.85,178.21,172.14,174.97,174.97,3509483
2018-10-12 00:00:00,182.32,188.07,180.29,184.45,184.45,2940164
2018-10-15 00:00:00,184.16,184.25,179.62,180.91,180.91,1462728
2018-10-16 00:00:00,185.21,193.35,184.66,192.72,192.72,2794834
2018-10-17 00:00:00,193.11,193.195,188.4328,190.26,190.26,1910278
2018-10-18 00:00:00,189.14,191.54,182.02,185.18,185.18,2237743
2018-10-19 00:00:00,186.46,187.6499,176.66,177.15,177.15,2259905
2018-10-22 00:00:00,178.91,180.9486,174.3777,178.84,178.84,2732277
2018-10-23 00:00:00,174.2,184.66,172.85,181.78,181.78,3025079
2018-10-24 00:00:00,181.78,183.78,169.65,170.21,170.21,3793871
2018-10-25 00:00:00,173.4,175.0,162.18,172.63,172.63,5153591
2018-10-26 00:00:00,164.24,172.16,162.43,166.76,166.76,3125248
2018-10-29 00:00:00,172.09,173.5,160.66,164.23,164.23,2537766
2018-10-30 00:00:00,160.0,169.0,157.6,168.5,168.5,3131324
2018-10-31 00:00:00,174.31,185.12,174.31,181.04,181.04,4013052
2018-11-01 00:00:00,181.03,184.315,177.0581,183.73,183.73,1538491
2018-11-02 00:00:00,184.87,186.35,178.36,178.78,178.78,1527055
2018-11-05 00:00:00,178.98,180.73,176.71,180.41,180.41,1387545
2018-11-06 00:00:00,179.5,182.48,176.26,177.37,177.37,1185119
2018-11-07 00:00:00,182.35,194.04,180.78,190.83,190.83,2994478
2018-11-08 00:00:00,190.0,191.58,185.18,186.16,186.16,1784452
2018-11-09 00:00:00,184.23,184.23,173.91,177.59,177.59,2205981
2018-11-12 00:00:00,175.2,176.99,166.52,172.37,172.37,2667095
