date,open,high,low,close,adjusted close,volume
2018-08-24 00:00:00,58.63,60.0,58.63,59.95,59.95,989913
2018-08-27 00:00:00,60.0,60.23,58.87,59.51,59.51,1249022
2018-08-28 00:00:00,59.75,60.6988,59.28,60.47,60.47,1174018
2018-08-29 00:00:00,60.5,62.226,60.5,61.94,61.94,1105761
2018-08-30 00:00:00,61.94,62.19,60.77,61.69,61.69,738784
2018-08-31 00:00:00,61.24,62.39,60.97,61.83,61.83,862096
2018-09-04 00:00:00,61.98,63.25,61.0601,63.12,63.12,1445301
2018-09-05 00:00:00,63.71,63.71,57.72,59.88,59.88,2533500
2018-09-06 00:00:00,60.2,60.6015,58.26,60.2,60.2,3205071
2018-09-07 00:00:00,69.25,75.0,66.09,71.92,71.92,10916804
2018-09-10 00:00:00,71.65,72.9784,69.43,72.08,72.08,3717137
2018-09-11 00:00:00,71.02,75.49,70.07,72.9,72.9,3418384
2018-09-12 00:00:00,73.87,74.32,70.533,74.17,74.17,1901797
2018-09-13 00:00:00,74.81,74.88,71.35,72.49,72.49,1920447
2018-09-14 00:00:00,73.5,73.5,70.39,72.13,72.13,2417471
2018-09-17 00:00:00,71.71,72.3413,69.02,69.51,69.51,2275965
2018-09-18 00:00:00,69.26,70.6648,67.74,69.87,69.87,2496797
2018-09-19 00:00:00,70.21,70.265,68.3672,69.84,69.84,1870675
2018-09-20 00:00:00,69.35,71.55,69.2,71.0,71.0,1698047
2018-09-21 00:00:00,71.3,71.6,68.3,68.5,68.5,2371684
2018-09-24 00:00:00,67.73,70.08,65.2,68.52,68.52,1716499
2018-09-25 00:00:00,68.37,70.67,68.3,69.42,69.42,1396004
2018-09-26 00:00:00,69.83,70.1807,68.6,69.59,69.59,1480509
2018-09-27 00:00:00,70.1,71.3499,69.36,70.41,70.41,1554178
2018-09-28 00:00:00,70.28,71.5383,70.07,70.36,70.36,1303879
2018-10-01 00:00:00,71.06,72.97,70.83,71.82,71.82,2660938
2018-10-02 00:00:00,71.57,71.9,67.661,68.1,68.1,2447140
2018-10-03 00:00:00,68.0,68.9,66.8,68.27,68.27,1736610
2018-10-04 00:00:00,68.02,68.435,64.68,65.08,65.08,1742721
2018-10-05 00:00:00,64.64,66.56,63.8,65.11,65.11,1989232
2018-10-08 00:00:00,64.31,64.56,59.67,61.31,61.31,2600224
2018-10-09 00:00:00,60.47,62.5,59.06,59.69,59.69,3354929
2018-10-10 00:00:00,59.51,59.86,55.35,55.42,55.42,4592832
2018-10-11 00:00:00,54.82,56.8,53.79,54.64,54.64,2676748
2018-10-12 00:00:00,57.71,58.795,55.86,57.59,57.59,2689302
2018-10-15 00:00:00,57.59,58.579,56.82,58.22,58.22,1917649
2018-10-16 00:00:00,59.0,62.18,58.35,61.91,61.91,2105805
2018-10-17 00:00:00,62.24,62.92,60.8,62.26,62.26,1983658
2018-10-18 00:00:00,61.8,62.35,57.77,59.39,59.39,1979071
2018-10-19 00:00:00,60.2,60.5,55.56,55.76,55.76,1560787
2018-10-22 00:00:00,56.52,57.81,55.2944,57.42,57.42,1098275
2018-10-23 00:00:00,54.93,57.45,53.55,57.27,57.27,2208457
2018-10-24 00:00:00,56.81,57.63,52.67,52.78,52.78,1587103
2018-10-25 00:00:00,53.5,55.71,53.01,54.94,54.94,1331969
2018-10-26 00:00:00,51.01,53.78,50.8,51.94,51.94,2238425
2018-10-29 00:00:00,54.0,54.97,51.3,52.48,52.48,1767783
2018-10-30 00:00:00,52.48,53.73,51.08,53.53,53.53,1694950
2018-10-31 00:00:00,54.99,58.45,54.5,58.36,58.36,2260686
2018-11-01 00:00:00,59.24,59.94,56.9,59.93,59.93,1543632
2018-11-02 00:00:00,60.0,60.96,57.275,57.77,57.77,1621902
2018-11-05 00:00:00,57.9,57.9,54.71,56.53,56.53,1481394
2018-11-06 00:00:00,56.76,57.95,55.59,56.1,56.1,967207
2018-11-07 00:00:00,57.35,63.48,57.2761,62.6,62.6,2273967
2018-11-08 00:00:00,62.2,63.6599,60.61,61.49,61.49,1899253
2018-11-09 00:00:00,60.31,60.475,57.57,59.28,59.28,1657318
2018-11-12 00:00:00,58.89,58.9443,53.34,54.62,54.62,2639941
2018-11-13 00:00:00,55.16,57.19,54.57,55.0,55.0,1522068
2018-11-14 00:00:00,55.87,56.35,54.0901,54.86,54.86,1468347
2018-11-15 00:00:00,54.58,58.47,54.505,58.02,58.02,1875168
2018-11-16 00:00:00,57.65,59.27,56.49,57.71,57.71,1745288
2018-11-19 00:00:00,57.11,57.52,48.61,48.67,48.67,3856922
2018-11-20 00:00:00,43.95,49.42,41.88,47.82,47.82,4427483
2018-11-21 00:00:00,48.98,52.82,47.7574,51.69,51.69,3091464
2018-11-23 00:00:00,50.2,52.74,50.0,52.05,52.05,822639
2018-11-26 00:00:00,52.72,55.64,52.61,55.03,55.03,1696000
2018-11-27 00:00:00,54.53,55.0,53.16,53.48,53.48,1248479
2018-11-28 00:00:00,56.9,58.44,55.12,58.14,58.14,1921068
2018-11-29 00:00:00,58.0,62.16,57.3001,61.37,61.37,2269734
2018-11-30 00:00:00,61.76,64.0,60.75,63.65,63.65,2567744
2018-12-03 00:00:00,65.2,66.25,62.55,64.87,64.87,2752634
2018-12-04 00:00:00,63.87,65.1,60.56,60.65,60.65,2264342
2018-12-06 00:00:00,60.1,69.85,57.65,66.95,66.95,7894282
2018-12-07 00:00:00,66.14,67.97,60.93,62.38,62.38,3032362
2018-12-10 00:00:00,62.05,65.16,61.61,64.55,64.55,2832884
2018-12-11 00:00:00,66.53,66.8,63.17,64.54,64.54,1821563
2018-12-12 00:00:00,65.82,68.1128,64.76,67.03,67.03,2505960
2018-12-13 00:00:00,66.01,67.92,66.0,67.27,67.27,1800074
2018-12-14 00:00:00,66.29,68.58,64.59,66.81,66.81,2486499
2018-12-17 00:00:00,65.33,65.5,60.11,60.45,60.45,2940559
2018-12-18 00:00:00,61.72,63.3899,60.71,62.76,62.76,1757640
2018-12-19 00:00:00,63.14,66.21,62.0,62.67,62.67,2896083
2018-12-20 00:00:00,61.75,63.72,55.31,58.77,58.77,3490994
2018-12-21 00:00:00,59.17,59.33,53.91,54.59,54.59,2904097
2018-12-24 00:00:00,52.29,55.85,52.05,53.75,53.75,1334414
2018-12-26 00:00:00,54.25,59.84,54.24,59.82,59.82,2229748
2018-12-27 00:00:00,58.44,61.79,57.21,61.41,61.41,1482194
2018-12-28 00:00:00,62.75,62.99,59.25,61.61,61.61,1857800
2018-12-31 00:00:00,62.66,65.3327,62.4,63.8,63.8,2459678
2019-01-02 00:00:00,61.1,64.7,60.4702,63.26,63.26,1657129
2019-01-03 00:00:00,61.8,63.11,59.28,59.56,59.56,1859271
2019-01-04 00:00:00,61.21,64.64,60.65,63.15,63.15,1933925
2019-01-07 00:00:00,64.0,68.0299,63.7601,66.27,66.27,2135035
2019-01-08 00:00:00,67.15,69.0,64.51,68.9,68.9,2351253
2019-01-09 00:00:00,68.86,69.45,67.5001,68.78,68.78,1623577
2019-01-10 00:00:00,68.0,69.22,66.82,68.84,68.84,1727277
2019-01-11 00:00:00,68.87,72.07,68.15,68.41,68.41,2896710
2019-01-14 00:00:00,67.23,70.785,66.15,70.48,70.48,2893526
2019-01-15 00:00:00,70.48,72.96,70.45,72.44,72.44,2680896
2019-01-16 00:00:00,73.45,73.98,71.25,72.86,72.86,2078129
2019-01-17 00:00:00,72.56,77.91,72.0,76.4,76.4,3439590
