date,open,high,low,close,adjusted close,volume
2018-08-24 00:00:00,81.78,82.78,80.14,81.16,81.16,2743897
2018-08-27 00:00:00,81.5,81.98,79.8382,80.31,80.31,2374056
2018-08-28 00:00:00,80.8,81.54,79.82,80.22,80.22,1559162
2018-08-29 00:00:00,80.17,81.73,79.89,80.99,80.99,1091402
2018-08-30 00:00:00,80.8,81.56,79.67,79.99,79.99,1237431
2018-08-31 00:00:00,79.51,81.1999,79.51,80.66,80.66,927208
2018-09-04 00:00:00,82.27,87.91,81.0401,87.11,87.11,3705425
2018-09-05 00:00:00,86.71,86.9,79.68,81.71,81.71,3697332
2018-09-06 00:00:00,82.0,82.4899,78.92,80.5,80.5,2019249
2018-09-07 00:00:00,80.0,84.83,79.71,82.32,82.32,1816635
2018-09-10 00:00:00,82.51,84.6799,81.73,84.31,84.31,1595321
2018-09-11 00:00:00,83.81,87.22,83.511,85.29,85.29,2296924
2018-09-12 00:00:00,85.9,86.2116,81.5,85.01,85.01,2234819
2018-09-13 00:00:00,85.22,86.8204,84.0,85.31,85.31,2312659
2018-09-14 00:00:00,85.77,87.5,85.5801,87.28,87.28,1786677
2018-09-17 00:00:00,87.01,87.2399,83.01,84.41,84.41,2230583
2018-09-18 00:00:00,84.35,86.8,84.32,85.38,85.38,2159336
2018-09-19 00:00:00,85.31,86.48,81.3,82.87,82.87,1857538
2018-09-20 00:00:00,83.3,85.1599,81.18,84.83,84.83,2204041
2018-09-21 00:00:00,85.31,86.2385,83.27,83.73,83.73,1462727
2018-09-24 00:00:00,82.35,84.39,80.77,83.36,83.36,1808248
2018-09-25 00:00:00,83.87,87.97,83.68,87.7,87.7,2658773
2018-09-26 00:00:00,88.09,88.88,84.55,84.79,84.79,1800949
2018-09-27 00:00:00,85.01,86.86,84.8,85.72,85.72,1210984
2018-09-28 00:00:00,85.5,87.87,85.5,86.28,86.28,1843883
2018-10-01 00:00:00,87.0,87.55,83.1977,83.75,83.75,2150822
2018-10-02 00:00:00,83.0,83.63,78.59,79.57,79.57,2844587
2018-10-03 00:00:00,80.35,81.82,79.63,80.9,80.9,2026786
2018-10-04 00:00:00,80.16,80.495,76.0925,78.09,78.09,2458719
2018-10-05 00:00:00,78.15,79.99,74.6,76.62,76.62,2516979
2018-10-08 00:00:00,75.52,75.89,71.46,74.09,74.09,2975079
2018-10-09 00:00:00,74.69,76.85,73.817,74.33,74.33,2925200
2018-10-10 00:00:00,73.65,74.21,67.6956,68.02,68.02,4593201
2018-10-11 00:00:00,67.35,72.99,67.08,69.29,69.29,4778960
2018-10-12 00:00:00,76.02,76.5,72.37,75.0,75.0,3636357
2018-10-15 00:00:00,74.63,77.14,73.0,76.13,76.13,3099125
2018-10-16 00:00:00,70.95,76.24,66.74,75.92,75.92,21867806
2018-10-17 00:00:00,76.02,76.58,71.32,74.01,74.01,5734720
2018-10-18 00:00:00,72.61,73.51,69.81,71.73,71.73,3998880
2018-10-19 00:00:00,72.61,73.71,66.33,66.41,66.41,4908951
2018-10-22 00:00:00,67.76,69.88,65.6542,69.23,69.23,3481535
2018-10-23 00:00:00,66.99,70.0,66.756,69.68,69.68,2916527
2018-10-24 00:00:00,70.2,70.53,63.9,63.98,63.98,3188486
2018-10-25 00:00:00,64.5,67.75,64.3259,67.35,67.35,3504046
2018-10-26 00:00:00,64.5,66.82,62.43,65.85,65.85,2866062
2018-10-29 00:00:00,67.38,68.71,64.6,65.98,65.98,3363938
2018-10-30 00:00:00,65.09,70.14,64.19,69.84,69.84,3886970
2018-10-31 00:00:00,72.37,76.15,71.67,75.22,75.22,4859873
2018-11-01 00:00:00,75.29,76.9,73.2501,76.63,76.63,3073695
2018-11-02 00:00:00,76.49,77.95,73.32,74.32,74.32,2474142
2018-11-05 00:00:00,74.32,74.32,70.18,71.77,71.77,3426394
2018-11-06 00:00:00,72.47,74.567,69.96,71.02,71.02,5630157
2018-11-07 00:00:00,82.25,96.97,80.7,96.19,96.19,25260928
2018-11-08 00:00:00,94.65,98.89,91.66,91.95,91.95,9755144
2018-11-09 00:00:00,90.5,95.89,89.87,92.23,92.23,8338101
2018-11-12 00:00:00,91.66,92.08,81.78,83.34,83.34,9714834
2018-11-13 00:00:00,84.13,87.7899,83.69,85.1,85.1,4623596
2018-11-14 00:00:00,86.73,87.45,82.6,83.96,83.96,4511255
2018-11-15 00:00:00,82.54,91.67,82.22,89.78,89.78,7370953
2018-11-16 00:00:00,87.98,90.43,87.0101,89.17,89.17,3829317
2018-11-19 00:00:00,89.0,90.0,76.34,76.9,76.9,9198555
2018-11-20 00:00:00,71.61,78.64,71.555,75.89,75.89,5957946
