date,open,high,low,close,adjusted close,volume
2014-10-09 00:00:00,32.95,32.99,29.07,30.1,30.1,8257061
2014-10-10 00:00:00,30.0,30.25,28.0,29.05,29.05,1619507
2014-10-13 00:00:00,29.1,29.23,25.79,27.25,27.25,423131
2014-10-14 00:00:00,27.26,29.85,26.95,29.84,29.84,228798
2014-10-15 00:00:00,29.41,29.6,27.12,27.5,27.5,273287
2014-10-16 00:00:00,26.96,30.72,26.56,30.17,30.17,331643
2014-10-17 00:00:00,31.0,31.23,30.013,30.66,30.66,103155
2014-10-20 00:00:00,30.97,31.2,30.313,31.2,31.2,85060
2014-10-21 00:00:00,31.3,31.3,29.61,30.2,30.2,170790
2014-10-22 00:00:00,30.5,30.57,29.97,30.02,30.02,84708
2014-10-23 00:00:00,30.0,32.29,30.0,31.7,31.7,138411
2014-10-24 00:00:00,31.65,33.42,31.42,32.11,32.11,189392
2014-10-27 00:00:00,32.25,33.5,32.12,33.06,33.06,183841
2014-10-28 00:00:00,33.5,34.5,32.0701,33.85,33.85,115359
2014-10-29 00:00:00,34.0,34.587,33.312,34.32,34.32,97245
2014-10-30 00:00:00,34.6,34.9199,33.2501,34.45,34.45,159345
2014-10-31 00:00:00,34.91,36.0,34.08,35.63,35.63,168768
2014-11-03 00:00:00,36.13,36.13,34.05,34.94,34.94,259582
2014-11-04 00:00:00,35.25,36.59,35.25,36.51,36.51,164797
2014-11-05 00:00:00,36.0,36.76,35.4783,36.42,36.42,197648
2014-11-06 00:00:00,36.45,36.58,36.16,36.29,36.29,112441
2014-11-07 00:00:00,36.18,37.58,35.61,36.7,36.7,162369
2014-11-10 00:00:00,36.7,37.55,35.62,36.52,36.52,140050
2014-11-11 00:00:00,36.7,37.039,36.04,36.37,36.37,84707
2014-11-12 00:00:00,36.02,36.34,35.22,35.41,35.41,107836
2014-11-13 00:00:00,37.15,38.6,36.5,36.69,36.69,266973
2014-11-14 00:00:00,37.6,37.81,36.06,37.0,37.0,130024
2014-11-17 00:00:00,37.21,37.39,35.79,36.87,36.87,123875
2014-11-18 00:00:00,36.82,37.18,36.3,36.86,36.86,116970
2014-11-19 00:00:00,36.95,36.95,34.26,35.89,35.89,206137
2014-11-20 00:00:00,35.85,36.1,35.41,36.04,36.04,63889
2014-11-21 00:00:00,36.1,36.5895,35.68,36.19,36.19,122612
2014-11-24 00:00:00,36.63,37.45,36.02,36.69,36.69,369886
2014-11-25 00:00:00,36.63,36.79,35.76,35.8,35.8,156984
2014-11-26 00:00:00,35.77,36.12,35.0,35.5,35.5,91753
2014-11-28 00:00:00,35.2,35.5,34.98,35.39,35.39,39802
