date,open,high,low,close,adjusted close,volume
2006-05-25 00:00:00,40.3,47.2,40.2,46.0,4.3341,39534300
2006-05-26 00:00:00,46.31,46.74,44.11,44.93,4.2333,10304400
2006-05-30 00:00:00,44.97,44.98,42.85,44.0,4.1457,4989800
2006-05-31 00:00:00,44.35,45.36,44.35,44.94,4.2342,3000200
2006-06-01 00:00:00,44.93,48.1,44.9,47.51,4.4764,6234400
2006-06-02 00:00:00,47.51,48.7,46.79,46.99,4.4274,3725300
2006-06-05 00:00:00,47.05,49.75,47.0,49.15,4.6309,3718800
2006-06-06 00:00:00,49.61,50.63,47.8,48.3,4.5508,4904500
2006-06-07 00:00:00,48.33,48.4,46.75,47.6,4.4849,2501300
2006-06-08 00:00:00,47.25,47.72,45.5,47.72,4.4962,3443900
2006-06-09 00:00:00,48.8,48.8,47.68,47.91,4.5141,1337200
2006-06-12 00:00:00,47.94,48.25,46.3,46.95,4.4236,1454600
2006-06-13 00:00:00,46.75,47.35,45.3,45.5,4.287,1671600
2006-06-14 00:00:00,45.27,45.45,44.44,45.12,4.2512,1597100
2006-06-15 00:00:00,45.4,46.12,45.13,45.95,4.3294,1650000
2006-06-16 00:00:00,45.95,46.0,45.0,45.02,4.2418,1228000
2006-06-19 00:00:00,45.05,45.45,44.1,44.34,4.1777,1150900
2006-06-20 00:00:00,44.74,45.0,43.47,44.02,4.1476,2379200
2006-06-21 00:00:00,44.02,46.25,44.0,45.3,4.2682,1806300
2006-06-22 00:00:00,46.4,47.0,45.88,46.6,4.3906,1303800
2006-06-23 00:00:00,47.0,47.93,46.87,46.95,4.4236,1161200
2006-06-26 00:00:00,47.0,47.5,46.43,47.5,4.4754,856500
2006-06-27 00:00:00,47.5,48.03,47.25,47.31,4.4575,982600
2006-06-28 00:00:00,46.85,47.4,46.5,46.96,4.4246,875600
2006-06-29 00:00:00,46.95,48.09,46.95,48.0,4.5226,1447000
2006-06-30 00:00:00,47.65,48.0,46.6,48.0,4.5226,2596400
2006-07-03 00:00:00,47.9,48.0,46.8101,47.3,4.4566,702900
2006-07-05 00:00:00,47.4,47.84,46.71,47.6,4.4849,1326600
2006-07-06 00:00:00,47.0,47.35,46.79,46.8,4.4095,809700
2006-07-07 00:00:00,46.75,46.85,45.75,46.12,4.3454,838000
