date,open,high,low,close,adjusted close,volume
1998-01-02 00:00:00,35.25,38.63,34.63,38.63,6.9936,2925300
1998-01-05 00:00:00,38.63,39.88,37.06,37.75,6.8343,2580300
1998-01-06 00:00:00,37.88,38.69,36.25,37.38,6.7673,1675700
1998-01-07 00:00:00,36.0,37.19,34.75,35.81,6.4831,2572600
1998-01-08 00:00:00,35.38,37.44,34.75,36.13,6.541,2191900
1998-01-09 00:00:00,36.38,36.38,33.13,34.63,6.2695,3626100
1998-01-12 00:00:00,33.0,35.75,32.63,34.06,6.1663,2757900
1998-01-13 00:00:00,35.0,37.5,34.81,37.25,6.7438,3889700
1998-01-14 00:00:00,37.25,37.75,35.63,36.88,6.6768,1774700
1998-01-15 00:00:00,36.75,37.88,36.13,36.38,6.5863,1552000
1998-01-16 00:00:00,36.5,37.38,35.5,35.63,6.4505,1315100
1998-01-20 00:00:00,36.0,39.31,35.25,38.25,6.9248,2801600
1998-01-21 00:00:00,36.5,37.38,35.88,36.75,6.6533,3719600
1998-01-22 00:00:00,35.75,35.75,34.63,35.13,6.36,3025100
1998-01-23 00:00:00,35.63,36.5,35.38,35.88,6.4958,2542400
1998-01-26 00:00:00,36.25,36.75,35.5,35.63,6.4505,977900
1998-01-27 00:00:00,35.69,36.5,35.5,36.25,6.5628,1111200
1998-01-28 00:00:00,36.56,38.94,36.31,38.5,6.9701,2495700
1998-01-29 00:00:00,37.75,38.88,37.25,37.31,6.7547,1787800
1998-01-30 00:00:00,37.63,38.63,37.25,37.94,6.8687,1106400
1998-02-02 00:00:00,38.63,41.38,38.5,40.0,7.2417,2740700
1998-02-03 00:00:00,40.0,41.94,39.75,40.75,7.3775,2982300
1998-02-04 00:00:00,40.63,41.06,39.88,40.25,7.2869,1596000
1998-02-05 00:00:00,40.94,41.13,38.63,38.63,6.9936,1735500
1998-02-06 00:00:00,38.69,40.56,38.38,40.5,7.3322,1447000
1998-02-09 00:00:00,40.63,40.94,38.81,39.0,7.0606,2228400
1998-02-10 00:00:00,39.25,42.63,39.25,40.69,7.3666,4289000
