Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2012-12-31,250.87,,,,,hold,hold,hold
2013-01-02,257.31,,,,,hold,hold,hold
2013-01-03,258.48,,,,,hold,hold,hold
2013-01-04,259.15,,,,,hold,hold,hold
2013-01-07,268.46,,,,258.854,hold,hold,hold
2013-01-08,266.38,,,,261.956,hold,hold,hold
2013-01-09,266.35,,,,263.764,hold,hold,hold
2013-01-10,265.34,,,,265.136,hold,hold,hold
2013-01-11,267.94,,,,266.894,hold,hold,hold
2013-01-14,272.73,,,,267.748,hold,hold,hold
2013-01-15,271.9,,,,268.852,hold,hold,hold
2013-01-16,268.93,,,,269.368,hold,hold,hold
2013-01-17,270.48,,,,270.396,hold,hold,hold
2013-01-18,272.12,,,,271.232,hold,hold,hold
2013-01-22,270.19,,,,270.724,hold,hold,hold
2013-01-23,268.11,,,,269.966,hold,hold,hold
2013-01-24,273.62,,,,270.904,hold,hold,hold
2013-01-25,283.99,,,,273.606,hold,hold,hold
2013-01-28,276.04,,,,274.39,hold,hold,hold
2013-01-29,260.35,,,267.437,272.422,hold,hold,hold
2013-01-30,272.76,,,268.5315,273.352,hold,hold,buy
2013-01-31,265.5,,,268.941,271.728,hold,hold,hold
2013-02-01,265.0,,,269.267,267.93,hold,hold,sell
2013-02-04,259.98,,,269.3085,264.718,hold,hold,sell
2013-02-05,266.89,,,269.23,266.026,hold,hold,sell
2013-02-06,262.22,,,269.022,263.918,hold,hold,sell
2013-02-07,260.23,,,268.716,262.864,hold,hold,sell
2013-02-08,261.95,,,268.5465,262.254,hold,hold,sell
2013-02-11,257.21,,,268.01,261.7,hold,hold,sell
2013-02-12,258.7,,,267.3085,260.062,hold,hold,sell
2013-02-13,269.47,,,267.187,261.512,hold,hold,hold
2013-02-14,269.24,,,267.2025,263.314,hold,hold,hold
2013-02-15,265.09,,,266.933,263.942,hold,hold,sell
2013-02-19,269.75,,,266.8145,266.45,hold,hold,hold
2013-02-20,266.41,,,266.6255,267.992,hold,hold,hold
2013-02-21,265.94,,,266.517,267.286,hold,hold,hold
2013-02-22,265.42,,,266.107,266.522,hold,hold,hold
2013-02-25,259.87,,,264.901,265.478,hold,hold,hold
2013-02-26,259.36,,,264.067,263.4,hold,hold,sell
2013-02-27,263.25,,,264.212,262.768,hold,hold,sell
2013-02-28,264.27,,,263.7875,262.434,hold,hold,hold
2013-03-01,265.74,,,263.7995,262.498,hold,hold,hold
2013-03-04,273.11,,,264.205,265.146,hold,hold,buy
2013-03-05,275.59,,,264.9855,268.392,hold,hold,buy
2013-03-06,273.79,,,265.3305,270.5,hold,hold,buy
2013-03-07,273.88,,,265.9135,272.422,hold,hold,buy
2013-03-08,274.19,,,266.6115,274.112,hold,hold,buy
2013-03-11,271.24,,,267.076,273.738,hold,hold,buy
2013-03-12,274.13,,,267.922,273.446,hold,hold,buy
2013-03-13,275.1,,267.0804,268.742,273.708,hold,buy,buy
2013-03-14,265.74,,267.3778,268.5555,272.08,hold,hold,hold
2013-03-15,261.82,,267.468,268.1845,269.606,hold,hold,hold
2013-03-18,257.89,,267.4562,267.8245,266.936,hold,hold,sell
2013-03-19,256.41,,267.4014,267.1575,263.392,hold,sell,sell
2013-03-20,257.28,,267.1778,266.701,259.828,hold,sell,sell
2013-03-21,253.39,,266.918,266.0735,257.358,hold,sell,sell
2013-03-22,257.75,,266.746,265.69,256.544,hold,sell,sell
2013-03-25,256.02,,266.5596,265.4975,256.17,hold,sell,sell
2013-03-26,260.31,,266.407,265.545,256.95,hold,sell,sell
2013-03-27,265.3,,266.2584,265.6475,258.554,hold,sell,sell
2013-03-28,266.49,,266.1502,265.7585,261.174,hold,hold,hold
2013-04-01,261.61,,266.0038,265.552,261.946,hold,sell,sell
2013-04-02,263.32,,265.8606,265.0625,263.406,hold,sell,sell
2013-04-03,259.03,,265.5988,264.2345,263.15,hold,sell,sell
2013-04-04,259.08,,265.3766,263.499,261.906,hold,sell,sell
2013-04-05,255.48,,265.124,262.579,259.704,hold,sell,sell
2013-04-08,258.95,,264.8306,261.817,259.172,hold,sell,sell
2013-04-09,261.14,,264.3736,261.312,258.736,hold,sell,sell
2013-04-10,264.77,,264.1482,260.844,259.884,hold,hold,hold
2013-04-11,269.85,,264.3382,260.5815,262.038,hold,hold,buy
2013-04-12,272.87,,264.3404,260.938,265.516,hold,hold,buy
2013-04-15,267.72,,264.3848,261.233,267.27,hold,hold,buy
2013-04-16,272.34,,264.5316,261.9555,269.51,hold,hold,buy
2013-04-17,267.4,,264.68,262.505,270.036,hold,hold,buy
2013-04-18,259.42,,264.5306,262.612,267.95,hold,sell,hold
2013-04-19,260.32,,264.4926,262.9585,265.44,hold,sell,hold
2013-04-22,263.55,,264.559,263.2485,264.606,hold,sell,buy
2013-04-23,268.9,,264.698,263.8925,263.918,hold,hold,buy
2013-04-24,268.78,,264.9294,264.316,264.194,hold,hold,hold
2013-04-25,274.7,,265.2494,264.786,267.25,hold,hold,buy
2013-04-26,254.81,,264.9562,264.202,266.148,hold,sell,hold
2013-04-29,249.74,,264.5662,263.6085,263.386,hold,sell,sell
2013-04-30,253.81,,264.3406,263.133,260.368,hold,sell,sell
2013-05-01,248.23,,263.9102,262.593,256.258,hold,sell,sell
2013-05-02,252.55,,263.633,262.2665,251.828,hold,sell,sell
2013-05-03,258.05,,263.4752,262.395,252.476,hold,sell,sell
2013-05-06,255.72,,263.2812,262.2335,253.672,hold,sell,sell
2013-05-07,257.73,,263.2384,262.063,254.456,hold,sell,sell
2013-05-08,258.68,,263.2248,261.7585,256.546,hold,sell,sell
2013-05-09,260.16,,263.163,261.274,258.068,hold,sell,sell
2013-05-10,263.63,,263.1502,260.812,259.184,hold,hold,hold
2013-05-13,264.51,,263.1256,260.6515,260.942,hold,hold,buy
2013-05-14,268.33,,263.03,260.451,263.062,hold,hold,buy
2013-05-15,266.56,,262.8494,260.409,264.638,hold,hold,buy
2013-05-16,264.12,,262.656,260.644,265.43,hold,hold,buy
2013-05-17,269.9,,262.5764,261.123,266.684,hold,hold,buy
2013-05-20,267.63,,262.4452,261.327,267.308,hold,hold,buy
2013-05-21,268.86,,262.3976,261.325,267.414,hold,hold,buy
2013-05-22,262.96,,262.1742,261.034,266.694,hold,hold,buy
2013-05-23,261.8,,261.9082,260.389,266.23,hold,sell,buy
2013-05-24,261.74,,261.8282,260.7355,264.598,hold,sell,buy
2013-05-28,267.29,,261.9376,261.613,264.53,hold,hold,buy
2013-05-29,265.53,,262.0904,262.199,263.864,hold,buy,buy
2013-05-30,266.83,,262.2988,263.129,264.638,hold,buy,buy
2013-05-31,269.2,,262.5372,263.9615,266.118,hold,buy,buy
2013-06-03,266.88,,262.807,264.403,267.146,hold,buy,buy
2013-06-04,265.7,,262.966,264.902,266.828,hold,buy,buy
2013-06-05,267.17,,263.189,265.374,267.156,hold,buy,buy
2013-06-06,267.83,,263.3394,265.8315,267.356,hold,buy,buy
2013-06-07,276.87,,263.5708,266.667,268.89,hold,buy,buy
2013-06-10,281.07,,263.8624,267.539,271.728,hold,buy,buy
2013-06-11,274.78,,264.1258,268.0525,273.544,hold,buy,buy
2013-06-12,271.67,,264.2928,268.2195,274.444,hold,buy,buy
2013-06-13,275.79,,264.628,268.681,276.036,hold,buy,buy
2013-06-14,273.99,,264.9262,269.1745,275.46,hold,buy,buy
2013-06-17,278.06,,265.3778,269.5825,274.858,hold,buy,buy
2013-06-18,281.76,,265.834,270.289,276.254,hold,buy,buy
2013-06-19,278.16,,266.1744,270.754,277.552,hold,buy,buy
2013-06-20,273.44,,266.3478,271.278,277.082,hold,buy,buy
2013-06-21,273.36,,266.418,271.856,276.956,hold,buy,buy
2013-06-24,270.61,,266.3728,272.2995,275.466,hold,buy,hold
2013-06-25,272.09,,266.4602,272.5395,273.532,hold,buy,hold
2013-06-26,277.57,,266.5648,273.1415,273.414,hold,buy,buy
2013-06-27,277.55,,266.7678,273.6775,274.236,hold,buy,buy
2013-06-28,277.69,,267.1332,274.102,275.102,hold,buy,buy
2013-07-01,282.1,,267.5688,274.863,277.4,hold,buy,buy
2013-07-02,283.73,,267.9724,275.7645,279.728,hold,buy,buy
2013-07-03,284.03,,268.275,276.6075,281.02,hold,buy,buy
2013-07-05,285.88,,268.617,277.51,282.686,hold,buy,buy
2013-07-08,290.59,,268.9348,278.196,285.266,hold,buy,buy
2013-07-09,291.53,,269.6692,278.719,287.152,hold,buy,buy
2013-07-10,292.33,,270.521,279.5965,288.872,hold,buy,buy
2013-07-11,299.66,,271.438,280.996,291.998,hold,buy,buy
2013-07-12,307.55,,272.6244,282.584,296.332,hold,buy,buy
2013-07-15,306.57,,273.7048,284.213,299.528,hold,buy,buy
2013-07-16,306.87,,274.6812,285.6535,302.596,hold,buy,buy
2013-07-17,308.69,,275.7406,287.0,305.868,hold,buy,buy
2013-07-18,304.11,,276.6682,288.2975,306.758,hold,buy,buy
2013-07-19,305.23,,277.5992,289.887,306.294,hold,buy,buy
2013-07-22,303.48,,278.4656,291.393,305.676,hold,buy,buy
2013-07-23,301.06,,279.2142,292.9155,304.514,hold,buy,buy
2013-07-24,298.94,,279.9028,294.258,302.564,hold,buy,buy
2013-07-25,303.4,,280.6042,295.5495,302.422,hold,buy,buy
2013-07-26,312.01,,281.5132,297.2725,303.778,hold,buy,buy
2013-07-29,306.1,,282.3528,298.693,304.302,hold,buy,buy
2013-07-30,302.41,,283.003,299.7085,304.572,hold,buy,buy
2013-07-31,301.22,,283.6748,300.583,305.028,hold,buy,buy
2013-08-01,305.57,,284.409,301.66,305.462,hold,buy,buy
2013-08-02,304.21,,285.234,302.5765,303.902,hold,buy,buy
2013-08-05,300.99,,286.0178,303.0965,302.88,hold,buy,sell
2013-08-06,300.75,,286.798,303.5575,302.548,hold,buy,sell
2013-08-07,296.91,,287.3904,303.7865,301.686,hold,buy,sell
2013-08-08,295.74,,287.9946,303.5905,299.72,hold,buy,sell
2013-08-09,297.26,,288.6032,303.076,298.33,hold,buy,sell
2013-08-12,296.69,,289.153,302.582,297.47,hold,buy,sell
2013-08-13,293.97,,289.6948,301.937,296.114,hold,buy,sell
2013-08-14,291.34,,290.2076,301.0695,295.0,hold,buy,sell
2013-08-15,286.47,,290.5936,300.1875,293.146,hold,hold,sell
2013-08-16,284.82,,290.9334,299.167,290.658,hold,hold,sell
2013-08-19,285.57,,291.1074,298.2715,288.434,hold,hold,sell
2013-08-20,287.09,,291.2278,297.573,287.058,hold,hold,sell
2013-08-21,284.57,,291.4236,296.8545,285.704,hold,hold,sell
2013-08-22,289.73,,291.7848,296.171,286.356,hold,hold,sell
2013-08-23,290.01,,292.0692,295.071,287.394,hold,hold,sell
2013-08-26,286.21,,292.3136,294.0765,287.522,hold,hold,sell
2013-08-27,280.93,,292.371,293.0025,286.29,hold,hold,sell
2013-08-28,281.58,,292.3674,292.0205,285.692,hold,sell,sell
2013-08-29,283.98,,292.4838,290.941,284.542,hold,sell,sell
2013-08-30,280.98,,292.6346,289.7795,282.736,hold,sell,sell
2013-09-03,288.8,,292.9434,289.17,283.254,hold,sell,sell
2013-09-04,293.64,,293.404,288.8145,285.796,hold,hold,hold
2013-09-05,294.1,,293.8442,288.674,288.3,hold,hold,hold
2013-09-06,295.86,,294.21,288.68,290.676,hold,hold,buy
2013-09-09,299.71,,294.6532,288.8025,294.422,hold,hold,buy
2013-09-10,300.36,,295.1066,288.986,296.734,hold,hold,buy
2013-09-11,299.64,,295.4574,289.2695,297.934,hold,hold,buy
2013-09-12,298.86,,295.76,289.6455,298.886,hold,hold,buy
2013-09-13,297.92,,296.0378,290.218,299.298,hold,hold,buy
2013-09-16,296.06,,296.2414,290.78,298.568,hold,sell,buy
2013-09-17,304.17,,296.513,291.71,299.33,hold,hold,buy
2013-09-18,312.03,,296.923,292.957,301.808,hold,hold,buy
2013-09-19,312.06,,297.3176,294.3315,304.448,hold,hold,buy
2013-09-20,316.34,,297.6512,295.662,308.132,hold,hold,buy
2013-09-23,311.49,,297.73,296.736,311.218,hold,hold,buy
2013-09-24,314.13,,297.8812,298.132,313.21,hold,buy,buy
2013-09-25,312.65,,297.9968,299.718,313.334,hold,buy,buy
2013-09-26,318.12,,298.1854,301.545,314.546,hold,buy,buy
2013-09-27,316.01,,298.4234,303.1465,314.48,hold,buy,buy
2013-09-30,312.64,,298.5716,304.7295,314.71,hold,buy,buy
2013-10-01,320.95,,298.921,306.337,316.074,hold,buy,buy
2013-10-02,320.51,,299.31,307.6805,317.646,hold,buy,buy
2013-10-03,314.76,,299.6264,308.7135,316.974,hold,buy,buy
2013-10-04,319.04,,299.9392,309.8725,317.58,hold,buy,buy
2013-10-07,310.03,,299.8996,310.3885,317.058,hold,buy,hold
2013-10-08,303.23,,299.8422,310.532,313.514,hold,buy,hold
2013-10-09,298.23,,299.7586,310.4615,309.058,hold,hold,sell
2013-10-10,305.17,,299.8376,310.777,307.14,hold,buy,sell
2013-10-11,310.89,,299.944,311.4255,305.51,hold,buy,sell
2013-10-14,310.7,,300.0738,312.1575,305.644,hold,buy,sell
2013-10-15,306.4,278.7971,300.182,312.269,306.278,buy,buy,sell
2013-10-16,310.49,279.0952,300.3768,312.192,308.73,buy,buy,sell
2013-10-17,310.77,279.3625,300.654,312.1275,309.85,buy,buy,sell
2013-10-18,328.93,279.71475,301.3178,312.757,313.458,buy,buy,buy
2013-10-21,326.44,280.0512,301.9014,313.5045,316.606,buy,buy,buy
2013-10-22,332.54,280.3716,302.6184,314.425,321.834,buy,buy,buy
2013-10-23,326.76,280.6735,303.2742,315.1305,325.088,buy,buy,buy
2013-10-24,332.21,281.0028,304.0916,315.835,329.376,buy,buy,buy
2013-10-25,363.39,281.49305,305.63,318.204,336.268,buy,buy,buy
2013-10-28,358.16,281.94415,307.0968,320.48,342.612,buy,buy,buy
2013-10-29,362.7,282.394,308.6394,322.5675,348.644,buy,buy,buy
2013-10-30,361.08,282.8399,310.1192,324.596,355.508,buy,buy,buy
2013-10-31,364.03,283.3154,311.7084,327.0595,361.872,buy,buy,buy
2013-11-01,359.0,283.758,313.0938,329.0575,360.994,buy,buy,buy
2013-11-04,358.74,284.1911,314.4684,331.493,361.11,buy,buy,buy
2013-11-05,358.89,284.6346,315.922,334.276,360.348,buy,buy,buy
2013-11-06,356.18,285.07495,317.427,337.1735,359.368,buy,buy,buy
2013-11-07,343.56,285.42465,318.6666,339.093,355.274,buy,buy,buy
2013-11-08,350.31,285.75625,319.9932,341.064,353.536,buy,buy,buy
2013-11-11,354.38,286.14795,321.4612,343.248,352.664,buy,buy,buy
2013-11-12,349.53,286.59385,322.6758,345.4045,350.792,buy,buy,buy
2013-11-13,356.22,287.01115,323.9274,347.691,350.8,buy,buy,buy
2013-11-14,367.4,287.52065,325.3934,350.5225,355.568,buy,buy,buy
2013-11-15,369.17,288.0415,326.8596,352.5345,359.34,buy,buy,buy
2013-11-18,366.18,288.5725,328.189,354.5215,361.7,buy,buy,buy
2013-11-19,364.94,289.06275,329.4806,356.1415,364.782,buy,buy,buy
2013-11-20,362.57,289.5645,330.7392,357.932,366.052,buy,buy,buy
2013-11-21,368.92,290.10795,332.1404,359.7675,366.356,buy,buy,buy
2013-11-22,372.31,290.65975,333.6282,360.2135,366.984,buy,buy,buy
2013-11-25,376.64,291.2569,335.2398,361.1375,369.076,buy,buy,buy
2013-11-26,381.37,291.87025,336.7838,362.071,372.362,buy,buy,buy
2013-11-27,386.71,292.45645,338.2774,363.3525,377.19,buy,buy,buy
2013-11-29,393.62,293.07835,339.9086,364.832,382.13,buy,buy,buy
2013-12-02,392.3,293.7144,341.4278,366.497,386.128,buy,buy,buy
2013-12-03,384.66,294.28895,342.8912,367.793,387.732,buy,buy,buy
2013-12-04,385.96,294.8867,344.3278,369.1465,388.65,buy,buy,buy
2013-12-05,384.49,295.47945,345.7646,370.562,388.206,buy,buy,buy
2013-12-06,386.95,296.0871,347.1412,372.7315,386.872,buy,buy,buy
2013-12-09,384.89,296.7122,348.5188,374.4605,385.39,buy,buy,buy
2013-12-10,387.78,297.3543,350.0216,376.1305,386.014,buy,buy,buy
2013-12-11,382.19,297.949,351.2464,377.7635,385.26,buy,buy,buy
2013-12-12,381.25,298.5339,352.4612,379.015,384.612,buy,buy,buy
2013-12-13,384.24,299.1264,353.8508,379.857,384.07,buy,buy,buy
2013-12-16,388.97,299.7057,355.2494,380.847,384.886,buy,buy,buy
2013-12-17,387.65,300.266,356.8018,381.9205,384.86,buy,buy,buy
2013-12-18,395.96,300.87685,358.6564,383.4715,387.614,buy,buy,buy
2013-12-19,395.19,301.4834,360.5956,385.1025,390.402,buy,buy,buy
2013-12-20,402.2,302.12345,362.5362,386.7665,393.994,buy,buy,buy
2013-12-23,402.92,302.78185,364.3768,388.297,396.784,buy,buy,buy
2013-12-24,399.2,303.4072,366.1468,389.425,399.094,buy,buy,buy
2013-12-26,404.39,304.05365,368.1066,390.576,400.78,buy,buy,buy
2013-12-27,398.08,304.71535,369.8584,391.1445,401.358,buy,buy,buy
2013-12-30,393.37,305.3731,371.5104,391.132,399.592,buy,buy,buy
2013-12-31,398.79,306.0776,372.9076,391.4565,398.766,buy,buy,buy
2014-01-02,397.97,306.7854,374.3382,392.122,398.52,buy,buy,buy
2014-01-03,396.44,307.4812,375.6162,392.646,396.93,buy,buy,buy
2014-01-06,393.63,308.1824,376.9536,393.103,396.04,buy,buy,buy
2014-01-07,398.03,308.8838,378.27,393.657,396.972,buy,buy,buy
2014-01-08,401.92,309.6133,379.0406,394.5085,397.598,buy,buy,buy
2014-01-09,401.01,310.3168,379.8976,395.17,398.206,buy,buy,buy
2014-01-10,397.66,310.9786,380.5968,395.9435,398.45,buy,buy,buy
2014-01-13,390.98,311.60105,381.1948,396.43,397.92,buy,buy,hold
2014-01-14,397.54,312.2807,381.865,397.095,397.822,buy,buy,buy
2014-01-15,395.87,312.94345,382.6024,397.44,396.612,buy,buy,sell
2014-01-16,395.8,313.6273,383.3436,397.8475,395.57,buy,buy,sell
2014-01-17,399.61,314.32995,384.158,398.03,395.96,buy,buy,hold
2014-01-21,407.05,315.0878,385.1754,398.623,399.174,buy,buy,buy
2014-01-22,404.54,315.81575,386.395,398.74,400.574,buy,buy,buy
2014-01-23,399.87,316.5094,387.3862,398.5875,401.374,buy,buy,buy
2014-01-24,387.6,317.12355,388.0506,398.0075,399.734,buy,hold,hold
2014-01-27,386.28,317.7057,388.7856,397.102,397.068,buy,hold,sell
2014-01-28,394.43,318.3135,389.5498,396.9195,394.544,buy,buy,sell
2014-01-29,384.2,318.8959,389.8858,396.461,390.476,buy,hold,sell
2014-01-30,403.01,319.54925,390.5626,396.672,391.104,buy,buy,hold
2014-01-31,358.69,320.0057,390.4128,394.708,385.322,buy,hold,sell
2014-02-03,346.15,320.43935,390.037,392.1935,377.296,buy,hold,sell
2014-02-04,347.95,320.8775,389.7446,389.9095,368.0,buy,hold,sell
2014-02-05,346.45,321.292,389.2952,387.3305,360.45,buy,sell,sell
2014-02-06,354.59,321.72045,388.9408,384.964,350.766,buy,sell,sell
2014-02-07,361.08,322.18195,388.6296,382.9675,351.244,buy,sell,sell
2014-02-10,360.87,322.6128,388.2196,381.128,354.188,buy,sell,sell
2014-02-11,361.79,323.1477,387.7212,379.6685,356.956,buy,sell,sell
2014-02-12,349.25,323.64525,386.8338,377.254,357.516,buy,sell,sell
2014-02-13,357.2,324.1622,386.1318,375.3205,358.038,buy,sell,sell
2014-02-14,357.35,324.7078,385.5856,373.398,357.292,buy,sell,sell
2014-02-18,353.65,325.2133,384.9394,371.1,355.848,buy,sell,sell
2014-02-19,347.38,325.65995,384.1972,368.1165,352.966,buy,sell,sell
2014-02-20,349.8,326.13035,383.4542,365.3795,353.076,buy,sell,sell
2014-02-21,346.76,326.5755,382.6916,362.724,350.988,buy,sell,sell
