Date,SPY,TSLA,BABA,AMZN
2014-12-31,205.54,222.41,103.94,310.35
2015-01-02,205.43,219.31,103.6,308.52
2015-01-05,201.72,210.09,101.0,302.19
2015-01-06,199.82,211.28,103.32,295.29
2015-01-07,202.31,210.95,102.13,298.42
2015-01-08,205.9,210.62,105.03,300.46
2015-01-09,204.25,206.66,103.02,296.93
2015-01-12,202.65,202.21,101.62,291.41
2015-01-13,202.08,204.25,100.77,294.74
2015-01-14,200.86,192.69,99.58,293.27
2015-01-15,199.02,191.87,96.31,286.95
2015-01-16,201.63,193.07,96.89,290.74
2015-01-20,202.06,191.93,100.04,289.44
2015-01-21,203.08,196.57,103.29,297.25
2015-01-22,206.1,201.62,104.0,310.32
2015-01-23,204.97,201.29,103.11,312.39
2015-01-26,205.45,206.55,103.99,309.66
2015-01-27,202.74,205.98,102.94,306.75
2015-01-28,200.14,199.37,98.45,303.91
2015-01-29,201.99,205.2,89.81,311.78
2015-01-30,199.45,203.6,89.08,354.53
2015-02-02,201.92,210.94,90.13,364.47
2015-02-03,204.84,218.36,90.61,363.55
2015-02-04,204.06,218.55,90.0,364.75
2015-02-05,206.12,220.99,87.0,373.89
2015-02-06,205.55,217.36,85.68,374.28
2015-02-09,204.63,217.48,86.0,370.56
2015-02-10,206.81,216.29,87.26,373.0
2015-02-11,206.93,212.8,86.0,375.14
2015-02-12,208.92,202.88,87.1,377.17
2015-02-13,209.78,203.77,89.05,381.83
2015-02-17,210.11,204.35,86.85,375.43
2015-02-18,210.13,204.46,86.74,373.37
2015-02-19,209.98,211.7,86.89,379.0
2015-02-20,211.24,217.11,86.64,383.66
2015-02-23,211.21,207.34,85.47,380.14
2015-02-24,211.81,204.11,84.69,378.59
2015-02-25,211.63,203.76,86.19,385.37
2015-02-26,211.38,207.19,85.37,384.8
2015-02-27,210.66,203.34,85.12,380.16
2015-03-02,211.99,197.32,84.0,385.66
2015-03-03,211.12,199.56,81.58,384.61
2015-03-04,210.23,202.44,85.49,382.72
2015-03-05,210.46,200.63,86.1,387.83
2015-03-06,207.5,193.88,84.4,380.09
2015-03-09,208.36,190.88,82.53,378.56
2015-03-10,204.98,190.32,82.97,369.51
2015-03-11,204.5,193.74,81.99,366.37
2015-03-12,207.1,191.07,81.92,374.24
2015-03-13,205.83,188.68,81.86,370.58
2015-03-16,208.58,195.7,84.0,373.35
2015-03-17,207.96,194.73,84.5,371.92
2015-03-18,210.46,200.71,84.59,375.14
2015-03-19,209.5,195.65,85.74,373.24
2015-03-20,210.41,198.08,85.2,378.49
2015-03-23,210.0,199.63,84.25,375.11
2015-03-24,208.82,201.72,83.63,374.09
2015-03-25,205.76,194.3,83.75,370.96
2015-03-26,205.27,190.4,84.17,367.35
2015-03-27,205.74,185.0,84.58,370.56
2015-03-30,208.25,190.57,83.9,374.59
2015-03-31,206.43,188.77,83.24,372.1
2015-04-01,205.7,187.59,82.36,370.26
2015-04-02,206.44,191.0,82.28,372.25
2015-04-06,207.83,203.1,81.82,377.04
2015-04-07,207.28,203.25,82.21,374.41
2015-04-08,207.98,207.67,85.39,381.2
2015-04-09,208.9,210.09,86.14,383.54
2015-04-10,210.04,210.9,84.58,382.65
2015-04-13,209.09,209.78,84.28,382.36
2015-04-14,209.49,207.46,85.0,385.11
2015-04-15,210.43,207.83,84.67,383.45
2015-04-16,210.37,206.7,84.06,386.04
2015-04-17,207.95,206.79,81.9,375.56
2015-04-20,209.85,205.27,82.2,389.51
2015-04-21,209.6,209.41,82.42,391.18
2015-04-22,210.63,219.44,82.05,389.8
2015-04-23,211.16,218.6,82.28,389.99
2015-04-24,211.65,218.42,84.57,445.1
2015-04-27,210.77,231.55,84.9,438.56
2015-04-28,211.44,230.48,85.08,429.31
2015-04-29,210.57,232.45,82.45,429.37
2015-04-30,208.46,226.05,81.29,421.78
2015-05-01,210.72,226.03,81.17,422.87
2015-05-04,211.32,230.51,80.59,423.04
2015-05-05,208.9,232.95,79.54,421.19
2015-05-06,208.04,230.43,80.0,419.1
2015-05-07,208.87,236.8,86.0,426.88
2015-05-08,211.62,236.61,87.06,433.69
2015-05-11,210.6,239.49,86.72,432.85
2015-05-12,209.98,244.74,86.77,431.02
2015-05-13,210.02,243.18,87.53,426.87
2015-05-14,212.21,244.1,88.4,432.28
2015-05-15,212.44,248.84,88.46,426.0
2015-05-18,213.1,248.75,87.11,425.24
2015-05-19,213.03,247.14,88.21,421.71
2015-05-20,212.88,244.35,90.7,423.86
2015-05-21,213.5,245.62,93.88,431.63
2015-05-22,212.99,247.73,93.27,427.63
2015-05-26,210.7,247.46,92.52,425.47
2015-05-27,212.7,247.43,92.6,431.42
2015-05-28,212.46,251.45,90.95,426.57
2015-05-29,211.14,250.8,89.32,429.23
2015-06-01,211.57,249.45,90.78,430.92
2015-06-02,211.36,248.35,90.51,430.99
2015-06-03,211.92,248.99,90.79,436.59
2015-06-04,210.13,245.92,90.59,430.78
2015-06-05,209.77,249.14,90.71,426.95
2015-06-08,208.48,256.29,88.29,423.5
2015-06-09,208.45,256.0,87.58,425.48
2015-06-10,210.95,250.7,88.9,430.77
2015-06-11,211.63,251.41,87.21,432.97
2015-06-12,210.01,250.69,86.63,429.92
2015-06-15,209.11,250.38,86.12,423.67
2015-06-16,210.25,253.12,86.09,427.26
2015-06-17,210.59,260.41,86.8,427.81
2015-06-18,212.78,261.89,86.75,439.39
2015-06-19,210.81,262.51,85.74,434.92
2015-06-22,211.89,259.79,85.68,436.29
2015-06-23,212.04,267.67,85.08,445.99
2015-06-24,210.5,265.17,85.17,440.84
2015-06-25,209.86,268.79,85.24,440.1
2015-06-26,209.82,267.09,83.28,438.1
2015-06-29,205.42,262.02,81.07,429.86
2015-06-30,205.85,268.26,82.27,434.09
2015-07-01,207.5,269.15,82.46,437.39
2015-07-02,207.31,280.02,82.07,437.71
2015-07-06,206.72,279.72,80.23,436.04
2015-07-07,208.02,267.88,79.62,436.72
