Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2014-05-08,14.1,,,,,hold,hold,hold
2014-05-09,14.26,,,,,hold,hold,hold
2014-05-12,14.5,,,,,hold,hold,hold
2014-05-13,12.51,,,,,hold,hold,hold
2014-05-14,13.71,,,,13.816,hold,hold,hold
2014-05-15,13.66,,,,13.728,hold,hold,hold
2014-05-16,13.49,,,,13.574,hold,hold,hold
2014-05-19,13.0,,,,13.274,hold,hold,hold
2014-05-20,13.42,,,,13.456,hold,hold,hold
2014-05-21,13.64,,,,13.442,hold,hold,hold
2014-05-22,14.89,,,,13.688,hold,hold,hold
2014-05-23,14.76,,,,13.942,hold,hold,hold
2014-05-27,15.01,,,,14.344,hold,hold,hold
2014-05-28,15.35,,,,14.73,hold,hold,hold
2014-05-29,16.63,,,,15.328,hold,hold,hold
2014-05-30,17.77,,,,15.904,hold,hold,hold
2014-06-02,17.3,,,,16.412,hold,hold,hold
2014-06-03,14.54,,,,16.318,hold,hold,hold
2014-06-04,15.5,,,,16.348,hold,hold,hold
2014-06-05,16.19,,,14.7115,16.26,hold,hold,buy
2014-06-06,19.75,,,14.994,16.656,hold,hold,buy
2014-06-09,19.23,,,15.2425,17.042,hold,hold,buy
2014-06-10,20.52,,,15.5435,18.238,hold,hold,buy
2014-06-11,20.63,,,15.9495,19.264,hold,hold,buy
2014-06-12,21.34,,,16.331,20.294,hold,hold,buy
2014-06-13,21.98,,,16.747,20.74,hold,hold,buy
2014-06-16,21.17,,,17.131,21.128,hold,hold,buy
2014-06-17,23.64,,,17.663,21.752,hold,hold,buy
2014-06-18,24.53,,,18.2185,22.532,hold,hold,buy
2014-06-19,23.08,,,18.6905,22.88,hold,hold,buy
2014-06-20,21.8,,,19.036,22.844,hold,hold,buy
2014-06-23,23.27,,,19.4615,23.264,hold,hold,buy
2014-06-24,21.75,,,19.7985,22.886,hold,hold,buy
2014-06-25,21.92,,,20.127,22.364,hold,hold,buy
2014-06-26,22.18,,,20.4045,22.184,hold,hold,buy
2014-06-27,21.24,,,20.578,22.072,hold,hold,buy
2014-06-30,21.24,,,20.775,21.666,hold,hold,buy
2014-07-01,21.28,,,21.112,21.572,hold,hold,buy
2014-07-02,20.92,,,21.383,21.372,hold,hold,sell
2014-07-03,20.92,,,21.6195,21.12,hold,hold,sell
2014-07-07,20.32,,,21.648,20.936,hold,hold,sell
2014-07-08,18.82,,,21.6275,20.452,hold,hold,sell
2014-07-09,18.84,,,21.5435,19.964,hold,hold,sell
2014-07-10,19.44,,,21.484,19.668,hold,hold,sell
2014-07-11,21.0,,,21.467,19.684,hold,hold,sell
2014-07-14,20.21,,,21.3785,19.662,hold,hold,sell
2014-07-15,20.66,,,21.353,20.03,hold,hold,sell
2014-07-16,20.84,,,21.213,20.43,hold,hold,sell
2014-07-17,19.97,,,20.985,20.536,hold,hold,sell
2014-07-18,19.42,,18.5228,20.802,20.22,hold,buy,sell
2014-07-21,19.17,,18.6242,20.6705,20.012,hold,buy,sell
2014-07-22,19.99,,18.7388,20.5065,19.878,hold,buy,sell
2014-07-23,20.2,,18.8528,20.429,19.75,hold,buy,sell
2014-07-24,20.32,,19.009,20.349,19.82,hold,buy,sell
2014-07-25,20.63,,19.1474,20.2715,20.062,hold,buy,hold
2014-07-28,19.61,,19.2664,20.19,20.15,hold,buy,sell
2014-07-29,19.58,,19.3882,20.107,20.068,hold,buy,sell
2014-07-30,18.88,,19.5058,19.987,19.804,hold,hold,sell
2014-07-31,19.15,,19.6204,19.8985,19.57,hold,hold,sell
2014-08-01,20.66,,19.7608,19.8855,19.576,hold,buy,hold
2014-08-04,20.5,,19.873,19.8945,19.754,hold,buy,hold
2014-08-05,20.14,,19.9806,19.9605,19.866,hold,hold,hold
2014-08-06,22.04,,20.1212,20.1205,20.498,hold,hold,buy
2014-08-07,24.84,,20.311,20.3905,21.636,hold,buy,buy
2014-08-08,24.02,,20.4588,20.5415,22.308,hold,buy,buy
2014-08-11,26.75,,20.6384,20.8685,23.558,hold,buy,buy
2014-08-12,26.88,,20.83,21.1795,24.906,hold,buy,buy
2014-08-13,26.89,,21.077,21.482,25.876,hold,buy,buy
2014-08-14,26.01,,21.2872,21.784,26.11,hold,buy,buy
2014-08-15,28.39,,21.5312,22.2325,26.984,hold,buy,buy
2014-08-18,26.9,,21.6742,22.619,27.014,hold,buy,buy
2014-08-19,26.66,,21.8228,22.9525,26.97,hold,buy,buy
2014-08-20,26.79,,21.9482,23.282,26.95,hold,buy,buy
2014-08-21,26.1,,22.0576,23.571,26.968,hold,buy,buy
2014-08-22,27.0,,22.1708,23.8895,26.69,hold,buy,buy
2014-08-25,27.07,,22.2726,24.2625,26.724,hold,buy,buy
2014-08-26,29.39,,22.437,24.753,27.27,hold,buy,buy
2014-08-27,28.76,,22.5394,25.247,27.664,hold,buy,buy
2014-08-28,28.0,,22.6088,25.6895,28.044,hold,buy,buy
2014-08-29,26.37,,22.6746,25.975,27.918,hold,buy,buy
2014-09-02,27.9,,22.7966,26.345,28.084,hold,buy,buy
2014-09-03,26.56,,22.8624,26.666,27.518,hold,buy,hold
2014-09-04,26.51,,22.9576,26.8895,27.068,hold,buy,hold
2014-09-05,26.9,,23.0572,26.9925,26.848,hold,buy,sell
2014-09-08,30.34,,23.2204,27.3085,27.642,hold,buy,buy
2014-09-09,27.28,,23.3412,27.335,27.518,hold,buy,hold
2014-09-10,26.81,,23.4526,27.3315,27.568,hold,buy,hold
2014-09-11,26.99,,23.5668,27.3365,27.664,hold,buy,hold
2014-09-12,26.56,,23.6796,27.364,27.596,hold,buy,hold
2014-09-15,24.1,,23.7432,27.1495,26.348,hold,buy,sell
2014-09-16,24.23,,23.8214,27.016,25.738,hold,buy,sell
2014-09-17,24.75,,23.94,26.9205,25.326,hold,buy,sell
2014-09-18,24.42,,24.0516,26.802,24.812,hold,buy,sell
2014-09-19,24.59,,24.1546,26.7265,24.418,hold,buy,sell
2014-09-22,23.4,,24.2026,26.5465,24.278,hold,hold,sell
2014-09-23,20.23,,24.203,26.2045,23.478,hold,hold,sell
2014-09-24,21.7,,24.2238,25.82,22.868,hold,hold,sell
2014-09-25,20.71,,24.2212,25.4175,22.126,hold,hold,sell
2014-09-26,20.03,,24.2224,25.019,21.214,hold,hold,sell
2014-09-29,18.74,,24.2088,24.6375,20.282,hold,hold,sell
2014-09-30,18.25,,24.1904,24.155,19.886,hold,sell,sell
2014-10-01,17.77,,24.146,23.7155,19.1,hold,sell,sell
2014-10-02,18.51,,24.1122,23.3155,18.66,hold,sell,sell
2014-10-03,18.0,,24.0658,22.8705,18.254,hold,sell,sell
2014-10-06,17.66,,24.0064,22.2365,18.038,hold,sell,sell
2014-10-07,17.97,,23.9736,21.771,17.982,hold,sell,sell
