Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2012-12-31,5.66,,,,,hold,hold,hold
2013-01-02,5.79,,,,,hold,hold,hold
2013-01-03,5.84,,,,,hold,hold,hold
2013-01-04,5.9,,,,,hold,hold,hold
2013-01-07,5.92,,,,5.822,hold,hold,hold
2013-01-08,5.84,,,,5.858,hold,hold,hold
2013-01-09,5.89,,,,5.878,hold,hold,hold
2013-01-10,5.98,,,,5.906,hold,hold,hold
2013-01-11,6.07,,,,5.94,hold,hold,hold
2013-01-14,6.07,,,,5.97,hold,hold,hold
2013-01-15,6.14,,,,6.03,hold,hold,hold
2013-01-16,6.08,,,,6.068,hold,hold,hold
2013-01-17,6.0,,,,6.072,hold,hold,hold
2013-01-18,6.12,,,,6.082,hold,hold,hold
2013-01-22,5.97,,,,6.062,hold,hold,hold
2013-01-23,5.9,,,,6.014,hold,hold,hold
2013-01-24,5.68,,,,5.934,hold,hold,hold
2013-01-25,4.91,,,,5.716,hold,hold,hold
2013-01-28,4.96,,,,5.484,hold,hold,hold
2013-01-29,5.02,,,5.787,5.294,hold,hold,sell
2013-01-30,5.0,,,5.754,5.114,hold,hold,sell
2013-01-31,4.95,,,5.712,4.968,hold,hold,sell
2013-02-01,5.11,,,5.6755,5.008,hold,hold,sell
2013-02-04,5.1,,,5.6355,5.036,hold,hold,sell
2013-02-05,5.2,,,5.5995,5.072,hold,hold,sell
2013-02-06,5.42,,,5.5785,5.156,hold,hold,sell
2013-02-07,5.34,,,5.551,5.234,hold,hold,sell
2013-02-08,5.37,,,5.5205,5.286,hold,hold,sell
2013-02-11,5.3,,,5.482,5.326,hold,hold,sell
2013-02-12,5.26,,,5.4415,5.338,hold,hold,sell
2013-02-13,5.27,,,5.398,5.308,hold,hold,sell
2013-02-14,5.32,,,5.36,5.304,hold,hold,sell
2013-02-15,5.25,,,5.3225,5.28,hold,hold,sell
2013-02-19,5.14,,,5.2735,5.248,hold,hold,sell
2013-02-20,5.0,,,5.225,5.196,hold,hold,sell
2013-02-21,4.96,,,5.178,5.134,hold,hold,sell
2013-02-22,4.81,,,5.1345,5.032,hold,hold,sell
2013-02-25,4.86,,,5.132,4.954,hold,hold,sell
2013-02-26,4.84,,,5.126,4.894,hold,hold,sell
2013-02-27,4.91,,,5.1205,4.876,hold,hold,sell
2013-02-28,4.82,,,5.1115,4.848,hold,hold,sell
