Date,SPY,FB,GOOGL,AMZN,V,NVDA,CTRP,TRIP,CMCM,RWLK,XLF
2012-12-31,142.41,26.62,354.04,250.87,37.9,12.26,5.66,41.92,,,16.39
2013-01-02,146.06,28.0,361.99,257.31,38.84,12.72,5.79,44.16,,,16.86
2013-01-03,145.73,27.77,362.2,258.48,38.88,12.73,5.84,43.91,,,16.85
2013-01-04,146.37,28.76,369.35,259.15,39.19,13.15,5.9,44.12,,,17.05
2013-01-07,145.97,29.42,367.74,268.46,39.47,12.77,5.92,45.12,,,17.01
2013-01-08,145.55,29.06,367.02,266.38,39.84,12.49,5.84,44.72,,,16.96
2013-01-09,145.92,30.59,369.43,266.35,40.45,12.21,5.89,44.33,,,16.94
2013-01-10,147.08,31.3,371.11,265.34,40.13,12.23,5.98,43.49,,,17.15
2013-01-11,147.07,31.72,370.36,267.94,40.29,12.21,6.07,43.98,,,17.11
2013-01-14,146.97,30.95,361.99,272.73,40.16,12.2,6.07,44.15,,,17.06
2013-01-15,147.07,30.1,362.83,271.9,40.11,11.98,6.14,44.15,,,17.13
2013-01-16,147.05,29.85,357.95,268.93,40.05,12.09,6.08,43.97,,,17.14
2013-01-17,148.0,30.14,356.02,270.48,39.97,12.25,6.0,44.09,,,17.13
2013-01-18,148.33,29.66,352.61,272.12,39.57,12.17,6.12,43.68,,,17.15
2013-01-22,149.13,30.73,351.79,270.19,39.76,12.11,5.97,44.32,,,17.31
2013-01-23,149.37,30.82,371.12,268.11,39.76,12.13,5.9,44.84,,,17.3
2013-01-24,149.41,31.08,377.29,273.62,39.89,12.19,5.68,44.82,,,17.39
2013-01-25,150.25,31.54,377.21,283.99,39.96,12.41,4.91,45.96,,,17.47
2013-01-28,150.07,32.47,375.74,276.04,39.09,12.61,4.96,46.5,,,17.4
2013-01-29,150.66,30.79,377.22,260.35,39.16,12.34,5.02,45.9,,,17.47
2013-01-30,150.07,31.24,377.29,272.76,38.75,12.32,5.0,45.52,,,17.39
2013-01-31,149.7,30.98,378.22,265.5,39.48,12.26,4.95,46.28,,,17.38
2013-02-01,151.24,29.73,388.2,265.0,39.64,12.37,5.11,46.3,,,17.61
2013-02-04,149.54,28.11,379.89,259.98,39.16,12.16,5.1,45.64,,,17.41
2013-02-05,151.05,28.64,383.25,266.89,39.88,12.44,5.2,46.84,,,17.58
2013-02-06,151.16,29.05,385.47,262.22,40.2,12.34,5.42,47.0,,,17.61
2013-02-07,150.96,28.65,387.36,260.23,39.26,12.29,5.34,46.85,,,17.56
2013-02-08,151.8,28.54,393.08,261.95,39.45,12.37,5.37,47.02,,,17.6
2013-02-11,151.77,28.26,391.6,257.21,39.08,12.51,5.3,46.23,,,17.68
2013-02-12,152.02,27.37,390.74,258.7,39.2,12.43,5.26,46.66,,,17.82
2013-02-13,152.15,27.91,391.82,269.47,38.69,12.37,5.27,46.9,,,17.78
2013-02-14,152.29,28.5,394.3,269.24,39.0,12.73,5.32,43.55,,,17.84
2013-02-15,152.11,28.32,396.84,265.09,39.5,12.73,5.25,44.42,,,17.76
2013-02-19,153.25,28.93,403.83,269.75,39.4,12.56,5.14,43.52,,,17.93
