Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2012-12-31,354.04,,,,,hold,hold,hold
2013-01-02,361.99,,,,,hold,hold,hold
2013-01-03,362.2,,,,,hold,hold,hold
2013-01-04,369.35,,,,,hold,hold,hold
2013-01-07,367.74,,,,363.064,hold,hold,hold
2013-01-08,367.02,,,,365.66,hold,hold,hold
2013-01-09,369.43,,,,367.148,hold,hold,hold
2013-01-10,371.11,,,,368.93,hold,hold,hold
2013-01-11,370.36,,,,369.132,hold,hold,hold
2013-01-14,361.99,,,,367.982,hold,hold,hold
2013-01-15,362.83,,,,367.144,hold,hold,hold
2013-01-16,357.95,,,,364.848,hold,hold,hold
2013-01-17,356.02,,,,361.83,hold,hold,hold
2013-01-18,352.61,,,,358.28,hold,hold,hold
2013-01-22,351.79,,,,356.24,hold,hold,hold
2013-01-23,371.12,,,,357.898,hold,hold,hold
2013-01-24,377.29,,,,361.766,hold,hold,hold
2013-01-25,377.21,,,,366.004,hold,hold,hold
2013-01-28,375.74,,,,370.63,hold,hold,hold
2013-01-29,377.22,,,365.7505,375.716,hold,hold,buy
2013-01-30,377.29,,,366.913,376.95,hold,hold,buy
2013-01-31,378.22,,,367.7245,377.136,hold,hold,buy
2013-02-01,388.2,,,369.0245,379.334,hold,hold,buy
2013-02-04,379.89,,,369.5515,380.164,hold,hold,buy
2013-02-05,383.25,,,370.327,381.37,hold,hold,buy
2013-02-06,385.47,,,371.2495,383.006,hold,hold,buy
2013-02-07,387.36,,,372.146,384.834,hold,hold,buy
2013-02-08,393.08,,,373.2445,385.81,hold,hold,buy
2013-02-11,391.6,,,374.3065,388.152,hold,hold,buy
2013-02-12,390.74,,,375.744,389.65,hold,hold,buy
2013-02-13,391.82,,,377.1935,390.92,hold,hold,buy
2013-02-14,394.3,,,379.011,392.308,hold,hold,buy
2013-02-15,396.84,,,381.052,393.06,hold,hold,buy
2013-02-19,403.83,,,383.613,395.506,hold,hold,buy
2013-02-20,396.63,,,385.855,396.684,hold,hold,buy
2013-02-21,398.16,,,387.207,397.952,hold,hold,buy
2013-02-22,400.25,,,388.355,399.142,hold,hold,buy
2013-02-25,395.78,,,389.2835,398.93,hold,hold,buy
2013-02-26,395.46,,,390.2695,397.256,hold,hold,buy
2013-02-27,400.29,,,391.423,397.988,hold,hold,buy
2013-02-28,401.0,,,392.6085,398.556,hold,hold,buy
2013-03-01,403.5,,,393.8725,399.206,hold,hold,buy
2013-03-04,411.16,,,395.0205,402.282,hold,hold,buy
2013-03-05,419.72,,,397.012,407.134,hold,hold,buy
2013-03-06,416.11,,,398.655,410.298,hold,hold,buy
2013-03-07,416.71,,,400.217,413.44,hold,hold,buy
2013-03-08,416.18,,,401.658,415.976,hold,hold,buy
2013-03-11,417.83,,,402.8955,417.31,hold,hold,buy
2013-03-12,414.22,,,404.0265,416.21,hold,hold,buy
2013-03-13,413.07,,385.4594,405.143,415.602,hold,buy,buy
2013-03-14,411.18,,386.6022,406.111,414.496,hold,buy,buy
2013-03-15,407.56,,387.5136,406.774,412.772,hold,buy,buy
2013-03-18,404.3,,388.3556,407.147,410.066,hold,buy,hold
2013-03-19,406.07,,389.09,407.259,408.436,hold,buy,hold
2013-03-20,407.76,,389.8904,407.8155,407.374,hold,buy,sell
2013-03-21,406.04,,390.6708,408.2095,406.346,hold,buy,sell
2013-03-22,405.56,,391.3934,408.475,405.946,hold,buy,sell
2013-03-25,405.22,,392.0756,408.947,406.13,hold,buy,sell
2013-03-26,406.62,,392.8008,409.505,406.24,hold,buy,sell
2013-03-27,401.73,,393.5956,409.577,405.034,hold,buy,sell
