Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2012-12-31,12.26,,,,,hold,hold,hold
2013-01-02,12.72,,,,,hold,hold,hold
2013-01-03,12.73,,,,,hold,hold,hold
2013-01-04,13.15,,,,,hold,hold,hold
2013-01-07,12.77,,,,12.726,hold,hold,hold
2013-01-08,12.49,,,,12.772,hold,hold,hold
2013-01-09,12.21,,,,12.67,hold,hold,hold
2013-01-10,12.23,,,,12.57,hold,hold,hold
2013-01-11,12.21,,,,12.382,hold,hold,hold
2013-01-14,12.2,,,,12.268,hold,hold,hold
2013-01-15,11.98,,,,12.166,hold,hold,hold
2013-01-16,12.09,,,,12.142,hold,hold,hold
2013-01-17,12.25,,,,12.146,hold,hold,hold
2013-01-18,12.17,,,,12.138,hold,hold,hold
2013-01-22,12.11,,,,12.12,hold,hold,hold
2013-01-23,12.13,,,,12.15,hold,hold,hold
2013-01-24,12.19,,,,12.17,hold,hold,hold
2013-01-25,12.41,,,,12.202,hold,hold,hold
2013-01-28,12.61,,,,12.29,hold,hold,hold
2013-01-29,12.34,,,12.3625,12.336,hold,hold,sell
2013-01-30,12.32,,,12.3655,12.374,hold,hold,hold
2013-01-31,12.26,,,12.3425,12.388,hold,hold,hold
2013-02-01,12.37,,,12.3245,12.38,hold,hold,buy
2013-02-04,12.16,,,12.275,12.29,hold,hold,hold
2013-02-05,12.44,,,12.2585,12.31,hold,hold,buy
2013-02-06,12.34,,,12.251,12.314,hold,hold,buy
2013-02-07,12.29,,,12.255,12.32,hold,hold,buy
2013-02-08,12.37,,,12.262,12.32,hold,hold,buy
2013-02-11,12.51,,,12.277,12.39,hold,hold,buy
2013-02-12,12.43,,,12.2885,12.388,hold,hold,buy
2013-02-13,12.37,,,12.308,12.394,hold,hold,buy
2013-02-14,12.73,,,12.34,12.482,hold,hold,buy
2013-02-15,12.73,,,12.364,12.554,hold,hold,buy
2013-02-19,12.56,,,12.3835,12.564,hold,hold,buy
2013-02-20,12.38,,,12.397,12.554,hold,hold,hold
2013-02-21,12.29,,,12.405,12.538,hold,hold,hold
2013-02-22,12.52,,,12.4215,12.496,hold,hold,buy
2013-02-25,12.3,,,12.416,12.41,hold,hold,sell
2013-02-26,12.37,,,12.404,12.372,hold,hold,sell
2013-02-27,12.6,,,12.417,12.416,hold,hold,hold
2013-02-28,12.66,,,12.434,12.49,hold,hold,buy
2013-03-01,12.71,,,12.4565,12.528,hold,hold,buy
2013-03-04,12.66,,,12.471,12.6,hold,hold,buy
2013-03-05,12.8,,,12.503,12.686,hold,hold,buy
2013-03-06,12.79,,,12.5205,12.724,hold,hold,buy
2013-03-07,12.76,,,12.5415,12.744,hold,hold,buy
2013-03-08,12.82,,,12.568,12.766,hold,hold,buy
2013-03-11,12.7,,,12.5845,12.774,hold,hold,buy
2013-03-12,12.74,,,12.596,12.762,hold,hold,buy
2013-03-13,12.74,,12.4594,12.6115,12.752,hold,buy,buy
2013-03-14,12.75,,12.4692,12.6305,12.75,hold,buy,buy
2013-03-15,12.64,,12.4676,12.626,12.714,hold,buy,buy
2013-03-18,12.55,,12.464,12.617,12.684,hold,buy,hold
2013-03-19,12.47,,12.4504,12.6125,12.63,hold,buy,hold
2013-03-20,12.62,,12.4474,12.6245,12.606,hold,buy,sell
2013-03-21,12.42,,12.446,12.631,12.54,hold,hold,sell
2013-03-22,12.48,,12.4514,12.629,12.508,hold,buy,sell
2013-03-25,12.41,,12.455,12.6345,12.48,hold,hold,sell
2013-03-26,12.5,,12.4608,12.641,12.486,hold,buy,sell
2013-03-27,12.65,,12.4698,12.6435,12.492,hold,buy,hold
2013-03-28,12.83,,12.4868,12.652,12.574,hold,buy,hold
2013-04-01,12.41,,12.4932,12.637,12.56,hold,hold,sell
2013-04-02,12.28,,12.4938,12.618,12.534,hold,hold,sell
2013-04-03,12.13,,12.493,12.5845,12.46,hold,hold,sell
2013-04-04,12.24,,12.4956,12.557,12.378,hold,hold,sell
2013-04-05,12.46,,12.5022,12.542,12.304,hold,hold,sell
2013-04-08,12.43,,12.507,12.5225,12.308,hold,hold,sell
2013-04-09,12.63,,12.5114,12.519,12.378,hold,buy,hold
2013-04-10,12.83,,12.5158,12.5235,12.518,hold,buy,hold
2013-04-11,12.77,,12.5244,12.525,12.624,hold,buy,buy
2013-04-12,13.09,,12.5398,12.542,12.75,hold,buy,buy
2013-04-15,12.82,,12.551,12.551,12.828,hold,buy,buy
2013-04-16,12.96,,12.5628,12.5715,12.894,hold,buy,buy
2013-04-17,12.78,,12.5752,12.587,12.884,hold,buy,buy
2013-04-18,12.54,,12.5772,12.583,12.838,hold,hold,hold
2013-04-19,12.57,,12.5818,12.5905,12.734,hold,hold,hold
2013-04-22,12.59,,12.5878,12.596,12.688,hold,buy,hold
2013-04-23,12.92,,12.5988,12.6215,12.68,hold,buy,buy
2013-04-24,13.36,,12.6158,12.6645,12.796,hold,buy,buy
2013-04-25,13.47,,12.6366,12.7055,12.982,hold,buy,buy
2013-04-26,13.41,,12.6574,12.7345,13.15,hold,buy,buy
2013-04-29,13.57,,12.6742,12.7925,13.346,hold,buy,buy
2013-04-30,13.77,,12.695,12.867,13.516,hold,buy,buy
2013-05-01,13.65,,12.7168,12.943,13.574,hold,buy,buy
2013-05-02,13.81,,12.7454,13.0215,13.642,hold,buy,buy
2013-05-03,13.87,,12.777,13.092,13.734,hold,buy,buy
2013-05-06,13.83,,12.8032,13.162,13.786,hold,buy,buy
2013-05-07,13.65,,12.8302,13.213,13.762,hold,buy,buy
2013-05-08,13.9,,12.8608,13.2665,13.812,hold,buy,buy
2013-05-09,13.91,,12.887,13.3235,13.832,hold,buy,buy
2013-05-10,14.54,,12.9246,13.396,13.966,hold,buy,buy
2013-05-13,14.24,,12.9552,13.467,14.048,hold,buy,buy
2013-05-14,14.45,,12.991,13.5415,14.208,hold,buy,buy
2013-05-15,14.7,,13.029,13.6375,14.368,hold,buy,buy
2013-05-16,14.63,,13.0658,13.742,14.512,hold,buy,buy
2013-05-17,14.87,,13.108,13.857,14.578,hold,buy,buy
2013-05-20,14.84,,13.1484,13.9695,14.698,hold,buy,buy
2013-05-21,14.92,,13.1928,14.0695,14.792,hold,buy,buy
2013-05-22,14.4,,13.226,14.1215,14.732,hold,buy,buy
2013-05-23,14.63,,13.2638,14.1795,14.732,hold,buy,buy
2013-05-24,14.54,,13.2996,14.236,14.666,hold,buy,buy
2013-05-28,14.53,,13.3374,14.284,14.604,hold,buy,buy
2013-05-29,14.44,,13.3752,14.3175,14.508,hold,buy,buy
2013-05-30,14.63,,13.4184,14.3665,14.554,hold,buy,buy
2013-05-31,14.47,,13.4554,14.3995,14.522,hold,buy,buy
2013-06-03,14.45,,13.496,14.4285,14.504,hold,buy,buy
2013-06-04,14.47,,13.5358,14.4605,14.492,hold,buy,buy
2013-06-05,14.16,,13.5708,14.486,14.436,hold,buy,sell
2013-06-06,14.25,,13.6058,14.5035,14.36,hold,buy,sell
2013-06-07,14.44,,13.6416,14.53,14.354,hold,buy,sell
2013-06-10,14.44,,13.6738,14.525,14.352,hold,buy,sell
2013-06-11,14.17,,13.709,14.5215,14.292,hold,buy,sell
2013-06-12,14.05,,13.7444,14.5015,14.27,hold,buy,sell
2013-06-13,14.37,,13.7892,14.485,14.294,hold,buy,sell
2013-06-14,14.35,,13.8314,14.471,14.276,hold,buy,sell
2013-06-17,14.49,,13.872,14.452,14.286,hold,buy,hold
2013-06-18,14.4,,13.9114,14.43,14.332,hold,buy,sell
2013-06-19,14.84,,13.9556,14.426,14.49,hold,buy,buy
2013-06-20,14.44,,13.9878,14.428,14.504,hold,buy,buy
2013-06-21,14.42,,14.0208,14.4175,14.518,hold,buy,buy
2013-06-24,14.12,,14.0414,14.3965,14.444,hold,buy,hold
2013-06-25,14.22,,14.0694,14.381,14.408,hold,buy,hold
2013-06-26,14.14,,14.093,14.366,14.268,hold,buy,sell
2013-06-27,14.01,,14.1176,14.335,14.182,hold,hold,sell
2013-06-28,14.04,,14.1476,14.3135,14.106,hold,hold,sell
2013-07-01,14.1,,14.1782,14.296,14.102,hold,hold,sell
2013-07-02,14.09,,14.2082,14.277,14.076,hold,hold,sell
2013-07-03,14.13,,14.2324,14.2755,14.074,hold,hold,sell
2013-07-05,14.24,,14.25,14.275,14.12,hold,hold,sell
2013-07-08,14.16,,14.2638,14.261,14.144,hold,sell,sell
2013-07-09,14.24,,14.2804,14.251,14.172,hold,sell,sell
2013-07-10,14.43,,14.2976,14.264,14.24,hold,hold,hold
2013-07-11,14.63,,14.3148,14.293,14.34,hold,hold,buy
2013-07-12,14.64,,14.3346,14.3065,14.42,hold,hold,buy
2013-07-15,14.61,,14.3506,14.3195,14.51,hold,hold,buy
2013-07-16,14.69,,14.367,14.3295,14.6,hold,hold,buy
2013-07-17,14.61,,14.3826,14.34,14.636,hold,hold,buy
2013-07-18,14.55,,14.4006,14.3255,14.62,hold,hold,buy
2013-07-19,14.24,,14.4074,14.3155,14.54,hold,sell,hold
2013-07-22,14.23,,14.4138,14.306,14.464,hold,sell,hold
2013-07-23,14.21,,14.4072,14.3105,14.368,hold,sell,hold
2013-07-24,14.21,,14.4066,14.31,14.288,hold,sell,sell
2013-07-25,14.26,,14.4028,14.316,14.23,hold,sell,sell
