Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2014-09-12,25.6,,,,,hold,hold,hold
2014-09-15,37.15,,,,,hold,hold,hold
2014-09-16,36.95,,,,,hold,hold,hold
2014-09-17,33.7,,,,,hold,hold,hold
2014-09-18,28.25,,,,32.33,hold,hold,hold
2014-09-19,27.78,,,,32.766,hold,hold,hold
2014-09-22,31.72,,,,31.68,hold,hold,hold
2014-09-23,31.1,,,,30.51,hold,hold,hold
2014-09-24,30.15,,,,29.8,hold,hold,hold
2014-09-25,30.49,,,,30.248,hold,hold,hold
2014-09-26,31.0,,,,30.892,hold,hold,hold
2014-09-29,33.1,,,,31.168,hold,hold,hold
2014-09-30,34.15,,,,31.778,hold,hold,hold
2014-10-01,32.7,,,,32.288,hold,hold,hold
2014-10-02,31.65,,,,32.52,hold,hold,hold
2014-10-03,30.93,,,,32.506,hold,hold,hold
2014-10-06,29.2,,,,31.726,hold,hold,hold
2014-10-07,28.9,,,,30.676,hold,hold,hold
2014-10-08,29.85,,,,30.106,hold,hold,hold
2014-10-09,30.27,,,31.232,29.83,hold,hold,sell
2014-10-10,29.0,,,31.402,29.444,hold,hold,sell
2014-10-13,25.61,,,30.825,28.726,hold,hold,sell
2014-10-14,25.48,,,30.2515,28.042,hold,hold,sell
2014-10-15,24.9,,,29.8115,27.052,hold,hold,sell
2014-10-16,27.98,,,29.798,26.594,hold,hold,sell
2014-10-17,28.77,,,29.8475,26.548,hold,hold,sell
2014-10-20,28.89,,,29.706,27.204,hold,hold,sell
2014-10-21,28.1,,,29.556,27.728,hold,hold,sell
2014-10-22,26.87,,,29.392,28.122,hold,hold,sell
2014-10-23,26.41,,,29.188,27.808,hold,hold,sell
2014-10-24,25.92,,,28.934,27.238,hold,hold,sell
2014-10-27,29.1,,,28.734,27.28,hold,hold,hold
2014-10-28,29.25,,,28.489,27.51,hold,hold,hold
2014-10-29,28.85,,,28.2965,27.906,hold,hold,hold
2014-10-30,30.44,,,28.236,28.712,hold,hold,buy
2014-10-31,30.65,,,28.222,29.658,hold,hold,buy
2014-11-03,30.18,,,28.271,29.874,hold,hold,buy
2014-11-04,30.32,,,28.342,30.088,hold,hold,buy
2014-11-05,30.0,,,28.3495,30.318,hold,hold,buy
2014-11-06,29.98,,,28.335,30.226,hold,hold,buy
2014-11-07,30.02,,,28.386,30.1,hold,hold,buy
2014-11-10,30.15,,,28.613,30.094,hold,hold,buy
2014-11-11,29.59,,,28.8185,29.948,hold,hold,buy
2014-11-12,29.22,,,29.0345,29.792,hold,hold,buy
2014-11-13,28.1,,,29.0405,29.416,hold,hold,hold
2014-11-14,27.9,,,28.997,28.992,hold,hold,sell
2014-11-17,27.15,,,28.91,28.392,hold,hold,sell
2014-11-18,27.36,,,28.873,27.946,hold,hold,sell
2014-11-19,26.98,,,28.8785,27.498,hold,hold,sell
2014-11-20,26.71,,29.4904,28.8935,27.22,hold,sell,sell
2014-11-21,27.37,,29.5258,28.966,27.114,hold,sell,sell
2014-11-24,27.5,,29.3328,28.886,27.184,hold,sell,sell
2014-11-25,26.7,,29.1278,28.7585,27.052,hold,sell,sell
2014-11-26,26.63,,28.9864,28.6475,26.982,hold,sell,sell
2014-11-28,26.38,,28.949,28.4445,26.916,hold,sell,sell
2014-12-01,25.42,,28.9018,28.183,26.526,hold,sell,sell
2014-12-02,25.06,,28.7686,27.927,26.038,hold,sell,sell
2014-12-03,24.13,,28.6292,27.6175,25.524,hold,sell,sell
2014-12-04,22.23,,28.4708,27.229,24.644,hold,sell,sell
2014-12-05,23.67,,28.3344,26.9135,24.102,hold,sell,sell
2014-12-08,23.0,,28.1744,26.5625,23.618,hold,sell,sell
2014-12-09,22.82,,27.9688,26.196,23.17,hold,sell,sell
2014-12-10,21.43,,27.7144,25.788,22.63,hold,sell,sell
2014-12-11,21.5,,27.4904,25.402,22.484,hold,sell,sell
2014-12-12,21.22,,27.2818,25.058,21.994,hold,sell,sell
2014-12-15,20.77,,27.0786,24.7015,21.548,hold,sell,sell
2014-12-16,19.18,,26.8782,24.303,20.82,hold,sell,sell
2014-12-17,18.75,,26.6752,23.8725,20.284,hold,sell,sell
2014-12-18,20.0,,26.4782,23.5235,19.984,hold,sell,sell
