Date,SPY,XLY,IBB,QQQ
2014-12-31,205.54,72.15,303.35,103.25
2015-01-02,205.43,71.63,306.34,102.94
2015-01-05,201.72,70.26,305.85,101.43
2015-01-06,199.82,69.56,300.81,100.07
2015-01-07,202.31,70.66,312.0,101.36
2015-01-08,205.9,71.72,314.44,103.3
2015-01-09,204.25,70.89,313.32,102.62
2015-01-12,202.65,70.51,315.06,101.55
2015-01-13,202.08,70.51,314.97,101.52
2015-01-14,200.86,69.66,315.57,100.96
2015-01-15,199.02,68.76,307.7,99.65
2015-01-16,201.63,69.67,317.82,100.82
2015-01-20,202.06,69.27,323.23,101.62
2015-01-21,203.08,69.72,318.49,102.14
2015-01-22,206.1,71.03,320.97,104.03
2015-01-23,204.97,70.93,322.41,104.26
2015-01-26,205.45,71.3,328.0,104.14
2015-01-27,202.74,70.73,325.98,101.44
2015-01-28,200.14,69.81,318.98,100.92
2015-01-29,201.99,70.76,322.85,101.89
2015-01-30,199.45,69.99,321.65,101.1
2015-02-02,201.92,70.62,319.58,101.98
2015-02-03,204.84,72.12,317.79,102.96
2015-02-04,204.06,72.6,312.55,102.87
2015-02-05,206.12,73.05,319.91,103.76
2015-02-06,205.55,72.94,315.59,103.13
2015-02-09,204.63,72.66,313.41,102.8
2015-02-10,206.81,73.55,318.26,104.4
2015-02-11,206.93,73.57,317.25,104.78
2015-02-12,208.92,74.44,320.42,106.0
2015-02-13,209.78,74.89,323.46,106.91
2015-02-17,210.11,74.72,326.82,107.01
2015-02-18,210.13,74.68,329.42,107.16
2015-02-19,209.98,74.91,331.98,107.69
2015-02-20,211.24,75.44,336.43,108.41
2015-02-23,211.21,75.37,338.0,108.52
2015-02-24,211.81,75.73,335.15,108.6
2015-02-25,211.63,76.31,339.45,108.33
2015-02-26,211.38,76.07,340.8,108.88
2015-02-27,210.66,75.97,337.47,108.4
2015-03-02,211.99,76.88,339.75,109.38
2015-03-03,211.12,76.67,337.92,108.87
2015-03-04,210.23,76.27,340.09,108.45
2015-03-05,210.46,76.32,347.67,108.64
2015-03-06,207.5,75.41,342.36,107.41
2015-03-09,208.36,75.84,342.87,107.72
2015-03-10,204.98,74.66,341.43,105.72
2015-03-11,204.5,74.25,342.54,105.11
2015-03-12,207.1,75.76,344.83,105.8
2015-03-13,205.83,75.16,345.33,105.34
2015-03-16,208.58,76.04,353.97,106.7
2015-03-17,207.96,75.62,356.25,106.87
2015-03-18,210.46,76.29,358.14,107.92
2015-03-19,209.5,76.18,365.25,108.08
2015-03-20,210.41,76.77,366.52,108.53
2015-03-23,210.0,76.64,358.28,108.32
2015-03-24,208.82,76.24,355.95,107.93
2015-03-25,205.76,75.0,341.3,105.46
2015-03-26,205.27,74.53,340.81,105.1
2015-03-27,205.74,74.91,347.46,105.52
2015-03-30,208.25,75.68,351.32,106.73
2015-03-31,206.43,75.35,343.43,105.6
2015-04-01,205.7,75.02,340.08,105.05
2015-04-02,206.44,75.69,339.7,105.12
2015-04-06,207.83,76.05,338.85,105.98
2015-04-07,207.28,75.63,341.92,105.8
2015-04-08,207.98,76.34,352.01,106.64
2015-04-09,208.9,76.41,353.06,107.31
2015-04-10,210.04,76.67,357.44,107.75
2015-04-13,209.09,76.25,358.32,107.48
2015-04-14,209.49,76.21,357.21,107.17
2015-04-15,210.43,76.21,360.94,107.84
2015-04-16,210.37,76.36,361.5,107.69
2015-04-17,207.95,75.23,356.46,106.01
2015-04-20,209.85,76.06,357.95,107.6
2015-04-21,209.6,76.14,364.5,108.06
2015-04-22,210.63,76.21,363.84,108.65
2015-04-23,211.16,76.59,367.68,109.06
2015-04-24,211.65,77.63,363.7,110.54
2015-04-27,210.77,76.95,348.55,110.26
2015-04-28,211.44,76.68,344.5,110.04
2015-04-29,210.57,76.16,344.81,109.35
2015-04-30,208.46,75.31,333.66,107.63
2015-05-01,210.72,76.35,344.0,109.05
2015-05-04,211.32,76.51,345.19,109.23
2015-05-05,208.9,75.71,338.0,107.45
2015-05-06,208.04,75.4,340.72,106.71
2015-05-07,208.87,75.79,344.11,107.35
2015-05-08,211.62,76.6,352.14,108.69
2015-05-11,210.6,76.26,352.29,108.27
2015-05-12,209.98,76.12,351.79,107.78
2015-05-13,210.02,75.64,350.85,108.0
2015-05-14,212.21,75.98,355.59,109.58
2015-05-15,212.44,76.59,355.61,109.58
2015-05-18,213.1,76.88,360.3,110.06
2015-05-19,213.03,76.86,360.48,109.94
2015-05-20,212.88,76.77,363.59,110.01
2015-05-21,213.5,77.07,363.6,110.58
2015-05-22,212.99,76.94,364.54,110.47
2015-05-26,210.7,76.39,360.3,109.2
2015-05-27,212.7,76.96,366.96,110.96
2015-05-28,212.46,76.83,364.89,110.71
2015-05-29,211.14,76.3,365.03,110.05
2015-06-01,211.57,76.52,364.81,110.42
2015-06-02,211.36,76.69,363.46,110.07
2015-06-03,211.92,77.29,364.82,110.4
2015-06-04,210.13,76.74,362.79,109.56
2015-06-05,209.77,76.52,367.04,109.3
2015-06-08,208.48,75.98,365.01,108.19
2015-06-09,208.45,75.9,360.64,108.01
2015-06-10,210.95,76.68,365.83,109.49
2015-06-11,211.63,76.94,368.07,109.65
2015-06-12,210.01,76.59,363.9,108.75
2015-06-15,209.11,76.23,363.68,108.21
2015-06-16,210.25,76.69,364.38,108.8
2015-06-17,210.59,77.04,366.55,109.1
2015-06-18,212.78,77.97,377.88,110.69
2015-06-19,210.81,77.45,377.49,109.89
2015-06-22,211.89,77.88,383.16,110.7
2015-06-23,212.04,78.19,383.25,110.79
2015-06-24,210.5,77.65,377.59,110.22
2015-06-25,209.86,77.59,375.84,110.0
2015-06-26,209.82,77.9,372.78,109.27
2015-06-29,205.42,76.14,360.57,106.69
2015-06-30,205.85,76.48,368.97,107.07
2015-07-01,207.5,77.35,369.9,107.92
2015-07-02,207.31,77.2,370.35,107.95
2015-07-06,206.72,77.05,372.36,107.7
2015-07-07,208.02,77.72,373.42,107.97
2015-07-08,204.53,76.24,362.78,106.09
2015-07-09,204.9,76.56,366.74,106.03
2015-07-10,207.48,77.67,372.8,107.65
2015-07-13,209.77,78.79,379.15,109.54
2015-07-14,210.68,78.89,387.94,110.26
2015-07-15,210.61,78.81,390.76,110.38
2015-07-16,212.3,79.29,395.67,111.94
2015-07-17,212.48,79.15,397.58,113.59
2015-07-20,212.59,79.19,398.0,113.98
2015-07-21,211.75,78.94,395.49,113.91
2015-07-22,211.37,79.32,394.35,112.62
2015-07-23,210.18,78.85,393.75,112.2
2015-07-24,208.0,78.85,377.58,111.1
2015-07-27,206.79,78.26,373.58,110.18
2015-07-28,209.33,78.87,382.84,111.13
2015-07-29,210.77,79.68,377.43,111.55
