Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2012-12-31,142.41,,,,,hold,hold,hold
2013-01-02,146.06,,,,,hold,hold,hold
2013-01-03,145.73,,,,,hold,hold,hold
2013-01-04,146.37,,,,,hold,hold,hold
2013-01-07,145.97,,,,145.308,hold,hold,hold
2013-01-08,145.55,,,,145.936,hold,hold,hold
2013-01-09,145.92,,,,145.908,hold,hold,hold
2013-01-10,147.08,,,,146.178,hold,hold,hold
2013-01-11,147.07,,,,146.318,hold,hold,hold
2013-01-14,146.97,,,,146.518,hold,hold,hold
2013-01-15,147.07,,,,146.822,hold,hold,hold
2013-01-16,147.05,,,,147.048,hold,hold,hold
2013-01-17,148.0,,,,147.232,hold,hold,hold
2013-01-18,148.33,,,,147.484,hold,hold,hold
2013-01-22,149.13,,,,147.916,hold,hold,hold
2013-01-23,149.37,,,,148.376,hold,hold,hold
2013-01-24,149.41,,,,148.848,hold,hold,hold
2013-01-25,150.25,,,,149.298,hold,hold,hold
2013-01-28,150.07,,,,149.646,hold,hold,hold
2013-01-29,150.66,,,147.4235,149.952,hold,hold,buy
2013-01-30,150.07,,,147.8065,150.092,hold,hold,buy
2013-01-31,149.7,,,147.9885,150.15,hold,hold,buy
2013-02-01,151.24,,,148.264,150.348,hold,hold,buy
2013-02-04,149.54,,,148.4225,150.242,hold,hold,buy
2013-02-05,151.05,,,148.6765,150.32,hold,hold,buy
2013-02-06,151.16,,,148.957,150.538,hold,hold,buy
2013-02-07,150.96,,,149.209,150.79,hold,hold,buy
2013-02-08,151.8,,,149.445,150.902,hold,hold,buy
2013-02-11,151.77,,,149.68,151.348,hold,hold,buy
2013-02-12,152.02,,,149.9325,151.542,hold,hold,buy
2013-02-13,152.15,,,150.1865,151.74,hold,hold,buy
2013-02-14,152.29,,,150.4485,152.006,hold,hold,buy
2013-02-15,152.11,,,150.654,152.068,hold,hold,buy
2013-02-19,153.25,,,150.9,152.364,hold,hold,buy
2013-02-20,151.34,,,151.0105,152.228,hold,hold,buy
2013-02-21,150.42,,,151.063,151.882,hold,hold,hold
2013-02-22,151.89,,,151.187,151.802,hold,hold,buy
2013-02-25,149.0,,,151.1245,151.18,hold,hold,hold
2013-02-26,150.02,,,151.122,150.534,hold,hold,sell
